Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	887	784
OG0000001	647	518
OG0000002	579	453
OG0000003	629	520
OG0000004	469	360
OG0000005	427	354
OG0000006	431	360
OG0000007	418	353
OG0000008	350	254
OG0000009	334	279
OG0000010	275	232
OG0000011	257	203
OG0000012	252	222
OG0000013	155	133
OG0000014	168	127
OG0000015	255	228
OG0000016	181	155
OG0000017	240	230
OG0000018	208	179
OG0000019	103	76
OG0000020	132	121
OG0000021	129	110
OG0000022	98	88
OG0000023	119	112
OG0000024	113	89
OG0000025	211	211
OG0000026	206	205
OG0000027	129	111
OG0000028	109	103
OG0000029	118	100
OG0000030	83	78
OG0000031	116	109
OG0000032	111	95
OG0000033	111	102
OG0000034	54	40
OG0000035	74	55
OG0000036	70	56
OG0000037	72	64
OG0000038	62	48
OG0000039	80	74
OG0000040	55	40
OG0000041	67	64
OG0000042	73	67
OG0000043	117	112
OG0000044	56	53
OG0000045	39	30
OG0000046	89	81
OG0000047	74	66
OG0000048	35	27
OG0000049	40	39
OG0000050	84	70
OG0000051	53	42
OG0000052	70	63
OG0000053	50	42
OG0000054	54	52
OG0000055	65	50
OG0000056	52	45
OG0000057	82	68
OG0000058	45	33
OG0000059	62	61
OG0000060	90	90
OG0000061	45	41
OG0000062	50	44
OG0000063	47	41
OG0000064	32	28
OG0000065	25	18
OG0000066	75	75
OG0000067	52	43
OG0000068	42	37
OG0000069	56	47
OG0000070	28	24
OG0000071	69	68
OG0000072	72	72
OG0000073	46	41
OG0000074	34	26
OG0000075	32	21
OG0000076	40	34
OG0000077	65	65
OG0000078	26	17
OG0000079	55	54
OG0000080	21	16
OG0000081	20	15
OG0000082	31	26
OG0000083	22	17
OG0000084	40	39
OG0000085	46	35
OG0000086	36	27
OG0000087	30	29
OG0000088	24	23
OG0000089	16	12
OG0000090	31	28
OG0000091	44	40
OG0000092	37	34
OG0000093	29	27
OG0000094	33	25
OG0000095	38	38
OG0000096	55	55
OG0000097	43	38
OG0000098	50	50
OG0000099	31	25
OG0000100	21	18
OG0000101	37	37
OG0000102	24	20
OG0000103	25	25
OG0000104	40	40
OG0000105	39	36
OG0000106	34	30
OG0000107	27	25
OG0000108	22	17
OG0000109	44	42
OG0000110	33	30
OG0000111	23	21
OG0000112	17	16
OG0000113	15	9
OG0000114	14	13
OG0000115	44	44
OG0000116	28	28
OG0000117	27	22
OG0000118	37	37
OG0000119	15	13
OG0000120	13	13
OG0000121	18	16
OG0000122	12	8
OG0000123	19	16
OG0000124	36	26
OG0000125	13	12
OG0000126	20	17
OG0000127	38	38
OG0000128	22	21
OG0000129	13	11
OG0000130	27	24
OG0000131	19	17
OG0000132	37	37
OG0000133	11	10
OG0000134	11	8
OG0000135	34	34
OG0000136	23	19
OG0000137	19	14
OG0000138	17	15
OG0000139	27	22
OG0000140	20	17
OG0000141	11	8
OG0000142	26	23
OG0000143	24	22
OG0000144	17	14
OG0000145	33	33
OG0000146	9	4
OG0000147	16	12
OG0000148	11	11
OG0000149	31	31
OG0000150	8	7
OG0000151	11	11
OG0000152	11	8
OG0000153	27	25
OG0000154	12	10
OG0000155	17	14
OG0000156	5	5
OG0000157	13	12
OG0000158	8	6
OG0000159	7	4
OG0000160	14	9
OG0000161	26	26
OG0000162	31	31
OG0000163	31	31
OG0000164	26	26
OG0000165	6	6
OG0000166	10	9
OG0000167	16	14
OG0000168	22	20
OG0000169	25	22
OG0000170	17	13
OG0000171	6	5
OG0000172	22	21
OG0000173	23	23
OG0000174	26	26
OG0000175	29	29
OG0000176	10	10
OG0000177	4	3
OG0000178	10	7
OG0000179	13	7
OG0000180	28	28
OG0000181	10	10
OG0000182	4	2
OG0000183	18	15
OG0000184	21	19
OG0000185	26	26
OG0000186	27	27
OG0000187	7	7
OG0000188	12	11
OG0000189	17	16
OG0000190	23	22
OG0000191	15	13
OG0000192	5	5
OG0000193	4	4
OG0000194	5	5
OG0000195	5	5
OG0000196	18	15
OG0000197	11	9
OG0000198	25	25
OG0000199	2	2
OG0000200	4	4
OG0000201	10	9
OG0000202	8	6
OG0000203	4	2
OG0000204	5	5
OG0000205	18	15
OG0000206	18	17
OG0000207	23	23
OG0000208	23	23
OG0000209	2	2
OG0000210	2	1
OG0000211	5	5
OG0000212	7	6
OG0000213	7	6
OG0000214	2	2
OG0000215	6	5
OG0000216	8	7
OG0000217	22	22
OG0000218	15	14
OG0000219	6	6
OG0000220	7	4
OG0000221	10	10
OG0000222	7	6
OG0000223	20	20
OG0000224	13	12
OG0000225	15	15
OG0000226	10	5
OG0000227	20	20
OG0000228	21	21
OG0000229	2	2
OG0000230	4	4
OG0000231	7	7
OG0000232	12	11
OG0000233	8	6
OG0000234	20	20
OG0000235	5	4
OG0000236	6	4
OG0000237	4	4
OG0000238	16	16
OG0000239	6	6
OG0000240	8	7
