Species Tree Node	Duplications (all)	Duplications (50% support)
Cnidaria_Anthozoa_Acropora_digitifera	512	512
Ctenophora_Tentaculata_Pleurobrachia_bachei	426	426
Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	89	89
Cnidaria_Myxozoa_Thelohanellus_kitauei	119	119
Chordata_Amphioxiformes_Branchiostoma_lanceolatum	1349	1349
Chordata_Vertebrata_Mus_musculus	84	84
Cnidaria_Anthozoa_Stylophora_pistillata	751	751
Choanozoa_Choanoflagellatea_Monosiga_brevicollis	24	24
N3	1	1
Placozoa_Trichoplacidae_Tricoplax_adhaerens	38	38
Cnidaria_Anthozoa_Nematostella_vectensis	790	790
Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	703	703
Nematoda_Chromadorea_Caenorhabditis_elegans	336	336
Cnidaria_Hydrozoa_Hydra_vulgaris	469	469
Cnidaria_Anthozoa_Xenia_spec	351	351
N29	59	52
N28	83	74
N23	64	64
N22	56	29
N21	37	18
N20	16	16
N27	105	105
Cnidaria_Hydrozoa_Clytia_hemispherica	360	360
N25	225	186
N24	1092	746
N12	10	2
Cnidaria_Scyphozoa_Aurelia_aurita	346	346
N13	41	15
N4	76	18
Placozoa_Trichoplacidae_Trichoplax_spec-H2	58	58
N26	66	66
Cnidaria_Anthozoa_Porites_asteroides	105	105
Porifera_Demospongiae_Ephydatia_muelleri	993	993
N9	31	16
N11	103	103
Porifera_Demospongiae_Amphimedon_queenslandica	977	977
Ctenophora_Nuda_Beroe_ovata	262	262
N0	1241	57
N1	5	0
N2	67	0
Platyhelminthes_Tricladida_Schmidtea_mediterranea	108	108
Chordata_Amphioxiformes_Branchiostoma_floridae	1470	1470
N6	92	1
Cnidaria_Cubozoa_Morbakka_virulenta	334	334
N8	12	12
N10	19	19
Chordata_Vertebrata_Homo_sapiens	16	16
N16	4	4
N14	10	10
Chordata_Vertebrata_Bos_taurus	171	171
Ctenophora_Tentaculata_Mnemiopsis_leidyi	133	133
N19	237	66
Cnidaria_Anthozoa_Exaiptasia_diaphana	966	966
N15	140	109
Chordata_Vertebrata_Coturnix_japonica	13	13
Chordata_Amphioxiformes_Branchiostoma_belcheri	1338	1338
N30	9	9
Insecta_Diptera_Drosophila_melanogaster	316	316
N18	3	1
Chordata_Vertebrata_Danio_rerio	250	250
