	Choanozoa_Choanoflagellatea_Monosiga_brevicollis	Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	Chordata_Amphioxiformes_Branchiostoma_belcheri	Chordata_Amphioxiformes_Branchiostoma_floridae	Chordata_Amphioxiformes_Branchiostoma_lanceolatum	Chordata_Vertebrata_Bos_taurus	Chordata_Vertebrata_Coturnix_japonica	Chordata_Vertebrata_Danio_rerio	Chordata_Vertebrata_Homo_sapiens	Chordata_Vertebrata_Mus_musculus	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Anthozoa_Nematostella_vectensis	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Myxozoa_Thelohanellus_kitauei	Cnidaria_Scyphozoa_Aurelia_aurita	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Ctenophora_Nuda_Beroe_ovata	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Ctenophora_Tentaculata_Pleurobrachia_bachei	Insecta_Diptera_Drosophila_melanogaster	Nematoda_Chromadorea_Caenorhabditis_elegans	Placozoa_Trichoplacidae_Trichoplax_spec-H2	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Platyhelminthes_Tricladida_Schmidtea_mediterranea	Porifera_Demospongiae_Amphimedon_queenslandica	Porifera_Demospongiae_Ephydatia_muelleri
Choanozoa_Choanoflagellatea_Monosiga_brevicollis	85	57	64	65	63	34	29	28	28	30	51	57	56	41	57	46	47	48	45	12	47	48	41	36	39	18	17	42	37	35	45	42
Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	57	108	77	80	78	41	35	31	36	36	60	69	70	46	66	57	62	61	56	11	60	67	50	45	54	16	19	54	53	38	53	48
Chordata_Amphioxiformes_Branchiostoma_belcheri	64	77	879	722	708	129	112	102	112	104	155	170	169	119	182	123	152	148	136	20	140	156	95	88	116	51	54	115	106	85	108	107
Chordata_Amphioxiformes_Branchiostoma_floridae	65	80	722	896	741	132	114	105	113	108	161	175	181	124	189	127	156	152	137	20	145	161	94	94	117	52	55	117	106	86	106	102
Chordata_Amphioxiformes_Branchiostoma_lanceolatum	63	78	708	741	862	128	110	102	111	105	158	167	171	121	186	124	148	143	134	20	137	154	90	89	108	52	53	111	103	85	103	98
Chordata_Vertebrata_Bos_taurus	34	41	129	132	128	296	179	156	184	184	73	81	82	65	86	68	75	74	71	13	72	81	52	55	60	46	49	54	50	51	58	52
Chordata_Vertebrata_Coturnix_japonica	29	35	112	114	110	179	206	155	174	168	66	70	72	55	74	56	68	66	63	13	64	71	47	47	53	43	46	45	43	45	49	45
Chordata_Vertebrata_Danio_rerio	28	31	102	105	102	156	155	178	150	143	61	64	66	53	67	51	62	60	58	12	57	66	40	41	47	42	46	43	40	42	47	41
Chordata_Vertebrata_Homo_sapiens	28	36	112	113	111	184	174	150	215	180	65	69	73	56	74	55	69	63	63	13	64	71	47	47	53	45	46	46	43	45	52	47
Chordata_Vertebrata_Mus_musculus	30	36	104	108	105	184	168	143	180	212	63	67	71	56	71	56	66	64	62	13	64	70	43	44	47	44	45	43	41	44	47	44
Cnidaria_Anthozoa_Acropora_digitifera	51	60	155	161	158	73	66	61	65	63	312	190	194	134	240	126	142	121	132	15	130	143	75	72	78	42	43	78	71	64	78	76
Cnidaria_Anthozoa_Exaiptasia_diaphana	57	69	170	175	167	81	70	64	69	67	190	366	258	128	243	146	157	141	134	20	157	160	87	80	98	45	46	102	90	69	91	85
Cnidaria_Anthozoa_Nematostella_vectensis	56	70	169	181	171	82	72	66	73	71	194	258	352	133	231	144	161	139	135	19	156	164	88	81	97	45	46	98	89	73	90	86
Cnidaria_Anthozoa_Porites_asteroides	41	46	119	124	121	65	55	53	56	56	134	128	133	205	141	99	106	97	96	15	101	121	62	60	72	32	39	68	63	57	68	63
Cnidaria_Anthozoa_Stylophora_pistillata	57	66	182	189	186	86	74	67	74	71	240	243	231	141	383	147	162	149	143	20	156	163	85	82	97	45	45	93	87	69	90	87
Cnidaria_Anthozoa_Xenia_spec	46	57	123	127	124	68	56	51	55	56	126	146	144	99	147	182	119	111	107	18	109	122	73	70	81	37	39	77	71	59	81	73
Cnidaria_Cubozoa_Morbakka_virulenta	47	62	152	156	148	75	68	62	69	66	142	157	161	106	162	119	262	154	146	21	167	190	79	77	84	42	44	87	79	70	85	79
Cnidaria_Hydrozoa_Clytia_hemispherica	48	61	148	152	143	74	66	60	63	64	121	141	139	97	149	111	154	279	150	20	134	167	71	70	78	42	42	86	80	68	87	76
Cnidaria_Hydrozoa_Hydra_vulgaris	45	56	136	137	134	71	63	58	63	62	132	134	135	96	143	107	146	150	277	19	128	163	73	69	80	36	39	79	74	65	82	75
Cnidaria_Myxozoa_Thelohanellus_kitauei	12	11	20	20	20	13	13	12	13	13	15	20	19	15	20	18	21	20	19	35	21	22	15	17	15	11	10	16	15	16	14	13
Cnidaria_Scyphozoa_Aurelia_aurita	47	60	140	145	137	72	64	57	64	64	130	157	156	101	156	109	167	134	128	21	254	170	74	77	82	43	43	81	73	59	79	71
Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	48	67	156	161	154	81	71	66	71	70	143	160	164	121	163	122	190	167	163	22	170	335	82	78	91	43	46	87	84	69	84	77
Ctenophora_Nuda_Beroe_ovata	41	50	95	94	90	52	47	40	47	43	75	87	88	62	85	73	79	71	73	15	74	82	195	142	150	30	35	66	60	51	68	62
Ctenophora_Tentaculata_Mnemiopsis_leidyi	36	45	88	94	89	55	47	41	47	44	72	80	81	60	82	70	77	70	69	17	77	78	142	218	168	29	36	63	61	47	65	62
Ctenophora_Tentaculata_Pleurobrachia_bachei	39	54	116	117	108	60	53	47	53	47	78	98	97	72	97	81	84	78	80	15	82	91	150	168	273	32	37	77	70	55	73	70
Insecta_Diptera_Drosophila_melanogaster	18	16	51	52	52	46	43	42	45	44	42	45	45	32	45	37	42	42	36	11	43	43	30	29	32	84	40	30	27	33	32	30
Nematoda_Chromadorea_Caenorhabditis_elegans	17	19	54	55	53	49	46	46	46	45	43	46	46	39	45	39	44	42	39	10	43	46	35	36	37	40	87	32	30	34	33	34
Placozoa_Trichoplacidae_Trichoplax_spec-H2	42	54	115	117	111	54	45	43	46	43	78	102	98	68	93	77	87	86	79	16	81	87	66	63	77	30	32	184	149	58	73	67
Placozoa_Trichoplacidae_Tricoplax_adhaerens	37	53	106	106	103	50	43	40	43	41	71	90	89	63	87	71	79	80	74	15	73	84	60	61	70	27	30	149	168	51	68	63
Platyhelminthes_Tricladida_Schmidtea_mediterranea	35	38	85	86	85	51	45	42	45	44	64	69	73	57	69	59	70	68	65	16	59	69	51	47	55	33	34	58	51	99	51	51
Porifera_Demospongiae_Amphimedon_queenslandica	45	53	108	106	103	58	49	47	52	47	78	91	90	68	90	81	85	87	82	14	79	84	68	65	73	32	33	73	68	51	221	117
Porifera_Demospongiae_Ephydatia_muelleri	42	48	107	102	98	52	45	41	47	44	76	85	86	63	87	73	79	76	75	13	71	77	62	62	70	30	34	67	63	51	117	215
