	Choanozoa_Choanoflagellatea_Monosiga_brevicollis	Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	Chordata_Amphioxiformes_Branchiostoma_belcheri	Chordata_Amphioxiformes_Branchiostoma_floridae	Chordata_Amphioxiformes_Branchiostoma_lanceolatum	Chordata_Vertebrata_Bos_taurus	Chordata_Vertebrata_Coturnix_japonica	Chordata_Vertebrata_Danio_rerio	Chordata_Vertebrata_Homo_sapiens	Chordata_Vertebrata_Mus_musculus	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Anthozoa_Nematostella_vectensis	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Myxozoa_Thelohanellus_kitauei	Cnidaria_Scyphozoa_Aurelia_aurita	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Ctenophora_Nuda_Beroe_ovata	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Ctenophora_Tentaculata_Pleurobrachia_bachei	Insecta_Diptera_Drosophila_melanogaster	Nematoda_Chromadorea_Caenorhabditis_elegans	Placozoa_Trichoplacidae_Trichoplax_spec-H2	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Platyhelminthes_Tricladida_Schmidtea_mediterranea	Porifera_Demospongiae_Amphimedon_queenslandica	Porifera_Demospongiae_Ephydatia_muelleri
Choanozoa_Choanoflagellatea_Monosiga_brevicollis	0.0	112.0	79.0	90.0	82.0	49.0	38.0	34.0	34.0	34.0	62.0	60.0	67.0	64.0	67.0	52.0	56.0	61.0	61.0	13.0	67.0	69.0	52.0	46.0	49.0	21.0	22.0	42.0	43.0	44.0	59.0	51.0
Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	122.0	0.0	127.0	137.0	129.0	81.0	59.0	51.0	65.0	55.0	101.0	91.0	115.0	117.0	87.0	100.0	80.0	83.0	76.0	14.0	109.0	113.0	82.0	80.0	88.0	23.0	50.0	65.0	68.0	57.0	93.0	66.0
Chordata_Amphioxiformes_Branchiostoma_belcheri	202.0	267.0	0.0	2655.0	2439.0	878.0	777.0	556.0	684.0	671.0	960.0	1070.0	1001.0	736.0	1074.0	763.0	719.0	768.0	492.0	65.0	739.0	802.0	500.0	518.0	618.0	446.0	472.0	501.0	477.0	385.0	607.0	442.0
Chordata_Amphioxiformes_Branchiostoma_floridae	244.0	313.0	2898.0	0.0	2838.0	1088.0	940.0	667.0	844.0	833.0	1116.0	1154.0	1167.0	944.0	1244.0	837.0	876.0	873.0	686.0	85.0	879.0	940.0	621.0	718.0	748.0	473.0	452.0	666.0	627.0	435.0	698.0	605.0
Chordata_Amphioxiformes_Branchiostoma_lanceolatum	257.0	337.0	2648.0	2821.0	0.0	987.0	850.0	664.0	731.0	742.0	1140.0	1189.0	1127.0	916.0	1271.0	868.0	871.0	824.0	624.0	89.0	846.0	869.0	539.0	569.0	617.0	423.0	381.0	590.0	556.0	479.0	604.0	509.0
Chordata_Vertebrata_Bos_taurus	55.0	69.0	499.0	504.0	513.0	0.0	572.0	544.0	526.0	554.0	277.0	292.0	290.0	246.0	309.0	225.0	245.0	200.0	179.0	59.0	234.0	274.0	174.0	172.0	199.0	239.0	215.0	161.0	155.0	128.0	182.0	120.0
Chordata_Vertebrata_Coturnix_japonica	40.0	53.0	393.0	398.0	393.0	495.0	0.0	481.0	444.0	453.0	221.0	223.0	220.0	170.0	227.0	174.0	195.0	172.0	150.0	40.0	174.0	207.0	133.0	121.0	149.0	191.0	163.0	124.0	124.0	123.0	141.0	80.0
Chordata_Vertebrata_Danio_rerio	42.0	60.0	473.0	481.0	483.0	594.0	620.0	0.0	562.0	583.0	274.0	273.0	269.0	193.0	281.0	215.0	228.0	199.0	172.0	61.0	225.0	246.0	165.0	147.0	190.0	251.0	196.0	127.0	130.0	148.0	185.0	96.0
Chordata_Vertebrata_Homo_sapiens	42.0	56.0	374.0	372.0	381.0	487.0	471.0	446.0	0.0	474.0	205.0	206.0	205.0	171.0	213.0	162.0	179.0	149.0	132.0	41.0	165.0	200.0	131.0	126.0	152.0	203.0	156.0	119.0	115.0	104.0	135.0	88.0
Chordata_Vertebrata_Mus_musculus	52.0	62.0	440.0	435.0	446.0	565.0	539.0	518.0	528.0	0.0	254.0	257.0	261.0	222.0	262.0	206.0	237.0	197.0	163.0	58.0	224.0	256.0	153.0	148.0	173.0	241.0	195.0	130.0	128.0	132.0	144.0	85.0
Cnidaria_Anthozoa_Acropora_digitifera	87.0	131.0	601.0	596.0	577.0	325.0	306.0	205.0	207.0	236.0	0.0	771.0	739.0	611.0	953.0	482.0	453.0	472.0	365.0	52.0	544.0	493.0	220.0	234.0	236.0	126.0	184.0	249.0	251.0	157.0	306.0	233.0
Cnidaria_Anthozoa_Exaiptasia_diaphana	103.0	153.0	777.0	798.0	773.0	379.0	367.0	259.0	249.0	272.0	984.0	0.0	1220.0	725.0	1212.0	713.0	633.0	670.0	487.0	82.0	730.0	770.0	252.0	269.0	328.0	227.0	307.0	374.0	355.0	186.0	455.0	353.0
Cnidaria_Anthozoa_Nematostella_vectensis	126.0	213.0	753.0	789.0	746.0	308.0	302.0	242.0	249.0	271.0	911.0	1309.0	0.0	722.0	1121.0	708.0	672.0	654.0	511.0	85.0	676.0	819.0	282.0	295.0	341.0	188.0	251.0	393.0	369.0	191.0	396.0	305.0
Cnidaria_Anthozoa_Porites_asteroides	69.0	99.0	330.0	324.0	309.0	191.0	156.0	111.0	128.0	136.0	423.0	375.0	373.0	0.0	417.0	265.0	252.0	299.0	214.0	34.0	279.0	348.0	153.0	167.0	186.0	74.0	124.0	171.0	173.0	108.0	181.0	136.0
Cnidaria_Anthozoa_Stylophora_pistillata	116.0	133.0	742.0	766.0	726.0	380.0	337.0	216.0	234.0	256.0	1011.0	996.0	892.0	707.0	0.0	578.0	482.0	515.0	369.0	54.0	610.0	537.0	260.0	269.0	280.0	153.0	202.0	308.0	289.0	167.0	396.0	331.0
