Number of species	32
Number of genes	36958
Number of genes in orthogroups	35745
Number of unassigned genes	1213
Percentage of genes in orthogroups	96.7
Percentage of unassigned genes	3.3
Number of orthogroups	2313
Number of species-specific orthogroups	622
Number of genes in species-specific orthogroups	2601
Percentage of genes in species-specific orthogroups	7.0
Mean orthogroup size	15.5
Median orthogroup size	4.0
G50 (assigned genes)	105
G50 (all genes)	95
O50 (assigned genes)	51
O50 (all genes)	57
Number of orthogroups with all species present	4
Number of single-copy orthogroups	0
Date	2024-09-10
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	2149	92.9	11759	32.9
'1	85	3.7	3741	10.5
'2	23	1.0	1856	5.2
'3	14	0.6	1507	4.2
'4	10	0.4	1369	3.8
'5	2	0.1	350	1.0
'6	8	0.3	1667	4.7
'7	2	0.1	501	1.4
'8	0	0.0	0	0.0
'9	0	0.0	0	0.0
'10	2	0.1	676	1.9
11-15	7	0.3	2899	8.1
16-20	3	0.1	1795	5.0
21-50	8	0.3	7625	21.3
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	622
2	577
3	536
4	166
5	95
6	46
7	35
8	36
9	10
10	13
11	17
12	12
13	11
14	13
15	11
16	13
17	7
18	8
19	9
20	7
21	13
22	5
23	6
24	8
25	4
26	4
27	5
28	5
29	6
30	5
31	4
32	4
