	Choanozoa_Choanoflagellatea_Monosiga_brevicollis	Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	Chordata_Amphioxiformes_Branchiostoma_belcheri	Chordata_Amphioxiformes_Branchiostoma_floridae	Chordata_Amphioxiformes_Branchiostoma_lanceolatum	Chordata_Vertebrata_Bos_taurus	Chordata_Vertebrata_Coturnix_japonica	Chordata_Vertebrata_Danio_rerio	Chordata_Vertebrata_Homo_sapiens	Chordata_Vertebrata_Mus_musculus	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Anthozoa_Nematostella_vectensis	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Myxozoa_Thelohanellus_kitauei	Cnidaria_Scyphozoa_Aurelia_aurita	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Ctenophora_Nuda_Beroe_ovata	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Ctenophora_Tentaculata_Pleurobrachia_bachei	Insecta_Diptera_Drosophila_melanogaster	Nematoda_Chromadorea_Caenorhabditis_elegans	Placozoa_Trichoplacidae_Trichoplax_spec-H2	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Platyhelminthes_Tricladida_Schmidtea_mediterranea	Porifera_Demospongiae_Amphimedon_queenslandica	Porifera_Demospongiae_Ephydatia_muelleri
Number of genes	172	290	3543	3851	3445	1021	597	762	590	681	1434	1992	1810	839	1883	768	966	1102	1074	172	995	1646	687	600	1030	483	519	443	419	284	1481	1379
Number of genes in orthogroups	157	275	3443	3745	3384	944	590	738	588	677	1388	1953	1757	811	1829	740	941	1030	1033	160	949	1550	675	576	1000	468	493	430	407	268	1390	1356
Number of unassigned genes	15	15	100	106	61	77	7	24	2	4	46	39	53	28	54	28	25	72	41	12	46	96	12	24	30	15	26	13	12	16	91	23
Percentage of genes in orthogroups	91.3	94.8	97.2	97.2	98.2	92.5	98.8	96.9	99.7	99.4	96.8	98.0	97.1	96.7	97.1	96.4	97.4	93.5	96.2	93.0	95.4	94.2	98.3	96.0	97.1	96.9	95.0	97.1	97.1	94.4	93.9	98.3
Percentage of unassigned genes	8.7	5.2	2.8	2.8	1.8	7.5	1.2	3.1	0.3	0.6	3.2	2.0	2.9	3.3	2.9	3.6	2.6	6.5	3.8	7.0	4.6	5.8	1.7	4.0	2.9	3.1	5.0	2.9	2.9	5.6	6.1	1.7
Number of orthogroups containing species	85	108	879	896	862	296	206	178	215	212	312	366	352	205	383	182	262	279	277	35	254	335	195	218	273	84	87	184	168	99	221	215
Percentage of orthogroups containing species	3.7	4.7	38.0	38.7	37.3	12.8	8.9	7.7	9.3	9.2	13.5	15.8	15.2	8.9	16.6	7.9	11.3	12.1	12.0	1.5	11.0	14.5	8.4	9.4	11.8	3.6	3.8	8.0	7.3	4.3	9.6	9.3
Number of species-specific orthogroups	2	5	42	32	28	30	0	4	0	2	15	41	28	2	22	9	15	39	35	4	22	41	13	11	33	20	19	4	0	6	43	55
Number of genes in species-specific orthogroups	5	22	185	95	123	117	0	9	0	5	40	146	77	4	94	34	40	151	126	20	56	139	33	36	114	71	253	9	0	17	284	296
Percentage of genes in species-specific orthogroups	2.9	7.6	5.2	2.5	3.6	11.5	0.0	1.2	0.0	0.7	2.8	7.3	4.3	0.5	5.0	4.4	4.1	13.7	11.7	11.6	5.6	8.4	4.8	6.0	11.1	14.7	48.7	2.0	0.0	6.0	19.2	21.5
