Orthogroup	Choanozoa_Choanoflagellatea_Monosiga_brevicollis	Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	Chordata_Amphioxiformes_Branchiostoma_belcheri	Chordata_Amphioxiformes_Branchiostoma_floridae	Chordata_Amphioxiformes_Branchiostoma_lanceolatum	Chordata_Vertebrata_Bos_taurus	Chordata_Vertebrata_Coturnix_japonica	Chordata_Vertebrata_Danio_rerio	Chordata_Vertebrata_Homo_sapiens	Chordata_Vertebrata_Mus_musculus	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Anthozoa_Nematostella_vectensis	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Myxozoa_Thelohanellus_kitauei	Cnidaria_Scyphozoa_Aurelia_aurita	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Ctenophora_Nuda_Beroe_ovata	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Ctenophora_Tentaculata_Pleurobrachia_bachei	Insecta_Diptera_Drosophila_melanogaster	Nematoda_Chromadorea_Caenorhabditis_elegans	Placozoa_Trichoplacidae_Trichoplax_spec-H2	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Platyhelminthes_Tricladida_Schmidtea_mediterranea	Porifera_Demospongiae_Amphimedon_queenslandica	Porifera_Demospongiae_Ephydatia_muelleri	Total
OG0000000	1	0	158	153	94	19	19	27	19	22	37	114	38	24	84	2	3	59	1	0	64	81	1	0	0	21	5	0	0	1	123	55	1225
OG0000001	7	17	74	79	77	20	14	17	12	11	63	62	85	47	88	35	62	53	49	0	53	76	21	9	24	13	4	23	25	8	34	38	1200
OG0000002	3	6	52	70	52	32	27	50	18	30	60	55	60	42	45	18	49	56	61	0	34	116	34	42	37	19	5	6	4	10	6	9	1108
OG0000003	9	12	117	124	77	25	11	9	13	24	78	81	60	43	69	30	16	52	36	1	29	47	10	5	24	13	27	11	11	21	1	1	1087
OG0000004	13	26	39	45	26	15	18	17	16	18	58	81	102	68	39	60	31	34	28	1	31	32	9	4	4	0	7	5	0	4	36	4	871
OG0000005	0	0	25	26	28	2	3	7	1	2	22	73	71	12	39	17	67	61	50	1	53	60	10	8	14	0	26	6	7	14	13	7	725
OG0000006	7	19	86	100	107	9	4	2	5	5	51	20	20	34	38	6	15	8	6	0	8	24	28	21	50	5	2	0	0	2	25	17	724
OG0000007	3	3	72	62	76	4	5	3	2	6	30	44	12	36	30	14	15	7	27	0	9	8	12	2	6	19	1	26	34	5	68	44	685
OG0000008	1	7	26	55	30	1	0	0	0	0	51	47	82	44	48	16	17	28	17	0	40	41	3	3	7	0	0	22	39	10	23	9	667
OG0000009	0	1	52	51	49	9	5	11	5	6	32	52	33	36	44	12	29	12	18	1	32	28	4	3	4	10	29	11	13	7	3	6	608
OG0000010	1	2	31	46	46	7	7	10	9	8	17	47	33	11	22	7	32	12	16	1	11	38	16	5	6	33	4	12	8	1	14	7	520
OG0000011	3	4	54	97	65	17	9	11	12	10	5	9	2	2	6	0	0	0	2	0	14	6	28	28	35	0	0	20	18	18	0	1	476
OG0000012	2	5	64	52	62	13	10	6	10	12	6	15	5	2	5	17	6	5	6	0	1	9	34	37	43	7	1	3	2	6	1	0	447
OG0000013	0	0	32	32	19	16	17	29	12	16	15	36	27	10	19	11	16	11	10	0	12	23	5	4	6	11	5	4	4	9	3	2	416
OG0000014	0	0	22	21	28	23	22	13	20	15	21	22	29	13	17	13	21	14	12	0	15	35	0	0	0	19	6	1	1	5	6	1	415
OG0000015	0	0	51	57	45	6	4	5	2	1	23	27	45	25	33	8	14	13	2	0	19	7	6	2	3	0	1	2	1	1	0	2	405
OG0000016	0	0	26	31	29	14	10	10	13	14	8	14	26	8	18	7	15	17	21	0	9	18	12	18	16	8	6	0	0	3	0	0	371
OG0000017	0	0	13	12	17	32	14	17	26	36	3	3	1	5	3	0	12	2	1	73	15	8	5	8	8	43	6	3	2	1	0	0	369
OG0000018	0	1	34	43	26	8	6	7	7	6	18	14	14	5	18	17	6	4	3	0	2	6	2	5	2	0	0	21	6	3	33	32	349
OG0000019	0	0	16	17	18	17	22	29	10	20	9	9	8	6	15	10	9	7	11	2	9	15	11	9	7	11	5	5	5	6	3	6	327
OG0000020	4	2	13	12	45	12	8	17	11	17	12	9	10	8	11	11	8	7	8	0	6	6	0	0	0	0	0	0	0	7	5	5	254
OG0000021	0	0	45	18	33	2	3	2	3	3	7	11	12	3	13	4	9	10	7	0	4	13	14	6	3	1	2	2	2	2	9	4	247
OG0000022	6	7	8	7	17	14	10	17	10	11	6	5	7	5	4	1	3	4	4	10	3	12	6	6	7	4	4	4	3	3	4	11	223
OG0000023	0	0	4	21	7	20	10	10	10	22	2	2	2	4	1	2	5	6	6	3	8	8	6	2	2	13	2	6	8	4	3	20	219
OG0000024	0	0	3	8	11	6	3	3	3	3	5	17	20	22	7	4	9	6	6	0	4	19	7	6	15	2	3	3	2	7	1	9	214
OG0000025	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	212	214
OG0000026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	207	0	211
OG0000027	0	0	37	45	58	1	0	0	0	0	6	7	7	1	26	1	1	2	4	0	0	2	0	0	0	0	0	0	0	0	0	0	198
OG0000028	0	0	33	34	24	7	6	1	6	4	1	2	2	1	2	2	8	4	3	0	1	3	8	14	14	3	2	2	2	5	0	1	195
OG0000029	0	0	10	8	10	0	0	0	0	0	30	16	15	6	38	3	5	6	7	1	16	11	0	0	0	0	0	5	5	1	0	0	193
OG0000030	6	7	7	13	13	3	2	4	2	2	3	5	14	4	4	9	3	4	5	2	3	6	7	8	9	8	2	5	5	2	8	3	178
OG0000031	3	3	27	24	33	1	1	0	0	1	12	6	14	0	12	1	2	10	7	0	12	2	0	0	0	0	0	0	1	0	0	0	172
OG0000032	0	0	44	21	9	0	0	0	0	0	6	29	11	0	8	0	6	2	4	0	2	2	0	0	0	0	0	0	0	0	2	4	150
OG0000033	0	0	15	13	19	1	1	1	0	0	19	26	2	2	24	14	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147
OG0000034	3	5	5	8	7	3	2	3	2	4	3	8	4	6	4	3	7	6	9	0	2	13	8	3	5	3	1	2	3	0	3	2	137
OG0000035	0	0	16	11	12	5	1	4	1	1	9	23	15	0	15	6	5	2	3	1	3	4	0	0	0	0	0	0	0	0	0	0	137
OG0000036	0	0	4	7	8	5	3	3	5	6	3	4	7	1	7	2	11	13	0	0	9	13	1	1	2	1	1	0	0	0	20	0	137
OG0000037	4	6	9	14	20	2	2	6	2	6	2	2	8	3	1	3	7	1	5	0	7	10	0	0	0	1	1	0	0	2	5	6	135
OG0000038	0	0	12	11	15	8	6	10	3	4	12	11	8	8	12	6	2	0	1	0	1	3	0	0	0	1	0	0	0	0	1	0	135
OG0000039	1	0	18	19	34	0	0	0	0	0	6	14	12	3	11	5	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	3	131
OG0000040	0	0	8	7	11	4	3	3	2	3	3	5	9	1	3	4	8	6	22	0	6	9	0	0	0	0	0	1	2	3	3	5	131
OG0000041	1	1	5	4	10	3	3	0	2	2	4	9	7	1	3	14	4	1	3	0	11	3	4	2	5	0	0	2	2	1	3	19	129
OG0000042	1	2	2	30	18	1	0	0	0	0	4	5	6	4	3	4	6	5	5	0	4	10	5	1	4	0	0	0	0	4	0	0	124
OG0000043	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	114	0	0	0	0	0	0	0	123
OG0000044	0	0	6	12	9	8	5	6	8	6	4	3	8	1	3	2	5	3	1	4	3	6	1	2	2	2	0	0	0	0	4	3	117
OG0000045	1	0	2	9	12	5	4	3	5	5	4	4	3	5	3	3	6	7	3	0	4	6	3	1	5	2	1	1	0	1	0	1	109
OG0000046	0	1	0	1	0	0	0	0	0	0	17	33	23	0	18	1	1	7	0	0	2	5	0	0	0	0	0	0	0	0	0	0	109
OG0000047	1	1	12	22	21	0	0	0	0	0	2	3	4	0	1	9	0	0	0	0	0	0	0	0	0	2	0	1	0	1	3	25	108
OG0000048	0	1	16	12	12	7	9	12	10	11	0	0	0	2	0	1	0	3	0	0	0	2	0	1	1	0	0	2	3	1	1	0	107
OG0000049	0	0	6	3	7	9	6	12	8	9	1	1	1	0	1	1	2	1	1	0	2	2	8	3	2	8	1	2	2	0	7	1	107
OG0000050	0	0	57	40	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	105
OG0000051	0	2	7	14	9	0	0	0	0	0	6	3	10	0	8	3	0	4	2	0	1	3	4	8	10	0	0	2	3	1	1	2	103
OG0000052	0	0	17	18	10	0	0	0	0	0	24	1	3	1	9	0	0	0	0	0	3	2	0	5	9	0	0	0	0	0	0	0	102
OG0000053	0	0	34	21	27	0	0	0	0	0	0	3	1	0	3	1	1	1	0	0	2	2	1	1	1	0	0	0	0	1	0	0	100
OG0000054	0	0	3	50	3	1	1	0	1	1	3	2	4	3	3	2	2	2	2	0	1	2	1	1	1	0	0	2	1	0	3	2	97
