Orthogroup	Ctenophora_Tentaculata_Pleurobrachia_bachei	Cnidaria_Anthozoa_Nematostella_vectensis
OG0000001	Pleurobrachia_bachei_sb_2667052_ sb_2667052_, Pleurobrachia_bachei_sb_2641560_ sb_2641560_	Nematostella_vectensis_NV2t020012002.1 NV2t020012002.1, Nematostella_vectensis_NV2t020009001.1 NV2t020009001.1, Nematostella_vectensis_NV2t020012001.1 NV2t020012001.1
OG0000001	Pleurobrachia_bachei_sb_2652296_ sb_2652296_, Pleurobrachia_bachei_sb_2640676_ sb_2640676_	Nematostella_vectensis_NV2t001719001.1 NV2t001719001.1
OG0000001	Pleurobrachia_bachei_sb_2648385_ sb_2648385_, Pleurobrachia_bachei_sb_2665366_ sb_2665366_	Nematostella_vectensis_NV2t011962001.1 NV2t011962001.1
OG0000001	Pleurobrachia_bachei_sb_2653902_ sb_2653902_	Nematostella_vectensis_NV2t007734005.1 NV2t007734005.1
OG0000001	Pleurobrachia_bachei_sb_2656958_ sb_2656958_, Pleurobrachia_bachei_sb_2651191_ sb_2651191_	Nematostella_vectensis_NV2t007734002.1 NV2t007734002.1, Nematostella_vectensis_NV2t007734004.1 NV2t007734004.1, Nematostella_vectensis_NV2t007734001.1 NV2t007734001.1, Nematostella_vectensis_NV2t007734003.1 NV2t007734003.1, Nematostella_vectensis_NV2t025737001.1 NV2t025737001.1
OG0000001	Pleurobrachia_bachei_sb_2640766_ sb_2640766_	Nematostella_vectensis_NV2t024496001.1 NV2t024496001.1, Nematostella_vectensis_NV2t024496003.1 NV2t024496003.1, Nematostella_vectensis_NV2t024496004.1 NV2t024496004.1
OG0000002	Pleurobrachia_bachei_sb_2639676_ sb_2639676_	Nematostella_vectensis_NV2t017239001.1 NV2t017239001.1
OG0000002	Pleurobrachia_bachei_sb_2653974_ sb_2653974_	Nematostella_vectensis_NV2t025728001.1 NV2t025728001.1
OG0000002	Pleurobrachia_bachei_sb_2656797_ sb_2656797_, Pleurobrachia_bachei_sb_2657716_ sb_2657716_, Pleurobrachia_bachei_sb_2656175_ sb_2656175_, Pleurobrachia_bachei_sb_2666978_ sb_2666978_, Pleurobrachia_bachei_sb_2657496_ sb_2657496_	Nematostella_vectensis_NV2t023884001.1 NV2t023884001.1, Nematostella_vectensis_NV2t023884002.1 NV2t023884002.1, Nematostella_vectensis_NV2t014418001.1 NV2t014418001.1
OG0000002	Pleurobrachia_bachei_sb_2639240_ sb_2639240_	Nematostella_vectensis_NV2t011502001.1 NV2t011502001.1
