Orthogroup	Cnidaria_Scyphozoa_Aurelia_aurita	Ctenophora_Tentaculata_Pleurobrachia_bachei
OG0000001	Aurelia_aurita_Seg1567.8 Seg1567.8 transcript_id=Seg1567.8_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-3" protein_id=Seg1567.8_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2217.4 Seg2217.4 transcript_id=Seg2217.4_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-5" protein_id=Seg2217.4_GoldUCD_D3Y31, Aurelia_aurita_Seg1519.1 Seg1519.1 transcript_id=Seg1519.1_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-5" protein_id=Seg1519.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg5148.1 Seg5148.1 transcript_id=Seg5148.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5148.1_GoldUCD_D3Y31 partial=true	Pleurobrachia_bachei_sb_2639858_ sb_2639858_, Pleurobrachia_bachei_sb_2654211_ sb_2654211_
OG0000001	Aurelia_aurita_Seg1378.3 Seg1378.3 transcript_id=Seg1378.3_GoldUCD_mRNA.D3Y31 product="Laminin subunit beta-1" protein_id=Seg1378.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2403.1 Seg2403.1 transcript_id=Seg2403.1_GoldUCD_mRNA.D3Y31 product="Laminin subunit beta-1" protein_id=Seg2403.1_GoldUCD_D3Y31	Pleurobrachia_bachei_sb_2652422_ sb_2652422_
OG0000001	Aurelia_aurita_Seg12822.1 Seg12822.1 transcript_id=Seg12822.1_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg12822.1_GoldUCD_D3Y31 partial=true	Pleurobrachia_bachei_sb_2664824_ sb_2664824_, Pleurobrachia_bachei_sb_2643298_ sb_2643298_
OG0000001	Aurelia_aurita_Seg368.1 Seg368.1 transcript_id=Seg368.1_GoldUCD_mRNA.D3Y31 product="Nucleolar GTP-binding protein 2" protein_id=Seg368.1_GoldUCD_D3Y31 partial=true	Pleurobrachia_bachei_sb_2648385_ sb_2648385_, Pleurobrachia_bachei_sb_2665366_ sb_2665366_
OG0000001	Aurelia_aurita_Seg9198.1 Seg9198.1 transcript_id=Seg9198.1_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg9198.1_GoldUCD_D3Y31, Aurelia_aurita_Seg80.10 Seg80.10 transcript_id=Seg80.10_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg80.10_GoldUCD_D3Y31, Aurelia_aurita_Seg80.9 Seg80.9 transcript_id=Seg80.9_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg80.9_GoldUCD_D3Y31 partial=true	Pleurobrachia_bachei_sb_2656958_ sb_2656958_, Pleurobrachia_bachei_sb_2651191_ sb_2651191_
OG0000001	Aurelia_aurita_Seg1698.10 Seg1698.10 transcript_id=Seg1698.10_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg1698.10_GoldUCD_D3Y31	Pleurobrachia_bachei_sb_2640766_ sb_2640766_
OG0000002	Aurelia_aurita_Seg3995.1 Seg3995.1 transcript_id=Seg3995.1_GoldUCD_mRNA.D3Y31 product=Thrombospondin-4 protein_id=Seg3995.1_GoldUCD_D3Y31	Pleurobrachia_bachei_sb_2656797_ sb_2656797_, Pleurobrachia_bachei_sb_2657716_ sb_2657716_, Pleurobrachia_bachei_sb_2656175_ sb_2656175_, Pleurobrachia_bachei_sb_2666978_ sb_2666978_, Pleurobrachia_bachei_sb_2657496_ sb_2657496_
OG0000002	Aurelia_aurita_Seg1202.19 Seg1202.19 transcript_id=Seg1202.19_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1202.19_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1738.7 Seg1738.7 transcript_id=Seg1738.7_GoldUCD_mRNA.D3Y31 product=Spondin-1 protein_id=Seg1738.7_GoldUCD_D3Y31	Pleurobrachia_bachei_sb_2662616_ sb_2662616_
OG0000002	Aurelia_aurita_Seg4543.1 Seg4543.1 transcript_id=Seg4543.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg4543.1_GoldUCD_D3Y31 partial=true	Pleurobrachia_bachei_sb_2641978_ sb_2641978_, Pleurobrachia_bachei_sb_2638179_ sb_2638179_
OG0000002	Aurelia_aurita_Seg738.1 Seg738.1 transcript_id=Seg738.1_GoldUCD_mRNA.D3Y31 product=Thrombospondin-1 protein_id=Seg738.1_GoldUCD_D3Y31	Pleurobrachia_bachei_sb_2650841_ sb_2650841_, Pleurobrachia_bachei_sb_2641280_ sb_2641280_, Pleurobrachia_bachei_sb_2645200_ sb_2645200_, Pleurobrachia_bachei_sb_2665050_ sb_2665050_
OG0000002	Aurelia_aurita_Seg1881.5 Seg1881.5 transcript_id=Seg1881.5_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg1881.5_GoldUCD_D3Y31, Aurelia_aurita_Seg4590.1 Seg4590.1 transcript_id=Seg4590.1_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg4590.1_GoldUCD_D3Y31, Aurelia_aurita_Seg979.1 Seg979.1 transcript_id=Seg979.1_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg979.1_GoldUCD_D3Y31 partial=true	Pleurobrachia_bachei_sb_2643333_ sb_2643333_, Pleurobrachia_bachei_sb_2655712_ sb_2655712_, Pleurobrachia_bachei_sb_2649228_ sb_2649228_, Pleurobrachia_bachei_sb_2661683_ sb_2661683_, Pleurobrachia_bachei_sb_2659647_ sb_2659647_
OG0000003	Aurelia_aurita_Seg5572.2 Seg5572.2 transcript_id=Seg5572.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5572.2_GoldUCD_D3Y31 partial=true	Pleurobrachia_bachei_sb_2648001_ sb_2648001_
OG0000003	Aurelia_aurita_Seg53.7 Seg53.7 transcript_id=Seg53.7_GoldUCD_mRNA.D3Y31 product="C-type mannose receptor 2" protein_id=Seg53.7_GoldUCD_D3Y31	Pleurobrachia_bachei_sb_2660103_ sb_2660103_, Pleurobrachia_bachei_sb_2661433_ sb_2661433_, Pleurobrachia_bachei_sb_2643938_ sb_2643938_
OG0000003	Aurelia_aurita_Seg1040.6 Seg1040.6 transcript_id=Seg1040.6_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1040.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg929.1 Seg929.1 transcript_id=Seg929.1_GoldUCD_mRNA.D3Y31 product="C-type mannose receptor 2" protein_id=Seg929.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg4523.1 Seg4523.1 transcript_id=Seg4523.1_GoldUCD_mRNA.D3Y31 product="Macrophage mannose receptor 1" pseudo=true protein_id=Seg4523.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg432.9 Seg432.9 transcript_id=Seg432.9_GoldUCD_mRNA.D3Y31 product="CD209 antigen-like protein A" protein_id=Seg432.9_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1086.6 Seg1086.6 transcript_id=Seg1086.6_GoldUCD_mRNA.D3Y31 product="Hepatic lectin" protein_id=Seg1086.6_GoldUCD_D3Y31, Aurelia_aurita_Seg2902.3 Seg2902.3 transcript_id=Seg2902.3_GoldUCD_mRNA.D3Y31 product="Neurocan core protein" protein_id=Seg2902.3_GoldUCD_D3Y31	Pleurobrachia_bachei_sb_2665626_ sb_2665626_
OG0000003	Aurelia_aurita_Seg17386.1 Seg17386.1 transcript_id=Seg17386.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg17386.1_GoldUCD_D3Y31	Pleurobrachia_bachei_sb_2659118_ sb_2659118_, Pleurobrachia_bachei_sb_2655921_ sb_2655921_
