Orthogroup	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Porifera_Demospongiae_Ephydatia_muelleri
OG0000001	Tricoplax_adhaerens_tr_B3SCK7_B3SCK7_TRIAD tr_B3SCK7_B3SCK7_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62007 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SCK6_B3SCK6_TRIAD tr_B3SCK6_B3SCK6_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62006 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SCJ5_B3SCJ5_TRIAD tr_B3SCJ5_B3SCJ5_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_33302 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SCK9_B3SCK9_TRIAD tr_B3SCK9_B3SCK9_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_4136 PE=4 SV=1, Tricoplax_adhaerens_tr_B3S4N4_B3S4N4_TRIAD tr_B3S4N4_B3S4N4_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_59150 PE=4 SV=1	Ephydatia_muelleri_Em0023g805a Em0023g805a
OG0000005	Tricoplax_adhaerens_tr_B3RTE3_B3RTE3_TRIAD tr_B3RTE3_B3RTE3_TRIAD Metalloendopeptidase OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_54934 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RTE4_B3RTE4_TRIAD tr_B3RTE4_B3RTE4_TRIAD Metalloendopeptidase OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_54935 PE=4 SV=1, Tricoplax_adhaerens_tr_B3S9X8_B3S9X8_TRIAD tr_B3S9X8_B3S9X8_TRIAD Metalloendopeptidase _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_32049 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RTC7_B3RTC7_TRIAD tr_B3RTC7_B3RTC7_TRIAD Metalloendopeptidase _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_8107 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SD01_B3SD01_TRIAD tr_B3SD01_B3SD01_TRIAD Metalloendopeptidase _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_33646 PE=4 SV=1, Tricoplax_adhaerens_tr_B3S0U5_B3S0U5_TRIAD tr_B3S0U5_B3S0U5_TRIAD Metalloendopeptidase _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_26557 PE=4 SV=1	Ephydatia_muelleri_Em0001g1715a Em0001g1715a, Ephydatia_muelleri_Em0008g884a Em0008g884a, Ephydatia_muelleri_Em0001g424a Em0001g424a
OG0000007	Tricoplax_adhaerens_tr_B3SD52_B3SD52_TRIAD tr_B3SD52_B3SD52_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_33760 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RIT7_B3RIT7_TRIAD tr_B3RIT7_B3RIT7_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_51362 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RIU2_B3RIU2_TRIAD tr_B3RIU2_B3RIU2_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_51368 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SES2_B3SES2_TRIAD tr_B3SES2_B3SES2_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62756 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SDW9_B3SDW9_TRIAD tr_B3SDW9_B3SDW9_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62473 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SDW6_B3SDW6_TRIAD tr_B3SDW6_B3SDW6_TRIAD EGF-like domain-containing protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62471 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RIT9_B3RIT9_TRIAD tr_B3RIT9_B3RIT9_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_51365 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RIT6_B3RIT6_TRIAD tr_B3RIT6_B3RIT6_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_19226 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RS19_B3RS19_TRIAD tr_B3RS19_B3RS19_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_54445 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RZV6_B3RZV6_TRIAD tr_B3RZV6_B3RZV6_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_27138 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RS17_B3RS17_TRIAD tr_B3RS17_B3RS17_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_54443 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RZV7_B3RZV7_TRIAD tr_B3RZV7_B3RZV7_TRIAD VWFD domain-containing protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_14672 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SEN2_B3SEN2_TRIAD tr_B3SEN2_B3SEN2_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62718 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SEJ1_B3SEJ1_TRIAD tr_B3SEJ1_B3SEJ1_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62682 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RS22_B3RS22_TRIAD tr_B3RS22_B3RS22_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_54448 PE=3 SV=1, Tricoplax_adhaerens_tr_B3RQ10_B3RQ10_TRIAD tr_B3RQ10_B3RQ10_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53736 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RQ07_B3RQ07_TRIAD tr_B3RQ07_B3RQ07_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53733 PE=4 SV=1	Ephydatia_muelleri_Em0010g757a Em0010g757a, Ephydatia_muelleri_Em0010g762a Em0010g762a, Ephydatia_muelleri_Em0382g2a Em0382g2a, Ephydatia_muelleri_Em0462g1a Em0462g1a, Ephydatia_muelleri_Em0010g756a Em0010g756a, Ephydatia_muelleri_Em0418g1a Em0418g1a, Ephydatia_muelleri_Em0002g1565a Em0002g1565a, Ephydatia_muelleri_Em0002g1561a Em0002g1561a, Ephydatia_muelleri_Em0005g97a Em0005g97a, Ephydatia_muelleri_Em0010g209a Em0010g209a, Ephydatia_muelleri_Em0010g239a Em0010g239a, Ephydatia_muelleri_Em0001g3643a Em0001g3643a
OG0000008	Tricoplax_adhaerens_tr_B3RZ25_B3RZ25_TRIAD tr_B3RZ25_B3RZ25_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_57302 PE=4 SV=1	Ephydatia_muelleri_Em0022g120a Em0022g120a
OG0000008	Tricoplax_adhaerens_tr_B3RK62_B3RK62_TRIAD tr_B3RK62_B3RK62_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_63477 PE=4 SV=1, Tricoplax_adhaerens_tr_B3S5W3_B3S5W3_TRIAD tr_B3S5W3_B3S5W3_TRIAD Predicted protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_59529 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RNP9_B3RNP9_TRIAD tr_B3RNP9_B3RNP9_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53244 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RRK3_B3RRK3_TRIAD tr_B3RRK3_B3RRK3_TRIAD Predicted protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_54273 PE=4 SV=1	Ephydatia_muelleri_Em0006g945a Em0006g945a
OG0000008	Tricoplax_adhaerens_tr_B3SAL6_B3SAL6_TRIAD tr_B3SAL6_B3SAL6_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_1375 PE=4 SV=1	Ephydatia_muelleri_Em0019g859a Em0019g859a
OG0000010	Tricoplax_adhaerens_tr_B3S003_B3S003_TRIAD tr_B3S003_B3S003_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_57635 PE=4 SV=1	Ephydatia_muelleri_Em0011g1192a Em0011g1192a
OG0000011	Tricoplax_adhaerens_tr_B3RXM8_B3RXM8_TRIAD tr_B3RXM8_B3RXM8_TRIAD Kringle domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_25104 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SBX2_B3SBX2_TRIAD tr_B3SBX2_B3SBX2_TRIAD Kringle domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_61767 PE=4 SV=1, Tricoplax_adhaerens_tr_B3S9J1_B3S9J1_TRIAD tr_B3S9J1_B3S9J1_TRIAD Kringle domain-containing protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_9319 PE=4 SV=1	Ephydatia_muelleri_Em0005g71a Em0005g71a
OG0000014	Tricoplax_adhaerens_tr_B3RJG1_B3RJG1_TRIAD tr_B3RJG1_B3RJG1_TRIAD Peptidase M12B domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_52613 PE=4 SV=1	Ephydatia_muelleri_Em0016g1107a Em0016g1107a
OG0000018	Tricoplax_adhaerens_tr_B3SCU9_B3SCU9_TRIAD tr_B3SCU9_B3SCU9_TRIAD Sortilin-related receptor OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62104 PE=3 SV=1	Ephydatia_muelleri_Em0380g6a Em0380g6a, Ephydatia_muelleri_Em0023g304a Em0023g304a, Ephydatia_muelleri_Em0023g214a Em0023g214a, Ephydatia_muelleri_Em0001g321a Em0001g321a, Ephydatia_muelleri_Em0023g220a Em0023g220a, Ephydatia_muelleri_Em0023g224a Em0023g224a, Ephydatia_muelleri_Em0380g1a Em0380g1a, Ephydatia_muelleri_Em0023g300a Em0023g300a, Ephydatia_muelleri_Em0023g230a Em0023g230a, Ephydatia_muelleri_Em0023g303a Em0023g303a, Ephydatia_muelleri_Em0019g1086a Em0019g1086a, Ephydatia_muelleri_Em0019g1066a Em0019g1066a, Ephydatia_muelleri_Em0008g906a Em0008g906a, Ephydatia_muelleri_Em0008g1100a Em0008g1100a, Ephydatia_muelleri_Em0007g863a Em0007g863a, Ephydatia_muelleri_Em0007g864a Em0007g864a
OG0000018	Tricoplax_adhaerens_tr_B3RNP7_B3RNP7_TRIAD tr_B3RNP7_B3RNP7_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53242 PE=3 SV=1	Ephydatia_muelleri_Em0002g301a Em0002g301a, Ephydatia_muelleri_Em0005g1582a Em0005g1582a, Ephydatia_muelleri_Em0005g1587a Em0005g1587a, Ephydatia_muelleri_Em0005g1578a Em0005g1578a, Ephydatia_muelleri_Em0003g566a Em0003g566a, Ephydatia_muelleri_Em0001g1540a Em0001g1540a
OG0000018	Tricoplax_adhaerens_tr_B3RJF8_B3RJF8_TRIAD tr_B3RJF8_B3RJF8_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_52608 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RMD2_B3RMD2_TRIAD tr_B3RMD2_B3RMD2_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53907 PE=4 SV=1	Ephydatia_muelleri_Em0017g348a Em0017g348a, Ephydatia_muelleri_Em0010g820a Em0010g820a, Ephydatia_muelleri_Em0010g816a Em0010g816a
OG0000022	Tricoplax_adhaerens_tr_B3S0N9_B3S0N9_TRIAD tr_B3S0N9_B3S0N9_TRIAD Annexin OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_57118 PE=3 SV=1	Ephydatia_muelleri_Em0016g564a Em0016g564a, Ephydatia_muelleri_Em0016g563a Em0016g563a, Ephydatia_muelleri_Em0016g565a Em0016g565a, Ephydatia_muelleri_Em0013g1131a Em0013g1131a, Ephydatia_muelleri_Em0012g47a Em0012g47a, Ephydatia_muelleri_Em0012g49a Em0012g49a, Ephydatia_muelleri_Em0012g48a Em0012g48a, Ephydatia_muelleri_Em0012g46a Em0012g46a
OG0000022	Tricoplax_adhaerens_tr_B3S9E5_B3S9E5_TRIAD tr_B3S9E5_B3S9E5_TRIAD Annexin OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_38333 PE=3 SV=1	Ephydatia_muelleri_Em0006g1280a Em0006g1280a, Ephydatia_muelleri_Em0006g1281a Em0006g1281a
OG0000024	Tricoplax_adhaerens_tr_B3SAJ2_B3SAJ2_TRIAD tr_B3SAJ2_B3SAJ2_TRIAD Predicted protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_61279 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SAD3_B3SAD3_TRIAD tr_B3SAD3_B3SAD3_TRIAD Thyroglobulin type-1 domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_63147 PE=4 SV=1	Ephydatia_muelleri_Em0733g1a Em0733g1a, Ephydatia_muelleri_Em0018g330a Em0018g330a, Ephydatia_muelleri_Em0018g319a Em0018g319a, Ephydatia_muelleri_Em0424g1a Em0424g1a, Ephydatia_muelleri_Em0018g329a Em0018g329a, Ephydatia_muelleri_Em0018g318a Em0018g318a, Ephydatia_muelleri_Em0733g2a Em0733g2a, Ephydatia_muelleri_Em0019g192a Em0019g192a, Ephydatia_muelleri_Em0019g191a Em0019g191a
