Orthogroup	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000001	Mnemiopsis_leidyi_ML17591a ML17591a	Clytia_hemispherica_TCONS_00049799-protein TCONS_00049799-protein
OG0000001	Mnemiopsis_leidyi_ML20591a ML20591a, Mnemiopsis_leidyi_ML05951a ML05951a	Clytia_hemispherica_TCONS_00067350-protein TCONS_00067350-protein
OG0000002	Mnemiopsis_leidyi_ML06976a ML06976a	Clytia_hemispherica_TCONS_00027170-protein TCONS_00027170-protein
OG0000002	Mnemiopsis_leidyi_ML049019a ML049019a, Mnemiopsis_leidyi_ML34222a ML34222a	Clytia_hemispherica_TCONS_00019320-protein TCONS_00019320-protein, Clytia_hemispherica_TCONS_00011479-protein TCONS_00011479-protein, Clytia_hemispherica_TCONS_00057330-protein TCONS_00057330-protein, Clytia_hemispherica_TCONS_00016953-protein TCONS_00016953-protein
OG0000002	Mnemiopsis_leidyi_ML05299a ML05299a, Mnemiopsis_leidyi_ML016334a ML016334a	Clytia_hemispherica_TCONS_00062091-protein TCONS_00062091-protein
OG0000002	Mnemiopsis_leidyi_ML14871a ML14871a, Mnemiopsis_leidyi_ML093048a ML093048a	Clytia_hemispherica_TCONS_00032821-protein TCONS_00032821-protein, Clytia_hemispherica_TCONS_00054066-protein TCONS_00054066-protein
OG0000002	Mnemiopsis_leidyi_ML050913a ML050913a	Clytia_hemispherica_TCONS_00044266-protein TCONS_00044266-protein
OG0000003	Mnemiopsis_leidyi_ML01785a ML01785a	Clytia_hemispherica_TCONS_00052747-protein TCONS_00052747-protein, Clytia_hemispherica_TCONS_00021064-protein TCONS_00021064-protein
OG0000003	Mnemiopsis_leidyi_ML216321a ML216321a	Clytia_hemispherica_TCONS_00053094-protein TCONS_00053094-protein, Clytia_hemispherica_TCONS_00046080-protein TCONS_00046080-protein, Clytia_hemispherica_TCONS_00065030-protein TCONS_00065030-protein
OG0000003	Mnemiopsis_leidyi_ML056959a ML056959a	Clytia_hemispherica_TCONS_00024141-protein TCONS_00024141-protein, Clytia_hemispherica_TCONS_00027918-protein TCONS_00027918-protein, Clytia_hemispherica_TCONS_00015294-protein TCONS_00015294-protein, Clytia_hemispherica_TCONS_00015272-protein TCONS_00015272-protein, Clytia_hemispherica_TCONS_00058579-protein TCONS_00058579-protein, Clytia_hemispherica_TCONS_00060002-protein TCONS_00060002-protein
OG0000003	Mnemiopsis_leidyi_ML090113a ML090113a	Clytia_hemispherica_TCONS_00005662-protein TCONS_00005662-protein, Clytia_hemispherica_TCONS_00036482-protein TCONS_00036482-protein, Clytia_hemispherica_TCONS_00036492-protein TCONS_00036492-protein, Clytia_hemispherica_TCONS_00002699-protein TCONS_00002699-protein, Clytia_hemispherica_TCONS_00031875-protein TCONS_00031875-protein, Clytia_hemispherica_TCONS_00060536-protein TCONS_00060536-protein
OG0000005	Mnemiopsis_leidyi_ML073034a ML073034a	Clytia_hemispherica_TCONS_00015258-protein TCONS_00015258-protein, Clytia_hemispherica_TCONS_00020465-protein TCONS_00020465-protein
OG0000005	Mnemiopsis_leidyi_ML19042a ML19042a	Clytia_hemispherica_TCONS_00025486-protein TCONS_00025486-protein, Clytia_hemispherica_TCONS_00071313-protein TCONS_00071313-protein, Clytia_hemispherica_TCONS_00020048-protein TCONS_00020048-protein, Clytia_hemispherica_TCONS_00012296-protein TCONS_00012296-protein, Clytia_hemispherica_TCONS_00027133-protein TCONS_00027133-protein
OG0000005	Mnemiopsis_leidyi_ML05712a ML05712a	Clytia_hemispherica_TCONS_00070170-protein TCONS_00070170-protein, Clytia_hemispherica_TCONS_00064563-protein TCONS_00064563-protein, Clytia_hemispherica_TCONS_00002689-protein TCONS_00002689-protein, Clytia_hemispherica_TCONS_00002617-protein TCONS_00002617-protein, Clytia_hemispherica_TCONS_00002686-protein TCONS_00002686-protein, Clytia_hemispherica_TCONS_00051638-protein TCONS_00051638-protein, Clytia_hemispherica_TCONS_00062688-protein TCONS_00062688-protein, Clytia_hemispherica_TCONS_00019373-protein TCONS_00019373-protein
OG0000007	Mnemiopsis_leidyi_ML019111a ML019111a	Clytia_hemispherica_TCONS_00000042-protein TCONS_00000042-protein
OG0000008	Mnemiopsis_leidyi_ML128618a ML128618a	Clytia_hemispherica_TCONS_00073669-protein TCONS_00073669-protein
OG0000009	Mnemiopsis_leidyi_ML31401a ML31401a, Mnemiopsis_leidyi_ML007435a ML007435a	Clytia_hemispherica_TCONS_00053164-protein TCONS_00053164-protein
OG0000010	Mnemiopsis_leidyi_ML004921a ML004921a	Clytia_hemispherica_TCONS_00073670-protein TCONS_00073670-protein, Clytia_hemispherica_TCONS_00073671-protein TCONS_00073671-protein
OG0000010	Mnemiopsis_leidyi_ML00905a ML00905a	Clytia_hemispherica_TCONS_00002898-protein TCONS_00002898-protein, Clytia_hemispherica_TCONS_00064483-protein TCONS_00064483-protein, Clytia_hemispherica_TCONS_00060277-protein TCONS_00060277-protein, Clytia_hemispherica_TCONS_00009152-protein TCONS_00009152-protein
OG0000012	Mnemiopsis_leidyi_ML31161a ML31161a, Mnemiopsis_leidyi_ML03227a ML03227a, Mnemiopsis_leidyi_ML231816a ML231816a	Clytia_hemispherica_TCONS_00069193-protein TCONS_00069193-protein, Clytia_hemispherica_TCONS_00021868-protein TCONS_00021868-protein, Clytia_hemispherica_TCONS_00044696-protein TCONS_00044696-protein
OG0000012	Mnemiopsis_leidyi_ML065752a ML065752a, Mnemiopsis_leidyi_ML12185a ML12185a, Mnemiopsis_leidyi_ML11032a ML11032a, Mnemiopsis_leidyi_ML022012a ML022012a, Mnemiopsis_leidyi_ML11033a ML11033a, Mnemiopsis_leidyi_ML41863a ML41863a	Clytia_hemispherica_TCONS_00003443-protein TCONS_00003443-protein
OG0000012	Mnemiopsis_leidyi_ML189317a ML189317a, Mnemiopsis_leidyi_ML00495a ML00495a	Clytia_hemispherica_TCONS_00021872-protein TCONS_00021872-protein
OG0000013	Mnemiopsis_leidyi_ML101013a ML101013a	Clytia_hemispherica_TCONS_00056741-protein TCONS_00056741-protein
OG0000013	Mnemiopsis_leidyi_ML06021a ML06021a	Clytia_hemispherica_TCONS_00050019-protein TCONS_00050019-protein
OG0000015	Mnemiopsis_leidyi_ML25991a ML25991a	Clytia_hemispherica_TCONS_00070639-protein TCONS_00070639-protein, Clytia_hemispherica_TCONS_00003290-protein TCONS_00003290-protein
OG0000015	Mnemiopsis_leidyi_ML17012a ML17012a	Clytia_hemispherica_TCONS_00071047-protein TCONS_00071047-protein
OG0000016	Mnemiopsis_leidyi_ML282519a ML282519a	Clytia_hemispherica_TCONS_00016718-protein TCONS_00016718-protein
OG0000016	Mnemiopsis_leidyi_ML22971a ML22971a	Clytia_hemispherica_TCONS_00029218-protein TCONS_00029218-protein
OG0000019	Mnemiopsis_leidyi_ML368911a ML368911a, Mnemiopsis_leidyi_ML368915a ML368915a, Mnemiopsis_leidyi_ML102235a ML102235a	Clytia_hemispherica_TCONS_00061469-protein TCONS_00061469-protein
OG0000019	Mnemiopsis_leidyi_ML200252a ML200252a, Mnemiopsis_leidyi_ML200253a ML200253a	Clytia_hemispherica_TCONS_00033833-protein TCONS_00033833-protein
OG0000019	Mnemiopsis_leidyi_ML218835a ML218835a	Clytia_hemispherica_TCONS_00002859-protein TCONS_00002859-protein, Clytia_hemispherica_TCONS_00010860-protein TCONS_00010860-protein, Clytia_hemispherica_TCONS_00032606-protein TCONS_00032606-protein, Clytia_hemispherica_TCONS_00000118-protein TCONS_00000118-protein
OG0000021	Mnemiopsis_leidyi_ML082718a ML082718a	Clytia_hemispherica_TCONS_00037916-protein TCONS_00037916-protein
OG0000022	Mnemiopsis_leidyi_ML01536a ML01536a, Mnemiopsis_leidyi_ML00134a ML00134a, Mnemiopsis_leidyi_ML139112a ML139112a	Clytia_hemispherica_TCONS_00007569-protein TCONS_00007569-protein
OG0000022	Mnemiopsis_leidyi_ML148937a ML148937a, Mnemiopsis_leidyi_ML08207a ML08207a, Mnemiopsis_leidyi_ML03242a ML03242a	Clytia_hemispherica_TCONS_00055551-protein TCONS_00055551-protein, Clytia_hemispherica_TCONS_00058750-protein TCONS_00058750-protein, Clytia_hemispherica_TCONS_00052106-protein TCONS_00052106-protein
OG0000023	Mnemiopsis_leidyi_ML069122a ML069122a, Mnemiopsis_leidyi_ML05372a ML05372a	Clytia_hemispherica_TCONS_00062427-protein TCONS_00062427-protein, Clytia_hemispherica_TCONS_00051806-protein TCONS_00051806-protein, Clytia_hemispherica_TCONS_00052344-protein TCONS_00052344-protein, Clytia_hemispherica_TCONS_00019578-protein TCONS_00019578-protein
OG0000024	Mnemiopsis_leidyi_ML327428a ML327428a, Mnemiopsis_leidyi_ML37461a ML37461a	Clytia_hemispherica_TCONS_00000826-protein TCONS_00000826-protein, Clytia_hemispherica_TCONS_00051917-protein TCONS_00051917-protein, Clytia_hemispherica_TCONS_00016849-protein TCONS_00016849-protein
OG0000030	Mnemiopsis_leidyi_ML029519a ML029519a, Mnemiopsis_leidyi_ML306123a ML306123a, Mnemiopsis_leidyi_ML010117a ML010117a, Mnemiopsis_leidyi_ML17408a ML17408a, Mnemiopsis_leidyi_ML17409a ML17409a	Clytia_hemispherica_TCONS_00007497-protein TCONS_00007497-protein, Clytia_hemispherica_TCONS_00007500-protein TCONS_00007500-protein
OG0000030	Mnemiopsis_leidyi_ML03054a ML03054a	Clytia_hemispherica_TCONS_00004356-protein TCONS_00004356-protein, Clytia_hemispherica_TCONS_00028602-protein TCONS_00028602-protein
OG0000034	Mnemiopsis_leidyi_ML258254a ML258254a	Clytia_hemispherica_TCONS_00051590-protein TCONS_00051590-protein
OG0000034	Mnemiopsis_leidyi_ML04261a ML04261a	Clytia_hemispherica_TCONS_00048912-protein TCONS_00048912-protein, Clytia_hemispherica_TCONS_00057683-protein TCONS_00057683-protein
OG0000036	Mnemiopsis_leidyi_ML11227a ML11227a	Clytia_hemispherica_TCONS_00021392-protein TCONS_00021392-protein, Clytia_hemispherica_TCONS_00053283-protein TCONS_00053283-protein, Clytia_hemispherica_TCONS_00054322-protein TCONS_00054322-protein, Clytia_hemispherica_TCONS_00055213-protein TCONS_00055213-protein, Clytia_hemispherica_TCONS_00068268-protein TCONS_00068268-protein, Clytia_hemispherica_TCONS_00033652-protein TCONS_00033652-protein, Clytia_hemispherica_TCONS_00055215-protein TCONS_00055215-protein, Clytia_hemispherica_TCONS_00068309-protein TCONS_00068309-protein, Clytia_hemispherica_TCONS_00048494-protein TCONS_00048494-protein, Clytia_hemispherica_TCONS_00019271-protein TCONS_00019271-protein, Clytia_hemispherica_TCONS_00001698-protein TCONS_00001698-protein, Clytia_hemispherica_TCONS_00057743-protein TCONS_00057743-protein, Clytia_hemispherica_TCONS_00048163-protein TCONS_00048163-protein
OG0000041	Mnemiopsis_leidyi_ML08024a ML08024a	Clytia_hemispherica_TCONS_00059541-protein TCONS_00059541-protein
OG0000042	Mnemiopsis_leidyi_ML044119a ML044119a	Clytia_hemispherica_TCONS_00005412-protein TCONS_00005412-protein, Clytia_hemispherica_TCONS_00059228-protein TCONS_00059228-protein, Clytia_hemispherica_TCONS_00007470-protein TCONS_00007470-protein, Clytia_hemispherica_TCONS_00066637-protein TCONS_00066637-protein, Clytia_hemispherica_TCONS_00072911-protein TCONS_00072911-protein
OG0000044	Mnemiopsis_leidyi_ML03126a ML03126a, Mnemiopsis_leidyi_ML25826a ML25826a	Clytia_hemispherica_TCONS_00053572-protein TCONS_00053572-protein, Clytia_hemispherica_TCONS_00062853-protein TCONS_00062853-protein, Clytia_hemispherica_TCONS_00033083-protein TCONS_00033083-protein
OG0000045	Mnemiopsis_leidyi_ML097515a ML097515a	Clytia_hemispherica_TCONS_00002813-protein TCONS_00002813-protein, Clytia_hemispherica_TCONS_00064870-protein TCONS_00064870-protein, Clytia_hemispherica_TCONS_00064833-protein TCONS_00064833-protein
OG0000048	Mnemiopsis_leidyi_ML015611a ML015611a	Clytia_hemispherica_TCONS_00004490-protein TCONS_00004490-protein, Clytia_hemispherica_TCONS_00070298-protein TCONS_00070298-protein, Clytia_hemispherica_TCONS_00034864-protein TCONS_00034864-protein
OG0000049	Mnemiopsis_leidyi_ML015721a ML015721a, Mnemiopsis_leidyi_ML083035a ML083035a	Clytia_hemispherica_TCONS_00064915-protein TCONS_00064915-protein
OG0000051	Mnemiopsis_leidyi_ML128420a ML128420a, Mnemiopsis_leidyi_ML128419a ML128419a, Mnemiopsis_leidyi_ML011744a ML011744a, Mnemiopsis_leidyi_ML279516a ML279516a, Mnemiopsis_leidyi_ML15153a ML15153a, Mnemiopsis_leidyi_ML170514a ML170514a, Mnemiopsis_leidyi_ML358829a ML358829a, Mnemiopsis_leidyi_ML023017a ML023017a	Clytia_hemispherica_TCONS_00024466-protein TCONS_00024466-protein, Clytia_hemispherica_TCONS_00037794-protein TCONS_00037794-protein, Clytia_hemispherica_TCONS_00046933-protein TCONS_00046933-protein, Clytia_hemispherica_TCONS_00065253-protein TCONS_00065253-protein
OG0000053	Mnemiopsis_leidyi_ML11053a ML11053a	Clytia_hemispherica_TCONS_00069010-protein TCONS_00069010-protein
OG0000054	Mnemiopsis_leidyi_ML095316a ML095316a	Clytia_hemispherica_TCONS_00029751-protein TCONS_00029751-protein, Clytia_hemispherica_TCONS_00036167-protein TCONS_00036167-protein
OG0000061	Mnemiopsis_leidyi_ML07526a ML07526a, Mnemiopsis_leidyi_ML07523a ML07523a	Clytia_hemispherica_TCONS_00050243-protein TCONS_00050243-protein
OG0000061	Mnemiopsis_leidyi_ML072819a ML072819a	Clytia_hemispherica_TCONS_00002099-protein TCONS_00002099-protein, Clytia_hemispherica_TCONS_00005277-protein TCONS_00005277-protein, Clytia_hemispherica_TCONS_00040450-protein TCONS_00040450-protein, Clytia_hemispherica_TCONS_00005276-protein TCONS_00005276-protein
OG0000062	Mnemiopsis_leidyi_ML085714a ML085714a	Clytia_hemispherica_TCONS_00052771-protein TCONS_00052771-protein, Clytia_hemispherica_TCONS_00023638-protein TCONS_00023638-protein
OG0000063	Mnemiopsis_leidyi_ML073718a ML073718a	Clytia_hemispherica_TCONS_00002634-protein TCONS_00002634-protein, Clytia_hemispherica_TCONS_00002631-protein TCONS_00002631-protein
OG0000081	Mnemiopsis_leidyi_ML056914a ML056914a	Clytia_hemispherica_TCONS_00053462-protein TCONS_00053462-protein
OG0000087	Mnemiopsis_leidyi_ML06334a ML06334a	Clytia_hemispherica_TCONS_00024126-protein TCONS_00024126-protein
OG0000094	Mnemiopsis_leidyi_ML09081a ML09081a	Clytia_hemispherica_TCONS_00019291-protein TCONS_00019291-protein
OG0000103	Mnemiopsis_leidyi_ML14703a ML14703a	Clytia_hemispherica_TCONS_00012064-protein TCONS_00012064-protein
OG0000106	Mnemiopsis_leidyi_ML10439a ML10439a, Mnemiopsis_leidyi_ML104310a ML104310a	Clytia_hemispherica_TCONS_00050547-protein TCONS_00050547-protein, Clytia_hemispherica_TCONS_00050544-protein TCONS_00050544-protein, Clytia_hemispherica_TCONS_00034674-protein TCONS_00034674-protein, Clytia_hemispherica_TCONS_00024961-protein TCONS_00024961-protein, Clytia_hemispherica_TCONS_00037516-protein TCONS_00037516-protein, Clytia_hemispherica_TCONS_00015172-protein TCONS_00015172-protein
OG0000113	Mnemiopsis_leidyi_ML086612a ML086612a	Clytia_hemispherica_TCONS_00049955-protein TCONS_00049955-protein
OG0000119	Mnemiopsis_leidyi_ML18521a ML18521a, Mnemiopsis_leidyi_ML11002a ML11002a	Clytia_hemispherica_TCONS_00020107-protein TCONS_00020107-protein
OG0000133	Mnemiopsis_leidyi_ML018015a ML018015a	Clytia_hemispherica_TCONS_00000171-protein TCONS_00000171-protein
OG0000134	Mnemiopsis_leidyi_ML126214a ML126214a	Clytia_hemispherica_TCONS_00070544-protein TCONS_00070544-protein, Clytia_hemispherica_TCONS_00009201-protein TCONS_00009201-protein
OG0000152	Mnemiopsis_leidyi_ML12828a ML12828a, Mnemiopsis_leidyi_ML12827a ML12827a	Clytia_hemispherica_TCONS_00060223-protein TCONS_00060223-protein
OG0000156	Mnemiopsis_leidyi_ML000712a ML000712a	Clytia_hemispherica_TCONS_00025665-protein TCONS_00025665-protein
OG0000171	Mnemiopsis_leidyi_ML104332a ML104332a	Clytia_hemispherica_TCONS_00013906-protein TCONS_00013906-protein
OG0000176	Mnemiopsis_leidyi_ML50511a ML50511a	Clytia_hemispherica_TCONS_00050730-protein TCONS_00050730-protein
OG0000177	Mnemiopsis_leidyi_ML020010a ML020010a, Mnemiopsis_leidyi_ML07729a ML07729a	Clytia_hemispherica_TCONS_00003500-protein TCONS_00003500-protein
OG0000182	Mnemiopsis_leidyi_ML07572a ML07572a	Clytia_hemispherica_TCONS_00046759-protein TCONS_00046759-protein
OG0000193	Mnemiopsis_leidyi_ML03269a ML03269a	Clytia_hemispherica_TCONS_00053692-protein TCONS_00053692-protein
OG0000194	Mnemiopsis_leidyi_ML16565a ML16565a	Clytia_hemispherica_TCONS_00071632-protein TCONS_00071632-protein, Clytia_hemispherica_TCONS_00030436-protein TCONS_00030436-protein
OG0000195	Mnemiopsis_leidyi_ML173714a ML173714a	Clytia_hemispherica_TCONS_00066994-protein TCONS_00066994-protein
OG0000199	Mnemiopsis_leidyi_ML46359a ML46359a	Clytia_hemispherica_TCONS_00047808-protein TCONS_00047808-protein
OG0000204	Mnemiopsis_leidyi_ML14272a ML14272a	Clytia_hemispherica_TCONS_00063679-protein TCONS_00063679-protein
OG0000213	Mnemiopsis_leidyi_ML128617a ML128617a	Clytia_hemispherica_TCONS_00007329-protein TCONS_00007329-protein
