HOG	OG	Gene Tree Parent Clade	Choanozoa_Choanoflagellatea_Monosiga_brevicollis	Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	Chordata_Amphioxiformes_Branchiostoma_belcheri	Chordata_Amphioxiformes_Branchiostoma_floridae	Chordata_Amphioxiformes_Branchiostoma_lanceolatum	Chordata_Vertebrata_Bos_taurus	Chordata_Vertebrata_Coturnix_japonica	Chordata_Vertebrata_Danio_rerio	Chordata_Vertebrata_Homo_sapiens	Chordata_Vertebrata_Mus_musculus	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Anthozoa_Nematostella_vectensis	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Myxozoa_Thelohanellus_kitauei	Cnidaria_Scyphozoa_Aurelia_aurita	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Ctenophora_Nuda_Beroe_ovata	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Ctenophora_Tentaculata_Pleurobrachia_bachei	Insecta_Diptera_Drosophila_melanogaster	Nematoda_Chromadorea_Caenorhabditis_elegans	Placozoa_Trichoplacidae_Trichoplax_spec-H2	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Platyhelminthes_Tricladida_Schmidtea_mediterranea	Porifera_Demospongiae_Amphimedon_queenslandica	Porifera_Demospongiae_Ephydatia_muelleri
N4.HOG0000000	OG0000000	n23																						Calvadosia_cruxmelitensis_Ccrux.Trinity.5902 Ccrux.Trinity.5902, Calvadosia_cruxmelitensis_Ccrux.Trinity.5900 Ccrux.Trinity.5900										
N4.HOG0000001	OG0000000	n45																						Calvadosia_cruxmelitensis_Ccrux.Trinity.22425 Ccrux.Trinity.22425, Calvadosia_cruxmelitensis_Ccrux.Trinity.22427 Ccrux.Trinity.22427, Calvadosia_cruxmelitensis_Ccrux.Trinity.22430 Ccrux.Trinity.22430, Calvadosia_cruxmelitensis_Ccrux.Trinity.4328 Ccrux.Trinity.4328										
N4.HOG0000002	OG0000000	n53																						Calvadosia_cruxmelitensis_Ccrux.Trinity.67978 Ccrux.Trinity.67978										
N4.HOG0000003	OG0000000	n54																						Calvadosia_cruxmelitensis_Ccrux.Trinity.6801 Ccrux.Trinity.6801, Calvadosia_cruxmelitensis_Ccrux.Trinity.6795 Ccrux.Trinity.6795, Calvadosia_cruxmelitensis_Ccrux.Trinity.6803 Ccrux.Trinity.6803, Calvadosia_cruxmelitensis_Ccrux.Trinity.6805 Ccrux.Trinity.6805										
N4.HOG0000004	OG0000000	n59																		Clytia_hemispherica_TCONS_00025161-protein TCONS_00025161-protein			Aurelia_aurita_Seg2137.5 Seg2137.5 transcript_id=Seg2137.5_GoldUCD_mRNA.D3Y31 product=Fibroleukin protein_id=Seg2137.5_GoldUCD_D3Y31, Aurelia_aurita_Seg5398.1 Seg5398.1 transcript_id=Seg5398.1_GoldUCD_mRNA.D3Y31 product=Tenascin-X protein_id=Seg5398.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1317.9 Seg1317.9 transcript_id=Seg1317.9_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1317.9_GoldUCD_D3Y31, Aurelia_aurita_Seg967.2 Seg967.2 transcript_id=Seg967.2_GoldUCD_mRNA.D3Y31 product="Fibrinogen-like protein A" protein_id=Seg967.2_GoldUCD_D3Y31, Aurelia_aurita_Seg1772.6 Seg1772.6 transcript_id=Seg1772.6_GoldUCD_mRNA.D3Y31 product=Fibroleukin protein_id=Seg1772.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3795.4 Seg3795.4 transcript_id=Seg3795.4_GoldUCD_mRNA.D3Y31 product=Fibroleukin protein_id=Seg3795.4_GoldUCD_D3Y31 partial=true											
N4.HOG0000005	OG0000000	n73																					Aurelia_aurita_Seg1515.1 Seg1515.1 transcript_id=Seg1515.1_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg1515.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1515.2 Seg1515.2 transcript_id=Seg1515.2_GoldUCD_mRNA.D3Y31 product=Ryncolin-4 protein_id=Seg1515.2_GoldUCD_D3Y31, Aurelia_aurita_Seg144.2 Seg144.2 transcript_id=Seg144.2_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg144.2_GoldUCD_D3Y31, Aurelia_aurita_Seg451.5 Seg451.5 transcript_id=Seg451.5_GoldUCD_mRNA.D3Y31 product=Ryncolin-3 protein_id=Seg451.5_GoldUCD_D3Y31, Aurelia_aurita_Seg2318.1 Seg2318.1 transcript_id=Seg2318.1_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg2318.1_GoldUCD_D3Y31, Aurelia_aurita_Seg2243.3 Seg2243.3 transcript_id=Seg2243.3_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg2243.3_GoldUCD_D3Y31, Aurelia_aurita_Seg4227.2 Seg4227.2 transcript_id=Seg4227.2_GoldUCD_mRNA.D3Y31 product=Ficolin-3 protein_id=Seg4227.2_GoldUCD_D3Y31, Aurelia_aurita_Seg983.3 Seg983.3 transcript_id=Seg983.3_GoldUCD_mRNA.D3Y31 product=Fibroleukin protein_id=Seg983.3_GoldUCD_D3Y31, Aurelia_aurita_Seg1964.7 Seg1964.7 transcript_id=Seg1964.7_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1964.7_GoldUCD_D3Y31, Aurelia_aurita_Seg349.4 Seg349.4 transcript_id=Seg349.4_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg349.4_GoldUCD_D3Y31											
N4.HOG0000006	OG0000000	n136																		Clytia_hemispherica_TCONS_00004655-protein TCONS_00004655-protein, Clytia_hemispherica_TCONS_00001342-protein TCONS_00001342-protein, Clytia_hemispherica_TCONS_00030218-protein TCONS_00030218-protein, Clytia_hemispherica_TCONS_00004723-protein TCONS_00004723-protein, Clytia_hemispherica_TCONS_00004950-protein TCONS_00004950-protein, Clytia_hemispherica_TCONS_00016324-protein TCONS_00016324-protein, Clytia_hemispherica_TCONS_00009157-protein TCONS_00009157-protein, Clytia_hemispherica_TCONS_00019769-protein TCONS_00019769-protein, Clytia_hemispherica_TCONS_00007420-protein TCONS_00007420-protein, Clytia_hemispherica_TCONS_00030875-protein TCONS_00030875-protein, Clytia_hemispherica_TCONS_00071542-protein TCONS_00071542-protein, Clytia_hemispherica_TCONS_00018659-protein TCONS_00018659-protein, Clytia_hemispherica_TCONS_00012678-protein TCONS_00012678-protein, Clytia_hemispherica_TCONS_00032436-protein TCONS_00032436-protein, Clytia_hemispherica_TCONS_00002325-protein TCONS_00002325-protein														
N4.HOG0000007	OG0000000	n151																		Clytia_hemispherica_TCONS_00002198-protein TCONS_00002198-protein	Hydra_vulgaris_Sc4wPfr_570.g25944.t1 Sc4wPfr_570.g25944.t1													
N4.HOG0000008	OG0000000	n160																		Clytia_hemispherica_TCONS_00023485-protein TCONS_00023485-protein														
N4.HOG0000009	OG0000000	n272																						Calvadosia_cruxmelitensis_Ccrux.Trinity.70576 Ccrux.Trinity.70576, Calvadosia_cruxmelitensis_Ccrux.Trinity.48270 Ccrux.Trinity.48270, Calvadosia_cruxmelitensis_Ccrux.Trinity.72284 Ccrux.Trinity.72284										
N4.HOG0000010	OG0000000	n280																						Calvadosia_cruxmelitensis_Ccrux.Trinity.8829 Ccrux.Trinity.8829										
N4.HOG0000011	OG0000000	n283																						Calvadosia_cruxmelitensis_Ccrux.Trinity.62736 Ccrux.Trinity.62736, Calvadosia_cruxmelitensis_Ccrux.Trinity.65381 Ccrux.Trinity.65381, Calvadosia_cruxmelitensis_Ccrux.Trinity.68930 Ccrux.Trinity.68930, Calvadosia_cruxmelitensis_Ccrux.Trinity.68932 Ccrux.Trinity.68932										
N4.HOG0000012	OG0000000	n293																		Clytia_hemispherica_TCONS_00022085-protein TCONS_00022085-protein			Aurelia_aurita_Seg5415.2 Seg5415.2 transcript_id=Seg5415.2_GoldUCD_mRNA.D3Y31 product="Angiopoietin-related protein 2" protein_id=Seg5415.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1193.1 Seg1193.1 transcript_id=Seg1193.1_GoldUCD_mRNA.D3Y31 product=Tenascin protein_id=Seg1193.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2014.4 Seg2014.4 transcript_id=Seg2014.4_GoldUCD_mRNA.D3Y31 product=Techylectin-5B protein_id=Seg2014.4_GoldUCD_D3Y31 partial=true											
N4.HOG0000013	OG0000000	n298																		Clytia_hemispherica_TCONS_00037021-protein TCONS_00037021-protein, Clytia_hemispherica_TCONS_00032471-protein TCONS_00032471-protein				Calvadosia_cruxmelitensis_Ccrux.Trinity.58056 Ccrux.Trinity.58056, Calvadosia_cruxmelitensis_Ccrux.Trinity.27812 Ccrux.Trinity.27812, Calvadosia_cruxmelitensis_Ccrux.Trinity.2270 Ccrux.Trinity.2270, Calvadosia_cruxmelitensis_Ccrux.Trinity.2268 Ccrux.Trinity.2268, Calvadosia_cruxmelitensis_Ccrux.Trinity.56716 Ccrux.Trinity.56716, Calvadosia_cruxmelitensis_Ccrux.Trinity.2269 Ccrux.Trinity.2269										
N4.HOG0000014	OG0000000	n359																					Aurelia_aurita_Seg5208.1 Seg5208.1 transcript_id=Seg5208.1_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg5208.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1894.9 Seg1894.9 transcript_id=Seg1894.9_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg1894.9_GoldUCD_D3Y31, Aurelia_aurita_Seg3725.2 Seg3725.2 transcript_id=Seg3725.2_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg3725.2_GoldUCD_D3Y31, Aurelia_aurita_Seg468.7 Seg468.7 transcript_id=Seg468.7_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg468.7_GoldUCD_D3Y31											
N4.HOG0000015	OG0000000	n368																					Aurelia_aurita_Seg1762.8 Seg1762.8 transcript_id=Seg1762.8_GoldUCD_mRNA.D3Y31 product=Techylectin-5B protein_id=Seg1762.8_GoldUCD_D3Y31, Aurelia_aurita_Seg3388.1 Seg3388.1 transcript_id=Seg3388.1_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg3388.1_GoldUCD_D3Y31, Aurelia_aurita_Seg3031.2 Seg3031.2 transcript_id=Seg3031.2_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg3031.2_GoldUCD_D3Y31, Aurelia_aurita_Seg3086.3 Seg3086.3 transcript_id=Seg3086.3_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg3086.3_GoldUCD_D3Y31, Aurelia_aurita_Seg6310.1 Seg6310.1 transcript_id=Seg6310.1_GoldUCD_mRNA.D3Y31 product=Ryncolin-2 protein_id=Seg6310.1_GoldUCD_D3Y31, Aurelia_aurita_Seg3715.1 Seg3715.1 transcript_id=Seg3715.1_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg3715.1_GoldUCD_D3Y31, Aurelia_aurita_Seg87.1 Seg87.1 transcript_id=Seg87.1_GoldUCD_mRNA.D3Y31 product=Ficolin-1-A protein_id=Seg87.1_GoldUCD_D3Y31, Aurelia_aurita_Seg2208.3 Seg2208.3 transcript_id=Seg2208.3_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg2208.3_GoldUCD_D3Y31, Aurelia_aurita_Seg2828.3 Seg2828.3 transcript_id=Seg2828.3_GoldUCD_mRNA.D3Y31 product=Techylectin-5A protein_id=Seg2828.3_GoldUCD_D3Y31, Aurelia_aurita_Seg2828.2 Seg2828.2 transcript_id=Seg2828.2_GoldUCD_mRNA.D3Y31 product=Ryncolin-4 protein_id=Seg2828.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2404.2 Seg2404.2 transcript_id=Seg2404.2_GoldUCD_mRNA.D3Y31 product=Techylectin-5A protein_id=Seg2404.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2404.1 Seg2404.1 transcript_id=Seg2404.1_GoldUCD_mRNA.D3Y31 product=Techylectin-5A protein_id=Seg2404.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1014.3 Seg1014.3 transcript_id=Seg1014.3_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1014.3_GoldUCD_D3Y31, Aurelia_aurita_Seg1014.2 Seg1014.2 transcript_id=Seg1014.2_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1014.2_GoldUCD_D3Y31											
N4.HOG0000016	OG0000000	n442																						Calvadosia_cruxmelitensis_Ccrux.Trinity.27805 Ccrux.Trinity.27805, Calvadosia_cruxmelitensis_Ccrux.Trinity.27804 Ccrux.Trinity.27804, Calvadosia_cruxmelitensis_Ccrux.Trinity.27806 Ccrux.Trinity.27806, Calvadosia_cruxmelitensis_Ccrux.Trinity.27807 Ccrux.Trinity.27807, Calvadosia_cruxmelitensis_Ccrux.Trinity.27808 Ccrux.Trinity.27808, Calvadosia_cruxmelitensis_Ccrux.Trinity.27803 Ccrux.Trinity.27803, Calvadosia_cruxmelitensis_Ccrux.Trinity.18974 Ccrux.Trinity.18974, Calvadosia_cruxmelitensis_Ccrux.Trinity.18973 Ccrux.Trinity.18973, Calvadosia_cruxmelitensis_Ccrux.Trinity.18975 Ccrux.Trinity.18975										
N4.HOG0000017	OG0000000	n548																		Clytia_hemispherica_TCONS_00056369-protein TCONS_00056369-protein, Clytia_hemispherica_TCONS_00036375-protein TCONS_00036375-protein, Clytia_hemispherica_TCONS_00057358-protein TCONS_00057358-protein, Clytia_hemispherica_TCONS_00020582-protein TCONS_00020582-protein, Clytia_hemispherica_TCONS_00019248-protein TCONS_00019248-protein, Clytia_hemispherica_TCONS_00050286-protein TCONS_00050286-protein, Clytia_hemispherica_TCONS_00022360-protein TCONS_00022360-protein			Aurelia_aurita_Seg880.6 Seg880.6 transcript_id=Seg880.6_GoldUCD_mRNA.D3Y31 product=Ficolin-1-B protein_id=Seg880.6_GoldUCD_D3Y31, Aurelia_aurita_Seg985.4 Seg985.4 transcript_id=Seg985.4_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg985.4_GoldUCD_D3Y31											
