Orthogroup	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Anthozoa_Stylophora_pistillata
OG0000000	Acropora_digitifera_adi_v1.08380 adi_v1.08380	Stylophora_pistillata_Spis15804 Spis15804 SpisGene15804
OG0000000	Acropora_digitifera_adi_v1.14483 adi_v1.14483, Acropora_digitifera_adi_v1.14482 adi_v1.14482	Stylophora_pistillata_Spis6288 Spis6288 SpisGene6288, Stylophora_pistillata_Spis3982 Spis3982 SpisGene3982, Stylophora_pistillata_Spis18763 Spis18763 SpisGene18763
OG0000000	Acropora_digitifera_adi_v1.14253 adi_v1.14253, Acropora_digitifera_adi_v1.08651 adi_v1.08651, Acropora_digitifera_adi_v1.00456 adi_v1.00456, Acropora_digitifera_adi_v1.08650 adi_v1.08650	Stylophora_pistillata_Spis6532 Spis6532 SpisGene6532, Stylophora_pistillata_Spis22079 Spis22079 SpisGene22079, Stylophora_pistillata_Spis10952 Spis10952 SpisGene10952, Stylophora_pistillata_Spis14746 Spis14746 SpisGene14746, Stylophora_pistillata_Spis8083 Spis8083 SpisGene8083, Stylophora_pistillata_Spis8082 Spis8082 SpisGene8082
OG0000000	Acropora_digitifera_adi_v1.14251 adi_v1.14251, Acropora_digitifera_adi_v1.00454 adi_v1.00454, Acropora_digitifera_adi_v1.00455 adi_v1.00455, Acropora_digitifera_adi_v1.21001 adi_v1.21001, Acropora_digitifera_adi_v1.08649 adi_v1.08649	Stylophora_pistillata_Spis22076 Spis22076 SpisGene22076
OG0000000	Acropora_digitifera_adi_v1.08974 adi_v1.08974, Acropora_digitifera_adi_v1.17747 adi_v1.17747, Acropora_digitifera_adi_v1.10971 adi_v1.10971, Acropora_digitifera_adi_v1.03089 adi_v1.03089, Acropora_digitifera_adi_v1.18895 adi_v1.18895	Stylophora_pistillata_Spis9885 Spis9885 SpisGene9885, Stylophora_pistillata_Spis22619 Spis22619 SpisGene22619, Stylophora_pistillata_Spis22620 Spis22620 SpisGene22620, Stylophora_pistillata_Spis24695 Spis24695 SpisGene24695, Stylophora_pistillata_Spis17676 Spis17676 SpisGene17676, Stylophora_pistillata_Spis13935 Spis13935 SpisGene13935, Stylophora_pistillata_Spis10579 Spis10579 SpisGene10579, Stylophora_pistillata_Spis22545 Spis22545 SpisGene22545, Stylophora_pistillata_Spis24864 Spis24864 SpisGene24864, Stylophora_pistillata_Spis19503 Spis19503 SpisGene19503, Stylophora_pistillata_Spis12490 Spis12490 SpisGene12490, Stylophora_pistillata_Spis12489 Spis12489 SpisGene12489, Stylophora_pistillata_Spis19236 Spis19236 SpisGene19236, Stylophora_pistillata_Spis19237 Spis19237 SpisGene19237, Stylophora_pistillata_Spis22546 Spis22546 SpisGene22546, Stylophora_pistillata_Spis24624 Spis24624 SpisGene24624, Stylophora_pistillata_Spis19239 Spis19239 SpisGene19239, Stylophora_pistillata_Spis13910 Spis13910 SpisGene13910
OG0000000	Acropora_digitifera_adi_v1.22096 adi_v1.22096	Stylophora_pistillata_Spis12307 Spis12307 SpisGene12307, Stylophora_pistillata_Spis23976 Spis23976 SpisGene23976, Stylophora_pistillata_Spis12306 Spis12306 SpisGene12306, Stylophora_pistillata_Spis23675 Spis23675 SpisGene23675, Stylophora_pistillata_Spis5600 Spis5600 SpisGene5600, Stylophora_pistillata_Spis12603 Spis12603 SpisGene12603
OG0000000	Acropora_digitifera_adi_v1.20123 adi_v1.20123, Acropora_digitifera_adi_v1.13695 adi_v1.13695, Acropora_digitifera_adi_v1.15148 adi_v1.15148, Acropora_digitifera_adi_v1.13912 adi_v1.13912, Acropora_digitifera_adi_v1.20223 adi_v1.20223	Stylophora_pistillata_Spis7226 Spis7226 SpisGene7226, Stylophora_pistillata_Spis22078 Spis22078 SpisGene22078, Stylophora_pistillata_Spis23974 Spis23974 SpisGene23974
OG0000000	Acropora_digitifera_adi_v1.00941 adi_v1.00941	Stylophora_pistillata_Spis4473 Spis4473 SpisGene4473
OG0000000	Acropora_digitifera_adi_v1.19827 adi_v1.19827	Stylophora_pistillata_Spis9824 Spis9824 SpisGene9824, Stylophora_pistillata_Spis9823 Spis9823 SpisGene9823
OG0000000	Acropora_digitifera_adi_v1.05260 adi_v1.05260, Acropora_digitifera_adi_v1.14266 adi_v1.14266, Acropora_digitifera_adi_v1.11270 adi_v1.11270, Acropora_digitifera_adi_v1.14265 adi_v1.14265	Stylophora_pistillata_Spis24690 Spis24690 SpisGene24690
OG0000001	Acropora_digitifera_adi_v1.19636 adi_v1.19636	Stylophora_pistillata_Spis17368 Spis17368 SpisGene17368
OG0000001	Acropora_digitifera_adi_v1.16442 adi_v1.16442, Acropora_digitifera_adi_v1.14600 adi_v1.14600	Stylophora_pistillata_Spis24167 Spis24167 SpisGene24167, Stylophora_pistillata_Spis23377 Spis23377 SpisGene23377, Stylophora_pistillata_Spis19003 Spis19003 SpisGene19003
OG0000001	Acropora_digitifera_adi_v1.11962 adi_v1.11962	Stylophora_pistillata_Spis14116 Spis14116 SpisGene14116
OG0000001	Acropora_digitifera_adi_v1.04637 adi_v1.04637	Stylophora_pistillata_Spis16034 Spis16034 SpisGene16034
OG0000001	Acropora_digitifera_adi_v1.08764 adi_v1.08764	Stylophora_pistillata_Spis3034 Spis3034 SpisGene3034
OG0000001	Acropora_digitifera_adi_v1.04277 adi_v1.04277	Stylophora_pistillata_Spis6005 Spis6005 SpisGene6005
OG0000001	Acropora_digitifera_adi_v1.00967 adi_v1.00967	Stylophora_pistillata_Spis15904 Spis15904 SpisGene15904
OG0000001	Acropora_digitifera_adi_v1.03506 adi_v1.03506	Stylophora_pistillata_Spis1143 Spis1143 SpisGene1143
