Orthogroup	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Ctenophora_Nuda_Beroe_ovata
OG0000001	Mnemiopsis_leidyi_ML035910a ML035910a	Beroe_ovata_Bova1_4.0354.g11.t1 Bova1_4.0354.g11.t1, Beroe_ovata_Bova1_4.0491.g2.t1 Bova1_4.0491.g2.t1
OG0000001	Mnemiopsis_leidyi_ML101022a ML101022a	Beroe_ovata_Bova1_4.0024.g21.t1 Bova1_4.0024.g21.t1, Beroe_ovata_Bova1_4.0024.g19.t1 Bova1_4.0024.g19.t1, Beroe_ovata_Bova1_4.0024.g19.t2 Bova1_4.0024.g19.t2
OG0000001	Mnemiopsis_leidyi_ML17591a ML17591a	Beroe_ovata_Bova1_4.0204.g2.t1 Bova1_4.0204.g2.t1
OG0000001	Mnemiopsis_leidyi_ML21866a ML21866a	Beroe_ovata_Bova1_4.0158.g6.t2 Bova1_4.0158.g6.t2, Beroe_ovata_Bova1_4.0158.g6.t1 Bova1_4.0158.g6.t1, Beroe_ovata_Bova1_4.0158.g6.t3 Bova1_4.0158.g6.t3
OG0000001	Mnemiopsis_leidyi_ML22257a ML22257a	Beroe_ovata_Bova1_4.0314.g2.t1 Bova1_4.0314.g2.t1
OG0000001	Mnemiopsis_leidyi_ML141745a ML141745a	Beroe_ovata_Bova1_4.0078.g20.t1 Bova1_4.0078.g20.t1
OG0000001	Mnemiopsis_leidyi_ML20591a ML20591a, Mnemiopsis_leidyi_ML05951a ML05951a	Beroe_ovata_Bova1_4.0005.g58.t1 Bova1_4.0005.g58.t1
OG0000002	Mnemiopsis_leidyi_ML174724a ML174724a	Beroe_ovata_Bova1_4.0169.g17.t1 Bova1_4.0169.g17.t1
OG0000002	Mnemiopsis_leidyi_ML025011a ML025011a	Beroe_ovata_Bova1_4.0122.g2.t1 Bova1_4.0122.g2.t1
OG0000002	Mnemiopsis_leidyi_ML15458a ML15458a	Beroe_ovata_Bova1_4.0167.g18.t1 Bova1_4.0167.g18.t1
OG0000002	Mnemiopsis_leidyi_ML21527a ML21527a	Beroe_ovata_Bova1_4.0036.g56.t1 Bova1_4.0036.g56.t1
