Orthogroup	Cnidaria_Scyphozoa_Aurelia_aurita	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000000	Aurelia_aurita_Seg2137.5 Seg2137.5 transcript_id=Seg2137.5_GoldUCD_mRNA.D3Y31 product=Fibroleukin protein_id=Seg2137.5_GoldUCD_D3Y31, Aurelia_aurita_Seg5398.1 Seg5398.1 transcript_id=Seg5398.1_GoldUCD_mRNA.D3Y31 product=Tenascin-X protein_id=Seg5398.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1317.9 Seg1317.9 transcript_id=Seg1317.9_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1317.9_GoldUCD_D3Y31, Aurelia_aurita_Seg967.2 Seg967.2 transcript_id=Seg967.2_GoldUCD_mRNA.D3Y31 product="Fibrinogen-like protein A" protein_id=Seg967.2_GoldUCD_D3Y31, Aurelia_aurita_Seg1772.6 Seg1772.6 transcript_id=Seg1772.6_GoldUCD_mRNA.D3Y31 product=Fibroleukin protein_id=Seg1772.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3795.4 Seg3795.4 transcript_id=Seg3795.4_GoldUCD_mRNA.D3Y31 product=Fibroleukin protein_id=Seg3795.4_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00025161-protein TCONS_00025161-protein
OG0000000	Aurelia_aurita_Seg1515.1 Seg1515.1 transcript_id=Seg1515.1_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg1515.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1515.2 Seg1515.2 transcript_id=Seg1515.2_GoldUCD_mRNA.D3Y31 product=Ryncolin-4 protein_id=Seg1515.2_GoldUCD_D3Y31, Aurelia_aurita_Seg144.2 Seg144.2 transcript_id=Seg144.2_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg144.2_GoldUCD_D3Y31, Aurelia_aurita_Seg451.5 Seg451.5 transcript_id=Seg451.5_GoldUCD_mRNA.D3Y31 product=Ryncolin-3 protein_id=Seg451.5_GoldUCD_D3Y31, Aurelia_aurita_Seg2318.1 Seg2318.1 transcript_id=Seg2318.1_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg2318.1_GoldUCD_D3Y31, Aurelia_aurita_Seg2243.3 Seg2243.3 transcript_id=Seg2243.3_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg2243.3_GoldUCD_D3Y31, Aurelia_aurita_Seg4227.2 Seg4227.2 transcript_id=Seg4227.2_GoldUCD_mRNA.D3Y31 product=Ficolin-3 protein_id=Seg4227.2_GoldUCD_D3Y31, Aurelia_aurita_Seg983.3 Seg983.3 transcript_id=Seg983.3_GoldUCD_mRNA.D3Y31 product=Fibroleukin protein_id=Seg983.3_GoldUCD_D3Y31, Aurelia_aurita_Seg1964.7 Seg1964.7 transcript_id=Seg1964.7_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1964.7_GoldUCD_D3Y31, Aurelia_aurita_Seg349.4 Seg349.4 transcript_id=Seg349.4_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg349.4_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00004655-protein TCONS_00004655-protein, Clytia_hemispherica_TCONS_00001342-protein TCONS_00001342-protein, Clytia_hemispherica_TCONS_00030218-protein TCONS_00030218-protein, Clytia_hemispherica_TCONS_00004723-protein TCONS_00004723-protein, Clytia_hemispherica_TCONS_00004950-protein TCONS_00004950-protein, Clytia_hemispherica_TCONS_00016324-protein TCONS_00016324-protein, Clytia_hemispherica_TCONS_00009157-protein TCONS_00009157-protein, Clytia_hemispherica_TCONS_00019769-protein TCONS_00019769-protein, Clytia_hemispherica_TCONS_00007420-protein TCONS_00007420-protein, Clytia_hemispherica_TCONS_00030875-protein TCONS_00030875-protein, Clytia_hemispherica_TCONS_00071542-protein TCONS_00071542-protein, Clytia_hemispherica_TCONS_00018659-protein TCONS_00018659-protein, Clytia_hemispherica_TCONS_00012678-protein TCONS_00012678-protein, Clytia_hemispherica_TCONS_00032436-protein TCONS_00032436-protein, Clytia_hemispherica_TCONS_00002325-protein TCONS_00002325-protein, Clytia_hemispherica_TCONS_00002198-protein TCONS_00002198-protein, Clytia_hemispherica_TCONS_00023485-protein TCONS_00023485-protein
OG0000000	Aurelia_aurita_Seg5415.2 Seg5415.2 transcript_id=Seg5415.2_GoldUCD_mRNA.D3Y31 product="Angiopoietin-related protein 2" protein_id=Seg5415.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1193.1 Seg1193.1 transcript_id=Seg1193.1_GoldUCD_mRNA.D3Y31 product=Tenascin protein_id=Seg1193.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2014.4 Seg2014.4 transcript_id=Seg2014.4_GoldUCD_mRNA.D3Y31 product=Techylectin-5B protein_id=Seg2014.4_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00022085-protein TCONS_00022085-protein
OG0000000	Aurelia_aurita_Seg880.6 Seg880.6 transcript_id=Seg880.6_GoldUCD_mRNA.D3Y31 product=Ficolin-1-B protein_id=Seg880.6_GoldUCD_D3Y31, Aurelia_aurita_Seg985.4 Seg985.4 transcript_id=Seg985.4_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg985.4_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00056369-protein TCONS_00056369-protein, Clytia_hemispherica_TCONS_00036375-protein TCONS_00036375-protein, Clytia_hemispherica_TCONS_00057358-protein TCONS_00057358-protein, Clytia_hemispherica_TCONS_00020582-protein TCONS_00020582-protein, Clytia_hemispherica_TCONS_00019248-protein TCONS_00019248-protein, Clytia_hemispherica_TCONS_00050286-protein TCONS_00050286-protein, Clytia_hemispherica_TCONS_00022360-protein TCONS_00022360-protein
OG0000000	Aurelia_aurita_Seg1444.3 Seg1444.3 transcript_id=Seg1444.3_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg1444.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2112.5 Seg2112.5 transcript_id=Seg2112.5_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg2112.5_GoldUCD_D3Y31, Aurelia_aurita_Seg1875.9 Seg1875.9 transcript_id=Seg1875.9_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg1875.9_GoldUCD_D3Y31, Aurelia_aurita_Seg1876.8 Seg1876.8 transcript_id=Seg1876.8_GoldUCD_mRNA.D3Y31 product=Ryncolin-2 protein_id=Seg1876.8_GoldUCD_D3Y31, Aurelia_aurita_Seg5312.1 Seg5312.1 transcript_id=Seg5312.1_GoldUCD_mRNA.D3Y31 product=Ryncolin-2 protein_id=Seg5312.1_GoldUCD_D3Y31, Aurelia_aurita_Seg5312.2 Seg5312.2 transcript_id=Seg5312.2_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg5312.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2050.1 Seg2050.1 transcript_id=Seg2050.1_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg2050.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1153.9 Seg1153.9 transcript_id=Seg1153.9_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg1153.9_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2095.4 Seg2095.4 transcript_id=Seg2095.4_GoldUCD_mRNA.D3Y31 product="Fibrinogen-like protein A" protein_id=Seg2095.4_GoldUCD_D3Y31, Aurelia_aurita_Seg1927.3 Seg1927.3 transcript_id=Seg1927.3_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1927.3_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00047229-protein TCONS_00047229-protein, Clytia_hemispherica_TCONS_00035351-protein TCONS_00035351-protein, Clytia_hemispherica_TCONS_00072749-protein TCONS_00072749-protein, Clytia_hemispherica_TCONS_00060419-protein TCONS_00060419-protein, Clytia_hemispherica_TCONS_00027220-protein TCONS_00027220-protein, Clytia_hemispherica_TCONS_00019639-protein TCONS_00019639-protein, Clytia_hemispherica_TCONS_00041903-protein TCONS_00041903-protein, Clytia_hemispherica_TCONS_00055631-protein TCONS_00055631-protein, Clytia_hemispherica_TCONS_00017249-protein TCONS_00017249-protein, Clytia_hemispherica_TCONS_00071837-protein TCONS_00071837-protein, Clytia_hemispherica_TCONS_00011360-protein TCONS_00011360-protein, Clytia_hemispherica_TCONS_00060455-protein TCONS_00060455-protein, Clytia_hemispherica_TCONS_00032431-protein TCONS_00032431-protein, Clytia_hemispherica_TCONS_00062122-protein TCONS_00062122-protein, Clytia_hemispherica_TCONS_00006663-protein TCONS_00006663-protein, Clytia_hemispherica_TCONS_00015470-protein TCONS_00015470-protein, Clytia_hemispherica_TCONS_00021098-protein TCONS_00021098-protein, Clytia_hemispherica_TCONS_00022251-protein TCONS_00022251-protein, Clytia_hemispherica_TCONS_00031046-protein TCONS_00031046-protein, Clytia_hemispherica_TCONS_00056773-protein TCONS_00056773-protein, Clytia_hemispherica_TCONS_00049966-protein TCONS_00049966-protein
OG0000001	Aurelia_aurita_Seg2403.1 Seg2403.1 transcript_id=Seg2403.1_GoldUCD_mRNA.D3Y31 product="Laminin subunit beta-1" protein_id=Seg2403.1_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00049799-protein TCONS_00049799-protein
OG0000001	Aurelia_aurita_Seg5740.4 Seg5740.4 transcript_id=Seg5740.4_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5740.4_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00069235-protein TCONS_00069235-protein
OG0000001	Aurelia_aurita_Seg447.8 Seg447.8 transcript_id=Seg447.8_GoldUCD_mRNA.D3Y31 product="Fibronectin type III domain-containing protein" protein_id=Seg447.8_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00002943-protein TCONS_00002943-protein, Clytia_hemispherica_TCONS_00011288-protein TCONS_00011288-protein, Clytia_hemispherica_TCONS_00068399-protein TCONS_00068399-protein
OG0000001	Aurelia_aurita_Seg918.1 Seg918.1 transcript_id=Seg918.1_GoldUCD_mRNA.D3Y31 product="Protein sidekick" protein_id=Seg918.1_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00065163-protein TCONS_00065163-protein
OG0000001	Aurelia_aurita_Seg436.1 Seg436.1 transcript_id=Seg436.1_GoldUCD_mRNA.D3Y31 product=Neogenin protein_id=Seg436.1_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00067647-protein TCONS_00067647-protein
