Orthogroup	Nematoda_Chromadorea_Caenorhabditis_elegans	Ctenophora_Tentaculata_Pleurobrachia_bachei
OG0000001	Caenorhabditis_elegans_F41C6.1 F41C6.1, Caenorhabditis_elegans_C54D1.5 C54D1.5	Pleurobrachia_bachei_sb_2656958_ sb_2656958_, Pleurobrachia_bachei_sb_2651191_ sb_2651191_
OG0000002	Caenorhabditis_elegans_Y8A9A.2 Y8A9A.2	Pleurobrachia_bachei_sb_2638781_ sb_2638781_
OG0000002	Caenorhabditis_elegans_D1037.2 D1037.2	Pleurobrachia_bachei_sb_2653796_ sb_2653796_
OG0000002	Caenorhabditis_elegans_C02B4.1b C02B4.1b	Pleurobrachia_bachei_sb_2650841_ sb_2650841_, Pleurobrachia_bachei_sb_2641280_ sb_2641280_, Pleurobrachia_bachei_sb_2645200_ sb_2645200_, Pleurobrachia_bachei_sb_2665050_ sb_2665050_
OG0000003	Caenorhabditis_elegans_T19E7.1 T19E7.1, Caenorhabditis_elegans_F40G9.10 F40G9.10, Caenorhabditis_elegans_T03F1.10 T03F1.10, Caenorhabditis_elegans_B0218.8 B0218.8, Caenorhabditis_elegans_B0218.6b B0218.6b, Caenorhabditis_elegans_C14A6.1 C14A6.1, Caenorhabditis_elegans_W04E12.6 W04E12.6, Caenorhabditis_elegans_W04E12.8 W04E12.8, Caenorhabditis_elegans_C09D1.2 C09D1.2, Caenorhabditis_elegans_F52E1.2 F52E1.2	Pleurobrachia_bachei_sb_2654447_ sb_2654447_, Pleurobrachia_bachei_sb_2646239_ sb_2646239_, Pleurobrachia_bachei_sb_2662112_ sb_2662112_
OG0000003	Caenorhabditis_elegans_K02F3.5 K02F3.5	Pleurobrachia_bachei_sb_2665626_ sb_2665626_
OG0000003	Caenorhabditis_elegans_C54D1.2 C54D1.2, Caenorhabditis_elegans_Y38H6C.8 Y38H6C.8, Caenorhabditis_elegans_R06B10.3 R06B10.3	Pleurobrachia_bachei_sb_2654029_ sb_2654029_, Pleurobrachia_bachei_sb_2661432_ sb_2661432_
OG0000003	Caenorhabditis_elegans_Y48E1B.9b Y48E1B.9b, Caenorhabditis_elegans_Y48E1B.16 Y48E1B.16	Pleurobrachia_bachei_sb_2659118_ sb_2659118_, Pleurobrachia_bachei_sb_2655921_ sb_2655921_
OG0000003	Caenorhabditis_elegans_C07A9.1 C07A9.1	Pleurobrachia_bachei_sb_2646600_ sb_2646600_
OG0000004	Caenorhabditis_elegans_C24B9.3 C24B9.3	Pleurobrachia_bachei_sb_2668666_ sb_2668666_, Pleurobrachia_bachei_sb_2641276_ sb_2641276_
