Orthogroup	Cnidaria_Scyphozoa_Aurelia_aurita	Chordata_Vertebrata_Bos_taurus
OG0000000	Aurelia_aurita_Seg2137.5 Seg2137.5 transcript_id=Seg2137.5_GoldUCD_mRNA.D3Y31 product=Fibroleukin protein_id=Seg2137.5_GoldUCD_D3Y31, Aurelia_aurita_Seg5398.1 Seg5398.1 transcript_id=Seg5398.1_GoldUCD_mRNA.D3Y31 product=Tenascin-X protein_id=Seg5398.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1317.9 Seg1317.9 transcript_id=Seg1317.9_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1317.9_GoldUCD_D3Y31, Aurelia_aurita_Seg967.2 Seg967.2 transcript_id=Seg967.2_GoldUCD_mRNA.D3Y31 product="Fibrinogen-like protein A" protein_id=Seg967.2_GoldUCD_D3Y31, Aurelia_aurita_Seg1772.6 Seg1772.6 transcript_id=Seg1772.6_GoldUCD_mRNA.D3Y31 product=Fibroleukin protein_id=Seg1772.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3795.4 Seg3795.4 transcript_id=Seg3795.4_GoldUCD_mRNA.D3Y31 product=Fibroleukin protein_id=Seg3795.4_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1515.1 Seg1515.1 transcript_id=Seg1515.1_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg1515.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1515.2 Seg1515.2 transcript_id=Seg1515.2_GoldUCD_mRNA.D3Y31 product=Ryncolin-4 protein_id=Seg1515.2_GoldUCD_D3Y31, Aurelia_aurita_Seg144.2 Seg144.2 transcript_id=Seg144.2_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg144.2_GoldUCD_D3Y31, Aurelia_aurita_Seg451.5 Seg451.5 transcript_id=Seg451.5_GoldUCD_mRNA.D3Y31 product=Ryncolin-3 protein_id=Seg451.5_GoldUCD_D3Y31, Aurelia_aurita_Seg2318.1 Seg2318.1 transcript_id=Seg2318.1_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg2318.1_GoldUCD_D3Y31, Aurelia_aurita_Seg2243.3 Seg2243.3 transcript_id=Seg2243.3_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg2243.3_GoldUCD_D3Y31, Aurelia_aurita_Seg4227.2 Seg4227.2 transcript_id=Seg4227.2_GoldUCD_mRNA.D3Y31 product=Ficolin-3 protein_id=Seg4227.2_GoldUCD_D3Y31, Aurelia_aurita_Seg983.3 Seg983.3 transcript_id=Seg983.3_GoldUCD_mRNA.D3Y31 product=Fibroleukin protein_id=Seg983.3_GoldUCD_D3Y31, Aurelia_aurita_Seg1964.7 Seg1964.7 transcript_id=Seg1964.7_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1964.7_GoldUCD_D3Y31, Aurelia_aurita_Seg349.4 Seg349.4 transcript_id=Seg349.4_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg349.4_GoldUCD_D3Y31, Aurelia_aurita_Seg5415.2 Seg5415.2 transcript_id=Seg5415.2_GoldUCD_mRNA.D3Y31 product="Angiopoietin-related protein 2" protein_id=Seg5415.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1193.1 Seg1193.1 transcript_id=Seg1193.1_GoldUCD_mRNA.D3Y31 product=Tenascin protein_id=Seg1193.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2014.4 Seg2014.4 transcript_id=Seg2014.4_GoldUCD_mRNA.D3Y31 product=Techylectin-5B protein_id=Seg2014.4_GoldUCD_D3Y31 partial=true	XP_005210603.1 tenascin isoform X1 [Bos taurus], XP_010811641.2 tenascin-N isoform X1 [Bos taurus]
OG0000000	Aurelia_aurita_Seg1898.4 Seg1898.4 transcript_id=Seg1898.4_GoldUCD_mRNA.D3Y31 product="Fibrinogen-like protein 1" protein_id=Seg1898.4_GoldUCD_D3Y31 partial=true	sp|Q24K15.1|ANGP4_BOVIN RecName_ Full=Angiopoietin-4; Short=ANG-4; Flags_ Precursor, sp|O77802.3|ANGP2_BOVIN RecName_ Full=Angiopoietin-2; Short=ANG-2; Flags_ Precursor, XP_059749109.1 angiopoietin-1 isoform X1 [Bos taurus]
OG0000000	Aurelia_aurita_Seg4670.2 Seg4670.2 transcript_id=Seg4670.2_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg4670.2_GoldUCD_D3Y31	NP_777128.1 tenascin-X precursor [Bos taurus]
OG0000001	Aurelia_aurita_Seg1567.8 Seg1567.8 transcript_id=Seg1567.8_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-3" protein_id=Seg1567.8_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2217.4 Seg2217.4 transcript_id=Seg2217.4_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-5" protein_id=Seg2217.4_GoldUCD_D3Y31, Aurelia_aurita_Seg1519.1 Seg1519.1 transcript_id=Seg1519.1_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-5" protein_id=Seg1519.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg5148.1 Seg5148.1 transcript_id=Seg5148.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5148.1_GoldUCD_D3Y31 partial=true	XP_059731805.1 laminin subunit gamma-2 isoform X1 [Bos taurus]
OG0000001	Aurelia_aurita_Seg1378.3 Seg1378.3 transcript_id=Seg1378.3_GoldUCD_mRNA.D3Y31 product="Laminin subunit beta-1" protein_id=Seg1378.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2403.1 Seg2403.1 transcript_id=Seg2403.1_GoldUCD_mRNA.D3Y31 product="Laminin subunit beta-1" protein_id=Seg2403.1_GoldUCD_D3Y31	NP_001039712.2 laminin subunit beta-2 precursor [Bos taurus], DAA30633.1 TPA_ laminin_ beta 1 [Bos taurus]
OG0000001	Aurelia_aurita_Seg823.5 Seg823.5 transcript_id=Seg823.5_GoldUCD_mRNA.D3Y31 product="Laminin subunit beta-2" protein_id=Seg823.5_GoldUCD_D3Y31, Aurelia_aurita_Seg359.1 Seg359.1 transcript_id=Seg359.1_GoldUCD_mRNA.D3Y31 product=Netrin-1 protein_id=Seg359.1_GoldUCD_D3Y31 partial=true	XP_059747260.1 netrin-G2 isoform X1 [Bos taurus], XP_059740913.1 netrin-G1 isoform X1 [Bos taurus]
OG0000001	Aurelia_aurita_Seg80.9 Seg80.9 transcript_id=Seg80.9_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg80.9_GoldUCD_D3Y31 partial=true	DAA24206.1 TPA_ laminin_ gamma 3-like [Bos taurus], NP_001193746.1 laminin subunit gamma-1 precursor [Bos taurus]
OG0000002	Aurelia_aurita_Seg4559.1 Seg4559.1 transcript_id=Seg4559.1_GoldUCD_mRNA.D3Y31 product=Semaphorin-5B protein_id=Seg4559.1_GoldUCD_D3Y31	XP_010815150.2 semaphorin-5A [Bos taurus], XP_002684855.2 semaphorin-5B isoform X1 [Bos taurus]
OG0000002	Aurelia_aurita_Seg3230.1 Seg3230.1 transcript_id=Seg3230.1_GoldUCD_mRNA.D3Y31 product=Semaphorin-5B protein_id=Seg3230.1_GoldUCD_D3Y31 partial=true	XP_059746380.1 semaphorin-6D isoform X1 [Bos taurus], XP_005209195.1 semaphorin-6A isoform X1 [Bos taurus], XP_024850768.2 semaphorin-6B isoform X2 [Bos taurus], XP_024845741.1 semaphorin-6C isoform X1 [Bos taurus]
OG0000003	Aurelia_aurita_Seg1040.6 Seg1040.6 transcript_id=Seg1040.6_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1040.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg929.1 Seg929.1 transcript_id=Seg929.1_GoldUCD_mRNA.D3Y31 product="C-type mannose receptor 2" protein_id=Seg929.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg4523.1 Seg4523.1 transcript_id=Seg4523.1_GoldUCD_mRNA.D3Y31 product="Macrophage mannose receptor 1" pseudo=true protein_id=Seg4523.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg432.9 Seg432.9 transcript_id=Seg432.9_GoldUCD_mRNA.D3Y31 product="CD209 antigen-like protein A" protein_id=Seg432.9_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1086.6 Seg1086.6 transcript_id=Seg1086.6_GoldUCD_mRNA.D3Y31 product="Hepatic lectin" protein_id=Seg1086.6_GoldUCD_D3Y31	sp|Q17QH6.1|COL11_BOVIN RecName_ Full=Collectin-11; AltName_ Full=Collectin kidney protein 1; Short=CL-K1; Flags_ Precursor, NP_001192642.1 collectin-10 precursor [Bos taurus], sp|Q8MHZ9.1|CL46_BOVIN RecName_ Full=Collectin-46; Short=CL-46; AltName_ Full=46 kDa collectin; Flags_ Precursor, NP_776532.1 mannose-binding protein C precursor [Bos taurus], XP_059738436.1 mannose-binding protein A isoform X1 [Bos taurus]
