Orthogroup	Chordata_Amphioxiformes_Branchiostoma_belcheri	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis
OG0000000	Branchiostoma_belcheri_tr_A0A6P4ZPQ9_A0A6P4ZPQ9_BRABE tr|A0A6P4ZPQ9|A0A6P4ZPQ9_BRABE Fibrinogen C domain-containing protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484358 PE=4 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.5902 Ccrux.Trinity.5902, Calvadosia_cruxmelitensis_Ccrux.Trinity.5900 Ccrux.Trinity.5900
OG0000000	Branchiostoma_belcheri_tr_A0A6P4XZY2_A0A6P4XZY2_BRABE tr|A0A6P4XZY2|A0A6P4XZY2_BRABE Techylectin-5A-like OS=Branchiostoma belcheri OX=7741 GN=LOC109465020 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YG03_A0A6P4YG03_BRABE tr|A0A6P4YG03|A0A6P4YG03_BRABE Angiopoietin-4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109465019 PE=4 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.22425 Ccrux.Trinity.22425, Calvadosia_cruxmelitensis_Ccrux.Trinity.22427 Ccrux.Trinity.22427, Calvadosia_cruxmelitensis_Ccrux.Trinity.22430 Ccrux.Trinity.22430, Calvadosia_cruxmelitensis_Ccrux.Trinity.4328 Ccrux.Trinity.4328
OG0000000	Branchiostoma_belcheri_tr_A0A6P4YUQ5_A0A6P4YUQ5_BRABE tr|A0A6P4YUQ5|A0A6P4YUQ5_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109470870 PE=4 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.70576 Ccrux.Trinity.70576, Calvadosia_cruxmelitensis_Ccrux.Trinity.48270 Ccrux.Trinity.48270, Calvadosia_cruxmelitensis_Ccrux.Trinity.72284 Ccrux.Trinity.72284
OG0000000	Branchiostoma_belcheri_tr_A0A6P4YBZ7_A0A6P4YBZ7_BRABE tr|A0A6P4YBZ7|A0A6P4YBZ7_BRABE Techylectin-5B-like OS=Branchiostoma belcheri OX=7741 GN=LOC109462292 PE=4 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.58056 Ccrux.Trinity.58056, Calvadosia_cruxmelitensis_Ccrux.Trinity.27812 Ccrux.Trinity.27812, Calvadosia_cruxmelitensis_Ccrux.Trinity.2270 Ccrux.Trinity.2270, Calvadosia_cruxmelitensis_Ccrux.Trinity.2268 Ccrux.Trinity.2268, Calvadosia_cruxmelitensis_Ccrux.Trinity.56716 Ccrux.Trinity.56716, Calvadosia_cruxmelitensis_Ccrux.Trinity.2269 Ccrux.Trinity.2269
OG0000000	Branchiostoma_belcheri_tr_A0A6P5ABL4_A0A6P5ABL4_BRABE tr|A0A6P5ABL4|A0A6P5ABL4_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484710 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZQY6_A0A6P4ZQY6_BRABE tr|A0A6P4ZQY6|A0A6P4ZQY6_BRABE Ryncolin-1-like isoform X3 OS=Branchiostoma belcheri OX=7741 GN=LOC109484705 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5A2Q0_A0A6P5A2Q0_BRABE tr|A0A6P5A2Q0|A0A6P5A2Q0_BRABE Microfibril-associated glycoprotein 4-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109484705 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5A2Q4_A0A6P5A2Q4_BRABE tr|A0A6P5A2Q4|A0A6P5A2Q4_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484709 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5ABL0_A0A6P5ABL0_BRABE tr|A0A6P5ABL0|A0A6P5ABL0_BRABE Microfibril-associated glycoprotein 4-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109484705 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AKK9_A0A6P5AKK9_BRABE tr|A0A6P5AKK9|A0A6P5AKK9_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484707 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AAK5_A0A6P5AAK5_BRABE tr|A0A6P5AAK5|A0A6P5AAK5_BRABE Uncharacterized protein LOC109484431 OS=Branchiostoma belcheri OX=7741 GN=LOC109484431 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z535_A0A6P4Z535_BRABE tr|A0A6P4Z535|A0A6P4Z535_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109470258 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZV33_A0A6P4ZV33_BRABE tr|A0A6P4ZV33|A0A6P4ZV33_BRABE Ficolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109482481 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZV24_A0A6P4ZV24_BRABE tr|A0A6P4ZV24|A0A6P4ZV24_BRABE Ficolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109482473 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AFX9_A0A6P5AFX9_BRABE tr|A0A6P5AFX9|A0A6P5AFX9_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109482464 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AFY8_A0A6P5AFY8_BRABE tr|A0A6P5AFY8|A0A6P5AFY8_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109482466 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZUF6_A0A6P4ZUF6_BRABE tr|A0A6P4ZUF6|A0A6P4ZUF6_BRABE Uncharacterized protein LOC109482266 OS=Branchiostoma belcheri OX=7741 GN=LOC109482266 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZV20_A0A6P4ZV20_BRABE tr|A0A6P4ZV20|A0A6P4ZV20_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109482468 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AFB3_A0A6P5AFB3_BRABE tr|A0A6P5AFB3|A0A6P5AFB3_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109482262 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZZG8_A0A6P4ZZG8_BRABE tr|A0A6P4ZZG8|A0A6P4ZZG8_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109478972 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZCN7_A0A6P4ZCN7_BRABE tr|A0A6P4ZCN7|A0A6P4ZCN7_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109481047 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XVC9_A0A6P4XVC9_BRABE tr|A0A6P4XVC9|A0A6P4XVC9_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109462454 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YR90_A0A6P4YR90_BRABE tr|A0A6P4YR90|A0A6P4YR90_BRABE Techylectin-5B-like OS=Branchiostoma belcheri OX=7741 GN=LOC109469898 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YIH6_A0A6P4YIH6_BRABE tr|A0A6P4YIH6|A0A6P4YIH6_BRABE Angiopoietin-related protein 7-like OS=Branchiostoma belcheri OX=7741 GN=LOC109469897 PE=4 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.27805 Ccrux.Trinity.27805, Calvadosia_cruxmelitensis_Ccrux.Trinity.27804 Ccrux.Trinity.27804, Calvadosia_cruxmelitensis_Ccrux.Trinity.27806 Ccrux.Trinity.27806, Calvadosia_cruxmelitensis_Ccrux.Trinity.27807 Ccrux.Trinity.27807, Calvadosia_cruxmelitensis_Ccrux.Trinity.27808 Ccrux.Trinity.27808, Calvadosia_cruxmelitensis_Ccrux.Trinity.27803 Ccrux.Trinity.27803, Calvadosia_cruxmelitensis_Ccrux.Trinity.18974 Ccrux.Trinity.18974, Calvadosia_cruxmelitensis_Ccrux.Trinity.18973 Ccrux.Trinity.18973, Calvadosia_cruxmelitensis_Ccrux.Trinity.18975 Ccrux.Trinity.18975
OG0000000	Branchiostoma_belcheri_tr_A0A6P4Z7J1_A0A6P4Z7J1_BRABE tr|A0A6P4Z7J1|A0A6P4Z7J1_BRABE Ficolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109476165 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XSU8_A0A6P4XSU8_BRABE tr|A0A6P4XSU8|A0A6P4XSU8_BRABE Fibrinogen C domain-containing protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109466438 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z6I5_A0A6P4Z6I5_BRABE tr|A0A6P4Z6I5|A0A6P4Z6I5_BRABE Microfibril-associated glycoprotein 4-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109479517 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZSG7_A0A6P4ZSG7_BRABE tr|A0A6P4ZSG7|A0A6P4ZSG7_BRABE Microfibril-associated glycoprotein 4-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109479517 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z896_A0A6P4Z896_BRABE tr|A0A6P4Z896|A0A6P4Z896_BRABE Fibrinogen C domain-containing protein 1-A-like OS=Branchiostoma belcheri OX=7741 GN=LOC109476402 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZEG1_A0A6P4ZEG1_BRABE tr|A0A6P4ZEG1|A0A6P4ZEG1_BRABE Fibrinogen C domain-containing protein 1-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109475903 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z6L4_A0A6P4Z6L4_BRABE tr|A0A6P4Z6L4|A0A6P4Z6L4_BRABE Fibrinogen C domain-containing protein 1-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109475903 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YF68_A0A6P4YF68_BRABE tr|A0A6P4YF68|A0A6P4YF68_BRABE Ficolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109464785 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YDH4_A0A6P4YDH4_BRABE tr|A0A6P4YDH4|A0A6P4YDH4_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109468614 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YDG4_A0A6P4YDG4_BRABE tr|A0A6P4YDG4|A0A6P4YDG4_BRABE Microfibril-associated glycoprotein 4-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109468607 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YUW2_A0A6P4YUW2_BRABE tr|A0A6P4YUW2|A0A6P4YUW2_BRABE Microfibril-associated glycoprotein 4-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109468607 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YN77_A0A6P4YN77_BRABE tr|A0A6P4YN77|A0A6P4YN77_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109465683 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XZ48_A0A6P4XZ48_BRABE tr|A0A6P4XZ48|A0A6P4XZ48_BRABE Fibrinogen-like protein A OS=Branchiostoma belcheri OX=7741 GN=LOC109464786 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YHM8_A0A6P4YHM8_BRABE tr|A0A6P4YHM8|A0A6P4YHM8_BRABE Ryncolin-4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109464026 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Y4V3_A0A6P4Y4V3_BRABE tr|A0A6P4Y4V3|A0A6P4Y4V3_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109464782 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZXX1_A0A6P4ZXX1_BRABE tr|A0A6P4ZXX1|A0A6P4ZXX1_BRABE Ficolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109483180 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z8L0_A0A6P4Z8L0_BRABE tr|A0A6P4Z8L0|A0A6P4Z8L0_BRABE Fibrinogen C domain-containing protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109474373 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XLF2_A0A6P4XLF2_BRABE tr|A0A6P4XLF2|A0A6P4XLF2_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109464783 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AQT5_A0A6P5AQT5_BRABE tr|A0A6P5AQT5|A0A6P5AQT5_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109486177 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5A5V3_A0A6P5A5V3_BRABE tr|A0A6P5A5V3|A0A6P5A5V3_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109479604 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z8I3_A0A6P4Z8I3_BRABE tr|A0A6P4Z8I3|A0A6P4Z8I3_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109474346 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YT49_A0A6P4YT49_BRABE tr|A0A6P4YT49|A0A6P4YT49_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109470417 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Y4V8_A0A6P4Y4V8_BRABE tr|A0A6P4Y4V8|A0A6P4Y4V8_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109464787 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZKN5_A0A6P4ZKN5_BRABE tr|A0A6P4ZKN5|A0A6P4ZKN5_BRABE Techylectin-5B-like OS=Branchiostoma belcheri OX=7741 GN=LOC109474349 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5ACA1_A0A6P5ACA1_BRABE tr|A0A6P5ACA1|A0A6P5ACA1_BRABE Techylectin-5A-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484963 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YJY2_A0A6P4YJY2_BRABE tr|A0A6P4YJY2|A0A6P4YJY2_BRABE Ficolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109464784 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AA72_A0A6P5AA72_BRABE tr|A0A6P5AA72|A0A6P5AA72_BRABE Fibrinogen C domain-containing protein 1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484292 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZPI7_A0A6P4ZPI7_BRABE tr|A0A6P4ZPI7|A0A6P4ZPI7_BRABE Uncharacterized protein LOC109484279 OS=Branchiostoma belcheri OX=7741 GN=LOC109484279 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5ANP5_A0A6P5ANP5_BRABE tr|A0A6P5ANP5|A0A6P5ANP5_BRABE Uncharacterized protein LOC109484728 isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109484728 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AKN7_A0A6P5AKN7_BRABE tr|A0A6P5AKN7|A0A6P5AKN7_BRABE Uncharacterized protein LOC109484728 isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109484728 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AJ42_A0A6P5AJ42_BRABE tr|A0A6P5AJ42|A0A6P5AJ42_BRABE Ryncolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484349 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YDM3_A0A6P4YDM3_BRABE tr|A0A6P4YDM3|A0A6P4YDM3_BRABE Ficolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109468654 PE=4 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.13476 Ccrux.Trinity.13476, Calvadosia_cruxmelitensis_Ccrux.Trinity.60601 Ccrux.Trinity.60601, Calvadosia_cruxmelitensis_Ccrux.Trinity.72013 Ccrux.Trinity.72013, Calvadosia_cruxmelitensis_Ccrux.Trinity.25175 Ccrux.Trinity.25175, Calvadosia_cruxmelitensis_Ccrux.Trinity.25174 Ccrux.Trinity.25174, Calvadosia_cruxmelitensis_Ccrux.Trinity.25178 Ccrux.Trinity.25178, Calvadosia_cruxmelitensis_Ccrux.Trinity.25170 Ccrux.Trinity.25170, Calvadosia_cruxmelitensis_Ccrux.Trinity.25173 Ccrux.Trinity.25173, Calvadosia_cruxmelitensis_Ccrux.Trinity.63690 Ccrux.Trinity.63690, Calvadosia_cruxmelitensis_Ccrux.Trinity.1835 Ccrux.Trinity.1835, Calvadosia_cruxmelitensis_Ccrux.Trinity.10162 Ccrux.Trinity.10162, Calvadosia_cruxmelitensis_Ccrux.Trinity.10161 Ccrux.Trinity.10161, Calvadosia_cruxmelitensis_Ccrux.Trinity.44850 Ccrux.Trinity.44850, Calvadosia_cruxmelitensis_Ccrux.Trinity.44852 Ccrux.Trinity.44852
OG0000000	Branchiostoma_belcheri_tr_A0A6P4YRQ1_A0A6P4YRQ1_BRABE tr|A0A6P4YRQ1|A0A6P4YRQ1_BRABE Fibrinogen-like protein 1 OS=Branchiostoma belcheri OX=7741 GN=LOC109466611 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XQS9_A0A6P4XQS9_BRABE tr|A0A6P4XQS9|A0A6P4XQS9_BRABE Fibrinogen-like protein 1 OS=Branchiostoma belcheri OX=7741 GN=LOC109465947 PE=4 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.16839 Ccrux.Trinity.16839, Calvadosia_cruxmelitensis_Ccrux.Trinity.16840 Ccrux.Trinity.16840, Calvadosia_cruxmelitensis_Ccrux.Trinity.16842 Ccrux.Trinity.16842, Calvadosia_cruxmelitensis_Ccrux.Trinity.76 Ccrux.Trinity.76
OG0000000	Branchiostoma_belcheri_tr_A0A6P4YKQ3_A0A6P4YKQ3_BRABE tr|A0A6P4YKQ3|A0A6P4YKQ3_BRABE Ficolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109465018 PE=4 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.57029 Ccrux.Trinity.57029, Calvadosia_cruxmelitensis_Ccrux.Trinity.14746 Ccrux.Trinity.14746, Calvadosia_cruxmelitensis_Ccrux.Trinity.14747 Ccrux.Trinity.14747, Calvadosia_cruxmelitensis_Ccrux.Trinity.14745 Ccrux.Trinity.14745, Calvadosia_cruxmelitensis_Ccrux.Trinity.32577 Ccrux.Trinity.32577, Calvadosia_cruxmelitensis_Ccrux.Trinity.32575 Ccrux.Trinity.32575, Calvadosia_cruxmelitensis_Ccrux.Trinity.32580 Ccrux.Trinity.32580, Calvadosia_cruxmelitensis_Ccrux.Trinity.32581 Ccrux.Trinity.32581, Calvadosia_cruxmelitensis_Ccrux.Trinity.32579 Ccrux.Trinity.32579, Calvadosia_cruxmelitensis_Ccrux.Trinity.32582 Ccrux.Trinity.32582, Calvadosia_cruxmelitensis_Ccrux.Trinity.32586 Ccrux.Trinity.32586, Calvadosia_cruxmelitensis_Ccrux.Trinity.32584 Ccrux.Trinity.32584, Calvadosia_cruxmelitensis_Ccrux.Trinity.32587 Ccrux.Trinity.32587, Calvadosia_cruxmelitensis_Ccrux.Trinity.3602 Ccrux.Trinity.3602, Calvadosia_cruxmelitensis_Ccrux.Trinity.15481 Ccrux.Trinity.15481, Calvadosia_cruxmelitensis_Ccrux.Trinity.15482 Ccrux.Trinity.15482, Calvadosia_cruxmelitensis_Ccrux.Trinity.8180 Ccrux.Trinity.8180, Calvadosia_cruxmelitensis_Ccrux.Trinity.3782 Ccrux.Trinity.3782, Calvadosia_cruxmelitensis_Ccrux.Trinity.3783 Ccrux.Trinity.3783, Calvadosia_cruxmelitensis_Ccrux.Trinity.27647 Ccrux.Trinity.27647, Calvadosia_cruxmelitensis_Ccrux.Trinity.27648 Ccrux.Trinity.27648, Calvadosia_cruxmelitensis_Ccrux.Trinity.27646 Ccrux.Trinity.27646, Calvadosia_cruxmelitensis_Ccrux.Trinity.27652 Ccrux.Trinity.27652, Calvadosia_cruxmelitensis_Ccrux.Trinity.27649 Ccrux.Trinity.27649
OG0000000	Branchiostoma_belcheri_tr_A0A6P5A1A0_A0A6P5A1A0_BRABE tr|A0A6P5A1A0|A0A6P5A1A0_BRABE Ficolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109479473 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZJN6_A0A6P4ZJN6_BRABE tr|A0A6P4ZJN6|A0A6P4ZJN6_BRABE Angiopoietin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109479474 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZJP7_A0A6P4ZJP7_BRABE tr|A0A6P4ZJP7|A0A6P4ZJP7_BRABE Angiopoietin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109479484 PE=4 SV=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.70260 Ccrux.Trinity.70260, Calvadosia_cruxmelitensis_Ccrux.Trinity.62537 Ccrux.Trinity.62537, Calvadosia_cruxmelitensis_Ccrux.Trinity.39081 Ccrux.Trinity.39081
