Orthogroup	Ctenophora_Tentaculata_Pleurobrachia_bachei	Chordata_Vertebrata_Homo_sapiens
OG0000001	Pleurobrachia_bachei_sb_2639858_ sb_2639858_, Pleurobrachia_bachei_sb_2654211_ sb_2654211_	Homo_sapiens_sp_Q13753_LAMC2_HUMAN sp|Q13753|LAMC2_HUMAN Laminin subunit gamma-2 OS=Homo sapiens OX=9606 GN=LAMC2 PE=1 SV=2
OG0000001	Pleurobrachia_bachei_sb_2652422_ sb_2652422_	Homo_sapiens_sp_Q9HB63_NET4_HUMAN sp|Q9HB63|NET4_HUMAN Netrin-4 OS=Homo sapiens OX=9606 GN=NTN4 PE=1 SV=2, Homo_sapiens_sp_Q13751_LAMB3_HUMAN sp|Q13751|LAMB3_HUMAN Laminin subunit beta-3 OS=Homo sapiens OX=9606 GN=LAMB3 PE=1 SV=1, Homo_sapiens_sp_A4D0S4_LAMB4_HUMAN sp|A4D0S4|LAMB4_HUMAN Laminin subunit beta-4 OS=Homo sapiens OX=9606 GN=LAMB4 PE=2 SV=1, Homo_sapiens_sp_P55268_LAMB2_HUMAN sp|P55268|LAMB2_HUMAN Laminin subunit beta-2 OS=Homo sapiens OX=9606 GN=LAMB2 PE=1 SV=2, Homo_sapiens_sp_P07942_LAMB1_HUMAN sp|P07942|LAMB1_HUMAN Laminin subunit beta-1 OS=Homo sapiens OX=9606 GN=LAMB1 PE=1 SV=2
OG0000001	Pleurobrachia_bachei_sb_2656958_ sb_2656958_, Pleurobrachia_bachei_sb_2651191_ sb_2651191_	Homo_sapiens_sp_O00634_NET3_HUMAN sp|O00634|NET3_HUMAN Netrin-3 OS=Homo sapiens OX=9606 GN=NTN3 PE=1 SV=1, Homo_sapiens_sp_Q9Y6N6_LAMC3_HUMAN sp|Q9Y6N6|LAMC3_HUMAN Laminin subunit gamma-3 OS=Homo sapiens OX=9606 GN=LAMC3 PE=1 SV=3, Homo_sapiens_sp_P11047_LAMC1_HUMAN sp|P11047|LAMC1_HUMAN Laminin subunit gamma-1 OS=Homo sapiens OX=9606 GN=LAMC1 PE=1 SV=3
OG0000003	Pleurobrachia_bachei_sb_2654447_ sb_2654447_, Pleurobrachia_bachei_sb_2646239_ sb_2646239_, Pleurobrachia_bachei_sb_2662112_ sb_2662112_	Homo_sapiens_sp_O14594_NCAN_HUMAN sp|O14594|NCAN_HUMAN Neurocan core protein OS=Homo sapiens OX=9606 GN=NCAN PE=1 SV=3, Homo_sapiens_sp_P16112_PGCA_HUMAN sp|P16112|PGCA_HUMAN Aggrecan core protein OS=Homo sapiens OX=9606 GN=ACAN PE=1 SV=3, Homo_sapiens_sp_P13611_CSPG2_HUMAN sp|P13611|CSPG2_HUMAN Versican core protein OS=Homo sapiens OX=9606 GN=VCAN PE=1 SV=3
OG0000003	Pleurobrachia_bachei_sb_2665626_ sb_2665626_	Homo_sapiens_sp_Q9BWP8_COL11_HUMAN sp|Q9BWP8|COL11_HUMAN Collectin-11 OS=Homo sapiens OX=9606 GN=COLEC11 PE=1 SV=1, Homo_sapiens_sp_Q9Y6Z7_COL10_HUMAN sp|Q9Y6Z7|COL10_HUMAN Collectin-10 OS=Homo sapiens OX=9606 GN=COLEC10 PE=1 SV=2, Homo_sapiens_sp_P11226_MBL2_HUMAN sp|P11226|MBL2_HUMAN Mannose-binding protein C OS=Homo sapiens OX=9606 GN=MBL2 PE=1 SV=2
OG0000003	Pleurobrachia_bachei_sb_2654029_ sb_2654029_, Pleurobrachia_bachei_sb_2661432_ sb_2661432_	Homo_sapiens_sp_P05452_TETN_HUMAN sp|P05452|TETN_HUMAN Tetranectin OS=Homo sapiens OX=9606 GN=CLEC3B PE=1 SV=3
OG0000006	Pleurobrachia_bachei_sb_2639084_ sb_2639084_, Pleurobrachia_bachei_sb_2660593_ sb_2660593_, Pleurobrachia_bachei_sb_2645412_ sb_2645412_, Pleurobrachia_bachei_sb_2663118_ sb_2663118_, Pleurobrachia_bachei_sb_2663232_ sb_2663232_, Pleurobrachia_bachei_sb_2668477_ sb_2668477_, Pleurobrachia_bachei_sb_2654500_ sb_2654500_, Pleurobrachia_bachei_sb_2638567_ sb_2638567_	Homo_sapiens_sp_Q53RD9_FBLN7_HUMAN sp|Q53RD9|FBLN7_HUMAN Fibulin-7 OS=Homo sapiens OX=9606 GN=FBLN7 PE=2 SV=1
OG0000010	Pleurobrachia_bachei_sb_2653999_ sb_2653999_	Homo_sapiens_sp_P19883_FST_HUMAN sp|P19883|FST_HUMAN Follistatin OS=Homo sapiens OX=9606 GN=FST PE=1 SV=2, Homo_sapiens_sp_O95633_FSTL3_HUMAN sp|O95633|FSTL3_HUMAN Follistatin-related protein 3 OS=Homo sapiens OX=9606 GN=FSTL3 PE=1 SV=1
OG0000011	Pleurobrachia_bachei_sb_2646994_ sb_2646994_, Pleurobrachia_bachei_sb_2669487_ sb_2669487_, Pleurobrachia_bachei_sb_2641704_ sb_2641704_	Homo_sapiens_sp_P26927_HGFL_HUMAN sp|P26927|HGFL_HUMAN Hepatocyte growth factor-like protein OS=Homo sapiens OX=9606 GN=MST1 PE=1 SV=2, Homo_sapiens_sp_Q2TV78_MST1L_HUMAN sp|Q2TV78|MST1L_HUMAN Putative macrophage stimulating 1-like protein OS=Homo sapiens OX=9606 GN=MST1L PE=2 SV=2, Homo_sapiens_sp_P14210_HGF_HUMAN sp|P14210|HGF_HUMAN Hepatocyte growth factor OS=Homo sapiens OX=9606 GN=HGF PE=1 SV=2
OG0000011	Pleurobrachia_bachei_sb_2642560_ sb_2642560_, Pleurobrachia_bachei_sb_2648030_ sb_2648030_, Pleurobrachia_bachei_sb_2669700_ sb_2669700_, Pleurobrachia_bachei_sb_2649758_ sb_2649758_, Pleurobrachia_bachei_sb_2669701_ sb_2669701_, Pleurobrachia_bachei_sb_2660538_ sb_2660538_, Pleurobrachia_bachei_sb_2640534_ sb_2640534_, Pleurobrachia_bachei_sb_2652995_ sb_2652995_, Pleurobrachia_bachei_sb_2648020_ sb_2648020_, Pleurobrachia_bachei_sb_2654375_ sb_2654375_, Pleurobrachia_bachei_sb_2644414_ sb_2644414_, Pleurobrachia_bachei_sb_2657352_ sb_2657352_, Pleurobrachia_bachei_sb_2660397_ sb_2660397_, Pleurobrachia_bachei_sb_2663135_ sb_2663135_, Pleurobrachia_bachei_sb_2641647_ sb_2641647_, Pleurobrachia_bachei_sb_2646795_ sb_2646795_, Pleurobrachia_bachei_sb_2648723_ sb_2648723_, Pleurobrachia_bachei_sb_2641395_ sb_2641395_, Pleurobrachia_bachei_sb_2648225_ sb_2648225_, Pleurobrachia_bachei_sb_2658184_ sb_2658184_, Pleurobrachia_bachei_sb_2658327_ sb_2658327_, Pleurobrachia_bachei_sb_2651494_ sb_2651494_	Homo_sapiens_sp_Q96FE7_P3IP1_HUMAN sp|Q96FE7|P3IP1_HUMAN Phosphoinositide-3-kinase-interacting protein 1 OS=Homo sapiens OX=9606 GN=PIK3IP1 PE=1 SV=2
