Orthogroup	Cnidaria_Scyphozoa_Aurelia_aurita	Porifera_Demospongiae_Ephydatia_muelleri
OG0000000	Aurelia_aurita_Seg5208.1 Seg5208.1 transcript_id=Seg5208.1_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg5208.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1894.9 Seg1894.9 transcript_id=Seg1894.9_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg1894.9_GoldUCD_D3Y31, Aurelia_aurita_Seg3725.2 Seg3725.2 transcript_id=Seg3725.2_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg3725.2_GoldUCD_D3Y31, Aurelia_aurita_Seg468.7 Seg468.7 transcript_id=Seg468.7_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg468.7_GoldUCD_D3Y31, Aurelia_aurita_Seg1762.8 Seg1762.8 transcript_id=Seg1762.8_GoldUCD_mRNA.D3Y31 product=Techylectin-5B protein_id=Seg1762.8_GoldUCD_D3Y31, Aurelia_aurita_Seg3388.1 Seg3388.1 transcript_id=Seg3388.1_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg3388.1_GoldUCD_D3Y31, Aurelia_aurita_Seg3031.2 Seg3031.2 transcript_id=Seg3031.2_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg3031.2_GoldUCD_D3Y31, Aurelia_aurita_Seg3086.3 Seg3086.3 transcript_id=Seg3086.3_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg3086.3_GoldUCD_D3Y31, Aurelia_aurita_Seg6310.1 Seg6310.1 transcript_id=Seg6310.1_GoldUCD_mRNA.D3Y31 product=Ryncolin-2 protein_id=Seg6310.1_GoldUCD_D3Y31, Aurelia_aurita_Seg3715.1 Seg3715.1 transcript_id=Seg3715.1_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg3715.1_GoldUCD_D3Y31, Aurelia_aurita_Seg87.1 Seg87.1 transcript_id=Seg87.1_GoldUCD_mRNA.D3Y31 product=Ficolin-1-A protein_id=Seg87.1_GoldUCD_D3Y31, Aurelia_aurita_Seg2208.3 Seg2208.3 transcript_id=Seg2208.3_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg2208.3_GoldUCD_D3Y31, Aurelia_aurita_Seg2828.3 Seg2828.3 transcript_id=Seg2828.3_GoldUCD_mRNA.D3Y31 product=Techylectin-5A protein_id=Seg2828.3_GoldUCD_D3Y31, Aurelia_aurita_Seg2828.2 Seg2828.2 transcript_id=Seg2828.2_GoldUCD_mRNA.D3Y31 product=Ryncolin-4 protein_id=Seg2828.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2404.2 Seg2404.2 transcript_id=Seg2404.2_GoldUCD_mRNA.D3Y31 product=Techylectin-5A protein_id=Seg2404.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2404.1 Seg2404.1 transcript_id=Seg2404.1_GoldUCD_mRNA.D3Y31 product=Techylectin-5A protein_id=Seg2404.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1014.3 Seg1014.3 transcript_id=Seg1014.3_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1014.3_GoldUCD_D3Y31, Aurelia_aurita_Seg1014.2 Seg1014.2 transcript_id=Seg1014.2_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1014.2_GoldUCD_D3Y31, Aurelia_aurita_Seg880.6 Seg880.6 transcript_id=Seg880.6_GoldUCD_mRNA.D3Y31 product=Ficolin-1-B protein_id=Seg880.6_GoldUCD_D3Y31, Aurelia_aurita_Seg985.4 Seg985.4 transcript_id=Seg985.4_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg985.4_GoldUCD_D3Y31	Ephydatia_muelleri_Em0001g3419a Em0001g3419a, Ephydatia_muelleri_Em0001g3405a Em0001g3405a, Ephydatia_muelleri_Em0001g3413a Em0001g3413a, Ephydatia_muelleri_Em0001g3310a Em0001g3310a, Ephydatia_muelleri_Em0001g3415a Em0001g3415a, Ephydatia_muelleri_Em0001g3392a Em0001g3392a, Ephydatia_muelleri_Em0001g3535a Em0001g3535a, Ephydatia_muelleri_Em0001g3515a Em0001g3515a
OG0000001	Aurelia_aurita_Seg447.8 Seg447.8 transcript_id=Seg447.8_GoldUCD_mRNA.D3Y31 product="Fibronectin type III domain-containing protein" protein_id=Seg447.8_GoldUCD_D3Y31 partial=true	Ephydatia_muelleri_Em0009g1115a Em0009g1115a
OG0000001	Aurelia_aurita_Seg1879.3 Seg1879.3 transcript_id=Seg1879.3_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg1879.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2492.3 Seg2492.3 transcript_id=Seg2492.3_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg2492.3_GoldUCD_D3Y31, Aurelia_aurita_Seg913.6_Seg913.4 Seg913.6_Seg913.4 transcript_id=Seg913.6_Seg913.4_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg913.6_Seg913.4_GoldUCD_D3Y31, Aurelia_aurita_Seg913.3 Seg913.3 transcript_id=Seg913.3_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg913.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3339.2 Seg3339.2 transcript_id=Seg3339.2_GoldUCD_mRNA.D3Y31 product="Receptor-type tyrosine-protein phosphatase F" protein_id=Seg3339.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2958.1 Seg2958.1 transcript_id=Seg2958.1_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg2958.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1093.3 Seg1093.3 transcript_id=Seg1093.3_GoldUCD_mRNA.D3Y31 product="Phosphatidylinositol phosphatase PTPRQ" protein_id=Seg1093.3_GoldUCD_D3Y31 partial=true	Ephydatia_muelleri_Em0015g115a Em0015g115a, Ephydatia_muelleri_Em0015g114a Em0015g114a, Ephydatia_muelleri_Em0015g113a Em0015g113a
OG0000001	Aurelia_aurita_Seg368.1 Seg368.1 transcript_id=Seg368.1_GoldUCD_mRNA.D3Y31 product="Nucleolar GTP-binding protein 2" protein_id=Seg368.1_GoldUCD_D3Y31 partial=true	Ephydatia_muelleri_Em0018g288a Em0018g288a
OG0000001	Aurelia_aurita_Seg6442.1 Seg6442.1 transcript_id=Seg6442.1_GoldUCD_mRNA.D3Y31 product=Usherin protein_id=Seg6442.1_GoldUCD_D3Y31 partial=true	Ephydatia_muelleri_Em0019g102a Em0019g102a
OG0000001	Aurelia_aurita_Seg1698.10 Seg1698.10 transcript_id=Seg1698.10_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg1698.10_GoldUCD_D3Y31	Ephydatia_muelleri_Em0016g530a Em0016g530a
OG0000002	Aurelia_aurita_Seg1505.2 Seg1505.2 transcript_id=Seg1505.2_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg1505.2_GoldUCD_D3Y31, Aurelia_aurita_Seg4965.1 Seg4965.1 transcript_id=Seg4965.1_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg4965.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1296.4 Seg1296.4 transcript_id=Seg1296.4_GoldUCD_mRNA.D3Y31 product=Coadhesin protein_id=Seg1296.4_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1147.11 Seg1147.11 transcript_id=Seg1147.11_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg1147.11_GoldUCD_D3Y31, Aurelia_aurita_Seg1581.4 Seg1581.4 transcript_id=Seg1581.4_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg1581.4_GoldUCD_D3Y31, Aurelia_aurita_Seg4492.1 Seg4492.1 transcript_id=Seg4492.1_GoldUCD_mRNA.D3Y31 product=Coadhesin protein_id=Seg4492.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1121.9 Seg1121.9 transcript_id=Seg1121.9_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg1121.9_GoldUCD_D3Y31 partial=true	Ephydatia_muelleri_Em0018g930a Em0018g930a, Ephydatia_muelleri_Em0011g758a Em0011g758a, Ephydatia_muelleri_Em0018g931a Em0018g931a
OG0000004	Aurelia_aurita_Seg27.2 Seg27.2 transcript_id=Seg27.2_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 4" protein_id=Seg27.2_GoldUCD_D3Y31	Ephydatia_muelleri_Em0007g757a Em0007g757a, Ephydatia_muelleri_Em0007g755a Em0007g755a
OG0000004	Aurelia_aurita_Seg1785.4 Seg1785.4 transcript_id=Seg1785.4_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 4" protein_id=Seg1785.4_GoldUCD_D3Y31, Aurelia_aurita_Seg1267.6 Seg1267.6 transcript_id=Seg1267.6_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 1" protein_id=Seg1267.6_GoldUCD_D3Y31 partial=true	Ephydatia_muelleri_Em0022g301a Em0022g301a
OG0000005	Aurelia_aurita_Seg599.14 Seg599.14 transcript_id=Seg599.14_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-15" protein_id=Seg599.14_GoldUCD_D3Y31	Ephydatia_muelleri_Em0582g1a Em0582g1a, Ephydatia_muelleri_Em0016g939a Em0016g939a, Ephydatia_muelleri_Em0016g925a Em0016g925a, Ephydatia_muelleri_Em0582g3a Em0582g3a
