Orthogroup	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Porifera_Demospongiae_Ephydatia_muelleri
OG0000001	Mnemiopsis_leidyi_ML44781a ML44781a	Ephydatia_muelleri_Em0018g288a Em0018g288a
OG0000002	Mnemiopsis_leidyi_ML08714a ML08714a, Mnemiopsis_leidyi_ML025011a ML025011a, Mnemiopsis_leidyi_ML15458a ML15458a, Mnemiopsis_leidyi_ML21527a ML21527a, Mnemiopsis_leidyi_ML02152a ML02152a, Mnemiopsis_leidyi_ML104325a ML104325a, Mnemiopsis_leidyi_ML014910a ML014910a, Mnemiopsis_leidyi_ML04601a ML04601a, Mnemiopsis_leidyi_ML06976a ML06976a	Ephydatia_muelleri_Em0019g573a Em0019g573a, Ephydatia_muelleri_Em0019g563a Em0019g563a, Ephydatia_muelleri_Em0019g588a Em0019g588a, Ephydatia_muelleri_Em0007g817a Em0007g817a
OG0000002	Mnemiopsis_leidyi_ML050913a ML050913a, Mnemiopsis_leidyi_ML27985a ML27985a, Mnemiopsis_leidyi_ML000132a ML000132a, Mnemiopsis_leidyi_ML10112a ML10112a, Mnemiopsis_leidyi_ML10113a ML10113a, Mnemiopsis_leidyi_ML271515a ML271515a, Mnemiopsis_leidyi_ML460822a ML460822a	Ephydatia_muelleri_Em0018g930a Em0018g930a, Ephydatia_muelleri_Em0011g758a Em0011g758a, Ephydatia_muelleri_Em0018g931a Em0018g931a
OG0000005	Mnemiopsis_leidyi_ML104615a ML104615a, Mnemiopsis_leidyi_ML104616a ML104616a, Mnemiopsis_leidyi_ML00083a ML00083a	Ephydatia_muelleri_Em0001g1715a Em0001g1715a
OG0000006	Mnemiopsis_leidyi_ML085711a ML085711a	Ephydatia_muelleri_Em0008g891a Em0008g891a, Ephydatia_muelleri_Em0008g882a Em0008g882a, Ephydatia_muelleri_Em0015g1280a Em0015g1280a, Ephydatia_muelleri_Em0015g1275a Em0015g1275a, Ephydatia_muelleri_Em0008g887a Em0008g887a
OG0000006	Mnemiopsis_leidyi_ML077215a ML077215a, Mnemiopsis_leidyi_ML077218a ML077218a, Mnemiopsis_leidyi_ML00406a ML00406a, Mnemiopsis_leidyi_ML33721a ML33721a	Ephydatia_muelleri_Em0005g519a Em0005g519a
OG0000007	Mnemiopsis_leidyi_ML019111a ML019111a	Ephydatia_muelleri_Em0001g1674a Em0001g1674a, Ephydatia_muelleri_Em0001g1649a Em0001g1649a, Ephydatia_muelleri_Em0001g1634a Em0001g1634a, Ephydatia_muelleri_Em0021g538a Em0021g538a, Ephydatia_muelleri_Em0021g527a Em0021g527a, Ephydatia_muelleri_Em0007g968a Em0007g968a
OG0000007	Mnemiopsis_leidyi_ML19192a ML19192a	Ephydatia_muelleri_Em0019g1079a Em0019g1079a, Ephydatia_muelleri_Em0019g1074a Em0019g1074a, Ephydatia_muelleri_Em0019g1070a Em0019g1070a, Ephydatia_muelleri_Em0019g1075a Em0019g1075a
OG0000010	Mnemiopsis_leidyi_ML004921a ML004921a	Ephydatia_muelleri_Em0011g1192a Em0011g1192a
OG0000011	Mnemiopsis_leidyi_ML033235a ML033235a, Mnemiopsis_leidyi_ML20267a ML20267a, Mnemiopsis_leidyi_ML20266a ML20266a, Mnemiopsis_leidyi_ML070825a ML070825a, Mnemiopsis_leidyi_ML017921a ML017921a, Mnemiopsis_leidyi_ML040527a ML040527a, Mnemiopsis_leidyi_ML049626a ML049626a, Mnemiopsis_leidyi_ML020038a ML020038a, Mnemiopsis_leidyi_ML24001a ML24001a, Mnemiopsis_leidyi_ML07111a ML07111a, Mnemiopsis_leidyi_ML30814a ML30814a, Mnemiopsis_leidyi_ML00872a ML00872a, Mnemiopsis_leidyi_ML120750a ML120750a, Mnemiopsis_leidyi_ML046712a ML046712a, Mnemiopsis_leidyi_ML07112a ML07112a, Mnemiopsis_leidyi_ML011731a ML011731a, Mnemiopsis_leidyi_ML170111a ML170111a, Mnemiopsis_leidyi_ML07915a ML07915a, Mnemiopsis_leidyi_ML156510a ML156510a, Mnemiopsis_leidyi_ML14971a ML14971a, Mnemiopsis_leidyi_ML311627a ML311627a, Mnemiopsis_leidyi_ML13771a ML13771a, Mnemiopsis_leidyi_ML011717a ML011717a, Mnemiopsis_leidyi_ML011718a ML011718a, Mnemiopsis_leidyi_ML00645a ML00645a	Ephydatia_muelleri_Em0005g71a Em0005g71a
OG0000013	Mnemiopsis_leidyi_ML06021a ML06021a	Ephydatia_muelleri_Em0012g1035a Em0012g1035a, Ephydatia_muelleri_Em0008g1080a Em0008g1080a
