Orthogroup	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Other
OG0000000	Calvadosia_cruxmelitensis_Ccrux.Trinity.27805 Ccrux.Trinity.27805, Calvadosia_cruxmelitensis_Ccrux.Trinity.27804 Ccrux.Trinity.27804, Calvadosia_cruxmelitensis_Ccrux.Trinity.27806 Ccrux.Trinity.27806, Calvadosia_cruxmelitensis_Ccrux.Trinity.27807 Ccrux.Trinity.27807, Calvadosia_cruxmelitensis_Ccrux.Trinity.27808 Ccrux.Trinity.27808, Calvadosia_cruxmelitensis_Ccrux.Trinity.27803 Ccrux.Trinity.27803, Calvadosia_cruxmelitensis_Ccrux.Trinity.18974 Ccrux.Trinity.18974, Calvadosia_cruxmelitensis_Ccrux.Trinity.18973 Ccrux.Trinity.18973, Calvadosia_cruxmelitensis_Ccrux.Trinity.18975 Ccrux.Trinity.18975	Amphimedon_queenslandica_tr_A0A1X7SR47_A0A1X7SR47_AMPQE tr_A0A1X7SR47_A0A1X7SR47_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SHK0_A0A1X7SHK0_AMPQE tr_A0A1X7SHK0_A0A1X7SHK0_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VS35_A0A1X7VS35_AMPQE tr_A0A1X7VS35_A0A1X7VS35_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100632478 PE=4 SV=1
OG0000000	Calvadosia_cruxmelitensis_Ccrux.Trinity.13476 Ccrux.Trinity.13476, Calvadosia_cruxmelitensis_Ccrux.Trinity.60601 Ccrux.Trinity.60601, Calvadosia_cruxmelitensis_Ccrux.Trinity.72013 Ccrux.Trinity.72013, Calvadosia_cruxmelitensis_Ccrux.Trinity.25175 Ccrux.Trinity.25175, Calvadosia_cruxmelitensis_Ccrux.Trinity.25174 Ccrux.Trinity.25174, Calvadosia_cruxmelitensis_Ccrux.Trinity.25178 Ccrux.Trinity.25178, Calvadosia_cruxmelitensis_Ccrux.Trinity.25170 Ccrux.Trinity.25170, Calvadosia_cruxmelitensis_Ccrux.Trinity.25173 Ccrux.Trinity.25173, Calvadosia_cruxmelitensis_Ccrux.Trinity.63690 Ccrux.Trinity.63690, Calvadosia_cruxmelitensis_Ccrux.Trinity.1835 Ccrux.Trinity.1835, Calvadosia_cruxmelitensis_Ccrux.Trinity.10162 Ccrux.Trinity.10162, Calvadosia_cruxmelitensis_Ccrux.Trinity.10161 Ccrux.Trinity.10161, Calvadosia_cruxmelitensis_Ccrux.Trinity.44850 Ccrux.Trinity.44850, Calvadosia_cruxmelitensis_Ccrux.Trinity.44852 Ccrux.Trinity.44852	Ephydatia_muelleri_Em0051g14a Em0051g14a, Ephydatia_muelleri_Em0009g849a Em0009g849a, Ephydatia_muelleri_Em0051g15a Em0051g15a, Ephydatia_muelleri_Em0009g848a Em0009g848a, Ephydatia_muelleri_Em0009g833a Em0009g833a, Ephydatia_muelleri_Em0009g834a Em0009g834a, Ephydatia_muelleri_Em0009g864a Em0009g864a, Ephydatia_muelleri_Em0051g4a Em0051g4a, Ephydatia_muelleri_Em0051g18a Em0051g18a, Ephydatia_muelleri_Em0051g17a Em0051g17a
OG0000000	Calvadosia_cruxmelitensis_Ccrux.Trinity.13476 Ccrux.Trinity.13476, Calvadosia_cruxmelitensis_Ccrux.Trinity.60601 Ccrux.Trinity.60601, Calvadosia_cruxmelitensis_Ccrux.Trinity.72013 Ccrux.Trinity.72013, Calvadosia_cruxmelitensis_Ccrux.Trinity.25175 Ccrux.Trinity.25175, Calvadosia_cruxmelitensis_Ccrux.Trinity.25174 Ccrux.Trinity.25174, Calvadosia_cruxmelitensis_Ccrux.Trinity.25178 Ccrux.Trinity.25178, Calvadosia_cruxmelitensis_Ccrux.Trinity.25170 Ccrux.Trinity.25170, Calvadosia_cruxmelitensis_Ccrux.Trinity.25173 Ccrux.Trinity.25173, Calvadosia_cruxmelitensis_Ccrux.Trinity.63690 Ccrux.Trinity.63690, Calvadosia_cruxmelitensis_Ccrux.Trinity.1835 Ccrux.Trinity.1835, Calvadosia_cruxmelitensis_Ccrux.Trinity.10162 Ccrux.Trinity.10162, Calvadosia_cruxmelitensis_Ccrux.Trinity.10161 Ccrux.Trinity.10161, Calvadosia_cruxmelitensis_Ccrux.Trinity.44850 Ccrux.Trinity.44850, Calvadosia_cruxmelitensis_Ccrux.Trinity.44852 Ccrux.Trinity.44852	Amphimedon_queenslandica_tr_A0A1X7V4X3_A0A1X7V4X3_AMPQE tr_A0A1X7V4X3_A0A1X7V4X3_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TSM1_A0A1X7TSM1_AMPQE tr_A0A1X7TSM1_A0A1X7TSM1_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UL53_A0A1X7UL53_AMPQE tr_A0A1X7UL53_A0A1X7UL53_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T2Y1_A0A1X7T2Y1_AMPQE tr_A0A1X7T2Y1_A0A1X7T2Y1_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UMM1_A0A1X7UMM1_AMPQE tr_A0A1X7UMM1_A0A1X7UMM1_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VD58_A0A1X7VD58_AMPQE tr_A0A1X7VD58_A0A1X7VD58_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105311921 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VEH6_A0A1X7VEH6_AMPQE tr_A0A1X7VEH6_A0A1X7VEH6_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100639185 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VD18_A0A1X7VD18_AMPQE tr_A0A1X7VD18_A0A1X7VD18_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SMX3_A0A1X7SMX3_AMPQE tr_A0A1X7SMX3_A0A1X7SMX3_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T529_A0A1X7T529_AMPQE tr_A0A1X7T529_A0A1X7T529_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UT23_A0A1X7UT23_AMPQE tr_A0A1X7UT23_A0A1X7UT23_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7ULA7_A0A1X7ULA7_AMPQE tr_A0A1X7ULA7_A0A1X7ULA7_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SR50_A0A1X7SR50_AMPQE tr_A0A1X7SR50_A0A1X7SR50_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TE08_A0A1X7TE08_AMPQE tr_A0A1X7TE08_A0A1X7TE08_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7ULB3_A0A1X7ULB3_AMPQE tr_A0A1X7ULB3_A0A1X7ULB3_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UCZ8_A0A1X7UCZ8_AMPQE tr_A0A1X7UCZ8_A0A1X7UCZ8_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T342_A0A1X7T342_AMPQE tr_A0A1X7T342_A0A1X7T342_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=109590084 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U4B1_A0A1X7U4B1_AMPQE tr_A0A1X7U4B1_A0A1X7U4B1_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7US47_A0A1X7US47_AMPQE tr_A0A1X7US47_A0A1X7US47_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U554_A0A1X7U554_AMPQE tr_A0A1X7U554_A0A1X7U554_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7ULS4_A0A1X7ULS4_AMPQE tr_A0A1X7ULS4_A0A1X7ULS4_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T2C4_A0A1X7T2C4_AMPQE tr_A0A1X7T2C4_A0A1X7T2C4_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100631553 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T2A4_A0A1X7T2A4_AMPQE tr_A0A1X7T2A4_A0A1X7T2A4_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UWB5_A0A1X7UWB5_AMPQE tr_A0A1X7UWB5_A0A1X7UWB5_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=109581869 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SS18_A0A1X7SS18_AMPQE tr_A0A1X7SS18_A0A1X7SS18_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UMR9_A0A1X7UMR9_AMPQE tr_A0A1X7UMR9_A0A1X7UMR9_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SDN8_A0A1X7SDN8_AMPQE tr_A0A1X7SDN8_A0A1X7SDN8_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100639931 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UL16_A0A1X7UL16_AMPQE tr_A0A1X7UL16_A0A1X7UL16_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TZ96_A0A1X7TZ96_AMPQE tr_A0A1X7TZ96_A0A1X7TZ96_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SSR3_A0A1X7SSR3_AMPQE tr_A0A1X7SSR3_A0A1X7SSR3_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TZ40_A0A1X7TZ40_AMPQE tr_A0A1X7TZ40_A0A1X7TZ40_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TU53_A0A1X7TU53_AMPQE tr_A0A1X7TU53_A0A1X7TU53_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TTR4_A0A1X7TTR4_AMPQE tr_A0A1X7TTR4_A0A1X7TTR4_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UT27_A0A1X7UT27_AMPQE tr_A0A1X7UT27_A0A1X7UT27_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105312878 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TT67_A0A1X7TT67_AMPQE tr_A0A1X7TT67_A0A1X7TT67_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100637225 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UMT1_A0A1X7UMT1_AMPQE tr_A0A1X7UMT1_A0A1X7UMT1_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U7U6_A0A1X7U7U6_AMPQE tr_A0A1X7U7U6_A0A1X7U7U6_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7THT4_A0A1X7THT4_AMPQE tr_A0A1X7THT4_A0A1X7THT4_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UM80_A0A1X7UM80_AMPQE tr_A0A1X7UM80_A0A1X7UM80_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=109582852 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T307_A0A1X7T307_AMPQE tr_A0A1X7T307_A0A1X7T307_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U6Y4_A0A1X7U6Y4_AMPQE tr_A0A1X7U6Y4_A0A1X7U6Y4_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=109584537 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UN41_A0A1X7UN41_AMPQE tr_A0A1X7UN41_A0A1X7UN41_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SU25_A0A1X7SU25_AMPQE tr_A0A1X7SU25_A0A1X7SU25_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7STC6_A0A1X7STC6_AMPQE tr_A0A1X7STC6_A0A1X7STC6_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UNT8_A0A1X7UNT8_AMPQE tr_A0A1X7UNT8_A0A1X7UNT8_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U6H4_A0A1X7U6H4_AMPQE tr_A0A1X7U6H4_A0A1X7U6H4_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UNH2_A0A1X7UNH2_AMPQE tr_A0A1X7UNH2_A0A1X7UNH2_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=109582792 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UM56_A0A1X7UM56_AMPQE tr_A0A1X7UM56_A0A1X7UM56_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TII3_A0A1X7TII3_AMPQE tr_A0A1X7TII3_A0A1X7TII3_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TSE7_A0A1X7TSE7_AMPQE tr_A0A1X7TSE7_A0A1X7TSE7_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T750_A0A1X7T750_AMPQE tr_A0A1X7T750_A0A1X7T750_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TNK4_A0A1X7TNK4_AMPQE tr_A0A1X7TNK4_A0A1X7TNK4_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T309_A0A1X7T309_AMPQE tr_A0A1X7T309_A0A1X7T309_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UMG7_A0A1X7UMG7_AMPQE tr_A0A1X7UMG7_A0A1X7UMG7_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UFJ3_A0A1X7UFJ3_AMPQE tr_A0A1X7UFJ3_A0A1X7UFJ3_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7STI1_A0A1X7STI1_AMPQE tr_A0A1X7STI1_A0A1X7STI1_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T2Z1_A0A1X7T2Z1_AMPQE tr_A0A1X7T2Z1_A0A1X7T2Z1_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UMH1_A0A1X7UMH1_AMPQE tr_A0A1X7UMH1_A0A1X7UMH1_AMPQE Angiopoietin-related protein 4 OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7ULS0_A0A1X7ULS0_AMPQE tr_A0A1X7ULS0_A0A1X7ULS0_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7ULR7_A0A1X7ULR7_AMPQE tr_A0A1X7ULR7_A0A1X7ULR7_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UL48_A0A1X7UL48_AMPQE tr_A0A1X7UL48_A0A1X7UL48_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TSY6_A0A1X7TSY6_AMPQE tr_A0A1X7TSY6_A0A1X7TSY6_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.45769 Ccrux.Trinity.45769	Pleurobrachia_bachei_sb_2650520_ sb_2650520_, Pleurobrachia_bachei_sb_2643421_ sb_2643421_
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.13823 Ccrux.Trinity.13823	Clytia_hemispherica_TCONS_00005192-protein TCONS_00005192-protein
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.51739 Ccrux.Trinity.51739, Calvadosia_cruxmelitensis_Ccrux.Trinity.25433 Ccrux.Trinity.25433	Exaiptasia_diaphana_XP_028518669.1 XP_028518669.1 zinc metalloproteinase nas-13 [Exaiptasia diaphana]
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.51739 Ccrux.Trinity.51739, Calvadosia_cruxmelitensis_Ccrux.Trinity.25433 Ccrux.Trinity.25433	Hydra_vulgaris_Sc4wPfr_576.1.g2978.t1 Sc4wPfr_576.1.g2978.t1
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.51739 Ccrux.Trinity.51739, Calvadosia_cruxmelitensis_Ccrux.Trinity.25433 Ccrux.Trinity.25433	Nematostella_vectensis_NV2t018104001.1 NV2t018104001.1
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.51739 Ccrux.Trinity.51739, Calvadosia_cruxmelitensis_Ccrux.Trinity.25433 Ccrux.Trinity.25433	Stylophora_pistillata_Spis13923 Spis13923 SpisGene13923
OG0000005	Calvadosia_cruxmelitensis_Ccrux.Trinity.33090 Ccrux.Trinity.33090	Porites_asteroides_isotig01650 isotig01650 extracted_CDS GOMatch=A7SA78 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Putative_metalloproteinase_1__Fragment__ Match_Acc=Q5EN83 gene=isogroup00658 length=1154 numContigs=2
