Orthogroup	Chordata_Vertebrata_Bos_taurus	Ctenophora_Tentaculata_Pleurobrachia_bachei
OG0000001	XP_059731805.1 laminin subunit gamma-2 isoform X1 [Bos taurus]	Pleurobrachia_bachei_sb_2639858_ sb_2639858_, Pleurobrachia_bachei_sb_2654211_ sb_2654211_
OG0000001	XP_010803496.1 netrin-4 isoform X2 [Bos taurus], XP_059731406.1 laminin subunit beta-3 isoform X1 [Bos taurus], NP_001039712.2 laminin subunit beta-2 precursor [Bos taurus], DAA30633.1 TPA_ laminin_ beta 1 [Bos taurus]	Pleurobrachia_bachei_sb_2652422_ sb_2652422_
OG0000001	NP_001193801.1 netrin-5 precursor [Bos taurus]	Pleurobrachia_bachei_sb_2653902_ sb_2653902_
OG0000001	NP_001193834.1 netrin-3 precursor [Bos taurus], NP_001179495.1 netrin-1 precursor [Bos taurus], DAA24206.1 TPA_ laminin_ gamma 3-like [Bos taurus], NP_001193746.1 laminin subunit gamma-1 precursor [Bos taurus]	Pleurobrachia_bachei_sb_2656958_ sb_2656958_, Pleurobrachia_bachei_sb_2651191_ sb_2651191_
OG0000002	XP_059736229.1 von Willebrand factor A domain-containing protein 7 isoform X1 [Bos taurus]	Pleurobrachia_bachei_sb_2660785_ sb_2660785_, Pleurobrachia_bachei_sb_2663848_ sb_2663848_, Pleurobrachia_bachei_sb_2658038_ sb_2658038_, Pleurobrachia_bachei_sb_2659183_ sb_2659183_, Pleurobrachia_bachei_sb_2661642_ sb_2661642_, Pleurobrachia_bachei_sb_2656508_ sb_2656508_, Pleurobrachia_bachei_sb_2639676_ sb_2639676_, Pleurobrachia_bachei_sb_2650520_ sb_2650520_, Pleurobrachia_bachei_sb_2643421_ sb_2643421_, Pleurobrachia_bachei_sb_2657717_ sb_2657717_, Pleurobrachia_bachei_sb_2642327_ sb_2642327_
OG0000003	XP_059737445.1 brevican core protein isoform X1 [Bos taurus], XP_059744190.1 neurocan core protein isoform X1 [Bos taurus], XP_059734920.1 aggrecan core protein isoform X1 [Bos taurus], NP_776406.1 aggrecan core protein precursor [Bos taurus], sp|P81282.2|CSPG2_BOVIN RecName_ Full=Versican core protein; AltName_ Full=Chondroitin sulfate proteoglycan core protein 2; Short=Chondroitin sulfate proteoglycan 2; AltName_ Full=Glial hyaluronate-binding protein; Short=GHAP; AltName_ Full=Large fibroblast proteoglycan; AltName_ Full=PG-M; Flags_ Precursor, sp|P81282.2|CSPG2_BOVIN RecName_ Full=Versican core protein; AltName_ Full=Chondroitin sulfate proteoglycan core protein 2; Short=Chondroitin sulfate proteoglycan 2; AltName_ Full=Glial hyaluronate-binding protein; Short=GHAP; AltName_ Full=Large fibroblast proteoglycan; AltName_ Full=PG-M; Flags_ Precursor	Pleurobrachia_bachei_sb_2654447_ sb_2654447_, Pleurobrachia_bachei_sb_2646239_ sb_2646239_, Pleurobrachia_bachei_sb_2662112_ sb_2662112_
OG0000003	sp|Q17QH6.1|COL11_BOVIN RecName_ Full=Collectin-11; AltName_ Full=Collectin kidney protein 1; Short=CL-K1; Flags_ Precursor, NP_001192642.1 collectin-10 precursor [Bos taurus], sp|Q8MHZ9.1|CL46_BOVIN RecName_ Full=Collectin-46; Short=CL-46; AltName_ Full=46 kDa collectin; Flags_ Precursor, NP_776532.1 mannose-binding protein C precursor [Bos taurus], XP_059738436.1 mannose-binding protein A isoform X1 [Bos taurus]	Pleurobrachia_bachei_sb_2665626_ sb_2665626_
OG0000003	sp|Q2KIS7.1|TETN_BOVIN RecName_ Full=Tetranectin; Short=TN; AltName_ Full=C-type lectin domain family 3 member B; Flags_ Precursor, sp|Q28008.1|CLC3A_BOVIN RecName_ Full=C-type lectin domain family 3 member A; AltName_ Full=C-type lectin superfamily member 1; AltName_ Full=Cartilage-derived C-type lectin; Flags_ Precursor	Pleurobrachia_bachei_sb_2654029_ sb_2654029_, Pleurobrachia_bachei_sb_2661432_ sb_2661432_
OG0000003	NP_001193132.1 C-type lectin domain family 5 member A [Bos taurus]	Pleurobrachia_bachei_sb_2659118_ sb_2659118_, Pleurobrachia_bachei_sb_2655921_ sb_2655921_, Pleurobrachia_bachei_sb_2646600_ sb_2646600_, Pleurobrachia_bachei_sb_2666979_ sb_2666979_, Pleurobrachia_bachei_sb_2656105_ sb_2656105_, Pleurobrachia_bachei_sb_2655552_ sb_2655552_, Pleurobrachia_bachei_sb_2651961_ sb_2651961_
OG0000006	NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus]	Pleurobrachia_bachei_sb_2659418_ sb_2659418_, Pleurobrachia_bachei_sb_2644104_ sb_2644104_, Pleurobrachia_bachei_sb_2665775_ sb_2665775_, Pleurobrachia_bachei_sb_2648605_ sb_2648605_, Pleurobrachia_bachei_sb_2648607_ sb_2648607_, Pleurobrachia_bachei_sb_2657713_ sb_2657713_
OG0000006	XP_002691171.2 fibulin-7 [Bos taurus]	Pleurobrachia_bachei_sb_2639084_ sb_2639084_, Pleurobrachia_bachei_sb_2660593_ sb_2660593_, Pleurobrachia_bachei_sb_2645412_ sb_2645412_, Pleurobrachia_bachei_sb_2663118_ sb_2663118_, Pleurobrachia_bachei_sb_2663232_ sb_2663232_, Pleurobrachia_bachei_sb_2668477_ sb_2668477_, Pleurobrachia_bachei_sb_2654500_ sb_2654500_, Pleurobrachia_bachei_sb_2638567_ sb_2638567_
OG0000010	sp|Q1LZB9.1|FSTL3_BOVIN RecName_ Full=Follistatin-related protein 3; AltName_ Full=Follistatin-like protein 3; Flags_ Precursor	Pleurobrachia_bachei_sb_2653999_ sb_2653999_
OG0000011	XP_005222860.2 hepatocyte growth factor-like protein isoform X1 [Bos taurus], NP_001026921.1 hepatocyte growth factor precursor [Bos taurus]	Pleurobrachia_bachei_sb_2646994_ sb_2646994_, Pleurobrachia_bachei_sb_2669487_ sb_2669487_, Pleurobrachia_bachei_sb_2641704_ sb_2641704_
OG0000012	sp|P98091.2|MUC19_BOVIN RecName_ Full=Mucin-19; Short=MUC-19; AltName_ Full=Submaxillary mucin-like protein; Flags_ Precursor, XP_024843363.1 LOW QUALITY PROTEIN_ mucin-2 [Bos taurus], CBL80808.1 TPA_ mucin-5AC [Bos taurus], XP_059739142.1 mucin-5B [Bos taurus], sp|P98167.2|SSPO_BOVIN RecName_ Full=SCO-spondin; Flags_ Precursor, sp|P98167.2|SSPO_BOVIN RecName_ Full=SCO-spondin; Flags_ Precursor, pir||A34102 von Willebrand factor - bovine _fragments_, XP_059742803.1 otogelin-like protein [Bos taurus], DAA22321.1 TPA_ Otogelin-like [Bos taurus]	Pleurobrachia_bachei_sb_2646755_ sb_2646755_, Pleurobrachia_bachei_sb_2666898_ sb_2666898_, Pleurobrachia_bachei_sb_2651486_ sb_2651486_, Pleurobrachia_bachei_sb_2648597_ sb_2648597_
