Orthogroup	Chordata_Vertebrata_Danio_rerio	Other
OG0000021	Danio_rerio_tr_Q6VQA2_Q6VQA2_DANRE tr|Q6VQA2|Q6VQA2_DANRE Pro-epidermal growth factor OS=Danio rerio OX=7955 GN=egf PE=2 SV=1	Branchiostoma_belcheri_tr_A0A6P4Y624_A0A6P4Y624_BRABE tr|A0A6P4Y624|A0A6P4Y624_BRABE Uncharacterized protein LOC109462101 OS=Branchiostoma belcheri OX=7741 GN=LOC109462101 PE=4 SV=1
OG0000021	Danio_rerio_tr_Q6VQA2_Q6VQA2_DANRE tr|Q6VQA2|Q6VQA2_DANRE Pro-epidermal growth factor OS=Danio rerio OX=7955 GN=egf PE=2 SV=1	Branchiostoma_lanceolatum_tr_A0A8S4MN64_A0A8S4MN64_BRALA tr|A0A8S4MN64|A0A8S4MN64_BRALA Hypp9532 protein OS=Branchiostoma lanceolatum OX=7740 GN=Hypp9532 PE=4 SV=1
OG0000040	Danio_rerio_tr_Q08CJ3_Q08CJ3_DANRE tr|Q08CJ3|Q08CJ3_DANRE Endothelial cell-specific molecule 1 precursor OS=Danio rerio OX=7955 GN=zgc_153027 PE=2 SV=1, Danio_rerio_tr_B0V1B1_B0V1B1_DANRE tr|B0V1B1|B0V1B1_DANRE Kazal-type serine peptidase inhibitor domain 3 OS=Danio rerio OX=7955 GN=im_7144240 PE=4 SV=1, Danio_rerio_tr_Q6NW92_Q6NW92_DANRE tr|Q6NW92|Q6NW92_DANRE Insulin-like growth factor-binding protein 7 precursor OS=Danio rerio OX=7955 GN=zgc_85888 PE=1 SV=1	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true
OG0000040	Danio_rerio_tr_Q08CJ3_Q08CJ3_DANRE tr|Q08CJ3|Q08CJ3_DANRE Endothelial cell-specific molecule 1 precursor OS=Danio rerio OX=7955 GN=zgc_153027 PE=2 SV=1	Amphimedon_queenslandica_tr_A0A1X7VM13_A0A1X7VM13_AMPQE tr_A0A1X7VM13_A0A1X7VM13_AMPQE IGFBP N-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VKH1_A0A1X7VKH1_AMPQE tr_A0A1X7VKH1_A0A1X7VKH1_AMPQE IGFBP N-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000040	Danio_rerio_tr_Q08CJ3_Q08CJ3_DANRE tr|Q08CJ3|Q08CJ3_DANRE Endothelial cell-specific molecule 1 precursor OS=Danio rerio OX=7955 GN=zgc_153027 PE=2 SV=1	Ephydatia_muelleri_Em0019g1178a Em0019g1178a, Ephydatia_muelleri_Em0705g2a Em0705g2a, Ephydatia_muelleri_Em0019g601a Em0019g601a, Ephydatia_muelleri_Em0019g591a Em0019g591a
OG0000040	Danio_rerio_tr_Q08CJ3_Q08CJ3_DANRE tr|Q08CJ3|Q08CJ3_DANRE Endothelial cell-specific molecule 1 precursor OS=Danio rerio OX=7955 GN=zgc_153027 PE=2 SV=1	Clytia_hemispherica_TCONS_00054801-protein TCONS_00054801-protein, Clytia_hemispherica_TCONS_00063899-protein TCONS_00063899-protein
OG0000064	Danio_rerio_tr_B6CS38_B6CS38_DANRE tr|B6CS38|B6CS38_DANRE Fibrillin 2 OS=Danio rerio OX=7955 GN=fbn2 PE=1 SV=1, Danio_rerio_tr_A0A0G2KQ62_A0A0G2KQ62_DANRE tr|A0A0G2KQ62|A0A0G2KQ62_DANRE Fibrillin 2b OS=Danio rerio OX=7955 GN=fbn2 PE=1 SV=2	Porites_asteroides_isotig12005 isotig12005 extracted_CDS GOMatch=D2H7E0 GOTerms=GO_0005201_GO_0005488_GO_0005509_GO_0005578 Gene=Fibrillin-2_ Match_Acc=P35556 gene=isogroup10273 length=577 numContigs=1
OG0000064	Danio_rerio_tr_B6CS38_B6CS38_DANRE tr|B6CS38|B6CS38_DANRE Fibrillin 2 OS=Danio rerio OX=7955 GN=fbn2 PE=1 SV=1, Danio_rerio_tr_A0A0G2KQ62_A0A0G2KQ62_DANRE tr|A0A0G2KQ62|A0A0G2KQ62_DANRE Fibrillin 2b OS=Danio rerio OX=7955 GN=fbn2 PE=1 SV=2	Nematostella_vectensis_NV2t022932001.1 NV2t022932001.1
OG0000088	Danio_rerio_tr_O42111_O42111_DANRE tr|O42111|O42111_DANRE MINDIN1 OS=Danio rerio OX=7955 GN=mindin1 PE=2 SV=1, Danio_rerio_tr_Q0V935_Q0V935_DANRE tr|Q0V935|Q0V935_DANRE Spon2b protein OS=Danio rerio OX=7955 GN=etID309958.14 PE=2 SV=1, Danio_rerio_tr_O42114_O42114_DANRE tr|O42114|O42114_DANRE Spondin-1 OS=Danio rerio OX=7955 GN=cb1051 PE=2 SV=1, Danio_rerio_tr_F1R2Z9_F1R2Z9_DANRE tr|F1R2Z9|F1R2Z9_DANRE Spondin-1 OS=Danio rerio OX=7955 GN=F-spondin2 PE=4 SV=3, Danio_rerio_tr_O42113_O42113_DANRE tr|O42113|O42113_DANRE Spondin-1 OS=Danio rerio OX=7955 GN=F-spondin1 PE=2 SV=1	Exaiptasia_diaphana_XP_028518403.1 XP_028518403.1 mucin-like protein_ partial [Exaiptasia diaphana]
OG0000102	Danio_rerio_tr_B8A4X3_B8A4X3_DANRE tr|B8A4X3|B8A4X3_DANRE Fibulin 5 OS=Danio rerio OX=7955 GN=zgc_103575 PE=1 SV=1, Danio_rerio_tr_Q5XJ74_Q5XJ74_DANRE tr|Q5XJ74|Q5XJ74_DANRE Fbln5 protein OS=Danio rerio OX=7955 GN=zgc_103575 PE=1 SV=1, Danio_rerio_tr_Q5PR37_Q5PR37_DANRE tr|Q5PR37|Q5PR37_DANRE EGF-containing fibulin-like extracellular matrix protein 2 OS=Danio rerio OX=7955 GN=efemp2 PE=1 SV=1, Danio_rerio_tr_Q5WQV6_Q5WQV6_DANRE tr|Q5WQV6|Q5WQV6_DANRE Acidic fibroblast growth factor intracellular-binding protein B isoform X1 OS=Danio rerio OX=7955 GN=LOC572703 PE=1 SV=2, Danio_rerio_tr_A0A0R4IL08_A0A0R4IL08_DANRE tr|A0A0R4IL08|A0A0R4IL08_DANRE Si_ch73-173h19.3 OS=Danio rerio OX=7955 GN=si_ch73-173h19.3 PE=4 SV=1	Porites_asteroides_isotig17654 isotig17654 extracted_CDS GOMatch=B0X2G9 GOTerms=GO_0004519_GO_0005509_GO_0051539 Gene=Crumbs_ Match_Acc=B0X2G9 gene=isogroup15922 length=426 numContigs=1
