Orthogroup	Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	Chordata_Vertebrata_Mus_musculus
OG0000001	Salpingoeca_rosetta_XP_004993731.1 XP_004993731.1 laminin alpha 5 chain [Salpingoeca rosetta]	Mus_musculus_sp_Q8R4F1_NTNG2_MOUSE sp_Q8R4F1_NTNG2_MOUSE Netrin-G2 OS=Mus musculus OX=10090 GN=Ntng2 PE=1 SV=2, Mus_musculus_sp_Q9R1A3_NET3_MOUSE sp_Q9R1A3_NET3_MOUSE Netrin-3 OS=Mus musculus OX=10090 GN=Ntn3 PE=2 SV=1, Mus_musculus_sp_O09118_NET1_MOUSE sp_O09118_NET1_MOUSE Netrin-1 OS=Mus musculus OX=10090 GN=Ntn1 PE=1 SV=3, Mus_musculus_sp_Q9R0B6_LAMC3_MOUSE sp_Q9R0B6_LAMC3_MOUSE Laminin subunit gamma-3 OS=Mus musculus OX=10090 GN=Lamc3 PE=1 SV=2, Mus_musculus_sp_P02468_LAMC1_MOUSE sp_P02468_LAMC1_MOUSE Laminin subunit gamma-1 OS=Mus musculus OX=10090 GN=Lamc1 PE=1 SV=2
OG0000003	Salpingoeca_rosetta_XP_004995286.1 XP_004995286.1 lung surfactant protein A [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004992387.1 XP_004992387.1 salivary C-type lectin [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004997986.1 XP_004997986.1 C-type lectin [Salpingoeca rosetta]	Mus_musculus_sp_Q3SXB8_COL11_MOUSE sp_Q3SXB8_COL11_MOUSE Collectin-11 OS=Mus musculus OX=10090 GN=Colec11 PE=2 SV=2, Mus_musculus_sp_P35242_SFTPA_MOUSE sp_P35242_SFTPA_MOUSE Pulmonary surfactant-associated protein A OS=Mus musculus OX=10090 GN=Sftpa1 PE=1 SV=1, Mus_musculus_sp_P50404_SFTPD_MOUSE sp_P50404_SFTPD_MOUSE Pulmonary surfactant-associated protein D OS=Mus musculus OX=10090 GN=Sftpd PE=1 SV=1, Mus_musculus_sp_P41317_MBL2_MOUSE sp_P41317_MBL2_MOUSE Mannose-binding protein C OS=Mus musculus OX=10090 GN=Mbl2 PE=1 SV=2, Mus_musculus_sp_P39039_MBL1_MOUSE sp_P39039_MBL1_MOUSE Mannose-binding protein A OS=Mus musculus OX=10090 GN=Mbl1 PE=1 SV=1
OG0000020	Salpingoeca_rosetta_XP_004997835.1 XP_004997835.1 uncharacterized protein PTSG_11789 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004999076.1 XP_004999076.1 uncharacterized protein PTSG_11601 [Salpingoeca rosetta]	Mus_musculus_sp_Q30D77_COOA1_MOUSE sp_Q30D77_COOA1_MOUSE Collagen alpha-1_XXIV_ chain OS=Mus musculus OX=10090 GN=Col24a1 PE=2 SV=2, Mus_musculus_sp_Q5QNQ9_CORA1_MOUSE sp_Q5QNQ9_CORA1_MOUSE Collagen alpha-1_XXVII_ chain OS=Mus musculus OX=10090 GN=Col27a1 PE=2 SV=1
OG0000022	Salpingoeca_rosetta_XP_004988766.1 XP_004988766.1 annexin A7 [Salpingoeca rosetta]	Mus_musculus_sp_Q07076_ANXA7_MOUSE sp_Q07076_ANXA7_MOUSE Annexin A7 OS=Mus musculus OX=10090 GN=Anxa7 PE=1 SV=2
OG0000022	Salpingoeca_rosetta_XP_004993260.1 XP_004993260.1 uncharacterized protein PTSG_12438 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004993498.1 XP_004993498.1 uncharacterized protein PTSG_12342 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004993501.1 XP_004993501.1 annexin A7 [Salpingoeca rosetta]	Mus_musculus_sp_Q99JG3_ANX13_MOUSE sp_Q99JG3_ANX13_MOUSE Annexin A13 OS=Mus musculus OX=10090 GN=Anxa13 PE=1 SV=3
OG0000030	Salpingoeca_rosetta_XP_004993196.1 XP_004993196.1 ADAM-17 protein [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004992519.1 XP_004992519.1 uncharacterized protein PTSG_07102 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004990777.1 XP_004990777.1 uncharacterized protein PTSG_07278 [Salpingoeca rosetta]	Mus_musculus_sp_Q9Z0F8_ADA17_MOUSE sp_Q9Z0F8_ADA17_MOUSE Disintegrin and metalloproteinase domain-containing protein 17 OS=Mus musculus OX=10090 GN=Adam17 PE=1 SV=3
OG0000030	Salpingoeca_rosetta_XP_004994795.1 XP_004994795.1 uncharacterized protein PTSG_03901 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004988368.1 XP_004988368.1 uncharacterized protein PTSG_10317 [Salpingoeca rosetta]	Mus_musculus_sp_O35598_ADA10_MOUSE sp_O35598_ADA10_MOUSE Disintegrin and metalloproteinase domain-containing protein 10 OS=Mus musculus OX=10090 GN=Adam10 PE=1 SV=2
OG0000034	Salpingoeca_rosetta_XP_004991206.1 XP_004991206.1 wnt inhibitory factor 1 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004999045.1 XP_004999045.1 laminin B1 [Salpingoeca rosetta]	Mus_musculus_sp_P60882_MEGF8_MOUSE sp_P60882_MEGF8_MOUSE Multiple epidermal growth factor-like domains protein 8 OS=Mus musculus OX=10090 GN=Megf8 PE=1 SV=2
OG0000041	Salpingoeca_rosetta_XP_004992203.1 XP_004992203.1 beta-actin [Salpingoeca rosetta]	Mus_musculus_sp_Q99KC8_VMA5A_MOUSE sp_Q99KC8_VMA5A_MOUSE von Willebrand factor A domain-containing protein 5A OS=Mus musculus OX=10090 GN=Vwa5a PE=1 SV=2, Mus_musculus_sp_A9Z1V5_VW5B1_MOUSE sp_A9Z1V5_VW5B1_MOUSE von Willebrand factor A domain-containing protein 5B1 OS=Mus musculus OX=10090 GN=Vwa5b1 PE=2 SV=1
OG0000048	Salpingoeca_rosetta_XP_004987589.1 XP_004987589.1 uncharacterized protein PTSG_13192_ partial [Salpingoeca rosetta]	Mus_musculus_sp_Q99MQ4_ASPN_MOUSE sp_Q99MQ4_ASPN_MOUSE Asporin OS=Mus musculus OX=10090 GN=Aspn PE=1 SV=1, Mus_musculus_sp_P28654_PGS2_MOUSE sp_P28654_PGS2_MOUSE Decorin OS=Mus musculus OX=10090 GN=Dcn PE=1 SV=1, Mus_musculus_sp_P28653_PGS1_MOUSE sp_P28653_PGS1_MOUSE Biglycan OS=Mus musculus OX=10090 GN=Bgn PE=1 SV=1, Mus_musculus_sp_Q9CQ76_NEPN_MOUSE sp_Q9CQ76_NEPN_MOUSE Nephrocan OS=Mus musculus OX=10090 GN=Nepn PE=1 SV=1, Mus_musculus_sp_Q6P3Y9_PONL1_MOUSE sp_Q6P3Y9_PONL1_MOUSE Podocan-like protein 1 OS=Mus musculus OX=10090 GN=Podnl1 PE=1 SV=3, Mus_musculus_sp_Q7TQ62_PODN_MOUSE sp_Q7TQ62_PODN_MOUSE Podocan OS=Mus musculus OX=10090 GN=Podn PE=2 SV=1, Mus_musculus_sp_P50608_FMOD_MOUSE sp_P50608_FMOD_MOUSE Fibromodulin OS=Mus musculus OX=10090 GN=Fmod PE=2 SV=1, Mus_musculus_sp_P51885_LUM_MOUSE sp_P51885_LUM_MOUSE Lumican OS=Mus musculus OX=10090 GN=Lum PE=1 SV=2, Mus_musculus_sp_O35103_OMD_MOUSE sp_O35103_OMD_MOUSE Osteomodulin OS=Mus musculus OX=10090 GN=Omd PE=2 SV=1, Mus_musculus_sp_Q9JK53_PRELP_MOUSE sp_Q9JK53_PRELP_MOUSE Prolargin OS=Mus musculus OX=10090 GN=Prelp PE=1 SV=2, Mus_musculus_sp_Q5FW85_ECM2_MOUSE sp_Q5FW85_ECM2_MOUSE Extracellular matrix protein 2 OS=Mus musculus OX=10090 GN=Ecm2 PE=1 SV=1
