Orthogroup	Chordata_Vertebrata_Homo_sapiens	Cnidaria_Anthozoa_Porites_asteroides
OG0000000	Homo_sapiens_sp_P24821_TENA_HUMAN sp|P24821|TENA_HUMAN Tenascin OS=Homo sapiens OX=9606 GN=TNC PE=1 SV=3, Homo_sapiens_sp_Q92752_TENR_HUMAN sp|Q92752|TENR_HUMAN Tenascin-R OS=Homo sapiens OX=9606 GN=TNR PE=1 SV=3, Homo_sapiens_sp_Q9UQP3_TENN_HUMAN sp|Q9UQP3|TENN_HUMAN Tenascin-N OS=Homo sapiens OX=9606 GN=TNN PE=1 SV=2	Porites_asteroides_isotig22287 isotig22287 extracted_CDS GOMatch=Q9U8W8 GOTerms=GO_0005102_GO_0005529_GO_0005576_GO_0005615_GO_0007165_GO_0016337_GO_0046872 Gene=Techylectin-5A_ Match_Acc=Q9U8W8 gene=isogroup20555 length=366 numContigs=1, Porites_asteroides_isotig06298 isotig06298 extracted_CDS gene=isogroup04566 length=931 numContigs=1, Porites_asteroides_GCKDGN103G3H3D GCKDGN103G3H3D extracted_CDS GOMatch=C3XRU3 GOTerms=GO_0005102_GO_0005615_GO_0007165 length=440 region=3 run=R_2010_02_19_08_49_25_ xy=2793_0711, Porites_asteroides_isotig24293 isotig24293 extracted_CDS GOMatch=A7RSN8 GOTerms=GO_0005102_GO_0005615_GO_0007165 gene=isogroup22561 length=343 numContigs=1, Porites_asteroides_isotig04154 isotig04154 extracted_CDS GOMatch=A7SD41 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Ficolin-2_ Match_Acc=Q15485 gene=isogroup02422 length=1361 numContigs=1, Porites_asteroides_isotig24972 isotig24972 extracted_CDS GOMatch=A7RSP0 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Sialic_acid-binding_lectin_2_ Match_Acc=O76334 gene=isogroup23240 length=334 numContigs=1, Porites_asteroides_isotig19617 isotig19617 extracted_CDS GOMatch=C3Z9N5 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Tenascin-R_ Match_Acc=Q00546 gene=isogroup17885 length=400 numContigs=1, Porites_asteroides_GCKDGN102EK4EI GCKDGN102EK4EI extracted_CDS GOMatch=C3Z9N5 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Carcinolectin5b-7_ Match_Acc=A9X700 length=462 region=2 run=R_2010_02_19_08_49_25_ xy=1763_2808, Porites_asteroides_isotig21537 isotig21537 extracted_CDS GOMatch=A7SLX6 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Techylectin-5B_ Match_Acc=Q9U8W7 gene=isogroup19805 length=373 numContigs=1, Porites_asteroides_isotig01945 isotig01945 extracted_CDS GOMatch=A7SLX6 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Carcinolectin5b-5_ Match_Acc=A9X6Z8 gene=isogroup00805 length=548 numContigs=2
OG0000000	Homo_sapiens_sp_P55083_MFAP4_HUMAN sp|P55083|MFAP4_HUMAN Microfibril-associated glycoprotein 4 OS=Homo sapiens OX=9606 GN=MFAP4 PE=1 SV=2, Homo_sapiens_sp_O00602_FCN1_HUMAN sp|O00602|FCN1_HUMAN Ficolin-1 OS=Homo sapiens OX=9606 GN=FCN1 PE=1 SV=2, Homo_sapiens_sp_Q15485_FCN2_HUMAN sp|Q15485|FCN2_HUMAN Ficolin-2 OS=Homo sapiens OX=9606 GN=FCN2 PE=1 SV=2, Homo_sapiens_sp_O75636_FCN3_HUMAN sp|O75636|FCN3_HUMAN Ficolin-3 OS=Homo sapiens OX=9606 GN=FCN3 PE=1 SV=2	Porites_asteroides_isotig25684 isotig25684 extracted_CDS GOMatch=C3Y0I4 GOTerms=GO_0005102_GO_0007165 Gene=Ficolin__Collagen_fibrinogen_domain_containing__3__Hakata_antig en__ Match_Acc=Q6DIT6 gene=isogroup23952 length=322 numContigs=1
OG0000000	Homo_sapiens_sp_P22105_TENX_HUMAN sp|P22105|TENX_HUMAN Tenascin-X OS=Homo sapiens OX=9606 GN=TNXB PE=1 SV=5	Porites_asteroides_GCKDGN103FVVXB GCKDGN103FVVXB extracted_CDS GOMatch=A7RST9 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Fibrinogen-like_protein_ Match_Acc=Q9NDQ1 length=260 region=3 run=R_2010_02_19_08_49_25_ xy=2296_1485
OG0000001	Homo_sapiens_sp_Q13753_LAMC2_HUMAN sp|Q13753|LAMC2_HUMAN Laminin subunit gamma-2 OS=Homo sapiens OX=9606 GN=LAMC2 PE=1 SV=2	Porites_asteroides_isotig05078 isotig05078 extracted_CDS GOMatch=A7SIF3 GOTerms=GO_0007155_GO_0031012 Gene=Laminin_subunit_gamma-1_ Match_Acc=A0JP86 gene=isogroup03346 length=1119 numContigs=1
OG0000001	Homo_sapiens_sp_O00634_NET3_HUMAN sp|O00634|NET3_HUMAN Netrin-3 OS=Homo sapiens OX=9606 GN=NTN3 PE=1 SV=1, Homo_sapiens_sp_Q9Y6N6_LAMC3_HUMAN sp|Q9Y6N6|LAMC3_HUMAN Laminin subunit gamma-3 OS=Homo sapiens OX=9606 GN=LAMC3 PE=1 SV=3, Homo_sapiens_sp_P11047_LAMC1_HUMAN sp|P11047|LAMC1_HUMAN Laminin subunit gamma-1 OS=Homo sapiens OX=9606 GN=LAMC1 PE=1 SV=3	Porites_asteroides_isotig05979 isotig05979 extracted_CDS GOMatch=A7SIF3 GOTerms=GO_0007155_GO_0031012 Gene=Laminin_subunit_gamma-1_ Match_Acc=Q1LVF0 gene=isogroup04247 length=967 numContigs=1
OG0000003	Homo_sapiens_sp_Q9BWP8_COL11_HUMAN sp|Q9BWP8|COL11_HUMAN Collectin-11 OS=Homo sapiens OX=9606 GN=COLEC11 PE=1 SV=1, Homo_sapiens_sp_Q9Y6Z7_COL10_HUMAN sp|Q9Y6Z7|COL10_HUMAN Collectin-10 OS=Homo sapiens OX=9606 GN=COLEC10 PE=1 SV=2, Homo_sapiens_sp_P11226_MBL2_HUMAN sp|P11226|MBL2_HUMAN Mannose-binding protein C OS=Homo sapiens OX=9606 GN=MBL2 PE=1 SV=2	Porites_asteroides_isotig03882 isotig03882 extracted_CDS GOMatch=A7RGD7 GOTerms=GO_0005488_GO_0005529_GO_0007155 Gene=Mrc2_protein_ Match_Acc=A1A5G9 gene=isogroup02150 length=1475 numContigs=1, Porites_asteroides_isotig03504 isotig03504 extracted_CDS GOMatch=A7RGD7 GOTerms=GO_0005488_GO_0005529_GO_0007155 Gene=Testis_cDNA_clone__QtsA-10921__similar_to_human_mannose_receptor__C_type_1__MRC1___ Match_Acc=Q4R919 gene=isogroup01772 length=1787 numContigs=1, Porites_asteroides_isotig25304 isotig25304 extracted_CDS GOMatch=A7RGD7 GOTerms=GO_0005488_GO_0005529_GO_0007155 Gene=DC-SIGN_protein__Fragment__ Match_Acc=D7SA64 gene=isogroup23572 length=324 numContigs=1, Porites_asteroides_isotig18052 isotig18052 extracted_CDS GOMatch=A7RL02 GOTerms=GO_0005488 Gene=Collectin-12_ Match_Acc=Q8K4Q8 gene=isogroup16320 length=417 numContigs=1
OG0000004	Homo_sapiens_sp_Q6UXI7_VITRN_HUMAN sp|Q6UXI7|VITRN_HUMAN Vitrin OS=Homo sapiens OX=9606 GN=VIT PE=2 SV=1, Homo_sapiens_sp_O43405_COCH_HUMAN sp|O43405|COCH_HUMAN Cochlin OS=Homo sapiens OX=9606 GN=COCH PE=1 SV=1	Porites_asteroides_isotig18284 isotig18284 extracted_CDS gene=isogroup16552 length=417 numContigs=1, Porites_asteroides_isotig08816 isotig08816 extracted_CDS GOMatch=C3ZZV2 GOTerms=GO_0016491_GO_0046914_GO_0055114 Gene=Collagen_alpha-1_XII__chain_ Match_Acc=P13944 gene=isogroup07084 length=736 numContigs=1, Porites_asteroides_isotig20757 isotig20757 extracted_CDS GOMatch=D2H080 GOTerms=GO_0005539_GO_0005614_GO_0010811_GO_0030198_GO_0031012 Gene=VIT_protein_ Match_Acc=A1A526 gene=isogroup19025 length=385 numContigs=1, Porites_asteroides_isotig15239 isotig15239 extracted_CDS GOMatch=D2HSH8 GOTerms=GO_0005198_GO_0005615_GO_0007155_GO_0031012 Gene=Collagen_alpha-1_XII__chain_ Match_Acc=Q60847 gene=isogroup13507 length=472 numContigs=1, Porites_asteroides_isotig22176 isotig22176 extracted_CDS GOMatch=C3ZZV2 GOTerms=GO_0016491_GO_0046914_GO_0055114 gene=isogroup20444 length=370 numContigs=1
OG0000006	Homo_sapiens_sp_P05160_F13B_HUMAN sp|P05160|F13B_HUMAN Coagulation factor XIII B chain OS=Homo sapiens OX=9606 GN=F13B PE=1 SV=3	Porites_asteroides_isotig22690 isotig22690 extracted_CDS GOMatch=C3YPL3 GOTerms=GO_0003824_GO_0004252_GO_0005634_GO_0006508_GO_0008233_GO_0008236_GO_0016787_GO_0030528 Gene=CUB_and_sushi_domain-containing_protein_3_ Match_Acc=Q80T79 gene=isogroup20958 length=365 numContigs=1, Porites_asteroides_isotig19337 isotig19337 extracted_CDS GOMatch=C3ZHY1 GOTerms=GO_0003824_GO_0004252_GO_0005488_GO_0005529_GO_0005576_GO_0006508_GO_0010466_GO_0030414 Gene=Sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain-containing_protein_1_ Match_Acc=A2AVA0 gene=isogroup17605 length=402 numContigs=1, Porites_asteroides_isotig15445 isotig15445 extracted_CDS GOMatch=A7RMV0 GOTerms=GO_0005488_GO_0007155 Gene=CUB_and_sushi_domain-containing_protein_3_ Match_Acc=Q80T79 gene=isogroup13713 length=470 numContigs=1, Porites_asteroides_GCKDGN102E1JAR GCKDGN102E1JAR extracted_CDS GOMatch=A7RMV0 GOTerms=GO_0005488_GO_0007155 Gene=Multiple_domain_complement_regulator_1_ Match_Acc=Q45NC2 length=342 region=2 run=R_2010_02_19_08_49_25_ xy=1950_2657, Porites_asteroides_GCKDGN102DDUBU GCKDGN102DDUBU extracted_CDS length=345 xy=1270_2872 run=R_2010_02_19_08_49_25_ region=2 Gene=CUB_and_sushi_domain-containing_protein_1_ Match_Acc=Q96PZ7, Porites_asteroides_isotig06327 isotig06327 extracted_CDS GOMatch=A7RMV0 GOTerms=GO_0005488_GO_0007155 Gene=cDNA_FLJ90753_fis__clone_PLACE3000213__moderately_similar_to_Mus_musculus_sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain_containing_1__mRNA_ Match_Acc=B3KQM9 gene=isogroup04595 length=924 numContigs=1, Porites_asteroides_isotig05899 isotig05899 extracted_CDS GOMatch=C3Y0A3 GOTerms=GO_0005488_GO_0005509_GO_0005529 Gene=CUB_and_sushi_domain-containing_protein_2_ Match_Acc=Q7Z408 gene=isogroup04167 length=985 numContigs=1
OG0000006	Homo_sapiens_sp_O60687_SRPX2_HUMAN sp|O60687|SRPX2_HUMAN Sushi repeat-containing protein SRPX2 OS=Homo sapiens OX=9606 GN=SRPX2 PE=1 SV=1, Homo_sapiens_sp_P78539_SRPX_HUMAN sp|P78539|SRPX_HUMAN Sushi repeat-containing protein SRPX OS=Homo sapiens OX=9606 GN=SRPX PE=1 SV=1	Porites_asteroides_isotig21103 isotig21103 extracted_CDS GOMatch=C3YWM8 GOTerms=GO_0005509 Gene=Sushi_repeat-containing_protein_SRPX2_ Match_Acc=C0HBD7 gene=isogroup19371 length=384 numContigs=1, Porites_asteroides_GCKDGN103FYMAO GCKDGN103FYMAO extracted_CDS GOMatch=C3XPW7 GOTerms=GO_0005509 length=291 region=3 run=R_2010_02_19_08_49_25_ xy=2327_1998, Porites_asteroides_isotig03322 isotig03322 extracted_CDS GOMatch=C3YC48 GOTerms=GO_0005509_GO_0005529 Gene=cDNA_FLJ16013_fis__clone_PLACE5000171__highly_similar_to_Mus_musculus_sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain_containing_1__mRNA_ Match_Acc=B3KV07 gene=isogroup01590 length=2069 numContigs=1
OG0000006	Homo_sapiens_sp_Q4LDE5_SVEP1_HUMAN sp|Q4LDE5|SVEP1_HUMAN Sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SVEP1 PE=1 SV=3	Porites_asteroides_GE917285 GE917285 extracted_CDS Past_34_20453_M08.ab1_c Past_norm2007 Porites astreoides cDNA_ mRNA sequence, Porites_asteroides_GE915324 GE915324 extracted_CDS Past_28_20453_P11.ab1_c Past_norm2007 Porites astreoides cDNA_ mRNA sequence
