Orthogroup	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Cnidaria_Cubozoa_Morbakka_virulenta
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.33421 Ccrux.Trinity.33421, Calvadosia_cruxmelitensis_Ccrux.Trinity.8636 Ccrux.Trinity.8636	Morbakka_virulenta_scaffold626.g1.t2 scaffold626.g1.t2
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.23735 Ccrux.Trinity.23735, Calvadosia_cruxmelitensis_Ccrux.Trinity.23733 Ccrux.Trinity.23733	Morbakka_virulenta_scaffold19.g85.t4 scaffold19.g85.t4, Morbakka_virulenta_scaffold19.g85.t3 scaffold19.g85.t3, Morbakka_virulenta_scaffold19.g85.t1 scaffold19.g85.t1
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.70737 Ccrux.Trinity.70737	Morbakka_virulenta_scaffold227.g30.t1 scaffold227.g30.t1
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.12300 Ccrux.Trinity.12300, Calvadosia_cruxmelitensis_Ccrux.Trinity.12301 Ccrux.Trinity.12301	Morbakka_virulenta_scaffold356.g13.t1 scaffold356.g13.t1
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.15286 Ccrux.Trinity.15286, Calvadosia_cruxmelitensis_Ccrux.Trinity.15288 Ccrux.Trinity.15288, Calvadosia_cruxmelitensis_Ccrux.Trinity.15287 Ccrux.Trinity.15287, Calvadosia_cruxmelitensis_Ccrux.Trinity.15289 Ccrux.Trinity.15289, Calvadosia_cruxmelitensis_Ccrux.Trinity.15290 Ccrux.Trinity.15290	Morbakka_virulenta_scaffold161.g23.t1 scaffold161.g23.t1, Morbakka_virulenta_scaffold161.g20.t1 scaffold161.g20.t1
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.6711 Ccrux.Trinity.6711, Calvadosia_cruxmelitensis_Ccrux.Trinity.6713 Ccrux.Trinity.6713	Morbakka_virulenta_scaffold137.g22.t1 scaffold137.g22.t1, Morbakka_virulenta_scaffold137.g22.t3 scaffold137.g22.t3, Morbakka_virulenta_scaffold137.g22.t4 scaffold137.g22.t4
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.38369 Ccrux.Trinity.38369	Morbakka_virulenta_scaffold397.g4.t2 scaffold397.g4.t2, Morbakka_virulenta_scaffold397.g4.t1 scaffold397.g4.t1
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.59987 Ccrux.Trinity.59987	Morbakka_virulenta_scaffold12.g138.t1 scaffold12.g138.t1, Morbakka_virulenta_scaffold361.g18.t1 scaffold361.g18.t1, Morbakka_virulenta_scaffold209.g24.t6 scaffold209.g24.t6, Morbakka_virulenta_scaffold209.g24.t3 scaffold209.g24.t3, Morbakka_virulenta_scaffold209.g24.t5 scaffold209.g24.t5, Morbakka_virulenta_scaffold209.g24.t4 scaffold209.g24.t4
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.40612 Ccrux.Trinity.40612, Calvadosia_cruxmelitensis_Ccrux.Trinity.40613 Ccrux.Trinity.40613	Morbakka_virulenta_scaffold68.g48.t2 scaffold68.g48.t2, Morbakka_virulenta_scaffold68.g48.t1 scaffold68.g48.t1
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.47275 Ccrux.Trinity.47275, Calvadosia_cruxmelitensis_Ccrux.Trinity.47256 Ccrux.Trinity.47256, Calvadosia_cruxmelitensis_Ccrux.Trinity.47271 Ccrux.Trinity.47271, Calvadosia_cruxmelitensis_Ccrux.Trinity.47257 Ccrux.Trinity.47257, Calvadosia_cruxmelitensis_Ccrux.Trinity.47260 Ccrux.Trinity.47260, Calvadosia_cruxmelitensis_Ccrux.Trinity.47278 Ccrux.Trinity.47278, Calvadosia_cruxmelitensis_Ccrux.Trinity.47280 Ccrux.Trinity.47280	Morbakka_virulenta_scaffold37.g39.t1 scaffold37.g39.t1
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.70507 Ccrux.Trinity.70507	Morbakka_virulenta_scaffold186.g13.t1 scaffold186.g13.t1
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.2523 Ccrux.Trinity.2523, Calvadosia_cruxmelitensis_Ccrux.Trinity.2527 Ccrux.Trinity.2527, Calvadosia_cruxmelitensis_Ccrux.Trinity.2526 Ccrux.Trinity.2526	Morbakka_virulenta_scaffold624.g2.t1 scaffold624.g2.t1
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.26582 Ccrux.Trinity.26582	Morbakka_virulenta_scaffold476.g6.t1 scaffold476.g6.t1
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.66103 Ccrux.Trinity.66103	Morbakka_virulenta_scaffold186.g16.t1 scaffold186.g16.t1
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.1680 Ccrux.Trinity.1680, Calvadosia_cruxmelitensis_Ccrux.Trinity.30826 Ccrux.Trinity.30826, Calvadosia_cruxmelitensis_Ccrux.Trinity.30830 Ccrux.Trinity.30830	Morbakka_virulenta_scaffold659.g1.t1 scaffold659.g1.t1
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.56437 Ccrux.Trinity.56437	Morbakka_virulenta_scaffold23.g77.t2 scaffold23.g77.t2, Morbakka_virulenta_scaffold23.g77.t1 scaffold23.g77.t1
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.29916 Ccrux.Trinity.29916, Calvadosia_cruxmelitensis_Ccrux.Trinity.29915 Ccrux.Trinity.29915	Morbakka_virulenta_scaffold6.g122.t1 scaffold6.g122.t1
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.56550 Ccrux.Trinity.56550	Morbakka_virulenta_scaffold172.g29.t1 scaffold172.g29.t1, Morbakka_virulenta_scaffold99.g25.t1 scaffold99.g25.t1
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.52202 Ccrux.Trinity.52202	Morbakka_virulenta_scaffold186.g15.t2 scaffold186.g15.t2, Morbakka_virulenta_scaffold186.g15.t4 scaffold186.g15.t4, Morbakka_virulenta_scaffold186.g15.t3 scaffold186.g15.t3
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.53677 Ccrux.Trinity.53677	Morbakka_virulenta_scaffold92.g1.t1 scaffold92.g1.t1
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.557 Ccrux.Trinity.557	Morbakka_virulenta_scaffold398.g7.t1 scaffold398.g7.t1
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.40282 Ccrux.Trinity.40282, Calvadosia_cruxmelitensis_Ccrux.Trinity.40281 Ccrux.Trinity.40281	Morbakka_virulenta_scaffold43.g67.t1 scaffold43.g67.t1, Morbakka_virulenta_scaffold43.g67.t2 scaffold43.g67.t2
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.39089 Ccrux.Trinity.39089, Calvadosia_cruxmelitensis_Ccrux.Trinity.39088 Ccrux.Trinity.39088	Morbakka_virulenta_scaffold35.g66.t1 scaffold35.g66.t1
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.52972 Ccrux.Trinity.52972	Morbakka_virulenta_scaffold152.g29.t1 scaffold152.g29.t1, Morbakka_virulenta_scaffold152.g29.t2 scaffold152.g29.t2, Morbakka_virulenta_scaffold152.g29.t3 scaffold152.g29.t3
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.70250 Ccrux.Trinity.70250, Calvadosia_cruxmelitensis_Ccrux.Trinity.33425 Ccrux.Trinity.33425, Calvadosia_cruxmelitensis_Ccrux.Trinity.33423 Ccrux.Trinity.33423, Calvadosia_cruxmelitensis_Ccrux.Trinity.33422 Ccrux.Trinity.33422, Calvadosia_cruxmelitensis_Ccrux.Trinity.33427 Ccrux.Trinity.33427	Morbakka_virulenta_scaffold1.g52.t1 scaffold1.g52.t1, Morbakka_virulenta_scaffold1.g52.t2 scaffold1.g52.t2
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.20012 Ccrux.Trinity.20012	Morbakka_virulenta_scaffold212.g45.t1 scaffold212.g45.t1
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.14897 Ccrux.Trinity.14897, Calvadosia_cruxmelitensis_Ccrux.Trinity.14896 Ccrux.Trinity.14896	Morbakka_virulenta_scaffold55.g42.t1 scaffold55.g42.t1
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.40216 Ccrux.Trinity.40216, Calvadosia_cruxmelitensis_Ccrux.Trinity.40220 Ccrux.Trinity.40220, Calvadosia_cruxmelitensis_Ccrux.Trinity.40212 Ccrux.Trinity.40212, Calvadosia_cruxmelitensis_Ccrux.Trinity.40218 Ccrux.Trinity.40218	Morbakka_virulenta_scaffold353.g2.t4 scaffold353.g2.t4, Morbakka_virulenta_scaffold353.g2.t3 scaffold353.g2.t3, Morbakka_virulenta_scaffold353.g2.t1 scaffold353.g2.t1, Morbakka_virulenta_scaffold256.g1.t1 scaffold256.g1.t1
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.48847 Ccrux.Trinity.48847, Calvadosia_cruxmelitensis_Ccrux.Trinity.48848 Ccrux.Trinity.48848	Morbakka_virulenta_scaffold166.g9.t1 scaffold166.g9.t1
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.48835 Ccrux.Trinity.48835, Calvadosia_cruxmelitensis_Ccrux.Trinity.48834 Ccrux.Trinity.48834, Calvadosia_cruxmelitensis_Ccrux.Trinity.48839 Ccrux.Trinity.48839	Morbakka_virulenta_scaffold166.g7.t2 scaffold166.g7.t2, Morbakka_virulenta_scaffold166.g7.t1 scaffold166.g7.t1
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.15375 Ccrux.Trinity.15375, Calvadosia_cruxmelitensis_Ccrux.Trinity.15374 Ccrux.Trinity.15374	Morbakka_virulenta_scaffold164.g26.t1 scaffold164.g26.t1
