Orthogroup	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Platyhelminthes_Tricladida_Schmidtea_mediterranea
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.23735 Ccrux.Trinity.23735, Calvadosia_cruxmelitensis_Ccrux.Trinity.23733 Ccrux.Trinity.23733	Schmidtea_mediterranea_maker-scaffold14005-snap-gene-0.42-mRNA-1 maker-scaffold14005-snap-gene-0.42-mRNA-1 protein AED_0.02 eAED_0.04 QI_10|0|0|0.83|0.8|0.83|6|0|258
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.15136 Ccrux.Trinity.15136	Schmidtea_mediterranea_maker-scaffold5594-snap-gene-0.19-mRNA-1 maker-scaffold5594-snap-gene-0.19-mRNA-1 protein AED_0.79 eAED_0.95 QI_0|0|0|0.33|0.8|1|6|0|127
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.38369 Ccrux.Trinity.38369, Calvadosia_cruxmelitensis_Ccrux.Trinity.52230 Ccrux.Trinity.52230, Calvadosia_cruxmelitensis_Ccrux.Trinity.14769 Ccrux.Trinity.14769	Schmidtea_mediterranea_maker-scaffold10162-snap-gene-1.78-mRNA-1 maker-scaffold10162-snap-gene-1.78-mRNA-1 protein AED_0.24 eAED_0.24 QI_0|0.46|0.55|0.65|0.5|0.75|29|0|1241
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.70250 Ccrux.Trinity.70250, Calvadosia_cruxmelitensis_Ccrux.Trinity.33425 Ccrux.Trinity.33425, Calvadosia_cruxmelitensis_Ccrux.Trinity.33423 Ccrux.Trinity.33423, Calvadosia_cruxmelitensis_Ccrux.Trinity.33422 Ccrux.Trinity.33422, Calvadosia_cruxmelitensis_Ccrux.Trinity.33427 Ccrux.Trinity.33427	Schmidtea_mediterranea_maker-scaffold10153-augustus-gene-0.51-mRNA-1 maker-scaffold10153-augustus-gene-0.51-mRNA-1 protein AED_0.09 eAED_0.09 QI_141|0.86|0.95|1|0.65|0.70|24|255|1751
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.14603 Ccrux.Trinity.14603, Calvadosia_cruxmelitensis_Ccrux.Trinity.14608 Ccrux.Trinity.14608, Calvadosia_cruxmelitensis_Ccrux.Trinity.14604 Ccrux.Trinity.14604, Calvadosia_cruxmelitensis_Ccrux.Trinity.14605 Ccrux.Trinity.14605, Calvadosia_cruxmelitensis_Ccrux.Trinity.14607 Ccrux.Trinity.14607, Calvadosia_cruxmelitensis_Ccrux.Trinity.58543 Ccrux.Trinity.58543, Calvadosia_cruxmelitensis_Ccrux.Trinity.66350 Ccrux.Trinity.66350	Schmidtea_mediterranea_snap_masked-scaffold13326-processed-gene-0.6-mRNA-1 snap_masked-scaffold13326-processed-gene-0.6-mRNA-1 protein AED_0.69 eAED_0.69 QI_0|0|0|0.07|1|1|14|0|375
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.61686 Ccrux.Trinity.61686, Calvadosia_cruxmelitensis_Ccrux.Trinity.54088 Ccrux.Trinity.54088, Calvadosia_cruxmelitensis_Ccrux.Trinity.59387 Ccrux.Trinity.59387, Calvadosia_cruxmelitensis_Ccrux.Trinity.73463 Ccrux.Trinity.73463, Calvadosia_cruxmelitensis_Ccrux.Trinity.5112 Ccrux.Trinity.5112, Calvadosia_cruxmelitensis_Ccrux.Trinity.58061 Ccrux.Trinity.58061	Schmidtea_mediterranea_maker-scaffold19530-augustus-gene-0.11-mRNA-1 maker-scaffold19530-augustus-gene-0.11-mRNA-1 protein AED_0.24 eAED_0.24 QI_650|0.75|0.8|1|0|0.2|5|325|316
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.71852 Ccrux.Trinity.71852, Calvadosia_cruxmelitensis_Ccrux.Trinity.20192 Ccrux.Trinity.20192, Calvadosia_cruxmelitensis_Ccrux.Trinity.83 Ccrux.Trinity.83, Calvadosia_cruxmelitensis_Ccrux.Trinity.3684 Ccrux.Trinity.3684, Calvadosia_cruxmelitensis_Ccrux.Trinity.45764 Ccrux.Trinity.45764, Calvadosia_cruxmelitensis_Ccrux.Trinity.45772 Ccrux.Trinity.45772, Calvadosia_cruxmelitensis_Ccrux.Trinity.45763 Ccrux.Trinity.45763, Calvadosia_cruxmelitensis_Ccrux.Trinity.32463 Ccrux.Trinity.32463, Calvadosia_cruxmelitensis_Ccrux.Trinity.32462 Ccrux.Trinity.32462, Calvadosia_cruxmelitensis_Ccrux.Trinity.32461 Ccrux.Trinity.32461, Calvadosia_cruxmelitensis_Ccrux.Trinity.32465 Ccrux.Trinity.32465	Schmidtea_mediterranea_maker-scaffold4046-augustus-gene-0.24-mRNA-1 maker-scaffold4046-augustus-gene-0.24-mRNA-1 protein AED_0.06 eAED_0.06 QI_0|0.77|0.6|0.9|0.66|0.9|10|0|531, Schmidtea_mediterranea_maker-scaffold4046-augustus-gene-0.23-mRNA-1 maker-scaffold4046-augustus-gene-0.23-mRNA-1 protein AED_0.41 eAED_0.41 QI_0|0.66|0.57|0.85|0.66|0.57|7|0|420, Schmidtea_mediterranea_maker-scaffold36975-augustus-gene-0.59-mRNA-1 maker-scaffold36975-augustus-gene-0.59-mRNA-1 protein AED_0.08 eAED_0.13 QI_0|0|0|0.66|0|0.33|3|0|216
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.73775 Ccrux.Trinity.73775	Schmidtea_mediterranea_maker-scaffold7690-augustus-gene-1.40-mRNA-1 maker-scaffold7690-augustus-gene-1.40-mRNA-1 protein AED_0.11 eAED_0.11 QI_557|0.89|0.89|1|0.75|0.76|67|0|4303
OG0000002	Calvadosia_cruxmelitensis_Ccrux.Trinity.72973 Ccrux.Trinity.72973	Schmidtea_mediterranea_maker-scaffold2935-snap-gene-0.8-mRNA-1 maker-scaffold2935-snap-gene-0.8-mRNA-1 protein AED_0.03 eAED_0.03 QI_32|0|0|0.66|0|0|3|0|521, Schmidtea_mediterranea_maker-scaffold587-snap-gene-1.53-mRNA-1 maker-scaffold587-snap-gene-1.53-mRNA-1 protein AED_0.00 eAED_0.00 QI_51|1|1|1|0.5|0.8|5|108|475
