Orthogroup	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Chordata_Vertebrata_Bos_taurus
OG0000001	Tricoplax_adhaerens_tr_B3RUG1_B3RUG1_TRIAD tr_B3RUG1_B3RUG1_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_24524 PE=4 SV=1	XP_010803496.1 netrin-4 isoform X2 [Bos taurus], XP_059731406.1 laminin subunit beta-3 isoform X1 [Bos taurus], NP_001039712.2 laminin subunit beta-2 precursor [Bos taurus], DAA30633.1 TPA_ laminin_ beta 1 [Bos taurus]
OG0000001	Tricoplax_adhaerens_tr_B3SCK7_B3SCK7_TRIAD tr_B3SCK7_B3SCK7_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62007 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SCK6_B3SCK6_TRIAD tr_B3SCK6_B3SCK6_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62006 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SCJ5_B3SCJ5_TRIAD tr_B3SCJ5_B3SCJ5_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_33302 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SCK9_B3SCK9_TRIAD tr_B3SCK9_B3SCK9_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_4136 PE=4 SV=1, Tricoplax_adhaerens_tr_B3S4N4_B3S4N4_TRIAD tr_B3S4N4_B3S4N4_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_59150 PE=4 SV=1	XP_059734749.1 leukemia inhibitory factor receptor isoform X1 [Bos taurus]
OG0000001	Tricoplax_adhaerens_tr_B3RN89_B3RN89_TRIAD tr_B3RN89_B3RN89_TRIAD NTR domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53080 PE=4 SV=1	NP_001193801.1 netrin-5 precursor [Bos taurus]
OG0000001	Tricoplax_adhaerens_tr_B3RNB7_B3RNB7_TRIAD tr_B3RNB7_B3RNB7_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_21436 PE=4 SV=1	DAA24206.1 TPA_ laminin_ gamma 3-like [Bos taurus], NP_001193746.1 laminin subunit gamma-1 precursor [Bos taurus]
OG0000002	Tricoplax_adhaerens_tr_B3RQE3_B3RQE3_TRIAD tr_B3RQE3_B3RQE3_TRIAD Sema domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53875 PE=4 SV=1	XP_010815150.2 semaphorin-5A [Bos taurus], XP_002684855.2 semaphorin-5B isoform X1 [Bos taurus]
OG0000002	Tricoplax_adhaerens_tr_B3RQE7_B3RQE7_TRIAD tr_B3RQE7_B3RQE7_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53879 PE=3 SV=1	XP_059746380.1 semaphorin-6D isoform X1 [Bos taurus], XP_005209195.1 semaphorin-6A isoform X1 [Bos taurus], XP_024850768.2 semaphorin-6B isoform X2 [Bos taurus], XP_024845741.1 semaphorin-6C isoform X1 [Bos taurus]
OG0000003	Tricoplax_adhaerens_tr_B3S2P8_B3S2P8_TRIAD tr_B3S2P8_B3S2P8_TRIAD C-type lectin domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_58103 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RS18_B3RS18_TRIAD tr_B3RS18_B3RS18_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_22336 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SE10_B3SE10_TRIAD tr_B3SE10_B3SE10_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_962 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RQ09_B3RQ09_TRIAD tr_B3RQ09_B3RQ09_TRIAD EGF-like domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53735 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RQ05_B3RQ05_TRIAD tr_B3RQ05_B3RQ05_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_20436 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RQ04_B3RQ04_TRIAD tr_B3RQ04_B3RQ04_TRIAD Predicted protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53731 PE=4 SV=1	NP_001193132.1 C-type lectin domain family 5 member A [Bos taurus]
OG0000007	Tricoplax_adhaerens_tr_B3S3N0_B3S3N0_TRIAD tr_B3S3N0_B3S3N0_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_50 PE=4 SV=1	NP_001012687.1 fatty acid synthase [Bos taurus]
OG0000007	Tricoplax_adhaerens_tr_B3SD52_B3SD52_TRIAD tr_B3SD52_B3SD52_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_33760 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RIT7_B3RIT7_TRIAD tr_B3RIT7_B3RIT7_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_51362 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RIU2_B3RIU2_TRIAD tr_B3RIU2_B3RIU2_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_51368 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SES2_B3SES2_TRIAD tr_B3SES2_B3SES2_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62756 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SDW9_B3SDW9_TRIAD tr_B3SDW9_B3SDW9_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62473 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SDW6_B3SDW6_TRIAD tr_B3SDW6_B3SDW6_TRIAD EGF-like domain-containing protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62471 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RIT9_B3RIT9_TRIAD tr_B3RIT9_B3RIT9_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_51365 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RIT6_B3RIT6_TRIAD tr_B3RIT6_B3RIT6_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_19226 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RS19_B3RS19_TRIAD tr_B3RS19_B3RS19_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_54445 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RZV6_B3RZV6_TRIAD tr_B3RZV6_B3RZV6_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_27138 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RS17_B3RS17_TRIAD tr_B3RS17_B3RS17_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_54443 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RZV7_B3RZV7_TRIAD tr_B3RZV7_B3RZV7_TRIAD VWFD domain-containing protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_14672 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SEN2_B3SEN2_TRIAD tr_B3SEN2_B3SEN2_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62718 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SEJ1_B3SEJ1_TRIAD tr_B3SEJ1_B3SEJ1_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62682 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RS22_B3RS22_TRIAD tr_B3RS22_B3RS22_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_54448 PE=3 SV=1, Tricoplax_adhaerens_tr_B3RQ10_B3RQ10_TRIAD tr_B3RQ10_B3RQ10_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53736 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RQ07_B3RQ07_TRIAD tr_B3RQ07_B3RQ07_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53733 PE=4 SV=1	XP_024850630.1 mucin-4 isoform X1 [Bos taurus]
OG0000008	Tricoplax_adhaerens_tr_B3RWU9_B3RWU9_TRIAD tr_B3RWU9_B3RWU9_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_25138 PE=4 SV=1	XP_059743582.1 amphiregulin isoform X1 [Bos taurus]
