Orthogroup	Cnidaria_Anthozoa_Acropora_digitifera	Ctenophora_Nuda_Beroe_ovata
OG0000001	Acropora_digitifera_adi_v1.06433 adi_v1.06433, Acropora_digitifera_adi_v1.03761 adi_v1.03761	Beroe_ovata_Bova1_4.0354.g11.t1 Bova1_4.0354.g11.t1, Beroe_ovata_Bova1_4.0491.g2.t1 Bova1_4.0491.g2.t1
OG0000001	Acropora_digitifera_adi_v1.19636 adi_v1.19636	Beroe_ovata_Bova1_4.0204.g2.t1 Bova1_4.0204.g2.t1
OG0000001	Acropora_digitifera_adi_v1.01960 adi_v1.01960, Acropora_digitifera_adi_v1.06175 adi_v1.06175	Beroe_ovata_Bova1_4.0005.g58.t1 Bova1_4.0005.g58.t1
OG0000001	Acropora_digitifera_adi_v1.11383 adi_v1.11383	Beroe_ovata_Bova1_4.0158.g1.t2 Bova1_4.0158.g1.t2, Beroe_ovata_Bova1_4.0158.g1.t1 Bova1_4.0158.g1.t1, Beroe_ovata_Bova1_4.0469.g2.t2 Bova1_4.0469.g2.t2, Beroe_ovata_Bova1_4.0469.g2.t1 Bova1_4.0469.g2.t1
OG0000001	Acropora_digitifera_adi_v1.19391 adi_v1.19391, Acropora_digitifera_adi_v1.06434 adi_v1.06434	Beroe_ovata_Bova1_4.0013.g38.t1 Bova1_4.0013.g38.t1
OG0000002	Acropora_digitifera_adi_v1.12948 adi_v1.12948	Beroe_ovata_Bova1_4.0122.g2.t1 Bova1_4.0122.g2.t1, Beroe_ovata_Bova1_4.0167.g18.t1 Bova1_4.0167.g18.t1, Beroe_ovata_Bova1_4.0036.g56.t1 Bova1_4.0036.g56.t1, Beroe_ovata_Bova1_4.0113.g13.t1 Bova1_4.0113.g13.t1, Beroe_ovata_Bova1_4.0287.g9.t1 Bova1_4.0287.g9.t1, Beroe_ovata_Bova1_4.0287.g10.t1 Bova1_4.0287.g10.t1, Beroe_ovata_Bova1_4.0006.g158.t1 Bova1_4.0006.g158.t1, Beroe_ovata_Bova1_4.0022.g96.t1 Bova1_4.0022.g96.t1, Beroe_ovata_Bova1_4.0017.g28.t1 Bova1_4.0017.g28.t1, Beroe_ovata_Bova1_4.0017.g27.t1 Bova1_4.0017.g27.t1
OG0000002	Acropora_digitifera_adi_v1.00160 adi_v1.00160, Acropora_digitifera_adi_v1.00161 adi_v1.00161, Acropora_digitifera_adi_v1.15793 adi_v1.15793, Acropora_digitifera_adi_v1.20102 adi_v1.20102, Acropora_digitifera_adi_v1.13507 adi_v1.13507, Acropora_digitifera_adi_v1.14607 adi_v1.14607, Acropora_digitifera_adi_v1.17842 adi_v1.17842	Beroe_ovata_Bova1_4.0019.g34.t1 Bova1_4.0019.g34.t1, Beroe_ovata_Bova1_4.0105.g2.t1 Bova1_4.0105.g2.t1, Beroe_ovata_Bova1_4.0092.g42.t1 Bova1_4.0092.g42.t1
OG0000002	Acropora_digitifera_adi_v1.13969 adi_v1.13969	Beroe_ovata_Bova1_4.0019.g35.t1 Bova1_4.0019.g35.t1
OG0000002	Acropora_digitifera_adi_v1.06084 adi_v1.06084, Acropora_digitifera_adi_v1.05235 adi_v1.05235	Beroe_ovata_Bova1_4.0022.g39.t1 Bova1_4.0022.g39.t1, Beroe_ovata_Bova1_4.0143.g14.t1 Bova1_4.0143.g14.t1
OG0000002	Acropora_digitifera_adi_v1.01409 adi_v1.01409	Beroe_ovata_Bova1_4.0176.g1.t1 Bova1_4.0176.g1.t1, Beroe_ovata_Bova1_4.2215.g1.t1 Bova1_4.2215.g1.t1
