Orthogroup	Cnidaria_Hydrozoa_Clytia_hemispherica	Placozoa_Trichoplacidae_Tricoplax_adhaerens
OG0000001	Clytia_hemispherica_TCONS_00049799-protein TCONS_00049799-protein	Tricoplax_adhaerens_tr_B3RUG1_B3RUG1_TRIAD tr_B3RUG1_B3RUG1_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_24524 PE=4 SV=1
OG0000001	Clytia_hemispherica_TCONS_00069235-protein TCONS_00069235-protein	Tricoplax_adhaerens_tr_B3S0H4_B3S0H4_TRIAD tr_B3S0H4_B3S0H4_TRIAD Predicted protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_57049 PE=4 SV=1
OG0000001	Clytia_hemispherica_TCONS_00065163-protein TCONS_00065163-protein	Tricoplax_adhaerens_tr_B3RXC1_B3RXC1_TRIAD tr_B3RXC1_B3RXC1_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_56157 PE=4 SV=1
OG0000001	Clytia_hemispherica_TCONS_00062616-protein TCONS_00062616-protein	Tricoplax_adhaerens_tr_B3RQ47_B3RQ47_TRIAD tr_B3RQ47_B3RQ47_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53774 PE=4 SV=1
OG0000001	Clytia_hemispherica_TCONS_00020139-protein TCONS_00020139-protein, Clytia_hemispherica_TCONS_00072631-protein TCONS_00072631-protein	Tricoplax_adhaerens_tr_B3RIT3_B3RIT3_TRIAD tr_B3RIT3_B3RIT3_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_51357 PE=4 SV=1
OG0000001	Clytia_hemispherica_TCONS_00020951-protein TCONS_00020951-protein	Tricoplax_adhaerens_tr_B3SCK7_B3SCK7_TRIAD tr_B3SCK7_B3SCK7_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62007 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SCK6_B3SCK6_TRIAD tr_B3SCK6_B3SCK6_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62006 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SCJ5_B3SCJ5_TRIAD tr_B3SCJ5_B3SCJ5_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_33302 PE=4 SV=1, Tricoplax_adhaerens_tr_B3SCK9_B3SCK9_TRIAD tr_B3SCK9_B3SCK9_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_4136 PE=4 SV=1, Tricoplax_adhaerens_tr_B3S4N4_B3S4N4_TRIAD tr_B3S4N4_B3S4N4_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_59150 PE=4 SV=1
OG0000001	Clytia_hemispherica_TCONS_00017274-protein TCONS_00017274-protein	Tricoplax_adhaerens_tr_B3SDW1_B3SDW1_TRIAD tr_B3SDW1_B3SDW1_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62466 PE=4 SV=1
OG0000001	Clytia_hemispherica_TCONS_00067350-protein TCONS_00067350-protein	Tricoplax_adhaerens_tr_B3RNB7_B3RNB7_TRIAD tr_B3RNB7_B3RNB7_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_21436 PE=4 SV=1
OG0000001	Clytia_hemispherica_TCONS_00056933-protein TCONS_00056933-protein	Tricoplax_adhaerens_tr_B3S235_B3S235_TRIAD tr_B3S235_B3S235_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_27868 PE=4 SV=1
