Orthogroup	Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	Chordata_Amphioxiformes_Branchiostoma_floridae
OG0000001	Salpingoeca_rosetta_XP_004997206.1 XP_004997206.1 uncharacterized protein PTSG_11695 [Salpingoeca rosetta]	Branchiostoma_floridae_tr_A0A9J7KIY4_A0A9J7KIY4_BRAFL tr|A0A9J7KIY4|A0A9J7KIY4_BRAFL Laminin subunit beta-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118408876 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LLZ4_A0A9J7LLZ4_BRAFL tr|A0A9J7LLZ4|A0A9J7LLZ4_BRAFL Laminin subunit gamma-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118421980 PE=4 SV=1
OG0000001	Salpingoeca_rosetta_XP_004988333.1 XP_004988333.1 proprotein convertase subtilisin_kexin type 5 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004988175.1 XP_004988175.1 uncharacterized protein PTSG_13079 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004993910.1 XP_004993910.1 uncharacterized protein PTSG_12296 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004988782.1 XP_004988782.1 uncharacterized protein PTSG_13098_ partial [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004989183.1 XP_004989183.1 uncharacterized protein PTSG_09826 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004991958.1 XP_004991958.1 uncharacterized protein PTSG_06573 [Salpingoeca rosetta]	Branchiostoma_floridae_tr_A0A9J7MY77_A0A9J7MY77_BRAFL tr|A0A9J7MY77|A0A9J7MY77_BRAFL Tenascin-X-like OS=Branchiostoma floridae OX=7739 GN=LOC118421312 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7M7H3_A0A9J7M7H3_BRAFL tr|A0A9J7M7H3|A0A9J7M7H3_BRAFL Phosphatidylinositol phosphatase PTPRQ-like OS=Branchiostoma floridae OX=7739 GN=LOC118429282 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7NAS6_A0A9J7NAS6_BRAFL tr|A0A9J7NAS6|A0A9J7NAS6_BRAFL Protein sidekick-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118429283 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M892_A0A9J7M892_BRAFL tr|A0A9J7M892|A0A9J7M892_BRAFL Uncharacterized protein LOC118428459 isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118428459 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M6I6_A0A9J7M6I6_BRAFL tr|A0A9J7M6I6|A0A9J7M6I6_BRAFL Uncharacterized protein LOC118428459 isoform X3 OS=Branchiostoma floridae OX=7739 GN=LOC118428459 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M5F2_A0A9J7M5F2_BRAFL tr|A0A9J7M5F2|A0A9J7M5F2_BRAFL Uncharacterized protein LOC118428459 isoform X4 OS=Branchiostoma floridae OX=7739 GN=LOC118428459 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N5V0_A0A9J7N5V0_BRAFL tr|A0A9J7N5V0|A0A9J7N5V0_BRAFL Uncharacterized protein LOC118428459 isoform X5 OS=Branchiostoma floridae OX=7739 GN=LOC118428459 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N9V2_A0A9J7N9V2_BRAFL tr|A0A9J7N9V2|A0A9J7N9V2_BRAFL Protein sidekick-2-like isoform X5 OS=Branchiostoma floridae OX=7739 GN=LOC118428942 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N907_A0A9J7N907_BRAFL tr|A0A9J7N907|A0A9J7N907_BRAFL Protein sidekick-2-like isoform X4 OS=Branchiostoma floridae OX=7739 GN=LOC118428942 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M658_A0A9J7M658_BRAFL tr|A0A9J7M658|A0A9J7M658_BRAFL Protein sidekick-2-like isoform X3 OS=Branchiostoma floridae OX=7739 GN=LOC118428942 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M6J2_A0A9J7M6J2_BRAFL tr|A0A9J7M6J2|A0A9J7M6J2_BRAFL Protein sidekick-2-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118428942 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7NAA0_A0A9J7NAA0_BRAFL tr|A0A9J7NAA0|A0A9J7NAA0_BRAFL Protein sidekick-2-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118428942 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N8L4_A0A9J7N8L4_BRAFL tr|A0A9J7N8L4|A0A9J7N8L4_BRAFL Protein sidekick-2-like isoform X6 OS=Branchiostoma floridae OX=7739 GN=LOC118428942 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N098_A0A9J7N098_BRAFL tr|A0A9J7N098|A0A9J7N098_BRAFL Receptor-type tyrosine-protein phosphatase F-like OS=Branchiostoma floridae OX=7739 GN=LOC118422005 PE=4 SV=1
OG0000001	Salpingoeca_rosetta_XP_004990163.1 XP_004990163.1 uncharacterized protein PTSG_12793 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004996713.1 XP_004996713.1 laminin alpha 5 chain [Salpingoeca rosetta]	Branchiostoma_floridae_tr_A0A9J7LWR5_A0A9J7LWR5_BRAFL tr|A0A9J7LWR5|A0A9J7LWR5_BRAFL Usherin-like OS=Branchiostoma floridae OX=7739 GN=LOC118424239 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L4M2_A0A9J7L4M2_BRAFL tr|A0A9J7L4M2|A0A9J7L4M2_BRAFL Usherin-like OS=Branchiostoma floridae OX=7739 GN=LOC118415341 PE=4 SV=1
OG0000001	Salpingoeca_rosetta_XP_004993731.1 XP_004993731.1 laminin alpha 5 chain [Salpingoeca rosetta]	Branchiostoma_floridae_tr_A0A9J7LP27_A0A9J7LP27_BRAFL tr|A0A9J7LP27|A0A9J7LP27_BRAFL Laminin subunit beta-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118421978 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LLJ1_A0A9J7LLJ1_BRAFL tr|A0A9J7LLJ1|A0A9J7LLJ1_BRAFL Netrin-G1-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118421265 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LMA1_A0A9J7LMA1_BRAFL tr|A0A9J7LMA1|A0A9J7LMA1_BRAFL Netrin-G2-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118421265 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LKK0_A0A9J7LKK0_BRAFL tr|A0A9J7LKK0|A0A9J7LKK0_BRAFL Netrin-G1-like OS=Branchiostoma floridae OX=7739 GN=LOC118421422 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M5E8_A0A9J7M5E8_BRAFL tr|A0A9J7M5E8|A0A9J7M5E8_BRAFL Netrin-1-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118428730 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N853_A0A9J7N853_BRAFL tr|A0A9J7N853|A0A9J7N853_BRAFL Netrin-1-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118428730 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MX51_A0A9J7MX51_BRAFL tr|A0A9J7MX51|A0A9J7MX51_BRAFL Laminin subunit gamma-1-like isoform X4 OS=Branchiostoma floridae OX=7739 GN=LOC118421560 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LN45_A0A9J7LN45_BRAFL tr|A0A9J7LN45|A0A9J7LN45_BRAFL Laminin subunit gamma-1-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118421560 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LN27_A0A9J7LN27_BRAFL tr|A0A9J7LN27|A0A9J7LN27_BRAFL Laminin subunit gamma-1-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118421560 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LMC9_A0A9J7LMC9_BRAFL tr|A0A9J7LMC9|A0A9J7LMC9_BRAFL Laminin subunit gamma-1-like isoform X5 OS=Branchiostoma floridae OX=7739 GN=LOC118421560 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MZY0_A0A9J7MZY0_BRAFL tr|A0A9J7MZY0|A0A9J7MZY0_BRAFL Laminin subunit gamma-1-like isoform X3 OS=Branchiostoma floridae OX=7739 GN=LOC118421560 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MZQ1_A0A9J7MZQ1_BRAFL tr|A0A9J7MZQ1|A0A9J7MZQ1_BRAFL Laminin subunit gamma-1-like isoform X6 OS=Branchiostoma floridae OX=7739 GN=LOC118421560 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N0B1_A0A9J7N0B1_BRAFL tr|A0A9J7N0B1|A0A9J7N0B1_BRAFL Laminin-like protein epi-1 OS=Branchiostoma floridae OX=7739 GN=LOC118421973 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KQE3_A0A9J7KQE3_BRAFL tr|A0A9J7KQE3|A0A9J7KQE3_BRAFL Laminin subunit alpha-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118410579 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HSX2_A0A9J7HSX2_BRAFL tr|A0A9J7HSX2|A0A9J7HSX2_BRAFL Laminin subunit alpha-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118408556 PE=4 SV=1
OG0000002	Salpingoeca_rosetta_XP_004998178.1 XP_004998178.1 uncharacterized protein PTSG_00710 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004992682.1 XP_004992682.1 uncharacterized protein PTSG_07263 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004997838.1 XP_004997838.1 uncharacterized protein PTSG_01857 [Salpingoeca rosetta]	Branchiostoma_floridae_tr_A0A9J7LU26_A0A9J7LU26_BRAFL tr|A0A9J7LU26|A0A9J7LU26_BRAFL von Willebrand factor A domain-containing protein 7-like OS=Branchiostoma floridae OX=7739 GN=LOC118424186 PE=4 SV=1
OG0000002	Salpingoeca_rosetta_XP_004991580.1 XP_004991580.1 adamts family protein 2 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004991567.1 XP_004991567.1 uncharacterized protein PTSG_07763 [Salpingoeca rosetta]	Branchiostoma_floridae_tr_A0A9J7HHP8_A0A9J7HHP8_BRAFL tr|A0A9J7HHP8|A0A9J7HHP8_BRAFL Hemicentin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118404641 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HW88_A0A9J7HW88_BRAFL tr|A0A9J7HW88|A0A9J7HW88_BRAFL Hemicentin-1-like OS=Branchiostoma floridae OX=7739 GN=LOC118409059 PE=4 SV=1
OG0000003	Salpingoeca_rosetta_XP_004995286.1 XP_004995286.1 lung surfactant protein A [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004992387.1 XP_004992387.1 salivary C-type lectin [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004997986.1 XP_004997986.1 C-type lectin [Salpingoeca rosetta]	Branchiostoma_floridae_tr_A0A9J7M5H0_A0A9J7M5H0_BRAFL tr|A0A9J7M5H0|A0A9J7M5H0_BRAFL Collectin-10-like OS=Branchiostoma floridae OX=7739 GN=LOC118428479 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M888_A0A9J7M888_BRAFL tr|A0A9J7M888|A0A9J7M888_BRAFL Collectin-10-like OS=Branchiostoma floridae OX=7739 GN=LOC118429366 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KSZ8_A0A9J7KSZ8_BRAFL tr|A0A9J7KSZ8|A0A9J7KSZ8_BRAFL Uncharacterized protein LOC118411508 OS=Branchiostoma floridae OX=7739 GN=LOC118411508 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KS32_A0A9J7KS32_BRAFL tr|A0A9J7KS32|A0A9J7KS32_BRAFL Uncharacterized protein LOC118411324 isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118411324 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KTB4_A0A9J7KTB4_BRAFL tr|A0A9J7KTB4|A0A9J7KTB4_BRAFL Uncharacterized protein LOC118411324 isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118411324 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KU42_A0A9J7KU42_BRAFL tr|A0A9J7KU42|A0A9J7KU42_BRAFL Uncharacterized protein LOC118411665 OS=Branchiostoma floridae OX=7739 GN=LOC118411665 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LH94_A0A9J7LH94_BRAFL tr|A0A9J7LH94|A0A9J7LH94_BRAFL Latent-transforming growth factor beta-binding protein 2-like OS=Branchiostoma floridae OX=7739 GN=LOC118420225 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KHD9_A0A9J7KHD9_BRAFL tr|A0A9J7KHD9|A0A9J7KHD9_BRAFL C-type lectin mannose-binding isoform-like OS=Branchiostoma floridae OX=7739 GN=LOC118404871 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M6I0_A0A9J7M6I0_BRAFL tr|A0A9J7M6I0|A0A9J7M6I0_BRAFL C-type lectin domain family 10 member A-like OS=Branchiostoma floridae OX=7739 GN=LOC118428736 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HJQ9_A0A9J7HJQ9_BRAFL tr|A0A9J7HJQ9|A0A9J7HJQ9_BRAFL Alpha-N-acetylgalactosamine-specific lectin-like OS=Branchiostoma floridae OX=7739 GN=LOC118404276 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M1H8_A0A9J7M1H8_BRAFL tr|A0A9J7M1H8|A0A9J7M1H8_BRAFL Perlucin-like protein OS=Branchiostoma floridae OX=7739 GN=LOC118427084 PE=4 SV=1
OG0000004	Salpingoeca_rosetta_XP_004991838.1 XP_004991838.1 cadherin [Salpingoeca rosetta]	Branchiostoma_floridae_tr_A0A9J7HPZ2_A0A9J7HPZ2_BRAFL tr|A0A9J7HPZ2|A0A9J7HPZ2_BRAFL Protocadherin Fat 4-like OS=Branchiostoma floridae OX=7739 GN=LOC118407051 PE=4 SV=1
OG0000006	Salpingoeca_rosetta_XP_004993908.1 XP_004993908.1 uncharacterized protein PTSG_12295 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004989788.1 XP_004989788.1 uncharacterized protein PTSG_08990 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004988532.1 XP_004988532.1 uncharacterized protein PTSG_10194 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004989786.1 XP_004989786.1 uncharacterized protein PTSG_08988 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004989789.1 XP_004989789.1 uncharacterized protein PTSG_08991 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004991706.1 XP_004991706.1 uncharacterized protein PTSG_07903 [Salpingoeca rosetta], Salpingoeca_rosetta_XP_004996522.1 XP_004996522.1 uncharacterized protein PTSG_11950 [Salpingoeca rosetta]	Branchiostoma_floridae_tr_A0A9J7LJZ9_A0A9J7LJZ9_BRAFL tr|A0A9J7LJZ9|A0A9J7LJZ9_BRAFL Macrophage mannose receptor 1-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118420464 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MYA5_A0A9J7MYA5_BRAFL tr|A0A9J7MYA5|A0A9J7MYA5_BRAFL Macrophage mannose receptor 1-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118420464 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HMT6_A0A9J7HMT6_BRAFL tr|A0A9J7HMT6|A0A9J7HMT6_BRAFL CUB and sushi domain-containing protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118406502 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HPM3_A0A9J7HPM3_BRAFL tr|A0A9J7HPM3|A0A9J7HPM3_BRAFL P-selectin-like OS=Branchiostoma floridae OX=7739 GN=LOC118407201 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LY15_A0A9J7LY15_BRAFL tr|A0A9J7LY15|A0A9J7LY15_BRAFL CUB and sushi domain-containing protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118426254 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HPU5_A0A9J7HPU5_BRAFL tr|A0A9J7HPU5|A0A9J7HPU5_BRAFL Sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118407202 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HF75_A0A9J7HF75_BRAFL tr|A0A9J7HF75|A0A9J7HF75_BRAFL Sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118403519 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LZ28_A0A9J7LZ28_BRAFL tr|A0A9J7LZ28|A0A9J7LZ28_BRAFL P-selectin-like OS=Branchiostoma floridae OX=7739 GN=LOC118426255 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LWV3_A0A9J7LWV3_BRAFL tr|A0A9J7LWV3|A0A9J7LWV3_BRAFL CUB and sushi domain-containing protein 3-like OS=Branchiostoma floridae OX=7739 GN=LOC118425331 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HQ60_A0A9J7HQ60_BRAFL tr|A0A9J7HQ60|A0A9J7HQ60_BRAFL P-selectin-like OS=Branchiostoma floridae OX=7739 GN=LOC118406473 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HMS0_A0A9J7HMS0_BRAFL tr|A0A9J7HMS0|A0A9J7HMS0_BRAFL Uncharacterized protein LOC118406514 OS=Branchiostoma floridae OX=7739 GN=LOC118406514 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7N528_A0A9J7N528_BRAFL tr|A0A9J7N528|A0A9J7N528_BRAFL P-selectin-like OS=Branchiostoma floridae OX=7739 GN=LOC118425332 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MWK4_A0A9J7MWK4_BRAFL tr|A0A9J7MWK4|A0A9J7MWK4_BRAFL P-selectin-like OS=Branchiostoma floridae OX=7739 GN=LOC118421144 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KFR9_A0A9J7KFR9_BRAFL tr|A0A9J7KFR9|A0A9J7KFR9_BRAFL Limulus clotting factor C-like OS=Branchiostoma floridae OX=7739 GN=LOC118405437 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KIM8_A0A9J7KIM8_BRAFL tr|A0A9J7KIM8|A0A9J7KIM8_BRAFL P-selectin-like OS=Branchiostoma floridae OX=7739 GN=LOC118405432 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HM58_A0A9J7HM58_BRAFL tr|A0A9J7HM58|A0A9J7HM58_BRAFL E-selectin-like OS=Branchiostoma floridae OX=7739 GN=LOC118405433 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HP58_A0A9J7HP58_BRAFL tr|A0A9J7HP58|A0A9J7HP58_BRAFL E-selectin-like OS=Branchiostoma floridae OX=7739 GN=LOC118405435 PE=4 SV=1
