Orthogroup	Platyhelminthes_Tricladida_Schmidtea_mediterranea	Cnidaria_Cubozoa_Morbakka_virulenta
OG0000001	Schmidtea_mediterranea_maker-scaffold14005-snap-gene-0.42-mRNA-1 maker-scaffold14005-snap-gene-0.42-mRNA-1 protein AED_0.02 eAED_0.04 QI_10|0|0|0.83|0.8|0.83|6|0|258	Morbakka_virulenta_scaffold19.g85.t2 scaffold19.g85.t2, Morbakka_virulenta_scaffold19.g85.t4 scaffold19.g85.t4, Morbakka_virulenta_scaffold19.g85.t3 scaffold19.g85.t3, Morbakka_virulenta_scaffold19.g85.t1 scaffold19.g85.t1
OG0000001	Schmidtea_mediterranea_maker-scaffold10162-snap-gene-1.78-mRNA-1 maker-scaffold10162-snap-gene-1.78-mRNA-1 protein AED_0.24 eAED_0.24 QI_0|0.46|0.55|0.65|0.5|0.75|29|0|1241	Morbakka_virulenta_scaffold397.g4.t2 scaffold397.g4.t2, Morbakka_virulenta_scaffold397.g4.t1 scaffold397.g4.t1
OG0000001	Schmidtea_mediterranea_maker-scaffold10153-augustus-gene-0.51-mRNA-1 maker-scaffold10153-augustus-gene-0.51-mRNA-1 protein AED_0.09 eAED_0.09 QI_141|0.86|0.95|1|0.65|0.70|24|255|1751	Morbakka_virulenta_scaffold1.g52.t1 scaffold1.g52.t1, Morbakka_virulenta_scaffold1.g52.t2 scaffold1.g52.t2
OG0000002	Schmidtea_mediterranea_maker-scaffold4907-augustus-gene-0.18-mRNA-1 maker-scaffold4907-augustus-gene-0.18-mRNA-1 protein AED_0.09 eAED_0.09 QI_932|1|0.85|1|0.66|0.71|7|0|511, Schmidtea_mediterranea_maker-scaffold18032-augustus-gene-0.16-mRNA-1 maker-scaffold18032-augustus-gene-0.16-mRNA-1 protein AED_0.31 eAED_0.31 QI_285|0.66|0.61|0.84|0.25|0.46|13|0|656	Morbakka_virulenta_scaffold479.g8.t1 scaffold479.g8.t1
OG0000002	Schmidtea_mediterranea_snap_masked-scaffold13326-processed-gene-0.6-mRNA-1 snap_masked-scaffold13326-processed-gene-0.6-mRNA-1 protein AED_0.69 eAED_0.69 QI_0|0|0|0.07|1|1|14|0|375	Morbakka_virulenta_scaffold17.g96.t1 scaffold17.g96.t1, Morbakka_virulenta_scaffold434.g15.t1 scaffold434.g15.t1, Morbakka_virulenta_scaffold82.g34.t1 scaffold82.g34.t1
OG0000002	Schmidtea_mediterranea_maker-scaffold19530-augustus-gene-0.11-mRNA-1 maker-scaffold19530-augustus-gene-0.11-mRNA-1 protein AED_0.24 eAED_0.24 QI_650|0.75|0.8|1|0|0.2|5|325|316	Morbakka_virulenta_scaffold200.g32.t1 scaffold200.g32.t1
OG0000002	Schmidtea_mediterranea_maker-scaffold4046-augustus-gene-0.24-mRNA-1 maker-scaffold4046-augustus-gene-0.24-mRNA-1 protein AED_0.06 eAED_0.06 QI_0|0.77|0.6|0.9|0.66|0.9|10|0|531, Schmidtea_mediterranea_maker-scaffold4046-augustus-gene-0.23-mRNA-1 maker-scaffold4046-augustus-gene-0.23-mRNA-1 protein AED_0.41 eAED_0.41 QI_0|0.66|0.57|0.85|0.66|0.57|7|0|420, Schmidtea_mediterranea_maker-scaffold36975-augustus-gene-0.59-mRNA-1 maker-scaffold36975-augustus-gene-0.59-mRNA-1 protein AED_0.08 eAED_0.13 QI_0|0|0|0.66|0|0.33|3|0|216	Morbakka_virulenta_scaffold1.g61.t1 scaffold1.g61.t1, Morbakka_virulenta_scaffold381.g2.t1 scaffold381.g2.t1, Morbakka_virulenta_scaffold218.g9.t1 scaffold218.g9.t1, Morbakka_virulenta_scaffold218.g9.t2 scaffold218.g9.t2, Morbakka_virulenta_scaffold218.g9.t3 scaffold218.g9.t3, Morbakka_virulenta_scaffold678.g3.t2 scaffold678.g3.t2, Morbakka_virulenta_scaffold678.g3.t1 scaffold678.g3.t1, Morbakka_virulenta_scaffold678.g3.t3 scaffold678.g3.t3, Morbakka_virulenta_scaffold255.g10.t1 scaffold255.g10.t1, Morbakka_virulenta_scaffold218.g5.t1 scaffold218.g5.t1, Morbakka_virulenta_scaffold218.g5.t2 scaffold218.g5.t2, Morbakka_virulenta_scaffold13.g74.t1 scaffold13.g74.t1, Morbakka_virulenta_scaffold273.g21.t1 scaffold273.g21.t1
OG0000002	Schmidtea_mediterranea_maker-scaffold587-snap-gene-1.53-mRNA-1 maker-scaffold587-snap-gene-1.53-mRNA-1 protein AED_0.00 eAED_0.00 QI_51|1|1|1|0.5|0.8|5|108|475	Morbakka_virulenta_scaffold120.g13.t1 scaffold120.g13.t1
OG0000003	Schmidtea_mediterranea_maker-scaffold22079-snap-gene-0.19-mRNA-1 maker-scaffold22079-snap-gene-0.19-mRNA-1 protein AED_0.20 eAED_0.20 QI_59|0.78|0.8|0.93|0.14|0.2|15|1145|184, Schmidtea_mediterranea_maker-scaffold8335-snap-gene-0.57-mRNA-1 maker-scaffold8335-snap-gene-0.57-mRNA-1 protein AED_0.07 eAED_0.07 QI_494|0.92|0.92|1|0.53|0.57|14|102|483, Schmidtea_mediterranea_snap_masked-scaffold8335-processed-gene-0.36-mRNA-1 snap_masked-scaffold8335-processed-gene-0.36-mRNA-1 protein AED_0.25 eAED_0.25 QI_180|0.92|0.85|0.92|0.53|0.78|14|0|512, Schmidtea_mediterranea_maker-scaffold8443-snap-gene-2.42-mRNA-1 maker-scaffold8443-snap-gene-2.42-mRNA-1 protein AED_0.07 eAED_0.07 QI_0|0.9|0.90|0.97|0.72|0.87|41|63|1657, Schmidtea_mediterranea_maker-scaffold29222-snap-gene-0.14-mRNA-1 maker-scaffold29222-snap-gene-0.14-mRNA-1 protein AED_0.81 eAED_0.81 QI_0|0|0|0.09|0.8|0.81|11|0|342, Schmidtea_mediterranea_maker-scaffold9334-augustus-gene-0.7-mRNA-1 maker-scaffold9334-augustus-gene-0.7-mRNA-1 protein AED_0.01 eAED_0.00 QI_23|1|0.92|1|0.66|0.76|13|47|550, Schmidtea_mediterranea_augustus_masked-scaffold25022-processed-gene-0.0-mRNA-1 augustus_masked-scaffold25022-processed-gene-0.0-mRNA-1 protein AED_0.49 eAED_0.49 QI_44|1|0.66|1|1|1|3|0|112, Schmidtea_mediterranea_snap_masked-scaffold25022-processed-gene-0.5-mRNA-1 snap_masked-scaffold25022-processed-gene-0.5-mRNA-1 protein AED_0.79 eAED_0.79 QI_0|0.14|0.12|0.25|1|1|8|0|217, Schmidtea_mediterranea_snap_masked-scaffold25022-processed-gene-0.12-mRNA-1 snap_masked-scaffold25022-processed-gene-0.12-mRNA-1 protein AED_0.20 eAED_0.20 QI_37|1|0.95|1|0.40|0.56|23|0|853, Schmidtea_mediterranea_maker-scaffold37438-snap-gene-0.19-mRNA-1 maker-scaffold37438-snap-gene-0.19-mRNA-1 protein AED_0.14 eAED_0.14 QI_44|0.82|0.79|0.96|0.57|0.55|29|0|1049, Schmidtea_mediterranea_maker-scaffold30903-augustus-gene-0.24-mRNA-1 maker-scaffold30903-augustus-gene-0.24-mRNA-1 protein AED_0.03 eAED_0.03 QI_0|0.66|0.25|0.75|0.66|0.5|4|0|126, Schmidtea_mediterranea_snap_masked-scaffold37438-processed-gene-0.15-mRNA-1 snap_masked-scaffold37438-processed-gene-0.15-mRNA-1 protein AED_0.72 eAED_0.72 QI_0|0.25|0.11|0.33|1|1|9|0|254, Schmidtea_mediterranea_maker-scaffold30903-augustus-gene-0.23-mRNA-1 maker-scaffold30903-augustus-gene-0.23-mRNA-1 protein AED_0.02 eAED_0.02 QI_0|1|0.33|1|1|0.66|3|0|124, Schmidtea_mediterranea_maker-scaffold30903-snap-gene-0.31-mRNA-1 maker-scaffold30903-snap-gene-0.31-mRNA-1 protein AED_0.05 eAED_0.05 QI_0|0.7|0.45|0.81|0.9|0.81|11|689|152, Schmidtea_mediterranea_snap_masked-scaffold37438-processed-gene-0.14-mRNA-1 snap_masked-scaffold37438-processed-gene-0.14-mRNA-1 protein AED_0.75 eAED_0.87 QI_0|0|0.16|0.5|1|1|6|0|195, Schmidtea_mediterranea_maker-scaffold30903-snap-gene-0.29-mRNA-1 maker-scaffold30903-snap-gene-0.29-mRNA-1 protein AED_0.01 eAED_0.01 QI_41|0.66|0.5|0.75|0.66|0.75|4|0|109, Schmidtea_mediterranea_maker-scaffold1029-augustus-gene-0.4-mRNA-1 maker-scaffold1029-augustus-gene-0.4-mRNA-1 protein AED_0.15 eAED_0.15 QI_0|0.75|0.6|1|1|1|5|32|152, Schmidtea_mediterranea_maker-scaffold11604-augustus-gene-0.49-mRNA-1 maker-scaffold11604-augustus-gene-0.49-mRNA-1 protein AED_0.23 eAED_0.23 QI_421|1|0.66|1|1|1|3|0|99	Morbakka_virulenta_scaffold3.g19.t1 scaffold3.g19.t1
