Orthogroup	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Hydrozoa_Hydra_vulgaris
OG0000000	Stylophora_pistillata_Spis17174 Spis17174 SpisGene17174	Hydra_vulgaris_Sc4wPfr_570.g25944.t1 Sc4wPfr_570.g25944.t1
OG0000001	Stylophora_pistillata_Spis17368 Spis17368 SpisGene17368	Hydra_vulgaris_Sc4wPfr_1127.g22555.t1 Sc4wPfr_1127.g22555.t1
OG0000001	Stylophora_pistillata_Spis24167 Spis24167 SpisGene24167, Stylophora_pistillata_Spis23377 Spis23377 SpisGene23377, Stylophora_pistillata_Spis19003 Spis19003 SpisGene19003	Hydra_vulgaris_Sc4wPfr_307.g9631.t1 Sc4wPfr_307.g9631.t1, Hydra_vulgaris_Sc4wPfr_1301.g29099.t1 Sc4wPfr_1301.g29099.t1
OG0000001	Stylophora_pistillata_Spis14116 Spis14116 SpisGene14116	Hydra_vulgaris_Sc4wPfr_132.g22677.t2 Sc4wPfr_132.g22677.t2, Hydra_vulgaris_Sc4wPfr_132.g22677.t1 Sc4wPfr_132.g22677.t1
OG0000001	Stylophora_pistillata_Spis16034 Spis16034 SpisGene16034	Hydra_vulgaris_Sc4wPfr_305.g4599.t1 Sc4wPfr_305.g4599.t1
OG0000001	Stylophora_pistillata_Spis15904 Spis15904 SpisGene15904	Hydra_vulgaris_Sc4wPfr_555.g27157.t1 Sc4wPfr_555.g27157.t1, Hydra_vulgaris_Sc4wPfr_304.2.g12749.t1 Sc4wPfr_304.2.g12749.t1
OG0000001	Stylophora_pistillata_Spis1143 Spis1143 SpisGene1143	Hydra_vulgaris_Sc4wPfr_435.1.g6986.t1 Sc4wPfr_435.1.g6986.t1
OG0000001	Stylophora_pistillata_Spis2957 Spis2957 SpisGene2957	Hydra_vulgaris_Sc4wPfr_27.g12239.t1 Sc4wPfr_27.g12239.t1, Hydra_vulgaris_Sc4wPfr_27.g12259.t1 Sc4wPfr_27.g12259.t1, Hydra_vulgaris_Sc4wPfr_27.g12265.t1 Sc4wPfr_27.g12265.t1, Hydra_vulgaris_Sc4wPfr_62.g4397.t1 Sc4wPfr_62.g4397.t1, Hydra_vulgaris_Sc4wPfr_62.g4390.t1 Sc4wPfr_62.g4390.t1, Hydra_vulgaris_Sc4wPfr_390.g5600.t1 Sc4wPfr_390.g5600.t1, Hydra_vulgaris_Sc4wPfr_390.g5609.t1 Sc4wPfr_390.g5609.t1
OG0000001	Stylophora_pistillata_Spis12987 Spis12987 SpisGene12987	Hydra_vulgaris_Sc4wPfr_588.g23919.t1 Sc4wPfr_588.g23919.t1, Hydra_vulgaris_Sc4wPfr_174.g11799.t2 Sc4wPfr_174.g11799.t2
OG0000001	Stylophora_pistillata_Spis2356 Spis2356 SpisGene2356	Hydra_vulgaris_Sc4wPfr_641.g16805.t1 Sc4wPfr_641.g16805.t1
OG0000001	Stylophora_pistillata_Spis23102 Spis23102 SpisGene23102	Hydra_vulgaris_Sc4wPfr_27.g12214.t1 Sc4wPfr_27.g12214.t1
OG0000001	Stylophora_pistillata_Spis313 Spis313 SpisGene313	Hydra_vulgaris_Sc4wPfr_811.1.g17372.t1 Sc4wPfr_811.1.g17372.t1
OG0000001	Stylophora_pistillata_Spis315 Spis315 SpisGene315	Hydra_vulgaris_Sc4wPfr_328.2.g12077.t1 Sc4wPfr_328.2.g12077.t1
OG0000001	Stylophora_pistillata_Spis22126 Spis22126 SpisGene22126	Hydra_vulgaris_Sc4wPfr_447.g28994.t1 Sc4wPfr_447.g28994.t1
OG0000001	Stylophora_pistillata_Spis645.t2 Spis645.t2 SpisGene645, Stylophora_pistillata_Spis598 Spis598 SpisGene598	Hydra_vulgaris_Sc4wPfr_1578.g16759.t1 Sc4wPfr_1578.g16759.t1, Hydra_vulgaris_Sc4wPfr_90.g1174.t1 Sc4wPfr_90.g1174.t1
OG0000002	Stylophora_pistillata_Spis10996 Spis10996 SpisGene10996, Stylophora_pistillata_Spis19048 Spis19048 SpisGene19048	Hydra_vulgaris_Sc4wPfr_514.g14422.t1 Sc4wPfr_514.g14422.t1
OG0000002	Stylophora_pistillata_Spis3169 Spis3169 SpisGene3169	Hydra_vulgaris_Sc4wPfr_16.3.g17418.t1 Sc4wPfr_16.3.g17418.t1
OG0000002	Stylophora_pistillata_Spis4974 Spis4974 SpisGene4974, Stylophora_pistillata_Spis9568 Spis9568 SpisGene9568, Stylophora_pistillata_Spis14369 Spis14369 SpisGene14369	Hydra_vulgaris_Sc4wPfr_177.1.g6145.t1 Sc4wPfr_177.1.g6145.t1, Hydra_vulgaris_Sc4wPfr_177.1.g6139.t1 Sc4wPfr_177.1.g6139.t1, Hydra_vulgaris_Sc4wPfr_177.1.g6146.t1 Sc4wPfr_177.1.g6146.t1
