Orthogroup	Chordata_Vertebrata_Homo_sapiens	Other
OG0000000	Homo_sapiens_sp_P55083_MFAP4_HUMAN sp|P55083|MFAP4_HUMAN Microfibril-associated glycoprotein 4 OS=Homo sapiens OX=9606 GN=MFAP4 PE=1 SV=2, Homo_sapiens_sp_O00602_FCN1_HUMAN sp|O00602|FCN1_HUMAN Ficolin-1 OS=Homo sapiens OX=9606 GN=FCN1 PE=1 SV=2, Homo_sapiens_sp_Q15485_FCN2_HUMAN sp|Q15485|FCN2_HUMAN Ficolin-2 OS=Homo sapiens OX=9606 GN=FCN2 PE=1 SV=2, Homo_sapiens_sp_O75636_FCN3_HUMAN sp|O75636|FCN3_HUMAN Ficolin-3 OS=Homo sapiens OX=9606 GN=FCN3 PE=1 SV=2	Amphimedon_queenslandica_tr_A0A1X7SR47_A0A1X7SR47_AMPQE tr_A0A1X7SR47_A0A1X7SR47_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SHK0_A0A1X7SHK0_AMPQE tr_A0A1X7SHK0_A0A1X7SHK0_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VS35_A0A1X7VS35_AMPQE tr_A0A1X7VS35_A0A1X7VS35_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100632478 PE=4 SV=1
OG0000021	Homo_sapiens_sp_P01133_EGF_HUMAN sp|P01133|EGF_HUMAN Pro-epidermal growth factor OS=Homo sapiens OX=9606 GN=EGF PE=1 SV=2	Branchiostoma_belcheri_tr_A0A6P4Y624_A0A6P4Y624_BRABE tr|A0A6P4Y624|A0A6P4Y624_BRABE Uncharacterized protein LOC109462101 OS=Branchiostoma belcheri OX=7741 GN=LOC109462101 PE=4 SV=1
OG0000021	Homo_sapiens_sp_P01133_EGF_HUMAN sp|P01133|EGF_HUMAN Pro-epidermal growth factor OS=Homo sapiens OX=9606 GN=EGF PE=1 SV=2	Branchiostoma_lanceolatum_tr_A0A8S4MN64_A0A8S4MN64_BRALA tr|A0A8S4MN64|A0A8S4MN64_BRALA Hypp9532 protein OS=Branchiostoma lanceolatum OX=7740 GN=Hypp9532 PE=4 SV=1
OG0000040	Homo_sapiens_sp_Q9NQ30_ESM1_HUMAN sp|Q9NQ30|ESM1_HUMAN Endothelial cell-specific molecule 1 OS=Homo sapiens OX=9606 GN=ESM1 PE=1 SV=2, Homo_sapiens_sp_Q16270_IBP7_HUMAN sp|Q16270|IBP7_HUMAN Insulin-like growth factor-binding protein 7 OS=Homo sapiens OX=9606 GN=IGFBP7 PE=1 SV=1	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true
OG0000040	Homo_sapiens_sp_Q9NQ30_ESM1_HUMAN sp|Q9NQ30|ESM1_HUMAN Endothelial cell-specific molecule 1 OS=Homo sapiens OX=9606 GN=ESM1 PE=1 SV=2	Amphimedon_queenslandica_tr_A0A1X7VM13_A0A1X7VM13_AMPQE tr_A0A1X7VM13_A0A1X7VM13_AMPQE IGFBP N-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VKH1_A0A1X7VKH1_AMPQE tr_A0A1X7VKH1_A0A1X7VKH1_AMPQE IGFBP N-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000040	Homo_sapiens_sp_Q9NQ30_ESM1_HUMAN sp|Q9NQ30|ESM1_HUMAN Endothelial cell-specific molecule 1 OS=Homo sapiens OX=9606 GN=ESM1 PE=1 SV=2	Ephydatia_muelleri_Em0019g1178a Em0019g1178a, Ephydatia_muelleri_Em0705g2a Em0705g2a, Ephydatia_muelleri_Em0019g601a Em0019g601a, Ephydatia_muelleri_Em0019g591a Em0019g591a
OG0000040	Homo_sapiens_sp_Q9NQ30_ESM1_HUMAN sp|Q9NQ30|ESM1_HUMAN Endothelial cell-specific molecule 1 OS=Homo sapiens OX=9606 GN=ESM1 PE=1 SV=2	Clytia_hemispherica_TCONS_00054801-protein TCONS_00054801-protein, Clytia_hemispherica_TCONS_00063899-protein TCONS_00063899-protein
OG0000054	Homo_sapiens_sp_Q14005_IL16_HUMAN sp|Q14005|IL16_HUMAN Pro-interleukin-16 OS=Homo sapiens OX=9606 GN=IL16 PE=1 SV=4	Stylophora_pistillata_Spis23474 Spis23474 SpisGene23474
OG0000054	Homo_sapiens_sp_Q14005_IL16_HUMAN sp|Q14005|IL16_HUMAN Pro-interleukin-16 OS=Homo sapiens OX=9606 GN=IL16 PE=1 SV=4	Acropora_digitifera_adi_v1.21440 adi_v1.21440
OG0000064	Homo_sapiens_sp_P35556_FBN2_HUMAN sp|P35556|FBN2_HUMAN Fibrillin-2 OS=Homo sapiens OX=9606 GN=FBN2 PE=1 SV=3, Homo_sapiens_sp_Q75N90_FBN3_HUMAN sp|Q75N90|FBN3_HUMAN Fibrillin-3 OS=Homo sapiens OX=9606 GN=FBN3 PE=2 SV=3, Homo_sapiens_sp_P35555_FBN1_HUMAN sp|P35555|FBN1_HUMAN Fibrillin-1 OS=Homo sapiens OX=9606 GN=FBN1 PE=1 SV=4	Porites_asteroides_isotig12005 isotig12005 extracted_CDS GOMatch=D2H7E0 GOTerms=GO_0005201_GO_0005488_GO_0005509_GO_0005578 Gene=Fibrillin-2_ Match_Acc=P35556 gene=isogroup10273 length=577 numContigs=1
