Orthogroup	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Ctenophora_Tentaculata_Pleurobrachia_bachei
OG0000001	Mnemiopsis_leidyi_ML035910a ML035910a	Pleurobrachia_bachei_sb_2639858_ sb_2639858_, Pleurobrachia_bachei_sb_2654211_ sb_2654211_
OG0000001	Mnemiopsis_leidyi_ML101022a ML101022a	Pleurobrachia_bachei_sb_2658101_ sb_2658101_, Pleurobrachia_bachei_sb_2654668_ sb_2654668_
OG0000001	Mnemiopsis_leidyi_ML17591a ML17591a	Pleurobrachia_bachei_sb_2652422_ sb_2652422_
OG0000001	Mnemiopsis_leidyi_ML21866a ML21866a	Pleurobrachia_bachei_sb_2652296_ sb_2652296_, Pleurobrachia_bachei_sb_2640676_ sb_2640676_
OG0000001	Mnemiopsis_leidyi_ML22257a ML22257a	Pleurobrachia_bachei_sb_2647545_ sb_2647545_
OG0000001	Mnemiopsis_leidyi_ML44781a ML44781a	Pleurobrachia_bachei_sb_2648385_ sb_2648385_, Pleurobrachia_bachei_sb_2665366_ sb_2665366_
OG0000001	Mnemiopsis_leidyi_ML141745a ML141745a	Pleurobrachia_bachei_sb_2653902_ sb_2653902_
OG0000001	Mnemiopsis_leidyi_ML20591a ML20591a, Mnemiopsis_leidyi_ML05951a ML05951a	Pleurobrachia_bachei_sb_2656958_ sb_2656958_, Pleurobrachia_bachei_sb_2651191_ sb_2651191_
OG0000002	Mnemiopsis_leidyi_ML174724a ML174724a	Pleurobrachia_bachei_sb_2641958_ sb_2641958_, Pleurobrachia_bachei_sb_2638270_ sb_2638270_
OG0000002	Mnemiopsis_leidyi_ML21527a ML21527a	Pleurobrachia_bachei_sb_2660785_ sb_2660785_
OG0000002	Mnemiopsis_leidyi_ML104325a ML104325a	Pleurobrachia_bachei_sb_2663848_ sb_2663848_
OG0000002	Mnemiopsis_leidyi_ML014910a ML014910a	Pleurobrachia_bachei_sb_2658038_ sb_2658038_
OG0000002	Mnemiopsis_leidyi_ML04601a ML04601a	Pleurobrachia_bachei_sb_2656508_ sb_2656508_
OG0000002	Mnemiopsis_leidyi_ML06976a ML06976a	Pleurobrachia_bachei_sb_2639676_ sb_2639676_
OG0000002	Mnemiopsis_leidyi_ML049019a ML049019a	Pleurobrachia_bachei_sb_2656797_ sb_2656797_, Pleurobrachia_bachei_sb_2657716_ sb_2657716_
OG0000002	Mnemiopsis_leidyi_ML34222a ML34222a	Pleurobrachia_bachei_sb_2656175_ sb_2656175_
OG0000002	Mnemiopsis_leidyi_ML05979a ML05979a	Pleurobrachia_bachei_sb_2638781_ sb_2638781_
OG0000002	Mnemiopsis_leidyi_ML08108a ML08108a	Pleurobrachia_bachei_sb_2653796_ sb_2653796_
OG0000002	Mnemiopsis_leidyi_ML016334a ML016334a	Pleurobrachia_bachei_sb_2662616_ sb_2662616_
OG0000002	Mnemiopsis_leidyi_ML033229a ML033229a	Pleurobrachia_bachei_sb_2658150_ sb_2658150_
OG0000002	Mnemiopsis_leidyi_ML14871a ML14871a	Pleurobrachia_bachei_sb_2641978_ sb_2641978_, Pleurobrachia_bachei_sb_2638179_ sb_2638179_
OG0000002	Mnemiopsis_leidyi_ML27988a ML27988a	Pleurobrachia_bachei_sb_2650841_ sb_2650841_, Pleurobrachia_bachei_sb_2641280_ sb_2641280_, Pleurobrachia_bachei_sb_2645200_ sb_2645200_, Pleurobrachia_bachei_sb_2665050_ sb_2665050_
OG0000002	Mnemiopsis_leidyi_ML07453a ML07453a	Pleurobrachia_bachei_sb_2643333_ sb_2643333_, Pleurobrachia_bachei_sb_2655712_ sb_2655712_, Pleurobrachia_bachei_sb_2649228_ sb_2649228_
OG0000003	Mnemiopsis_leidyi_ML216321a ML216321a	Pleurobrachia_bachei_sb_2654447_ sb_2654447_, Pleurobrachia_bachei_sb_2646239_ sb_2646239_
OG0000003	Mnemiopsis_leidyi_ML01786a ML01786a	Pleurobrachia_bachei_sb_2654029_ sb_2654029_, Pleurobrachia_bachei_sb_2661432_ sb_2661432_
OG0000003	Mnemiopsis_leidyi_ML056959a ML056959a	Pleurobrachia_bachei_sb_2659118_ sb_2659118_, Pleurobrachia_bachei_sb_2655921_ sb_2655921_
OG0000003	Mnemiopsis_leidyi_ML090113a ML090113a	Pleurobrachia_bachei_sb_2666979_ sb_2666979_, Pleurobrachia_bachei_sb_2656105_ sb_2656105_, Pleurobrachia_bachei_sb_2655552_ sb_2655552_, Pleurobrachia_bachei_sb_2651961_ sb_2651961_
OG0000004	Mnemiopsis_leidyi_ML077636a ML077636a	Pleurobrachia_bachei_sb_2649423_ sb_2649423_
OG0000004	Mnemiopsis_leidyi_ML270522a ML270522a	Pleurobrachia_bachei_sb_2643743_ sb_2643743_
OG0000004	Mnemiopsis_leidyi_ML00359a ML00359a	Pleurobrachia_bachei_sb_2641276_ sb_2641276_
OG0000005	Mnemiopsis_leidyi_ML104615a ML104615a, Mnemiopsis_leidyi_ML104616a ML104616a	Pleurobrachia_bachei_sb_2653163_ sb_2653163_
OG0000005	Mnemiopsis_leidyi_ML00083a ML00083a	Pleurobrachia_bachei_sb_2665088_ sb_2665088_
OG0000005	Mnemiopsis_leidyi_ML073410a ML073410a	Pleurobrachia_bachei_sb_2654112_ sb_2654112_
OG0000005	Mnemiopsis_leidyi_ML19042a ML19042a	Pleurobrachia_bachei_sb_2647000_ sb_2647000_, Pleurobrachia_bachei_sb_2647001_ sb_2647001_, Pleurobrachia_bachei_sb_2661067_ sb_2661067_
OG0000005	Mnemiopsis_leidyi_ML05712a ML05712a	Pleurobrachia_bachei_sb_2661175_ sb_2661175_
OG0000005	Mnemiopsis_leidyi_ML348710a ML348710a	Pleurobrachia_bachei_sb_2653408_ sb_2653408_, Pleurobrachia_bachei_sb_2666692_ sb_2666692_, Pleurobrachia_bachei_sb_2646142_ sb_2646142_
OG0000006	Mnemiopsis_leidyi_ML15411a ML15411a	Pleurobrachia_bachei_sb_2659418_ sb_2659418_, Pleurobrachia_bachei_sb_2644104_ sb_2644104_, Pleurobrachia_bachei_sb_2665775_ sb_2665775_
OG0000006	Mnemiopsis_leidyi_ML14766a ML14766a	Pleurobrachia_bachei_sb_2648605_ sb_2648605_, Pleurobrachia_bachei_sb_2648607_ sb_2648607_
OG0000006	Mnemiopsis_leidyi_ML085031a ML085031a	Pleurobrachia_bachei_sb_2647430_ sb_2647430_, Pleurobrachia_bachei_sb_2662558_ sb_2662558_, Pleurobrachia_bachei_sb_2664837_ sb_2664837_
OG0000006	Mnemiopsis_leidyi_ML002510a ML002510a, Mnemiopsis_leidyi_ML03095a ML03095a, Mnemiopsis_leidyi_ML05046a ML05046a, Mnemiopsis_leidyi_ML216318a ML216318a, Mnemiopsis_leidyi_ML141715a ML141715a, Mnemiopsis_leidyi_ML218836a ML218836a	Pleurobrachia_bachei_sb_2641232_ sb_2641232_, Pleurobrachia_bachei_sb_2638107_ sb_2638107_
OG0000006	Mnemiopsis_leidyi_ML234530a ML234530a	Pleurobrachia_bachei_sb_2653485_ sb_2653485_
OG0000006	Mnemiopsis_leidyi_ML077215a ML077215a	Pleurobrachia_bachei_sb_2653884_ sb_2653884_
OG0000006	Mnemiopsis_leidyi_ML077218a ML077218a	Pleurobrachia_bachei_sb_2644626_ sb_2644626_, Pleurobrachia_bachei_sb_2653100_ sb_2653100_
OG0000006	Mnemiopsis_leidyi_ML00406a ML00406a	Pleurobrachia_bachei_sb_2658519_ sb_2658519_, Pleurobrachia_bachei_sb_2657250_ sb_2657250_
OG0000006	Mnemiopsis_leidyi_ML105420a ML105420a, Mnemiopsis_leidyi_ML105421a ML105421a	Pleurobrachia_bachei_sb_2665384_ sb_2665384_
OG0000006	Mnemiopsis_leidyi_ML07118a ML07118a	Pleurobrachia_bachei_sb_2668416_ sb_2668416_
OG0000006	Mnemiopsis_leidyi_ML01677a ML01677a	Pleurobrachia_bachei_sb_2639084_ sb_2639084_, Pleurobrachia_bachei_sb_2660593_ sb_2660593_, Pleurobrachia_bachei_sb_2645412_ sb_2645412_, Pleurobrachia_bachei_sb_2663118_ sb_2663118_, Pleurobrachia_bachei_sb_2663232_ sb_2663232_
OG0000006	Mnemiopsis_leidyi_ML274611a ML274611a	Pleurobrachia_bachei_sb_2640289_ sb_2640289_, Pleurobrachia_bachei_sb_2650081_ sb_2650081_, Pleurobrachia_bachei_sb_2648855_ sb_2648855_, Pleurobrachia_bachei_sb_2650083_ sb_2650083_
OG0000008	Mnemiopsis_leidyi_ML09866a ML09866a	Pleurobrachia_bachei_sb_2646526_ sb_2646526_, Pleurobrachia_bachei_sb_2664596_ sb_2664596_
OG0000008	Mnemiopsis_leidyi_ML128618a ML128618a	Pleurobrachia_bachei_sb_2638607_ sb_2638607_
OG0000009	Mnemiopsis_leidyi_ML31401a ML31401a	Pleurobrachia_bachei_sb_2644938_ sb_2644938_
OG0000009	Mnemiopsis_leidyi_ML007435a ML007435a	Pleurobrachia_bachei_sb_2644939_ sb_2644939_
OG0000009	Mnemiopsis_leidyi_ML016314a ML016314a	Pleurobrachia_bachei_sb_2639313_ sb_2639313_
OG0000010	Mnemiopsis_leidyi_ML14872a ML14872a	Pleurobrachia_bachei_sb_2659701_ sb_2659701_
OG0000010	Mnemiopsis_leidyi_ML010533a ML010533a	Pleurobrachia_bachei_sb_2644187_ sb_2644187_
OG0000010	Mnemiopsis_leidyi_ML00905a ML00905a	Pleurobrachia_bachei_sb_2653999_ sb_2653999_
OG0000011	Mnemiopsis_leidyi_ML03051a ML03051a	Pleurobrachia_bachei_sb_2646994_ sb_2646994_
OG0000011	Mnemiopsis_leidyi_ML10905a ML10905a	Pleurobrachia_bachei_sb_2669487_ sb_2669487_, Pleurobrachia_bachei_sb_2641704_ sb_2641704_
OG0000011	Mnemiopsis_leidyi_ML033235a ML033235a	Pleurobrachia_bachei_sb_2645146_ sb_2645146_, Pleurobrachia_bachei_sb_2669699_ sb_2669699_
OG0000011	Mnemiopsis_leidyi_ML20267a ML20267a, Mnemiopsis_leidyi_ML20266a ML20266a, Mnemiopsis_leidyi_ML070825a ML070825a, Mnemiopsis_leidyi_ML017921a ML017921a	Pleurobrachia_bachei_sb_2661339_ sb_2661339_
OG0000011	Mnemiopsis_leidyi_ML040527a ML040527a, Mnemiopsis_leidyi_ML049626a ML049626a, Mnemiopsis_leidyi_ML020038a ML020038a, Mnemiopsis_leidyi_ML24001a ML24001a, Mnemiopsis_leidyi_ML07111a ML07111a, Mnemiopsis_leidyi_ML30814a ML30814a, Mnemiopsis_leidyi_ML00872a ML00872a, Mnemiopsis_leidyi_ML120750a ML120750a, Mnemiopsis_leidyi_ML046712a ML046712a, Mnemiopsis_leidyi_ML07112a ML07112a	Pleurobrachia_bachei_sb_2642560_ sb_2642560_, Pleurobrachia_bachei_sb_2648030_ sb_2648030_, Pleurobrachia_bachei_sb_2669700_ sb_2669700_, Pleurobrachia_bachei_sb_2649758_ sb_2649758_, Pleurobrachia_bachei_sb_2669701_ sb_2669701_
OG0000011	Mnemiopsis_leidyi_ML011731a ML011731a	Pleurobrachia_bachei_sb_2660538_ sb_2660538_, Pleurobrachia_bachei_sb_2640534_ sb_2640534_
OG0000011	Mnemiopsis_leidyi_ML170111a ML170111a	Pleurobrachia_bachei_sb_2652995_ sb_2652995_
OG0000011	Mnemiopsis_leidyi_ML07915a ML07915a, Mnemiopsis_leidyi_ML156510a ML156510a	Pleurobrachia_bachei_sb_2654375_ sb_2654375_
OG0000011	Mnemiopsis_leidyi_ML14971a ML14971a	Pleurobrachia_bachei_sb_2644414_ sb_2644414_, Pleurobrachia_bachei_sb_2657352_ sb_2657352_
OG0000011	Mnemiopsis_leidyi_ML311627a ML311627a	Pleurobrachia_bachei_sb_2660397_ sb_2660397_
OG0000011	Mnemiopsis_leidyi_ML13771a ML13771a, Mnemiopsis_leidyi_ML011717a ML011717a, Mnemiopsis_leidyi_ML011718a ML011718a	Pleurobrachia_bachei_sb_2663135_ sb_2663135_, Pleurobrachia_bachei_sb_2641647_ sb_2641647_
OG0000012	Mnemiopsis_leidyi_ML31161a ML31161a	Pleurobrachia_bachei_sb_2646755_ sb_2646755_
OG0000012	Mnemiopsis_leidyi_ML03227a ML03227a, Mnemiopsis_leidyi_ML231816a ML231816a	Pleurobrachia_bachei_sb_2651486_ sb_2651486_, Pleurobrachia_bachei_sb_2648597_ sb_2648597_
OG0000012	Mnemiopsis_leidyi_ML065752a ML065752a, Mnemiopsis_leidyi_ML12185a ML12185a	Pleurobrachia_bachei_sb_2662653_ sb_2662653_, Pleurobrachia_bachei_sb_2662654_ sb_2662654_, Pleurobrachia_bachei_sb_2662655_ sb_2662655_
OG0000012	Mnemiopsis_leidyi_ML11032a ML11032a, Mnemiopsis_leidyi_ML022012a ML022012a, Mnemiopsis_leidyi_ML11033a ML11033a	Pleurobrachia_bachei_sb_2650533_ sb_2650533_
OG0000012	Mnemiopsis_leidyi_ML41863a ML41863a	Pleurobrachia_bachei_sb_2638518_ sb_2638518_, Pleurobrachia_bachei_sb_2669102_ sb_2669102_, Pleurobrachia_bachei_sb_2647317_ sb_2647317_, Pleurobrachia_bachei_sb_2649652_ sb_2649652_, Pleurobrachia_bachei_sb_2648688_ sb_2648688_, Pleurobrachia_bachei_sb_2663772_ sb_2663772_
OG0000012	Mnemiopsis_leidyi_ML03131a ML03131a	Pleurobrachia_bachei_sb_2649320_ sb_2649320_, Pleurobrachia_bachei_sb_2640994_ sb_2640994_
OG0000012	Mnemiopsis_leidyi_ML14247a ML14247a, Mnemiopsis_leidyi_ML14246a ML14246a	Pleurobrachia_bachei_sb_2663236_ sb_2663236_
OG0000012	Mnemiopsis_leidyi_ML154123a ML154123a	Pleurobrachia_bachei_sb_2642205_ sb_2642205_
OG0000012	Mnemiopsis_leidyi_ML033232a ML033232a, Mnemiopsis_leidyi_ML033230a ML033230a	Pleurobrachia_bachei_sb_2659121_ sb_2659121_
OG0000012	Mnemiopsis_leidyi_ML22301a ML22301a, Mnemiopsis_leidyi_ML173711a ML173711a	Pleurobrachia_bachei_sb_2663448_ sb_2663448_, Pleurobrachia_bachei_sb_2657165_ sb_2657165_
OG0000012	Mnemiopsis_leidyi_ML009817a ML009817a, Mnemiopsis_leidyi_ML463511a ML463511a	Pleurobrachia_bachei_sb_2643671_ sb_2643671_, Pleurobrachia_bachei_sb_2648401_ sb_2648401_
OG0000012	Mnemiopsis_leidyi_ML01517a ML01517a	Pleurobrachia_bachei_sb_2666861_ sb_2666861_, Pleurobrachia_bachei_sb_2661641_ sb_2661641_
OG0000012	Mnemiopsis_leidyi_ML145831a ML145831a	Pleurobrachia_bachei_sb_2646112_ sb_2646112_
OG0000012	Mnemiopsis_leidyi_ML019233a ML019233a	Pleurobrachia_bachei_sb_2639020_ sb_2639020_
