Orthogroup	Cnidaria_Scyphozoa_Aurelia_aurita	Other
OG0000000	Aurelia_aurita_Seg880.6 Seg880.6 transcript_id=Seg880.6_GoldUCD_mRNA.D3Y31 product=Ficolin-1-B protein_id=Seg880.6_GoldUCD_D3Y31, Aurelia_aurita_Seg985.4 Seg985.4 transcript_id=Seg985.4_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg985.4_GoldUCD_D3Y31	Amphimedon_queenslandica_tr_A0A1X7SIU0_A0A1X7SIU0_AMPQE tr_A0A1X7SIU0_A0A1X7SIU0_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=109592882 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TL47_A0A1X7TL47_AMPQE tr_A0A1X7TL47_A0A1X7TL47_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TJ25_A0A1X7TJ25_AMPQE tr_A0A1X7TJ25_A0A1X7TJ25_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UM27_A0A1X7UM27_AMPQE tr_A0A1X7UM27_A0A1X7UM27_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T5S2_A0A1X7T5S2_AMPQE tr_A0A1X7T5S2_A0A1X7T5S2_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=100641528 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UMM6_A0A1X7UMM6_AMPQE tr_A0A1X7UMM6_A0A1X7UMM6_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105313147 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7U9M9_A0A1X7U9M9_AMPQE tr_A0A1X7U9M9_A0A1X7U9M9_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T6I7_A0A1X7T6I7_AMPQE tr_A0A1X7T6I7_A0A1X7T6I7_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UMX8_A0A1X7UMX8_AMPQE tr_A0A1X7UMX8_A0A1X7UMX8_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7ULX0_A0A1X7ULX0_AMPQE tr_A0A1X7ULX0_A0A1X7ULX0_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105313147 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UM84_A0A1X7UM84_AMPQE tr_A0A1X7UM84_A0A1X7UM84_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 GN=105313149 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7T649_A0A1X7T649_AMPQE tr_A0A1X7T649_A0A1X7T649_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SQ32_A0A1X7SQ32_AMPQE tr_A0A1X7SQ32_A0A1X7SQ32_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UZD5_A0A1X7UZD5_AMPQE tr_A0A1X7UZD5_A0A1X7UZD5_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1
OG0000003	Aurelia_aurita_Seg2695.2 Seg2695.2 transcript_id=Seg2695.2_GoldUCD_mRNA.D3Y31 product=Fibrillin-3 protein_id=Seg2695.2_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00005662-protein TCONS_00005662-protein
OG0000003	Aurelia_aurita_Seg7911.1 Seg7911.1 transcript_id=Seg7911.1_GoldUCD_mRNA.D3Y31 product=Fibrillin-2 protein_id=Seg7911.1_GoldUCD_D3Y31 partial=true	Porites_asteroides_isotig31118 isotig31118 extracted_CDS GOMatch=C3ZCX6 GOTerms=GO_0005488_GO_0005509 Gene=Mutant_fibrillin-1_ Match_Acc=O88840 gene=isogroup29386 length=184 numContigs=1
OG0000003	Aurelia_aurita_Seg841.23 Seg841.23 transcript_id=Seg841.23_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg841.23_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg729.4 Seg729.4 transcript_id=Seg729.4_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg729.4_GoldUCD_D3Y31 partial=true	Branchiostoma_floridae_tr_A0A9J7M1M5_A0A9J7M1M5_BRAFL tr|A0A9J7M1M5|A0A9J7M1M5_BRAFL C-type lectin lectoxin-Thr1-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118427240 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M103_A0A9J7M103_BRAFL tr|A0A9J7M103|A0A9J7M103_BRAFL Snaclec agkisacutacin subunit B-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118427240 PE=4 SV=1
OG0000040	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true	Exaiptasia_diaphana_XP_020903908.1 XP_020903908.1 uncharacterized protein LOC110242294 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903909.1 XP_020903909.1 uncharacterized protein LOC110242294 isoform X2 [Exaiptasia diaphana]
OG0000040	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true	Acropora_digitifera_adi_v1.10909 adi_v1.10909, Acropora_digitifera_adi_v1.09775 adi_v1.09775
OG0000040	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true	Nematostella_vectensis_NV2t013801001.1 NV2t013801001.1
OG0000040	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true	Xenia_spec_Xe_008627_T1 Xe_008627_T1 Xe_008627
OG0000040	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true	Stylophora_pistillata_Spis3141 Spis3141 SpisGene3141, Stylophora_pistillata_Spis21214 Spis21214 SpisGene21214
OG0000040	Aurelia_aurita_Seg6869.1 Seg6869.1 transcript_id=Seg6869.1_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg6869.1_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00015477-protein TCONS_00015477-protein, Clytia_hemispherica_TCONS_00054801-protein TCONS_00054801-protein, Clytia_hemispherica_TCONS_00063899-protein TCONS_00063899-protein
