Orthogroup	Chordata_Amphioxiformes_Branchiostoma_lanceolatum	Cnidaria_Anthozoa_Exaiptasia_diaphana
OG0000000	Branchiostoma_lanceolatum_tr_A0A8K0ADV5_A0A8K0ADV5_BRALA tr|A0A8K0ADV5|A0A8K0ADV5_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1	Exaiptasia_diaphana_XP_020901662.1 XP_020901662.1 microfibril-associated glycoprotein 4 [Exaiptasia diaphana]
OG0000000	Branchiostoma_lanceolatum_tr_A0A8J9YVS3_A0A8J9YVS3_BRALA tr|A0A8J9YVS3|A0A8J9YVS3_BRALA MEGF10 protein OS=Branchiostoma lanceolatum OX=7740 GN=MEGF10 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YVW9_A0A8J9YVW9_BRALA tr|A0A8J9YVW9|A0A8J9YVW9_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A2Y8_A0A8K0A2Y8_BRALA tr|A0A8K0A2Y8|A0A8K0A2Y8_BRALA NOTCH3 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH3 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A2N6_A0A8K0A2N6_BRALA tr|A0A8K0A2N6|A0A8K0A2N6_BRALA NOTCH3 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH3 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A5F9_A0A8K0A5F9_BRALA tr|A0A8K0A5F9|A0A8K0A5F9_BRALA NOTCH3 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH3 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EUG9_A0A8K0EUG9_BRALA tr|A0A8K0EUG9|A0A8K0EUG9_BRALA NOTCH3 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH3 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ECH5_A0A8K0ECH5_BRALA tr|A0A8K0ECH5|A0A8K0ECH5_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZK72_A0A8J9ZK72_BRALA tr|A0A8J9ZK72|A0A8J9ZK72_BRALA FIBCD1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FIBCD1 PE=4 SV=1	Exaiptasia_diaphana_XP_020900471.2 XP_020900471.2 tenascin-R [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514860.1 XP_028514860.1 microfibril-associated glycoprotein 4-like [Exaiptasia diaphana]
OG0000000	Branchiostoma_lanceolatum_tr_A0A8J9ZY15_A0A8J9ZY15_BRALA tr|A0A8J9ZY15|A0A8J9ZY15_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1	Exaiptasia_diaphana_XP_020900409.1 XP_020900409.1 ryncolin-2-like [Exaiptasia diaphana]
OG0000000	Branchiostoma_lanceolatum_tr_A0A8J9Z2P2_A0A8J9Z2P2_BRALA tr|A0A8J9Z2P2|A0A8J9Z2P2_BRALA FGL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FGL1 PE=4 SV=1	Exaiptasia_diaphana_XP_028515677.1 XP_028515677.1 angiopoietin-related protein 7 [Exaiptasia diaphana]
OG0000000	Branchiostoma_lanceolatum_tr_A0A8J9VAX2_A0A8J9VAX2_BRALA tr|A0A8J9VAX2|A0A8J9VAX2_BRALA CACNA2D1 protein OS=Branchiostoma lanceolatum OX=7740 GN=CACNA2D1 PE=4 SV=1	Exaiptasia_diaphana_XP_028512828.1 XP_028512828.1 titin isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512829.1 XP_028512829.1 titin isoform X2 [Exaiptasia diaphana]
OG0000000	Branchiostoma_lanceolatum_tr_A0A8J9ZFK3_A0A8J9ZFK3_BRALA tr|A0A8J9ZFK3|A0A8J9ZFK3_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZEH8_A0A8J9ZEH8_BRALA tr|A0A8J9ZEH8|A0A8J9ZEH8_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A9G0_A0A8K0A9G0_BRALA tr|A0A8K0A9G0|A0A8K0A9G0_BRALA FCN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FCN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F2M8_A0A8K0F2M8_BRALA tr|A0A8K0F2M8|A0A8K0F2M8_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1	Exaiptasia_diaphana_XP_020898929.1 XP_020898929.1 ryncolin-1 [Exaiptasia diaphana]
OG0000000	Branchiostoma_lanceolatum_tr_A0A8K0EH02_A0A8K0EH02_BRALA tr|A0A8K0EH02|A0A8K0EH02_BRALA PRSS12 protein OS=Branchiostoma lanceolatum OX=7740 GN=PRSS12 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EBE2_A0A8K0EBE2_BRALA tr|A0A8K0EBE2|A0A8K0EBE2_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ESH8_A0A8K0ESH8_BRALA tr|A0A8K0ESH8|A0A8K0ESH8_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9V6V4_A0A8J9V6V4_BRALA tr|A0A8J9V6V4|A0A8J9V6V4_BRALA FCN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FCN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YLN3_A0A8J9YLN3_BRALA tr|A0A8J9YLN3|A0A8J9YLN3_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EEM1_A0A8K0EEM1_BRALA tr|A0A8K0EEM1|A0A8K0EEM1_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EBR4_A0A8K0EBR4_BRALA tr|A0A8K0EBR4|A0A8K0EBR4_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VG98_A0A8J9VG98_BRALA tr|A0A8J9VG98|A0A8J9VG98_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YLY9_A0A8J9YLY9_BRALA tr|A0A8J9YLY9|A0A8J9YLY9_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YR09_A0A8J9YR09_BRALA tr|A0A8J9YR09|A0A8J9YR09_BRALA ANGPTL7 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL7 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VX66_A0A8J9VX66_BRALA tr|A0A8J9VX66|A0A8J9VX66_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9V5P3_A0A8J9V5P3_BRALA tr|A0A8J9V5P3|A0A8J9V5P3_BRALA TNR protein OS=Branchiostoma lanceolatum OX=7740 GN=TNR PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z3X3_A0A8J9Z3X3_BRALA tr|A0A8J9Z3X3|A0A8J9Z3X3_BRALA ANGPTL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPTL1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VHX0_A0A8J9VHX0_BRALA tr|A0A8J9VHX0|A0A8J9VHX0_BRALA FCN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FCN1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9WBK5_A0A8J9WBK5_BRALA tr|A0A8J9WBK5|A0A8J9WBK5_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1	Exaiptasia_diaphana_XP_020908882.2 XP_020908882.2 angiopoietin-related protein 7 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913665.1 XP_020913665.1 ryncolin-1-like [Exaiptasia diaphana]
OG0000000	Branchiostoma_lanceolatum_tr_A0A8K0EPZ9_A0A8K0EPZ9_BRALA tr|A0A8K0EPZ9|A0A8K0EPZ9_BRALA FGL2 protein OS=Branchiostoma lanceolatum OX=7740 GN=FGL2 PE=4 SV=1	Exaiptasia_diaphana_XP_028512814.1 XP_028512814.1 uncharacterized protein LOC110232112 [Exaiptasia diaphana]
OG0000000	Branchiostoma_lanceolatum_tr_A0A8J9YW30_A0A8J9YW30_BRALA tr|A0A8J9YW30|A0A8J9YW30_BRALA ANGPT2 protein OS=Branchiostoma lanceolatum OX=7740 GN=ANGPT2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0E690_A0A8K0E690_BRALA tr|A0A8K0E690|A0A8K0E690_BRALA FGL1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FGL1 PE=4 SV=1	Exaiptasia_diaphana_XP_028516783.1 XP_028516783.1 fibroleukin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901795.2 XP_020901795.2 angiopoietin-related protein 7_ partial [Exaiptasia diaphana]
OG0000001	Branchiostoma_lanceolatum_tr_A0A8K0A481_A0A8K0A481_BRALA tr|A0A8K0A481|A0A8K0A481_BRALA LAMB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMB1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A1W6_A0A8K0A1W6_BRALA tr|A0A8K0A1W6|A0A8K0A1W6_BRALA LAMB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMB1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A1K9_A0A8K0A1K9_BRALA tr|A0A8K0A1K9|A0A8K0A1K9_BRALA LAMB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMB1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZZ56_A0A8J9ZZ56_BRALA tr|A0A8J9ZZ56|A0A8J9ZZ56_BRALA LAMB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMB1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A0G1_A0A8K0A0G1_BRALA tr|A0A8K0A0G1|A0A8K0A0G1_BRALA LAMB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMB1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZZ61_A0A8J9ZZ61_BRALA tr|A0A8J9ZZ61|A0A8J9ZZ61_BRALA LAMB1 protein OS=Branchiostoma lanceolatum OX=7740 GN=LAMB1 PE=4 SV=1	Exaiptasia_diaphana_XP_028516585.1 XP_028516585.1 laminin subunit beta-1 [Exaiptasia diaphana]
