Orthogroup	Cnidaria_Anthozoa_Porites_asteroides	Placozoa_Trichoplacidae_Trichoplax_spec-H2
OG0000001	Porites_asteroides_isotig10906 isotig10906 extracted_CDS Gene=Contactin-3_ Match_Acc=Q9P232 gene=isogroup09174 length=628 numContigs=1	Trichoplax_specH2_tr_A0A369S2W3_A0A369S2W3_9METZ tr|A0A369S2W3|A0A369S2W3_9METZ Protein sidekick-2 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_006253 PE=4 SV=1
OG0000001	Porites_asteroides_isotig05454 isotig05454 extracted_CDS GOMatch=A7RNP0 GOTerms=GO_0004721_GO_0004725_GO_0006470_GO_0016311_GO_0016787_GO_0016791_GO_0035335 Gene=Receptor_tyrosine_phosphatase_type_r2a__putative_ Match_Acc=B7Q2Q7 gene=isogroup03722 length=1059 numContigs=1, Porites_asteroides_isotig03686 isotig03686 extracted_CDS GOMatch=C3Y2L2 GOTerms=GO_0005102_GO_0005615_GO_0007165 Gene=Receptor-type_tyrosine-protein_phosphatase_F_ Match_Acc=A4IFW2 gene=isogroup01954 length=1596 numContigs=1	Trichoplax_specH2_tr_A0A369S5F0_A0A369S5F0_9METZ tr|A0A369S5F0|A0A369S5F0_9METZ Down syndrome cell adhesion molecule-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_007185 PE=4 SV=1
OG0000001	Porites_asteroides_isotig11537 isotig11537 extracted_CDS gene=isogroup09805 length=593 numContigs=1	Trichoplax_specH2_tr_A0A369RZ42_A0A369RZ42_9METZ tr|A0A369RZ42|A0A369RZ42_9METZ Protogenin OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_007029 PE=4 SV=1
OG0000001	Porites_asteroides_isotig08245 isotig08245 extracted_CDS GOMatch=Q2HXW4 GOTerms=GO_0001764_GO_0005576_GO_0005578_GO_0005604_GO_0005737_GO_0006915_GO_0007409_GO_0007411_GO_0008284_GO_0016337_GO_0030334_GO_0030517_GO_0030879_GO_0040023_GO_0045773_GO_0060603 Gene=Netrin_1_ Match_Acc=B1ARR0 gene=isogroup06513 length=765 numContigs=1	Trichoplax_specH2_tr_A0A369SD60_A0A369SD60_9METZ tr|A0A369SD60|A0A369SD60_9METZ Netrin-1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_003497 PE=4 SV=1
OG0000001	Porites_asteroides_isotig05979 isotig05979 extracted_CDS GOMatch=A7SIF3 GOTerms=GO_0007155_GO_0031012 Gene=Laminin_subunit_gamma-1_ Match_Acc=Q1LVF0 gene=isogroup04247 length=967 numContigs=1	Trichoplax_specH2_tr_A0A369SBY2_A0A369SBY2_9METZ tr|A0A369SBY2|A0A369SBY2_9METZ Laminin subunit gamma-1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_003028 PE=4 SV=1
OG0000002	Porites_asteroides_isotig04429 isotig04429 extracted_CDS GOMatch=C3Z8H9 GOTerms=GO_0005509_GO_0005576_GO_0005886_GO_0007155_GO_0007156_GO_0016020_GO_0016021 Gene=Thrombospondin__Fragment__ Match_Acc=Q16ZU9 gene=isogroup02697 length=1276 numContigs=1	Trichoplax_specH2_tr_A0A369RVI4_A0A369RVI4_9METZ tr|A0A369RVI4|A0A369RVI4_9METZ Thrombospondin-3a OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009811 PE=3 SV=1
OG0000002	Porites_asteroides_isotig06741 isotig06741 extracted_CDS GOMatch=A7RHU3 GOTerms=GO_0004872_GO_0007275_GO_0016020_GO_0016021 Gene=Semaphorin_5A-like_protein_ Match_Acc=D2XNK8 gene=isogroup05009 length=883 numContigs=1	Trichoplax_specH2_tr_A0A369SFC4_A0A369SFC4_9METZ tr|A0A369SFC4|A0A369SFC4_9METZ Semaphorin-5A OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002772 PE=4 SV=1
OG0000002	Porites_asteroides_isotig02238 isotig02238 extracted_CDS GOMatch=C3YH52 GOTerms=GO_0005488 Gene=Thrombospondin_type_1_repeat-containing_protein_2_ Match_Acc=Q2A131 gene=isogroup00952 length=801 numContigs=2	Trichoplax_specH2_tr_A0A369RWD3_A0A369RWD3_9METZ tr|A0A369RWD3|A0A369RWD3_9METZ NKG2-D type II integral membrane protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008619 PE=4 SV=1
OG0000002	Porites_asteroides_isotig24137 isotig24137 extracted_CDS GOMatch=B3LF40 GOTerms=GO_0007155 Gene=SCO-spondin_ Match_Acc=B3LF40 gene=isogroup22405 length=333 numContigs=1	Trichoplax_specH2_tr_A0A369S0G1_A0A369S0G1_9METZ tr|A0A369S0G1|A0A369S0G1_9METZ Mucin-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008163 PE=4 SV=1
OG0000002	Porites_asteroides_GE913773 GE913773 extracted_CDS Past_24_20453_H05.ab1_c Past_norm2007 Porites astreoides cDNA_ mRNA sequence	Trichoplax_specH2_tr_A0A369RQT4_A0A369RQT4_9METZ tr|A0A369RQT4|A0A369RQT4_9METZ SCO-spondin _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010929 PE=4 SV=1
OG0000003	Porites_asteroides_isotig24332 isotig24332 extracted_CDS GOMatch=C0KTQ4 GOTerms=GO_0005488_GO_0005529 Gene=C-type_lectin_ Match_Acc=C0KTQ4 gene=isogroup22600 length=341 numContigs=1	Trichoplax_specH2_tr_A0A369RNX0_A0A369RNX0_9METZ tr|A0A369RNX0|A0A369RNX0_9METZ C-type lectin domain family 10 member A _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011656 PE=4 SV=1, Trichoplax_specH2_tr_A0A369SGL5_A0A369SGL5_9METZ tr|A0A369SGL5|A0A369SGL5_9METZ C-type mannose receptor 2 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_001946 PE=4 SV=1
OG0000003	Porites_asteroides_isotig24779 isotig24779 extracted_CDS GOMatch=B3S3N0 GOTerms=GO_0005509 Gene=Ci-META1_ Match_Acc=Q9BLJ1 gene=isogroup23047 length=333 numContigs=1	Trichoplax_specH2_tr_A0A369RUF6_A0A369RUF6_9METZ tr|A0A369RUF6|A0A369RUF6_9METZ EGF-like domain-containing protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010661 PE=4 SV=1, Trichoplax_specH2_tr_A0A369S6N3_A0A369S6N3_9METZ tr|A0A369S6N3|A0A369S6N3_9METZ Pro-epidermal growth factor OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_005589 PE=4 SV=1
OG0000003	Porites_asteroides_GCKDGN102E13R1 GCKDGN102E13R1 extracted_CDS GOMatch=C3ZVH8 GOTerms=GO_0005509 length=378 region=2 run=R_2010_02_19_08_49_25_ xy=1957_0527	Trichoplax_specH2_tr_A0A369S631_A0A369S631_9METZ tr|A0A369S631|A0A369S631_9METZ Pro-epidermal growth factor OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_005194 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RXQ2_A0A369RXQ2_9METZ tr|A0A369RXQ2|A0A369RXQ2_9METZ Fibrillin-3 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008035 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RQB1_A0A369RQB1_9METZ tr|A0A369RQB1|A0A369RQB1_9METZ Fibrillin-1 _Fragment_ OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011419 PE=4 SV=1
OG0000003	Porites_asteroides_isotig10437 isotig10437 extracted_CDS GOMatch=C3ZHR3 GOTerms=GO_0005509 gene=isogroup08705 length=653 numContigs=1	Trichoplax_specH2_tr_A0A369RWH2_A0A369RWH2_9METZ tr|A0A369RWH2|A0A369RWH2_9METZ Fibulin-2 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008038 PE=4 SV=1
OG0000003	Porites_asteroides_isotig31910 isotig31910 extracted_CDS GOMatch=B3RQ07 GOTerms=GO_0005201_GO_0005509_GO_0005578_GO_0007160_GO_0016020 Gene=TFP250_ Match_Acc=Q7YZP0 gene=isogroup30178 length=161 numContigs=1	Trichoplax_specH2_tr_A0A369RRG2_A0A369RRG2_9METZ tr|A0A369RRG2|A0A369RRG2_9METZ EGF-like domain-containing protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010065 PE=4 SV=1
OG0000004	Porites_asteroides_isotig30183 isotig30183 extracted_CDS gene=isogroup28451 length=224 numContigs=1	Trichoplax_specH2_tr_A0A369RWX1_A0A369RWX1_9METZ tr|A0A369RWX1|A0A369RWX1_9METZ Protocadherin beta-13 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009019 PE=4 SV=1
OG0000004	Porites_asteroides_isotig10373 isotig10373 extracted_CDS GOMatch=C3ZZV2 GOTerms=GO_0016491_GO_0046914_GO_0055114 Gene=Collagen__Fragment__ Match_Acc=A1XVT4 gene=isogroup08641 length=657 numContigs=1, Porites_asteroides_GE907611 GE907611 extracted_CDS 9549023_I24.ab1_c Past_norm2007 Porites astreoides cDNA_mRNA sequence	Trichoplax_specH2_tr_A0A369SDN9_A0A369SDN9_9METZ tr|A0A369SDN9|A0A369SDN9_9METZ Protocadherin-23 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002387 PE=4 SV=1
OG0000004	Porites_asteroides_isotig03712 isotig03712 extracted_CDS GOMatch=A7RQ19 GOTerms=GO_0005509_GO_0005886_GO_0007155_GO_0007156_GO_0016020_GO_0016021 Gene=CHz-cadherin_ Match_Acc=Q6W4W6 gene=isogroup01980 length=1587 numContigs=1	Trichoplax_specH2_tr_A0A369SLV2_A0A369SLV2_9METZ tr|A0A369SLV2|A0A369SLV2_9METZ Protocadherin-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_001602 PE=4 SV=1
OG0000004	Porites_asteroides_isotig09962 isotig09962 extracted_CDS GOMatch=A7S3G3 GOTerms=GO_0005509_GO_0005886_GO_0007155_GO_0007156_GO_0016020_GO_0016021 Gene=Protocadherin_Fat_1_ Match_Acc=Q14517 gene=isogroup08230 length=678 numContigs=1, Porites_asteroides_isotig08089 isotig08089 extracted_CDS GOMatch=A7S3G3 GOTerms=GO_0005509_GO_0005886_GO_0007155_GO_0007156_GO_0016020_GO_0016021 Gene=Fat1_protein__Fragment__ Match_Acc=Q80XT9 gene=isogroup06357 length=773 numContigs=1	Trichoplax_specH2_tr_A0A369RXK6_A0A369RXK6_9METZ tr|A0A369RXK6|A0A369RXK6_9METZ Protocadherin Fat 1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009009 PE=4 SV=1
OG0000005	Porites_asteroides_isotig02129 isotig02129 extracted_CDS GOMatch=A7SPC2 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Blastula_protease-10_ Match_Acc=Q26051 gene=isogroup00897 length=639 numContigs=2, Porites_asteroides_isotig02128 isotig02128 extracted_CDS GOMatch=A7S4I5 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Blastula_protease-10_ Match_Acc=Q26051 gene=isogroup00897 length=700 numContigs=2, Porites_asteroides_isotig11492 isotig11492 extracted_CDS GOMatch=A7S4I5 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Astacin_2_ Match_Acc=Q2MCX8 gene=isogroup09760 length=598 numContigs=1, Porites_asteroides_isotig07671 isotig07671 extracted_CDS GOMatch=A7RMF1 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Blastula_protease-10_ Match_Acc=Q26051 gene=isogroup05939 length=796 numContigs=1, Porites_asteroides_GCKDGN103GTR5D GCKDGN103GTR5D extracted_CDS GOMatch=C3XUJ9 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Peptidase_M12A_astacin_ Match_Acc=D6VK54 length=345 region=3 run=R_2010_02_19_08_49_25_ xy=2682_1839, Porites_asteroides_isotig06224 isotig06224 extracted_CDS GOMatch=A7S9I8 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Astacin-like_zinc_metalloprotease-like_protein_ Match_Acc=A8CAF7 gene=isogroup04492 length=938 numContigs=1	Trichoplax_specH2_tr_A0A369RXS2_A0A369RXS2_9METZ tr|A0A369RXS2|A0A369RXS2_9METZ Metalloendopeptidase OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008764 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RXS7_A0A369RXS7_9METZ tr|A0A369RXS7|A0A369RXS7_9METZ Metalloendopeptidase OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008765 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RVQ8_A0A369RVQ8_9METZ tr|A0A369RVQ8|A0A369RVQ8_9METZ Metalloendopeptidase OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009194 PE=4 SV=1, Trichoplax_specH2_tr_A0A369S221_A0A369S221_9METZ tr|A0A369S221|A0A369S221_9METZ Metalloendopeptidase OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_007517 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RTA1_A0A369RTA1_9METZ tr|A0A369RTA1|A0A369RTA1_9METZ Metalloendopeptidase OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010451 PE=4 SV=1, Trichoplax_specH2_tr_A0A369SCL3_A0A369SCL3_9METZ tr|A0A369SCL3|A0A369SCL3_9METZ Metalloendopeptidase OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_003256 PE=4 SV=1
OG0000007	Porites_asteroides_isotig07687 isotig07687 extracted_CDS GOMatch=A7RVN4 GOTerms=GO_0005509 Gene=Fbln1_protein_ Match_Acc=B3DH18 gene=isogroup05955 length=796 numContigs=1	Trichoplax_specH2_tr_A0A369S9B7_A0A369S9B7_9METZ tr|A0A369S9B7|A0A369S9B7_9METZ Hemicentin-1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_004103 PE=4 SV=1
OG0000007	Porites_asteroides_isotig15190 isotig15190 extracted_CDS GOMatch=D3BG27 GOTerms=GO_0005509 Gene=EGF-like_domain-containing_protein_ Match_Acc=D3BG27 gene=isogroup13458 length=474 numContigs=1	Trichoplax_specH2_tr_A0A369SD51_A0A369SD51_9METZ tr|A0A369SD51|A0A369SD51_9METZ EGF-containing fibulin-like extracellular matrix protein 1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_004354 PE=4 SV=1
OG0000007	Porites_asteroides_isotig01804 isotig01804 extracted_CDS GOMatch=A7RSD3 GOTerms=GO_0005509 Gene=Calcium_binding_EGF_domain_containing_protein_ Match_Acc=A8PQW6 gene=isogroup00735 length=1225 numContigs=2	Trichoplax_specH2_tr_A0A369SAV9_A0A369SAV9_9METZ tr|A0A369SAV9|A0A369SAV9_9METZ Multiple epidermal growth factor-like domains protein 6 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_004559 PE=4 SV=1
OG0000007	Porites_asteroides_isotig05874 isotig05874 extracted_CDS GOMatch=C3YFE6 GOTerms=GO_0007160 Gene=Sushi__nidogen_and_EGF-like_domain-containing_protein_1_ Match_Acc=Q70E20 gene=isogroup04142 length=990 numContigs=1	Trichoplax_specH2_tr_A0A369RNR2_A0A369RNR2_9METZ tr|A0A369RNR2|A0A369RNR2_9METZ Mucin-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_012057 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RPY4_A0A369RPY4_9METZ tr|A0A369RPY4|A0A369RPY4_9METZ Sushi_ nidogen and EGF-like domain-containing protein 1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011496 PE=4 SV=1
OG0000007	Porites_asteroides_isotig03396 isotig03396 extracted_CDS GOMatch=C3ZXG8 GOTerms=GO_0005509_GO_0016020 Gene=EGF-like_domain-containing_protein_ Match_Acc=D3BG27 gene=isogroup01664 length=1937 numContigs=1	Trichoplax_specH2_tr_A0A369S010_A0A369S010_9METZ tr|A0A369S010|A0A369S010_9METZ Mucin-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008355 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RY43_A0A369RY43_9METZ tr|A0A369RY43|A0A369RY43_9METZ Mucin-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008351 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RZ11_A0A369RZ11_9METZ tr|A0A369RZ11|A0A369RZ11_9METZ Mucin-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008354 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RYK0_A0A369RYK0_9METZ tr|A0A369RYK0|A0A369RYK0_9METZ Mucin-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008353 PE=4 SV=1
