Orthogroup	Placozoa_Trichoplacidae_Trichoplax_spec-H2	Cnidaria_Anthozoa_Stylophora_pistillata
OG0000001	Trichoplax_specH2_tr_A0A369SGJ7_A0A369SGJ7_9METZ tr|A0A369SGJ7|A0A369SGJ7_9METZ Laminin subunit beta-1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_001775 PE=4 SV=1	Stylophora_pistillata_Spis17368 Spis17368 SpisGene17368
OG0000001	Trichoplax_specH2_tr_A0A369S6H3_A0A369S6H3_9METZ tr|A0A369S6H3|A0A369S6H3_9METZ Protein sidekick-1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_005469 PE=4 SV=1	Stylophora_pistillata_Spis14116 Spis14116 SpisGene14116
OG0000001	Trichoplax_specH2_tr_A0A369S2W3_A0A369S2W3_9METZ tr|A0A369S2W3|A0A369S2W3_9METZ Protein sidekick-2 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_006253 PE=4 SV=1	Stylophora_pistillata_Spis15904 Spis15904 SpisGene15904
OG0000001	Trichoplax_specH2_tr_A0A369S5F0_A0A369S5F0_9METZ tr|A0A369S5F0|A0A369S5F0_9METZ Down syndrome cell adhesion molecule-like protein OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_007185 PE=4 SV=1	Stylophora_pistillata_Spis1143 Spis1143 SpisGene1143
OG0000001	Trichoplax_specH2_tr_A0A369RZ42_A0A369RZ42_9METZ tr|A0A369RZ42|A0A369RZ42_9METZ Protogenin OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_007029 PE=4 SV=1	Stylophora_pistillata_Spis16332 Spis16332 SpisGene16332
OG0000001	Trichoplax_specH2_tr_A0A369S3K6_A0A369S3K6_9METZ tr|A0A369S3K6|A0A369S3K6_9METZ Contactin-6 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008419 PE=4 SV=1, Trichoplax_specH2_tr_A0A369S1P1_A0A369S1P1_9METZ tr|A0A369S1P1|A0A369S1P1_9METZ Contactin-3 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008409 PE=4 SV=1, Trichoplax_specH2_tr_A0A369S3M7_A0A369S3M7_9METZ tr|A0A369S3M7|A0A369S3M7_9METZ Neuronal cell adhesion molecule OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008421 PE=4 SV=1, Trichoplax_specH2_tr_A0A369S281_A0A369S281_9METZ tr|A0A369S281|A0A369S281_9METZ Contactin-3 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008418 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RRS5_A0A369RRS5_9METZ tr|A0A369RRS5|A0A369RRS5_9METZ Neuronal cell adhesion molecule OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010761 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RRR9_A0A369RRR9_9METZ tr|A0A369RRR9|A0A369RRR9_9METZ Contactin-3 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010760 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RRQ8_A0A369RRQ8_9METZ tr|A0A369RRQ8|A0A369RRQ8_9METZ Neurofascin OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010757 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RTJ8_A0A369RTJ8_9METZ tr|A0A369RTJ8|A0A369RTJ8_9METZ Contactin-6 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_010614 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RR42_A0A369RR42_9METZ tr|A0A369RR42|A0A369RR42_9METZ Contactin-6 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_009459 PE=3 SV=1, Trichoplax_specH2_tr_A0A369RQV2_A0A369RQV2_9METZ tr|A0A369RQV2|A0A369RQV2_9METZ Neuronal cell adhesion molecule OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011090 PE=4 SV=1, Trichoplax_specH2_tr_A0A369RWY6_A0A369RWY6_9METZ tr|A0A369RWY6|A0A369RWY6_9METZ Contactin-6 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008576 PE=4 SV=1	Stylophora_pistillata_Spis5046 Spis5046 SpisGene5046, Stylophora_pistillata_Spis23102 Spis23102 SpisGene23102
OG0000001	Trichoplax_specH2_tr_A0A369SBY2_A0A369SBY2_9METZ tr|A0A369SBY2|A0A369SBY2_9METZ Laminin subunit gamma-1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_003028 PE=4 SV=1	Stylophora_pistillata_Spis315 Spis315 SpisGene315
OG0000002	Trichoplax_specH2_tr_A0A369SFC4_A0A369SFC4_9METZ tr|A0A369SFC4|A0A369SFC4_9METZ Semaphorin-5A OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002772 PE=4 SV=1	Stylophora_pistillata_Spis10820 Spis10820 SpisGene10820
OG0000002	Trichoplax_specH2_tr_A0A369SGE8_A0A369SGE8_9METZ tr|A0A369SGE8|A0A369SGE8_9METZ Semaphorin-5A OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002776 PE=3 SV=1	Stylophora_pistillata_Spis372 Spis372 SpisGene372
