Orthogroup	Cnidaria_Anthozoa_Stylophora_pistillata	Ctenophora_Tentaculata_Mnemiopsis_leidyi
OG0000001	Stylophora_pistillata_Spis17368 Spis17368 SpisGene17368	Mnemiopsis_leidyi_ML17591a ML17591a
OG0000001	Stylophora_pistillata_Spis3304 Spis3304 SpisGene3304, Stylophora_pistillata_Spis315 Spis315 SpisGene315	Mnemiopsis_leidyi_ML20591a ML20591a, Mnemiopsis_leidyi_ML05951a ML05951a
OG0000002	Stylophora_pistillata_Spis16237 Spis16237 SpisGene16237	Mnemiopsis_leidyi_ML06976a ML06976a
OG0000002	Stylophora_pistillata_Spis3382 Spis3382 SpisGene3382, Stylophora_pistillata_Spis10996 Spis10996 SpisGene10996, Stylophora_pistillata_Spis19048 Spis19048 SpisGene19048	Mnemiopsis_leidyi_ML049019a ML049019a, Mnemiopsis_leidyi_ML34222a ML34222a
OG0000002	Stylophora_pistillata_Spis3169 Spis3169 SpisGene3169	Mnemiopsis_leidyi_ML14871a ML14871a, Mnemiopsis_leidyi_ML093048a ML093048a
OG0000002	Stylophora_pistillata_Spis16680 Spis16680 SpisGene16680	Mnemiopsis_leidyi_ML27988a ML27988a
OG0000002	Stylophora_pistillata_Spis3194 Spis3194 SpisGene3194, Stylophora_pistillata_Spis6482 Spis6482 SpisGene6482	Mnemiopsis_leidyi_ML050913a ML050913a
OG0000002	Stylophora_pistillata_Spis12792 Spis12792 SpisGene12792	Mnemiopsis_leidyi_ML07453a ML07453a
OG0000003	Stylophora_pistillata_Spis23171 Spis23171 SpisGene23171	Mnemiopsis_leidyi_ML01785a ML01785a
OG0000003	Stylophora_pistillata_Spis6710 Spis6710 SpisGene6710	Mnemiopsis_leidyi_ML056959a ML056959a
