Orthogroup	Cnidaria_Scyphozoa_Aurelia_aurita	Ctenophora_Tentaculata_Mnemiopsis_leidyi
OG0000001	Aurelia_aurita_Seg1567.8 Seg1567.8 transcript_id=Seg1567.8_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-3" protein_id=Seg1567.8_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2217.4 Seg2217.4 transcript_id=Seg2217.4_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-5" protein_id=Seg2217.4_GoldUCD_D3Y31, Aurelia_aurita_Seg1519.1 Seg1519.1 transcript_id=Seg1519.1_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-5" protein_id=Seg1519.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg5148.1 Seg5148.1 transcript_id=Seg5148.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5148.1_GoldUCD_D3Y31 partial=true	Mnemiopsis_leidyi_ML035910a ML035910a
OG0000001	Aurelia_aurita_Seg1378.3 Seg1378.3 transcript_id=Seg1378.3_GoldUCD_mRNA.D3Y31 product="Laminin subunit beta-1" protein_id=Seg1378.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2403.1 Seg2403.1 transcript_id=Seg2403.1_GoldUCD_mRNA.D3Y31 product="Laminin subunit beta-1" protein_id=Seg2403.1_GoldUCD_D3Y31	Mnemiopsis_leidyi_ML17591a ML17591a
OG0000001	Aurelia_aurita_Seg368.1 Seg368.1 transcript_id=Seg368.1_GoldUCD_mRNA.D3Y31 product="Nucleolar GTP-binding protein 2" protein_id=Seg368.1_GoldUCD_D3Y31 partial=true	Mnemiopsis_leidyi_ML44781a ML44781a
OG0000001	Aurelia_aurita_Seg9198.1 Seg9198.1 transcript_id=Seg9198.1_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg9198.1_GoldUCD_D3Y31, Aurelia_aurita_Seg80.10 Seg80.10 transcript_id=Seg80.10_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg80.10_GoldUCD_D3Y31, Aurelia_aurita_Seg80.9 Seg80.9 transcript_id=Seg80.9_GoldUCD_mRNA.D3Y31 product="Laminin subunit gamma-1" protein_id=Seg80.9_GoldUCD_D3Y31 partial=true	Mnemiopsis_leidyi_ML20591a ML20591a, Mnemiopsis_leidyi_ML05951a ML05951a
OG0000002	Aurelia_aurita_Seg3995.1 Seg3995.1 transcript_id=Seg3995.1_GoldUCD_mRNA.D3Y31 product=Thrombospondin-4 protein_id=Seg3995.1_GoldUCD_D3Y31	Mnemiopsis_leidyi_ML049019a ML049019a, Mnemiopsis_leidyi_ML34222a ML34222a
OG0000002	Aurelia_aurita_Seg1202.19 Seg1202.19 transcript_id=Seg1202.19_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1202.19_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1738.7 Seg1738.7 transcript_id=Seg1738.7_GoldUCD_mRNA.D3Y31 product=Spondin-1 protein_id=Seg1738.7_GoldUCD_D3Y31	Mnemiopsis_leidyi_ML05299a ML05299a, Mnemiopsis_leidyi_ML016334a ML016334a
OG0000002	Aurelia_aurita_Seg4543.1 Seg4543.1 transcript_id=Seg4543.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg4543.1_GoldUCD_D3Y31 partial=true	Mnemiopsis_leidyi_ML14871a ML14871a, Mnemiopsis_leidyi_ML093048a ML093048a
OG0000002	Aurelia_aurita_Seg738.1 Seg738.1 transcript_id=Seg738.1_GoldUCD_mRNA.D3Y31 product=Thrombospondin-1 protein_id=Seg738.1_GoldUCD_D3Y31	Mnemiopsis_leidyi_ML27988a ML27988a
OG0000002	Aurelia_aurita_Seg1881.5 Seg1881.5 transcript_id=Seg1881.5_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg1881.5_GoldUCD_D3Y31, Aurelia_aurita_Seg4590.1 Seg4590.1 transcript_id=Seg4590.1_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg4590.1_GoldUCD_D3Y31, Aurelia_aurita_Seg979.1 Seg979.1 transcript_id=Seg979.1_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg979.1_GoldUCD_D3Y31 partial=true	Mnemiopsis_leidyi_ML07453a ML07453a
OG0000003	Aurelia_aurita_Seg2343.5 Seg2343.5 transcript_id=Seg2343.5_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg2343.5_GoldUCD_D3Y31, Aurelia_aurita_Seg3108.1 Seg3108.1 transcript_id=Seg3108.1_GoldUCD_mRNA.D3Y31 product=Fibrillin-1 protein_id=Seg3108.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg4101.1 Seg4101.1 transcript_id=Seg4101.1_GoldUCD_mRNA.D3Y31 product="C-type lectin lectoxin-Phi1" protein_id=Seg4101.1_GoldUCD_D3Y31	Mnemiopsis_leidyi_ML01785a ML01785a
