Orthogroup	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Anthozoa_Xenia_spec
OG0000000	Hydra_vulgaris_Sc4wPfr_570.g25944.t1 Sc4wPfr_570.g25944.t1	Xenia_spec_Xe_009126_T1 Xe_009126_T1 Xe_009126
OG0000001	Hydra_vulgaris_Sc4wPfr_1127.g22555.t1 Sc4wPfr_1127.g22555.t1	Xenia_spec_Xe_003284_T1 Xe_003284_T1 Xe_003284
OG0000001	Hydra_vulgaris_Sc4wPfr_307.g9631.t1 Sc4wPfr_307.g9631.t1, Hydra_vulgaris_Sc4wPfr_1301.g29099.t1 Sc4wPfr_1301.g29099.t1	Xenia_spec_Xe_004331_T1 Xe_004331_T1 Xe_004331, Xenia_spec_Xe_004329_T1 Xe_004329_T1 Xe_004329, Xenia_spec_Xe_004227_T1 Xe_004227_T1 Xe_004227, Xenia_spec_Xe_004334_T1 Xe_004334_T1 Xe_004334, Xenia_spec_Xe_004333_T1 Xe_004333_T1 Xe_004333, Xenia_spec_Xe_004326_T1 Xe_004326_T1 Xe_004326, Xenia_spec_Xe_004230_T1 Xe_004230_T1 Xe_004230, Xenia_spec_Xe_004229_T1 Xe_004229_T1 Xe_004229, Xenia_spec_Xe_004209_T1 Xe_004209_T1 Xe_004209, Xenia_spec_Xe_004262_T1 Xe_004262_T1 Xe_004262, Xenia_spec_Xe_015497_T1 Xe_015497_T1 Xe_015497, Xenia_spec_Xe_015497_T2 Xe_015497_T2 Xe_015497, Xenia_spec_Xe_004687_T1 Xe_004687_T1 Xe_004687, Xenia_spec_Xe_004686_T1 Xe_004686_T1 Xe_004686
OG0000001	Hydra_vulgaris_Sc4wPfr_132.g22677.t2 Sc4wPfr_132.g22677.t2, Hydra_vulgaris_Sc4wPfr_132.g22677.t1 Sc4wPfr_132.g22677.t1	Xenia_spec_Xe_004325_T1 Xe_004325_T1 Xe_004325, Xenia_spec_Xe_004232_T1 Xe_004232_T1 Xe_004232
OG0000001	Hydra_vulgaris_Sc4wPfr_305.g4599.t1 Sc4wPfr_305.g4599.t1	Xenia_spec_Xe_020701_T1 Xe_020701_T1 Xe_020701
OG0000001	Hydra_vulgaris_Sc4wPfr_555.g27157.t1 Sc4wPfr_555.g27157.t1, Hydra_vulgaris_Sc4wPfr_304.2.g12749.t1 Sc4wPfr_304.2.g12749.t1	Xenia_spec_Xe_018235_T1 Xe_018235_T1 Xe_018235
OG0000001	Hydra_vulgaris_Sc4wPfr_435.1.g6986.t1 Sc4wPfr_435.1.g6986.t1	Xenia_spec_Xe_014011_T1 Xe_014011_T1 Xe_014011
OG0000001	Hydra_vulgaris_Sc4wPfr_641.g16805.t1 Sc4wPfr_641.g16805.t1	Xenia_spec_Xe_011751_T1 Xe_011751_T1 Xe_011751
OG0000001	Hydra_vulgaris_Sc4wPfr_811.1.g17372.t1 Sc4wPfr_811.1.g17372.t1	Xenia_spec_Xe_008027_T1 Xe_008027_T1 Xe_008027
OG0000001	Hydra_vulgaris_Sc4wPfr_328.2.g12077.t1 Sc4wPfr_328.2.g12077.t1	Xenia_spec_Xe_008821_T1 Xe_008821_T1 Xe_008821
OG0000001	Hydra_vulgaris_Sc4wPfr_447.g28994.t1 Sc4wPfr_447.g28994.t1	Xenia_spec_Xe_007494_T1 Xe_007494_T1 Xe_007494
OG0000001	Hydra_vulgaris_Sc4wPfr_1578.g16759.t1 Sc4wPfr_1578.g16759.t1, Hydra_vulgaris_Sc4wPfr_90.g1174.t1 Sc4wPfr_90.g1174.t1	Xenia_spec_Xe_002223_T1 Xe_002223_T1 Xe_002223
OG0000002	Hydra_vulgaris_Sc4wPfr_399.2.g14795.t2 Sc4wPfr_399.2.g14795.t2, Hydra_vulgaris_Sc4wPfr_399.2.g14795.t1 Sc4wPfr_399.2.g14795.t1	Xenia_spec_Xe_002082_T1 Xe_002082_T1 Xe_002082
OG0000002	Hydra_vulgaris_Sc4wPfr_16.3.g17418.t1 Sc4wPfr_16.3.g17418.t1	Xenia_spec_Xe_012680_T1 Xe_012680_T1 Xe_012680
OG0000002	Hydra_vulgaris_Sc4wPfr_177.1.g6145.t1 Sc4wPfr_177.1.g6145.t1, Hydra_vulgaris_Sc4wPfr_177.1.g6139.t1 Sc4wPfr_177.1.g6139.t1, Hydra_vulgaris_Sc4wPfr_177.1.g6146.t1 Sc4wPfr_177.1.g6146.t1	Xenia_spec_Xe_013189_T1 Xe_013189_T1 Xe_013189
OG0000002	Hydra_vulgaris_Sc4wPfr_881.g1673.t1 Sc4wPfr_881.g1673.t1	Xenia_spec_Xe_007911_T1 Xe_007911_T1 Xe_007911
