Orthogroup	Cnidaria_Hydrozoa_Hydra_vulgaris	Chordata_Vertebrata_Mus_musculus
OG0000000	Hydra_vulgaris_Sc4wPfr_570.g25944.t1 Sc4wPfr_570.g25944.t1	Mus_musculus_sp_Q80YX1_TENA_MOUSE sp_Q80YX1_TENA_MOUSE Tenascin OS=Mus musculus OX=10090 GN=Tnc PE=1 SV=1, Mus_musculus_sp_Q80YX1_TENA_MOUSE sp_Q80YX1_TENA_MOUSE Tenascin OS=Mus musculus OX=10090 GN=Tnc PE=1 SV=1, Mus_musculus_sp_Q80YX1_TENA_MOUSE sp_Q80YX1_TENA_MOUSE Tenascin OS=Mus musculus OX=10090 GN=Tnc PE=1 SV=1, Mus_musculus_sp_Q8BYI9_TENR_MOUSE sp_Q8BYI9_TENR_MOUSE Tenascin-R OS=Mus musculus OX=10090 GN=Tnr PE=1 SV=2, Mus_musculus_sp_Q8BYI9_TENR_MOUSE sp_Q8BYI9_TENR_MOUSE Tenascin-R OS=Mus musculus OX=10090 GN=Tnr PE=1 SV=2, Mus_musculus_sp_Q80Z71_TENN_MOUSE sp_Q80Z71_TENN_MOUSE Tenascin-N OS=Mus musculus OX=10090 GN=Tnn PE=1 SV=2
OG0000001	Hydra_vulgaris_Sc4wPfr_1127.g22555.t1 Sc4wPfr_1127.g22555.t1	Mus_musculus_sp_Q61292_LAMB2_MOUSE sp_Q61292_LAMB2_MOUSE Laminin subunit beta-2 OS=Mus musculus OX=10090 GN=Lamb2 PE=1 SV=2, Mus_musculus_sp_P02469_LAMB1_MOUSE sp_P02469_LAMB1_MOUSE Laminin subunit beta-1 OS=Mus musculus OX=10090 GN=Lamb1 PE=1 SV=3
OG0000001	Hydra_vulgaris_Sc4wPfr_811.1.g17372.t1 Sc4wPfr_811.1.g17372.t1	Mus_musculus_sp_Q8R4F1_NTNG2_MOUSE sp_Q8R4F1_NTNG2_MOUSE Netrin-G2 OS=Mus musculus OX=10090 GN=Ntng2 PE=1 SV=2
OG0000001	Hydra_vulgaris_Sc4wPfr_328.2.g12077.t1 Sc4wPfr_328.2.g12077.t1	Mus_musculus_sp_Q9R0B6_LAMC3_MOUSE sp_Q9R0B6_LAMC3_MOUSE Laminin subunit gamma-3 OS=Mus musculus OX=10090 GN=Lamc3 PE=1 SV=2, Mus_musculus_sp_P02468_LAMC1_MOUSE sp_P02468_LAMC1_MOUSE Laminin subunit gamma-1 OS=Mus musculus OX=10090 GN=Lamc1 PE=1 SV=2
OG0000002	Hydra_vulgaris_Sc4wPfr_1066.g10197.t1 Sc4wPfr_1066.g10197.t1	Mus_musculus_sp_A2ATD1_ISM1_MOUSE sp_A2ATD1_ISM1_MOUSE Isthmin-1 OS=Mus musculus OX=10090 GN=Ism1 PE=1 SV=1
OG0000003	Hydra_vulgaris_Sc4wPfr_1300.g9827.t1 Sc4wPfr_1300.g9827.t1, Hydra_vulgaris_Sc4wPfr_1300.g9822.t1 Sc4wPfr_1300.g9822.t1, Hydra_vulgaris_Sc4wPfr_38.1.g13212.t4 Sc4wPfr_38.1.g13212.t4	Mus_musculus_sp_Q3SXB8_COL11_MOUSE sp_Q3SXB8_COL11_MOUSE Collectin-11 OS=Mus musculus OX=10090 GN=Colec11 PE=2 SV=2, Mus_musculus_sp_P35242_SFTPA_MOUSE sp_P35242_SFTPA_MOUSE Pulmonary surfactant-associated protein A OS=Mus musculus OX=10090 GN=Sftpa1 PE=1 SV=1, Mus_musculus_sp_P50404_SFTPD_MOUSE sp_P50404_SFTPD_MOUSE Pulmonary surfactant-associated protein D OS=Mus musculus OX=10090 GN=Sftpd PE=1 SV=1, Mus_musculus_sp_P41317_MBL2_MOUSE sp_P41317_MBL2_MOUSE Mannose-binding protein C OS=Mus musculus OX=10090 GN=Mbl2 PE=1 SV=2, Mus_musculus_sp_P39039_MBL1_MOUSE sp_P39039_MBL1_MOUSE Mannose-binding protein A OS=Mus musculus OX=10090 GN=Mbl1 PE=1 SV=1
OG0000004	Hydra_vulgaris_Sc4wPfr_756.g14109.t1 Sc4wPfr_756.g14109.t1	Mus_musculus_sp_Q8VHI5_VITRN_MOUSE sp_Q8VHI5_VITRN_MOUSE Vitrin OS=Mus musculus OX=10090 GN=Vit PE=1 SV=2, Mus_musculus_sp_Q62507_COCH_MOUSE sp_Q62507_COCH_MOUSE Cochlin OS=Mus musculus OX=10090 GN=Coch PE=1 SV=2
OG0000005	Hydra_vulgaris_Sc4wPfr_85.g841.t1 Sc4wPfr_85.g841.t1, Hydra_vulgaris_Sc4wPfr_269.g7770.t1 Sc4wPfr_269.g7770.t1, Hydra_vulgaris_Sc4wPfr_356.g7066.t1 Sc4wPfr_356.g7066.t1, Hydra_vulgaris_Sc4wPfr_356.g7078.t1 Sc4wPfr_356.g7078.t1, Hydra_vulgaris_Sc4wPfr_326.g15690.t1 Sc4wPfr_326.g15690.t1, Hydra_vulgaris_Sc4wPfr_703.g8968.t1 Sc4wPfr_703.g8968.t1, Hydra_vulgaris_Sc4wPfr_703.g8968.t2 Sc4wPfr_703.g8968.t2, Hydra_vulgaris_Sc4wPfr_703.g8970.t1 Sc4wPfr_703.g8970.t1, Hydra_vulgaris_Sc4wPfr_576.1.g2978.t1 Sc4wPfr_576.1.g2978.t1, Hydra_vulgaris_Sc4wPfr_552.g10517.t1 Sc4wPfr_552.g10517.t1, Hydra_vulgaris_Sc4wPfr_180.g11697.t1 Sc4wPfr_180.g11697.t1, Hydra_vulgaris_Sc4wPfr_144.1.g11748.t1 Sc4wPfr_144.1.g11748.t1, Hydra_vulgaris_Sc4wPfr_180.g11698.t1 Sc4wPfr_180.g11698.t1	Mus_musculus_sp_Q6HA09_ASTL_MOUSE sp_Q6HA09_ASTL_MOUSE Astacin-like metalloendopeptidase OS=Mus musculus OX=10090 GN=Astl PE=1 SV=3
OG0000006	Hydra_vulgaris_Sc4wPfr_172.g6062.t1 Sc4wPfr_172.g6062.t1, Hydra_vulgaris_Sc4wPfr_172.g6056.t1 Sc4wPfr_172.g6056.t1	Mus_musculus_sp_Q8R054_SRPX2_MOUSE sp_Q8R054_SRPX2_MOUSE Sushi repeat-containing protein SRPX2 OS=Mus musculus OX=10090 GN=Srpx2 PE=1 SV=2, Mus_musculus_sp_Q9R0M3_SRPX_MOUSE sp_Q9R0M3_SRPX_MOUSE Sushi-repeat-containing protein SRPX OS=Mus musculus OX=10090 GN=Srpx PE=2 SV=1, Mus_musculus_sp_A2AVA0_SVEP1_MOUSE sp_A2AVA0_SVEP1_MOUSE Sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 OS=Mus musculus OX=10090 GN=Svep1 PE=1 SV=1
OG0000009	Hydra_vulgaris_Sc4wPfr_113.1.g28340.t1 Sc4wPfr_113.1.g28340.t1	Mus_musculus_sp_O08859_TSG6_MOUSE sp_O08859_TSG6_MOUSE Tumor necrosis factor-inducible gene 6 protein OS=Mus musculus OX=10090 GN=Tnfaip6 PE=1 SV=1
OG0000010	Hydra_vulgaris_Sc4wPfr_378.g22717.t1 Sc4wPfr_378.g22717.t1, Hydra_vulgaris_Sc4wPfr_378.g22717.t2 Sc4wPfr_378.g22717.t2	Mus_musculus_sp_Q05793_PGBM_MOUSE sp_Q05793_PGBM_MOUSE Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus OX=10090 GN=Hspg2 PE=1 SV=1
OG0000010	Hydra_vulgaris_Sc4wPfr_5.g3410.t1 Sc4wPfr_5.g3410.t1	Mus_musculus_sp_P47931_FST_MOUSE sp_P47931_FST_MOUSE Follistatin OS=Mus musculus OX=10090 GN=Fst PE=2 SV=1
OG0000011	Hydra_vulgaris_Sc4wPfr_353.g28153.t1 Sc4wPfr_353.g28153.t1	Mus_musculus_sp_P19221_THRB_MOUSE sp_P19221_THRB_MOUSE Prothrombin OS=Mus musculus OX=10090 GN=F2 PE=1 SV=1
OG0000012	Hydra_vulgaris_Sc4wPfr_977.g21608.t1 Sc4wPfr_977.g21608.t1	Mus_musculus_sp_Q8CG65_SSPO_MOUSE sp_Q8CG65_SSPO_MOUSE SCO-spondin OS=Mus musculus OX=10090 GN=Sspo PE=2 SV=2
OG0000012	Hydra_vulgaris_Sc4wPfr_68.g2364.t1 Sc4wPfr_68.g2364.t1	Mus_musculus_sp_Q3U492_KCP_MOUSE sp_Q3U492_KCP_MOUSE Kielin_chordin-like protein OS=Mus musculus OX=10090 GN=Kcp PE=1 SV=2, Mus_musculus_sp_Q3U515_VWCE_MOUSE sp_Q3U515_VWCE_MOUSE von Willebrand factor C and EGF domain-containing protein OS=Mus musculus OX=10090 GN=Vwce PE=2 SV=2
OG0000013	Hydra_vulgaris_Sc4wPfr_804.g24094.t1 Sc4wPfr_804.g24094.t1	Mus_musculus_sp_P04426_WNT1_MOUSE sp_P04426_WNT1_MOUSE Proto-oncogene Wnt-1 OS=Mus musculus OX=10090 GN=Wnt1 PE=1 SV=1
OG0000013	Hydra_vulgaris_Sc4wPfr_399.g28064.t1 Sc4wPfr_399.g28064.t1	Mus_musculus_sp_P17553_WNT3_MOUSE sp_P17553_WNT3_MOUSE Proto-oncogene Wnt-3 OS=Mus musculus OX=10090 GN=Wnt3 PE=1 SV=1, Mus_musculus_sp_P27467_WNT3A_MOUSE sp_P27467_WNT3A_MOUSE Protein Wnt-3a OS=Mus musculus OX=10090 GN=Wnt3a PE=1 SV=1
OG0000013	Hydra_vulgaris_Sc4wPfr_275.3.g1992.t1 Sc4wPfr_275.3.g1992.t1	Mus_musculus_sp_P22724_WNT4_MOUSE sp_P22724_WNT4_MOUSE Protein Wnt-4 OS=Mus musculus OX=10090 GN=Wnt4 PE=1 SV=1
OG0000013	Hydra_vulgaris_Sc4wPfr_1214.g29750.t1 Sc4wPfr_1214.g29750.t1	Mus_musculus_sp_P28047_WNT7B_MOUSE sp_P28047_WNT7B_MOUSE Protein Wnt-7b OS=Mus musculus OX=10090 GN=Wnt7b PE=1 SV=1
OG0000013	Hydra_vulgaris_Sc4wPfr_439.g20853.t1 Sc4wPfr_439.g20853.t1	Mus_musculus_sp_P21552_WNT2_MOUSE sp_P21552_WNT2_MOUSE Protein Wnt-2 OS=Mus musculus OX=10090 GN=Wnt2 PE=2 SV=2, Mus_musculus_sp_O70283_WNT2B_MOUSE sp_O70283_WNT2B_MOUSE Protein Wnt-2b OS=Mus musculus OX=10090 GN=Wnt2b PE=2 SV=3
OG0000013	Hydra_vulgaris_Sc4wPfr_440.g6790.t1 Sc4wPfr_440.g6790.t1	Mus_musculus_sp_Q64527_WNT8A_MOUSE sp_Q64527_WNT8A_MOUSE Protein Wnt-8a OS=Mus musculus OX=10090 GN=Wnt8a PE=2 SV=2
OG0000014	Hydra_vulgaris_Sc4wPfr_1091.g16431.t1 Sc4wPfr_1091.g16431.t1, Hydra_vulgaris_Sc4wPfr_3168.g9700.t1 Sc4wPfr_3168.g9700.t1	Mus_musculus_sp_Q80T21_ATL4_MOUSE sp_Q80T21_ATL4_MOUSE ADAMTS-like protein 4 OS=Mus musculus OX=10090 GN=Adamtsl4 PE=2 SV=1, Mus_musculus_sp_Q3UTY6_THSD4_MOUSE sp_Q3UTY6_THSD4_MOUSE Thrombospondin type-1 domain-containing protein 4 OS=Mus musculus OX=10090 GN=Thsd4 PE=1 SV=2
