Orthogroup	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Cnidaria_Scyphozoa_Aurelia_aurita
OG0000000	Calvadosia_cruxmelitensis_Ccrux.Trinity.57029 Ccrux.Trinity.57029, Calvadosia_cruxmelitensis_Ccrux.Trinity.14746 Ccrux.Trinity.14746, Calvadosia_cruxmelitensis_Ccrux.Trinity.14747 Ccrux.Trinity.14747, Calvadosia_cruxmelitensis_Ccrux.Trinity.14745 Ccrux.Trinity.14745, Calvadosia_cruxmelitensis_Ccrux.Trinity.32577 Ccrux.Trinity.32577, Calvadosia_cruxmelitensis_Ccrux.Trinity.32575 Ccrux.Trinity.32575, Calvadosia_cruxmelitensis_Ccrux.Trinity.32580 Ccrux.Trinity.32580, Calvadosia_cruxmelitensis_Ccrux.Trinity.32581 Ccrux.Trinity.32581, Calvadosia_cruxmelitensis_Ccrux.Trinity.32579 Ccrux.Trinity.32579, Calvadosia_cruxmelitensis_Ccrux.Trinity.32582 Ccrux.Trinity.32582, Calvadosia_cruxmelitensis_Ccrux.Trinity.32586 Ccrux.Trinity.32586, Calvadosia_cruxmelitensis_Ccrux.Trinity.32584 Ccrux.Trinity.32584, Calvadosia_cruxmelitensis_Ccrux.Trinity.32587 Ccrux.Trinity.32587, Calvadosia_cruxmelitensis_Ccrux.Trinity.3602 Ccrux.Trinity.3602, Calvadosia_cruxmelitensis_Ccrux.Trinity.15481 Ccrux.Trinity.15481, Calvadosia_cruxmelitensis_Ccrux.Trinity.15482 Ccrux.Trinity.15482, Calvadosia_cruxmelitensis_Ccrux.Trinity.8180 Ccrux.Trinity.8180, Calvadosia_cruxmelitensis_Ccrux.Trinity.3782 Ccrux.Trinity.3782, Calvadosia_cruxmelitensis_Ccrux.Trinity.3783 Ccrux.Trinity.3783, Calvadosia_cruxmelitensis_Ccrux.Trinity.27647 Ccrux.Trinity.27647, Calvadosia_cruxmelitensis_Ccrux.Trinity.27648 Ccrux.Trinity.27648, Calvadosia_cruxmelitensis_Ccrux.Trinity.27646 Ccrux.Trinity.27646, Calvadosia_cruxmelitensis_Ccrux.Trinity.27652 Ccrux.Trinity.27652, Calvadosia_cruxmelitensis_Ccrux.Trinity.27649 Ccrux.Trinity.27649	Aurelia_aurita_Seg3588.2 Seg3588.2 transcript_id=Seg3588.2_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg3588.2_GoldUCD_D3Y31, Aurelia_aurita_Seg3560.1 Seg3560.1 transcript_id=Seg3560.1_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg3560.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg4954.1 Seg4954.1 transcript_id=Seg4954.1_GoldUCD_mRNA.D3Y31 product=Tenascin-X protein_id=Seg4954.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1716.14 Seg1716.14 transcript_id=Seg1716.14_GoldUCD_mRNA.D3Y31 product="Microfibril-associated glycoprotein 4" protein_id=Seg1716.14_GoldUCD_D3Y31, Aurelia_aurita_Seg803.3 Seg803.3 transcript_id=Seg803.3_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg803.3_GoldUCD_D3Y31, Aurelia_aurita_Seg1716.15 Seg1716.15 transcript_id=Seg1716.15_GoldUCD_mRNA.D3Y31 product="Fibrinogen C domain-containing protein 1" protein_id=Seg1716.15_GoldUCD_D3Y31, Aurelia_aurita_Seg1399.2 Seg1399.2 transcript_id=Seg1399.2_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg1399.2_GoldUCD_D3Y31, Aurelia_aurita_Seg4254.1 Seg4254.1 transcript_id=Seg4254.1_GoldUCD_mRNA.D3Y31 product=Ficolin-1 protein_id=Seg4254.1_GoldUCD_D3Y31, Aurelia_aurita_Seg723.3 Seg723.3 transcript_id=Seg723.3_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg723.3_GoldUCD_D3Y31, Aurelia_aurita_Seg1569.9 Seg1569.9 transcript_id=Seg1569.9_GoldUCD_mRNA.D3Y31 product=Tenascin-X protein_id=Seg1569.9_GoldUCD_D3Y31, Aurelia_aurita_Seg4216.1 Seg4216.1 transcript_id=Seg4216.1_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg4216.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg675.1 Seg675.1 transcript_id=Seg675.1_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg675.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg939.3 Seg939.3 transcript_id=Seg939.3_GoldUCD_mRNA.D3Y31 product=Tenascin-R protein_id=Seg939.3_GoldUCD_D3Y31
OG0000000	Calvadosia_cruxmelitensis_Ccrux.Trinity.13478 Ccrux.Trinity.13478, Calvadosia_cruxmelitensis_Ccrux.Trinity.14749 Ccrux.Trinity.14749	Aurelia_aurita_Seg4670.2 Seg4670.2 transcript_id=Seg4670.2_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg4670.2_GoldUCD_D3Y31
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.33421 Ccrux.Trinity.33421, Calvadosia_cruxmelitensis_Ccrux.Trinity.8636 Ccrux.Trinity.8636	Aurelia_aurita_Seg1567.8 Seg1567.8 transcript_id=Seg1567.8_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-3" protein_id=Seg1567.8_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2217.4 Seg2217.4 transcript_id=Seg2217.4_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-5" protein_id=Seg2217.4_GoldUCD_D3Y31, Aurelia_aurita_Seg1519.1 Seg1519.1 transcript_id=Seg1519.1_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-5" protein_id=Seg1519.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg5148.1 Seg5148.1 transcript_id=Seg5148.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5148.1_GoldUCD_D3Y31 partial=true
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.23735 Ccrux.Trinity.23735, Calvadosia_cruxmelitensis_Ccrux.Trinity.23733 Ccrux.Trinity.23733	Aurelia_aurita_Seg2403.1 Seg2403.1 transcript_id=Seg2403.1_GoldUCD_mRNA.D3Y31 product="Laminin subunit beta-1" protein_id=Seg2403.1_GoldUCD_D3Y31
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.15286 Ccrux.Trinity.15286, Calvadosia_cruxmelitensis_Ccrux.Trinity.15288 Ccrux.Trinity.15288, Calvadosia_cruxmelitensis_Ccrux.Trinity.15287 Ccrux.Trinity.15287, Calvadosia_cruxmelitensis_Ccrux.Trinity.15289 Ccrux.Trinity.15289, Calvadosia_cruxmelitensis_Ccrux.Trinity.15290 Ccrux.Trinity.15290	Aurelia_aurita_Seg447.8 Seg447.8 transcript_id=Seg447.8_GoldUCD_mRNA.D3Y31 product="Fibronectin type III domain-containing protein" protein_id=Seg447.8_GoldUCD_D3Y31 partial=true
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.45538 Ccrux.Trinity.45538	Aurelia_aurita_Seg918.2 Seg918.2 transcript_id=Seg918.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg918.2_GoldUCD_D3Y31 partial=true
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.6711 Ccrux.Trinity.6711, Calvadosia_cruxmelitensis_Ccrux.Trinity.6713 Ccrux.Trinity.6713	Aurelia_aurita_Seg918.1 Seg918.1 transcript_id=Seg918.1_GoldUCD_mRNA.D3Y31 product="Protein sidekick" protein_id=Seg918.1_GoldUCD_D3Y31 partial=true
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.38369 Ccrux.Trinity.38369	Aurelia_aurita_Seg436.1 Seg436.1 transcript_id=Seg436.1_GoldUCD_mRNA.D3Y31 product=Neogenin protein_id=Seg436.1_GoldUCD_D3Y31 partial=true
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.46225 Ccrux.Trinity.46225, Calvadosia_cruxmelitensis_Ccrux.Trinity.46223 Ccrux.Trinity.46223, Calvadosia_cruxmelitensis_Ccrux.Trinity.46224 Ccrux.Trinity.46224	Aurelia_aurita_Seg949.9 Seg949.9 transcript_id=Seg949.9_GoldUCD_mRNA.D3Y31 product="Receptor-type tyrosine-protein phosphatase F" protein_id=Seg949.9_GoldUCD_D3Y31 partial=true
OG0000001	Calvadosia_cruxmelitensis_Ccrux.Trinity.59987 Ccrux.Trinity.59987	Aurelia_aurita_Seg1879.3 Seg1879.3 transcript_id=Seg1879.3_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg1879.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2492.3 Seg2492.3 transcript_id=Seg2492.3_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg2492.3_GoldUCD_D3Y31, Aurelia_aurita_Seg913.6_Seg913.4 Seg913.6_Seg913.4 transcript_id=Seg913.6_Seg913.4_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg913.6_Seg913.4_GoldUCD_D3Y31, Aurelia_aurita_Seg913.3 Seg913.3 transcript_id=Seg913.3_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg913.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3339.2 Seg3339.2 transcript_id=Seg3339.2_GoldUCD_mRNA.D3Y31 product="Receptor-type tyrosine-protein phosphatase F" protein_id=Seg3339.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2958.1 Seg2958.1 transcript_id=Seg2958.1_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg2958.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1093.3 Seg1093.3 transcript_id=Seg1093.3_GoldUCD_mRNA.D3Y31 product="Phosphatidylinositol phosphatase PTPRQ" protein_id=Seg1093.3_GoldUCD_D3Y31 partial=true
