Orthogroup	Cnidaria_Hydrozoa_Hydra_vulgaris	Chordata_Vertebrata_Bos_taurus
OG0000000	Hydra_vulgaris_Sc4wPfr_570.g25944.t1 Sc4wPfr_570.g25944.t1	XP_005210603.1 tenascin isoform X1 [Bos taurus], XP_010811641.2 tenascin-N isoform X1 [Bos taurus]
OG0000001	Hydra_vulgaris_Sc4wPfr_1127.g22555.t1 Sc4wPfr_1127.g22555.t1	NP_001039712.2 laminin subunit beta-2 precursor [Bos taurus], DAA30633.1 TPA_ laminin_ beta 1 [Bos taurus]
OG0000001	Hydra_vulgaris_Sc4wPfr_27.g12214.t1 Sc4wPfr_27.g12214.t1	XP_059734749.1 leukemia inhibitory factor receptor isoform X1 [Bos taurus]
OG0000001	Hydra_vulgaris_Sc4wPfr_811.1.g17372.t1 Sc4wPfr_811.1.g17372.t1	XP_059747260.1 netrin-G2 isoform X1 [Bos taurus], XP_059740913.1 netrin-G1 isoform X1 [Bos taurus]
OG0000001	Hydra_vulgaris_Sc4wPfr_328.2.g12077.t1 Sc4wPfr_328.2.g12077.t1	DAA24206.1 TPA_ laminin_ gamma 3-like [Bos taurus], NP_001193746.1 laminin subunit gamma-1 precursor [Bos taurus]
OG0000002	Hydra_vulgaris_Sc4wPfr_1066.g10197.t1 Sc4wPfr_1066.g10197.t1	NP_001157407.1 isthmin-1 precursor [Bos taurus], XP_059746684.1 LOW QUALITY PROTEIN_ isthmin-2 [Bos taurus]
OG0000003	Hydra_vulgaris_Sc4wPfr_1300.g9827.t1 Sc4wPfr_1300.g9827.t1, Hydra_vulgaris_Sc4wPfr_1300.g9822.t1 Sc4wPfr_1300.g9822.t1, Hydra_vulgaris_Sc4wPfr_38.1.g13212.t4 Sc4wPfr_38.1.g13212.t4	sp|Q17QH6.1|COL11_BOVIN RecName_ Full=Collectin-11; AltName_ Full=Collectin kidney protein 1; Short=CL-K1; Flags_ Precursor, NP_001192642.1 collectin-10 precursor [Bos taurus], sp|Q8MHZ9.1|CL46_BOVIN RecName_ Full=Collectin-46; Short=CL-46; AltName_ Full=46 kDa collectin; Flags_ Precursor, NP_776532.1 mannose-binding protein C precursor [Bos taurus], XP_059738436.1 mannose-binding protein A isoform X1 [Bos taurus]
OG0000003	Hydra_vulgaris_Sc4wPfr_208.2.g17742.t1 Sc4wPfr_208.2.g17742.t1, Hydra_vulgaris_Sc4wPfr_547.1.g25022.t1 Sc4wPfr_547.1.g25022.t1, Hydra_vulgaris_Sc4wPfr_597.2.g14346.t1 Sc4wPfr_597.2.g14346.t1, Hydra_vulgaris_Sc4wPfr_1127.1.g1464.t1 Sc4wPfr_1127.1.g1464.t1, Hydra_vulgaris_Sc4wPfr_461.g8086.t1 Sc4wPfr_461.g8086.t1, Hydra_vulgaris_Sc4wPfr_113.1.g28301.t1 Sc4wPfr_113.1.g28301.t1	NP_001193132.1 C-type lectin domain family 5 member A [Bos taurus]
OG0000006	Hydra_vulgaris_Sc4wPfr_727.g7600.t1 Sc4wPfr_727.g7600.t1, Hydra_vulgaris_Sc4wPfr_73.g11519.t1 Sc4wPfr_73.g11519.t1, Hydra_vulgaris_Sc4wPfr_504.g10344.t1 Sc4wPfr_504.g10344.t1, Hydra_vulgaris_Sc4wPfr_279.g30446.t1 Sc4wPfr_279.g30446.t1	NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus]
OG0000006	Hydra_vulgaris_Sc4wPfr_172.g6062.t1 Sc4wPfr_172.g6062.t1, Hydra_vulgaris_Sc4wPfr_172.g6056.t1 Sc4wPfr_172.g6056.t1	XP_059739360.1 sushi repeat-containing protein SRPX2 isoform X1 [Bos taurus], NP_001035579.1 sushi repeat-containing protein SRPX precursor [Bos taurus], XP_010806541.2 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Bos taurus]
