Orthogroup	Cnidaria_Hydrozoa_Hydra_vulgaris	Choanozoa_Choanoflagellatea_Monosiga_brevicollis
OG0000001	Hydra_vulgaris_Sc4wPfr_641.g16805.t1 Sc4wPfr_641.g16805.t1	Monosiga_brevicollisXP_001747329.1 XP_001747329.1 uncharacterized protein MONBRDRAFT_26942 [Monosiga brevicollis MX1]
OG0000001	Hydra_vulgaris_Sc4wPfr_27.g12214.t1 Sc4wPfr_27.g12214.t1	Monosiga_brevicollisXP_001744552.1 XP_001744552.1 uncharacterized protein MONBRDRAFT_36570 [Monosiga brevicollis MX1]
OG0000001	Hydra_vulgaris_Sc4wPfr_811.1.g17372.t1 Sc4wPfr_811.1.g17372.t1, Hydra_vulgaris_Sc4wPfr_328.2.g12077.t1 Sc4wPfr_328.2.g12077.t1, Hydra_vulgaris_Sc4wPfr_447.g28994.t1 Sc4wPfr_447.g28994.t1, Hydra_vulgaris_Sc4wPfr_1578.g16759.t1 Sc4wPfr_1578.g16759.t1, Hydra_vulgaris_Sc4wPfr_90.g1174.t1 Sc4wPfr_90.g1174.t1	Monosiga_brevicollisXP_001747261.1 XP_001747261.1 uncharacterized protein MONBRDRAFT_26825 [Monosiga brevicollis MX1]
OG0000003	Hydra_vulgaris_Sc4wPfr_1968.g26006.t1 Sc4wPfr_1968.g26006.t1	Monosiga_brevicollisXP_001742622.1 XP_001742622.1 uncharacterized protein MONBRDRAFT_35486 [Monosiga brevicollis MX1]
OG0000003	Hydra_vulgaris_Sc4wPfr_1300.g9827.t1 Sc4wPfr_1300.g9827.t1, Hydra_vulgaris_Sc4wPfr_1300.g9822.t1 Sc4wPfr_1300.g9822.t1, Hydra_vulgaris_Sc4wPfr_38.1.g13212.t4 Sc4wPfr_38.1.g13212.t4, Hydra_vulgaris_Sc4wPfr_174.g11872.t1 Sc4wPfr_174.g11872.t1	Monosiga_brevicollisXP_001747347.1 XP_001747347.1 uncharacterized protein MONBRDRAFT_26977 [Monosiga brevicollis MX1]
OG0000003	Hydra_vulgaris_Sc4wPfr_597.2.g14346.t1 Sc4wPfr_597.2.g14346.t1	Monosiga_brevicollisXP_001748542.1 XP_001748542.1 uncharacterized protein MONBRDRAFT_10710 [Monosiga brevicollis MX1]
OG0000004	Hydra_vulgaris_Sc4wPfr_705.g26924.t1 Sc4wPfr_705.g26924.t1, Hydra_vulgaris_Sc4wPfr_200.g3564.t1 Sc4wPfr_200.g3564.t1	Monosiga_brevicollisXP_001747340.1 XP_001747340.1 uncharacterized protein MONBRDRAFT_33167 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001749037.1 XP_001749037.1 uncharacterized protein MONBRDRAFT_28599 [Monosiga brevicollis MX1]
OG0000004	Hydra_vulgaris_Sc4wPfr_672.g32789.t1 Sc4wPfr_672.g32789.t1, Hydra_vulgaris_Sc4wPfr_672.g32789.t2 Sc4wPfr_672.g32789.t2	Monosiga_brevicollisXP_001743003.1 XP_001743003.1 uncharacterized protein MONBRDRAFT_44221 [Monosiga brevicollis MX1]
OG0000007	Hydra_vulgaris_Sc4wPfr_817.g25358.t1 Sc4wPfr_817.g25358.t1, Hydra_vulgaris_Sc4wPfr_817.g25356.t1 Sc4wPfr_817.g25356.t1, Hydra_vulgaris_Sc4wPfr_388.1.g10239.t1 Sc4wPfr_388.1.g10239.t1, Hydra_vulgaris_Sc4wPfr_68.2.g16409.t1 Sc4wPfr_68.2.g16409.t1, Hydra_vulgaris_Sc4wPfr_68.2.g16398.t1 Sc4wPfr_68.2.g16398.t1, Hydra_vulgaris_Sc4wPfr_133.g14070.t1 Sc4wPfr_133.g14070.t1, Hydra_vulgaris_Sc4wPfr_464.g3794.t1 Sc4wPfr_464.g3794.t1	Monosiga_brevicollisXP_001747466.1 XP_001747466.1 uncharacterized protein MONBRDRAFT_27014 [Monosiga brevicollis MX1]
OG0000007	Hydra_vulgaris_Sc4wPfr_1033.g30822.t1 Sc4wPfr_1033.g30822.t1	Monosiga_brevicollisXP_001750283.1 XP_001750283.1 uncharacterized protein MONBRDRAFT_34480 [Monosiga brevicollis MX1], Monosiga_brevicollisXP_001744192.1 XP_001744192.1 uncharacterized protein MONBRDRAFT_24014 [Monosiga brevicollis MX1]
