Orthogroup	Ctenophora_Nuda_Beroe_ovata	Chordata_Vertebrata_Bos_taurus
OG0000000	Beroe_ovata_Bova1_4.0362.g6.t1 Bova1_4.0362.g6.t1	XP_005210603.1 tenascin isoform X1 [Bos taurus], XP_010811641.2 tenascin-N isoform X1 [Bos taurus]
OG0000001	Beroe_ovata_Bova1_4.0354.g11.t1 Bova1_4.0354.g11.t1, Beroe_ovata_Bova1_4.0491.g2.t1 Bova1_4.0491.g2.t1	XP_059731805.1 laminin subunit gamma-2 isoform X1 [Bos taurus]
OG0000001	Beroe_ovata_Bova1_4.0204.g2.t1 Bova1_4.0204.g2.t1	XP_010803496.1 netrin-4 isoform X2 [Bos taurus], XP_059731406.1 laminin subunit beta-3 isoform X1 [Bos taurus], NP_001039712.2 laminin subunit beta-2 precursor [Bos taurus], DAA30633.1 TPA_ laminin_ beta 1 [Bos taurus]
OG0000001	Beroe_ovata_Bova1_4.0078.g20.t1 Bova1_4.0078.g20.t1	NP_001193801.1 netrin-5 precursor [Bos taurus]
OG0000001	Beroe_ovata_Bova1_4.0005.g58.t1 Bova1_4.0005.g58.t1	NP_001193834.1 netrin-3 precursor [Bos taurus], NP_001179495.1 netrin-1 precursor [Bos taurus], DAA24206.1 TPA_ laminin_ gamma 3-like [Bos taurus], NP_001193746.1 laminin subunit gamma-1 precursor [Bos taurus]
OG0000002	Beroe_ovata_Bova1_4.0122.g2.t1 Bova1_4.0122.g2.t1, Beroe_ovata_Bova1_4.0167.g18.t1 Bova1_4.0167.g18.t1, Beroe_ovata_Bova1_4.0036.g56.t1 Bova1_4.0036.g56.t1, Beroe_ovata_Bova1_4.0113.g13.t1 Bova1_4.0113.g13.t1, Beroe_ovata_Bova1_4.0287.g9.t1 Bova1_4.0287.g9.t1, Beroe_ovata_Bova1_4.0287.g10.t1 Bova1_4.0287.g10.t1, Beroe_ovata_Bova1_4.0006.g158.t1 Bova1_4.0006.g158.t1, Beroe_ovata_Bova1_4.0022.g96.t1 Bova1_4.0022.g96.t1, Beroe_ovata_Bova1_4.0017.g28.t1 Bova1_4.0017.g28.t1, Beroe_ovata_Bova1_4.0017.g27.t1 Bova1_4.0017.g27.t1	XP_059736229.1 von Willebrand factor A domain-containing protein 7 isoform X1 [Bos taurus]
OG0000003	Beroe_ovata_Bova1_4.0552.g4.t1 Bova1_4.0552.g4.t1, Beroe_ovata_Bova1_4.0203.g12.t2 Bova1_4.0203.g12.t2, Beroe_ovata_Bova1_4.0203.g12.t1 Bova1_4.0203.g12.t1, Beroe_ovata_Bova1_4.0552.g5.t1 Bova1_4.0552.g5.t1, Beroe_ovata_Bova1_4.0203.g13.t1 Bova1_4.0203.g13.t1, Beroe_ovata_Bova1_4.2546.g1.t1 Bova1_4.2546.g1.t1	XP_059737445.1 brevican core protein isoform X1 [Bos taurus], XP_059744190.1 neurocan core protein isoform X1 [Bos taurus], XP_059734920.1 aggrecan core protein isoform X1 [Bos taurus], NP_776406.1 aggrecan core protein precursor [Bos taurus], sp|P81282.2|CSPG2_BOVIN RecName_ Full=Versican core protein; AltName_ Full=Chondroitin sulfate proteoglycan core protein 2; Short=Chondroitin sulfate proteoglycan 2; AltName_ Full=Glial hyaluronate-binding protein; Short=GHAP; AltName_ Full=Large fibroblast proteoglycan; AltName_ Full=PG-M; Flags_ Precursor, sp|P81282.2|CSPG2_BOVIN RecName_ Full=Versican core protein; AltName_ Full=Chondroitin sulfate proteoglycan core protein 2; Short=Chondroitin sulfate proteoglycan 2; AltName_ Full=Glial hyaluronate-binding protein; Short=GHAP; AltName_ Full=Large fibroblast proteoglycan; AltName_ Full=PG-M; Flags_ Precursor
OG0000003	Beroe_ovata_Bova1_4.0033.g69.t1 Bova1_4.0033.g69.t1, Beroe_ovata_Bova1_4.0075.g12.t1 Bova1_4.0075.g12.t1	NP_001193132.1 C-type lectin domain family 5 member A [Bos taurus]
OG0000004	Beroe_ovata_Bova1_4.0009.g97.t1 Bova1_4.0009.g97.t1	sp|Q6R8F2.1|CADH1_BOVIN RecName_ Full=Cadherin-1; AltName_ Full=Epithelial cadherin; Short=E-cadherin; AltName_ CD_antigen=CD324; Contains_ RecName_ Full=E-Cad/CTF1; Contains_ RecName_ Full=E-Cad/CTF2; Contains_ RecName_ Full=E-Cad/CTF3; Flags_ Precursor
OG0000006	Beroe_ovata_Bova1_4.0221.g2.t1 Bova1_4.0221.g2.t1, Beroe_ovata_Bova1_4.0112.g36.t1 Bova1_4.0112.g36.t1, Beroe_ovata_Bova1_4.0105.g13.t2 Bova1_4.0105.g13.t2, Beroe_ovata_Bova1_4.0105.g13.t1 Bova1_4.0105.g13.t1, Beroe_ovata_Bova1_4.0014.g28.t1 Bova1_4.0014.g28.t1	NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus]
OG0000006	Beroe_ovata_Bova1_4.0328.g2.t1 Bova1_4.0328.g2.t1, Beroe_ovata_Bova1_4.0159.g20.t1 Bova1_4.0159.g20.t1, Beroe_ovata_Bova1_4.0012.g91.t1 Bova1_4.0012.g91.t1	XP_002691171.2 fibulin-7 [Bos taurus]
OG0000007	Beroe_ovata_Bova1_4.0184.g4.t3 Bova1_4.0184.g4.t3, Beroe_ovata_Bova1_4.0184.g4.t2 Bova1_4.0184.g4.t2, Beroe_ovata_Bova1_4.0184.g4.t1 Bova1_4.0184.g4.t1	NP_001012687.1 fatty acid synthase [Bos taurus]
OG0000010	Beroe_ovata_Bova1_4.0203.g21.t1 Bova1_4.0203.g21.t1	XP_015316344.2 basement membrane-specific heparan sulfate proteoglycan core protein isoform X1 [Bos taurus]
OG0000010	Beroe_ovata_Bova1_4.0344.g2.t1 Bova1_4.0344.g2.t1, Beroe_ovata_Bova1_4.0113.g30.t1 Bova1_4.0113.g30.t1, Beroe_ovata_Bova1_4.0113.g29.t1 Bova1_4.0113.g29.t1	XP_005217262.1 agrin isoform X1 [Bos taurus], sp|Q1LZB9.1|FSTL3_BOVIN RecName_ Full=Follistatin-related protein 3; AltName_ Full=Follistatin-like protein 3; Flags_ Precursor
OG0000011	Beroe_ovata_Bova1_4.0021.g15.t1 Bova1_4.0021.g15.t1	XP_005222860.2 hepatocyte growth factor-like protein isoform X1 [Bos taurus], NP_001026921.1 hepatocyte growth factor precursor [Bos taurus]
OG0000012	Beroe_ovata_Bova1_4.0198.g22.t1 Bova1_4.0198.g22.t1, Beroe_ovata_Bova1_4.0198.g23.t1 Bova1_4.0198.g23.t1, Beroe_ovata_Bova1_4.0322.g6.t1 Bova1_4.0322.g6.t1	sp|P98091.2|MUC19_BOVIN RecName_ Full=Mucin-19; Short=MUC-19; AltName_ Full=Submaxillary mucin-like protein; Flags_ Precursor, XP_024843363.1 LOW QUALITY PROTEIN_ mucin-2 [Bos taurus], CBL80808.1 TPA_ mucin-5AC [Bos taurus], XP_059739142.1 mucin-5B [Bos taurus], sp|P98167.2|SSPO_BOVIN RecName_ Full=SCO-spondin; Flags_ Precursor, sp|P98167.2|SSPO_BOVIN RecName_ Full=SCO-spondin; Flags_ Precursor, pir||A34102 von Willebrand factor - bovine _fragments_, XP_059742803.1 otogelin-like protein [Bos taurus], DAA22321.1 TPA_ Otogelin-like [Bos taurus]
OG0000012	Beroe_ovata_Bova1_4.0055.g43.t1 Bova1_4.0055.g43.t1, Beroe_ovata_Bova1_4.0090.g28.t2 Bova1_4.0090.g28.t2, Beroe_ovata_Bova1_4.0090.g28.t1 Bova1_4.0090.g28.t1, Beroe_ovata_Bova1_4.0548.g1.t2 Bova1_4.0548.g1.t2, Beroe_ovata_Bova1_4.0548.g1.t1 Bova1_4.0548.g1.t1	XP_015330193.2 LOW QUALITY PROTEIN_ alpha-tectorin [Bos taurus], NP_001071465.1 BMP-binding endothelial regulator protein precursor [Bos taurus], DAA30402.1 TPA_ kielin/chordin-like protein [Bos taurus], NP_001178138.1 von Willebrand factor C and EGF domain-containing protein precursor [Bos taurus]
OG0000013	Beroe_ovata_Bova1_4.0066.g65.t1 Bova1_4.0066.g65.t1	NP_001192492.1 protein Wnt-6 precursor [Bos taurus]
OG0000013	Beroe_ovata_Bova1_4.0140.g20.t1 Bova1_4.0140.g20.t1	NP_001179717.1 protein Wnt-7a [Bos taurus], XP_024848596.2 protein Wnt-7b isoform X1 [Bos taurus], NP_001092833.1 protein Wnt-2b [Bos taurus]
OG0000013	Beroe_ovata_Bova1_4.0064.g51.t1 Bova1_4.0064.g51.t1, Beroe_ovata_Bova1_4.0064.g52.t1 Bova1_4.0064.g52.t1	XP_024836921.2 protein Wnt-9b [Bos taurus], DAA28331.1 TPA_ wingless-type MMTV integration site 9A-like [Bos taurus]
OG0000015	Beroe_ovata_Bova1_4.0052.g5.t1 Bova1_4.0052.g5.t1, Beroe_ovata_Bova1_4.0628.g1.t1 Bova1_4.0628.g1.t1	XP_005225807.1 beta-tectorin isoform X1 [Bos taurus]
OG0000015	Beroe_ovata_Bova1_4.0080.g8.t1 Bova1_4.0080.g8.t1, Beroe_ovata_Bova1_4.0039.g24.t1 Bova1_4.0039.g24.t1, Beroe_ovata_Bova1_4.0237.g3.t1 Bova1_4.0237.g3.t1, Beroe_ovata_Bova1_4.0030.g78.t1 Bova1_4.0030.g78.t1	sp|Q29RU2.1|OIT3_BOVIN RecName_ Full=Oncoprotein-induced transcript 3 protein; Flags_ Precursor
OG0000017	Beroe_ovata_Bova1_4.0021.g29.t1 Bova1_4.0021.g29.t1, Beroe_ovata_Bova1_4.0101.g29.t1 Bova1_4.0101.g29.t1	NP_001092467.1 protein Z-dependent protease inhibitor precursor [Bos taurus], sp|P34955.1|A1AT_BOVIN RecName_ Full=Alpha-1-antiproteinase; AltName_ Full=Alpha-1-antitrypsin; AltName_ Full=Alpha-1-proteinase inhibitor; AltName_ Full=Serpin A1; Flags_ Precursor, sp|P34955.1|A1AT_BOVIN RecName_ Full=Alpha-1-antiproteinase; AltName_ Full=Alpha-1-antitrypsin; AltName_ Full=Alpha-1-proteinase inhibitor; AltName_ Full=Serpin A1; Flags_ Precursor, XP_059735117.1 serpin A11 isoform X1 [Bos taurus], sp|Q9TT36.1|THBG_BOVIN RecName_ Full=Thyroxine-binding globulin; AltName_ Full=Serpin A7; AltName_ Full=T4-binding globulin; Flags_ Precursor, XP_024838010.2 LOW QUALITY PROTEIN_ kallistatin [Bos taurus], sp|Q9N2I2.1|IPSP_BOVIN RecName_ Full=Plasma serine protease inhibitor; AltName_ Full=Protein C inhibitor; Short=PCI; AltName_ Full=Serpin A5; Flags_ Precursor, sp|A6QPQ2.1|SPA38_BOVIN RecName_ Full=Serpin A3-8; Flags_ Precursor, sp|A6QPQ2.1|SPA38_BOVIN RecName_ Full=Serpin A3-8; Flags_ Precursor, sp|A2I7M9.1|SPA32_BOVIN RecName_ Full=Serpin A3-2; Flags_ Precursor, DAA17272.1 TPA_ serpin A3-6 [Bos taurus], sp|E1BF81.1|CBG_BOVIN RecName_ Full=Corticosteroid-binding globulin; Short=CBG; AltName_ Full=Serpin A6; AltName_ Full=Transcortin; Flags_ Precursor, NP_001070985.1 serpin A12 precursor [Bos taurus], NP_001098516.1 heparin cofactor 2 precursor [Bos taurus], NP_777246.1 factor XIIa inhibitor precursor [Bos taurus], sp|P28800.2|A2AP_BOVIN RecName_ Full=Alpha-2-antiplasmin; Short=Alpha-2-AP; AltName_ Full=Alpha-2-plasmin inhibitor; Short=Alpha-2-PI; AltName_ Full=Serpin F2; Flags_ Precursor
OG0000019	Beroe_ovata_Bova1_4.0050.g21.t1 Bova1_4.0050.g21.t1, Beroe_ovata_Bova1_4.0050.g20.t1 Bova1_4.0050.g20.t1	NP_001193227.1 growth/differentiation factor 15 precursor [Bos taurus]
OG0000019	Beroe_ovata_Bova1_4.0118.g26.t1 Bova1_4.0118.g26.t1	XP_002687467.2 growth/differentiation factor 11 [Bos taurus]
OG0000019	Beroe_ovata_Bova1_4.0040.g35.t3 Bova1_4.0040.g35.t3, Beroe_ovata_Bova1_4.0040.g35.t2 Bova1_4.0040.g35.t2	XP_024845991.1 bone morphogenetic protein 8B [Bos taurus], NP_001193798.2 bone morphogenetic protein 8A precursor [Bos taurus], NP_001291945.1 bone morphogenetic protein 5 precursor [Bos taurus], NP_001192944.1 bone morphogenetic protein 7 precursor [Bos taurus], sp|P55106.2|GDF6_BOVIN RecName_ Full=Growth/differentiation factor 6; Short=GDF-6; AltName_ Full=Bone morphogenetic protein 13; Short=BMP-13; AltName_ Full=Cartilage-derived morphogenetic protein 2; Short=CDMP-2; Flags_ Precursor, NP_001179202.1 growth/differentiation factor 5 precursor [Bos taurus], NP_001193030.1 growth/differentiation factor 7 precursor [Bos taurus], sp|P22444.2|BMP3_BOVIN RecName_ Full=Bone morphogenetic protein 3; Short=BMP-3; AltName_ Full=Osteogenin; Flags_ Precursor, sp|Q08DX6.1|GDF10_BOVIN RecName_ Full=Growth/differentiation factor 10; Short=GDF-10; AltName_ Full=Bone morphogenetic protein 3B; Short=BMP-3B; Flags_ Precursor, XP_010804844.1 embryonic growth/differentiation factor 1 [Bos taurus], XP_002687893.2 growth/differentiation factor 3 [Bos taurus], NP_001179047.1 bone morphogenetic protein 10 precursor [Bos taurus], NP_001179349.1 growth/differentiation factor 2 precursor [Bos taurus]
OG0000022	Beroe_ovata_Bova1_4.0785.g1.t1 Bova1_4.0785.g1.t1, Beroe_ovata_Bova1_4.0354.g2.t1 Bova1_4.0354.g2.t1, Beroe_ovata_Bova1_4.0085.g13.t1 Bova1_4.0085.g13.t1	sp|P81287.3|ANXA5_BOVIN RecName_ Full=Annexin A5; AltName_ Full=Anchorin CII; AltName_ Full=Annexin V; AltName_ Full=Annexin-5; AltName_ Full=Calphobindin I; Short=CPB-I; AltName_ Full=Endonexin II; AltName_ Full=Lipocortin V; AltName_ Full=Placental anticoagulant protein 4; AltName_ Full=Placental anticoagulant protein I; Short=PAP-I; AltName_ Full=Thromboplastin inhibitor; AltName_ Full=Vascular anticoagulant-alpha; Short=VAC-alpha, sp|P79134.2|ANXA6_BOVIN RecName_ Full=Annexin A6; AltName_ Full=Annexin VI; AltName_ Full=Annexin-6, NP_776666.1 annexin A8 [Bos taurus], sp|Q95L54.1|ANXA8_BOVIN RecName_ Full=Annexin A8; AltName_ Full=Annexin VIII; AltName_ Full=Annexin-8, pdb|4X9P|A Chain A_ Annexin A2, sp|P04272.2|ANXA2_BOVIN RecName_ Full=Annexin A2; AltName_ Full=Annexin II; AltName_ Full=Annexin-2; AltName_ Full=Calpactin I heavy chain; AltName_ Full=Calpactin-1 heavy chain; AltName_ Full=Chromobindin-8; AltName_ Full=Lipocortin II; AltName_ Full=Placental anticoagulant protein IV; Short=PAP-IV; AltName_ Full=Protein I; AltName_ Full=p36, sp|P46193.2|ANXA1_BOVIN RecName_ Full=Annexin A1; AltName_ Full=Annexin I; AltName_ Full=Annexin-1; AltName_ Full=Calpactin II; AltName_ Full=Calpactin-2; AltName_ Full=Chromobindin-9; AltName_ Full=Lipocortin I; AltName_ Full=Phospholipase A2 inhibitory protein; AltName_ Full=p35; Contains_ RecName_ Full=Annexin Ac2-26, sp|P13214.2|ANXA4_BOVIN RecName_ Full=Annexin A4; AltName_ Full=35-beta calcimedin; AltName_ Full=Annexin IV; AltName_ Full=Annexin-4; AltName_ Full=Carbohydrate-binding protein p33/p41; AltName_ Full=Chromobindin-4; AltName_ Full=Endonexin I; AltName_ Full=Lipocortin IV; AltName_ Full=P32.5; AltName_ Full=PP4-X; AltName_ Full=Placental anticoagulant protein II; Short=PAP-II; AltName_ Full=Protein II, sp|P13214.2|ANXA4_BOVIN RecName_ Full=Annexin A4; AltName_ Full=35-beta calcimedin; AltName_ Full=Annexin IV; AltName_ Full=Annexin-4; AltName_ Full=Carbohydrate-binding protein p33/p41; AltName_ Full=Chromobindin-4; AltName_ Full=Endonexin I; AltName_ Full=Lipocortin IV; AltName_ Full=P32.5; AltName_ Full=PP4-X; AltName_ Full=Placental anticoagulant protein II; Short=PAP-II; AltName_ Full=Protein II, NP_776927.1 annexin A11 [Bos taurus], sp|Q3SWX7.3|ANXA3_BOVIN RecName_ Full=Annexin A3; AltName_ Full=Annexin III; AltName_ Full=Annexin-3, NP_001178987.1 annexin A10 [Bos taurus]
OG0000022	Beroe_ovata_Bova1_4.0298.g2.t1 Bova1_4.0298.g2.t1, Beroe_ovata_Bova1_4.0337.g7.t1 Bova1_4.0337.g7.t1, Beroe_ovata_Bova1_4.0337.g7.t2 Bova1_4.0337.g7.t2	XP_005226473.2 annexin A7 isoform X1 [Bos taurus], AAI33571.1 ANXA13 protein [Bos taurus]
OG0000030	Beroe_ovata_Bova1_4.0151.g33.t1 Bova1_4.0151.g33.t1, Beroe_ovata_Bova1_4.0151.g32.t1 Bova1_4.0151.g32.t1, Beroe_ovata_Bova1_4.0256.g28.t2 Bova1_4.0256.g28.t2, Beroe_ovata_Bova1_4.0256.g28.t1 Bova1_4.0256.g28.t1	XP_002691532.1 disintegrin and metalloproteinase domain-containing protein 17 isoform X1 [Bos taurus]
OG0000030	Beroe_ovata_Bova1_4.0003.g115.t1 Bova1_4.0003.g115.t1, Beroe_ovata_Bova1_4.0003.g114.t1 Bova1_4.0003.g114.t1	sp|Q10741.1|ADA10_BOVIN RecName_ Full=Disintegrin and metalloproteinase domain-containing protein 10; Short=ADAM 10; AltName_ Full=Kuzbanian protein homolog; AltName_ Full=Mammalian disintegrin-metalloprotease; AltName_ Full=Myelin-associated metalloproteinase; AltName_ CD_antigen=CD156c; Flags_ Precursor, sp|Q10741.1|ADA10_BOVIN RecName_ Full=Disintegrin and metalloproteinase domain-containing protein 10; Short=ADAM 10; AltName_ Full=Kuzbanian protein homolog; AltName_ Full=Mammalian disintegrin-metalloprotease; AltName_ Full=Myelin-associated metalloproteinase; AltName_ CD_antigen=CD156c; Flags_ Precursor
OG0000036	Beroe_ovata_Bova1_4.0040.g35.t1 Bova1_4.0040.g35.t1	XP_059731736.1 multiple epidermal growth factor-like domains protein 6 isoform X1 [Bos taurus], NP_001092657.1 epidermal growth factor-like protein 8 precursor [Bos taurus], XP_059747443.1 epidermal growth factor-like protein 7 isoform X1 [Bos taurus], XP_059739882.1 LOW QUALITY PROTEIN_ epidermal growth factor-like protein 6 [Bos taurus], XP_024849279.1 nephronectin isoform X1 [Bos taurus]
OG0000041	Beroe_ovata_Bova1_4.0027.g44.t1 Bova1_4.0027.g44.t1	XP_002699146.2 von Willebrand factor A domain-containing protein 5A [Bos taurus], XP_024838837.1 von Willebrand factor A domain-containing protein 5B1 isoform X1 [Bos taurus]
OG0000041	Beroe_ovata_Bova1_4.0027.g62.t1 Bova1_4.0027.g62.t1, Beroe_ovata_Bova1_4.0027.g62.t3 Bova1_4.0027.g62.t3	DAA23896.1 TPA_ poly _ADP-ribose_ polymerase family_ member 4 [Bos taurus]
OG0000044	Beroe_ovata_Bova1_4.0038.g71.t1 Bova1_4.0038.g71.t1	sp|P51176.1|TGM2_BOVIN RecName_ Full=Protein-glutamine gamma-glutamyltransferase 2; AltName_ Full=Isopeptidase TGM2; AltName_ Full=Protein-glutamine deamidase TGM2; AltName_ Full=Protein-glutamine dopaminyltransferase TGM2; AltName_ Full=Protein-glutamine histaminyltransferase TGM2; AltName_ Full=Protein-glutamine noradrenalinyltransferase TGM2; AltName_ Full=Protein-glutamine serotonyltransferase TGM2; AltName_ Full=Tissue transglutaminase; Short=TG; AltName_ Full=Transglutaminase-2; Short=TGase-2, sp|A6QP57.1|TGM3_BOVIN RecName_ Full=Protein-glutamine gamma-glutamyltransferase E; AltName_ Full=Transglutaminase E; Short=TG_E_; Short=TGE; Short=TGase E; AltName_ Full=Transglutaminase-3; Short=TGase-3; Contains_ RecName_ Full=Protein-glutamine gamma-glutamyltransferase E 50 kDa catalytic chain; Contains_ RecName_ Full=Protein-glutamine gamma-glutamyltransferase E 27 kDa non-catalytic chain; Flags_ Precursor, sp|A6QP57.1|TGM3_BOVIN RecName_ Full=Protein-glutamine gamma-glutamyltransferase E; AltName_ Full=Transglutaminase E; Short=TG_E_; Short=TGE; Short=TGase E; AltName_ Full=Transglutaminase-3; Short=TGase-3; Contains_ RecName_ Full=Protein-glutamine gamma-glutamyltransferase E 50 kDa catalytic chain; Contains_ RecName_ Full=Protein-glutamine gamma-glutamyltransferase E 27 kDa non-catalytic chain; Flags_ Precursor, XP_059748950.1 protein-glutamine gamma-glutamyltransferase 6 [Bos taurus], XP_010815593.1 protein-glutamine gamma-glutamyltransferase Z [Bos taurus], XP_005222254.2 protein-glutamine gamma-glutamyltransferase 5 isoform X1 [Bos taurus], NP_001161366.2 coagulation factor XIII A chain [Bos taurus], XP_005211321.1 protein-glutamine gamma-glutamyltransferase K isoform X1 [Bos taurus]
