Orthogroup	Ctenophora_Nuda_Beroe_ovata	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000000	Beroe_ovata_Bova1_4.0362.g6.t1 Bova1_4.0362.g6.t1	Clytia_hemispherica_TCONS_00002198-protein TCONS_00002198-protein
OG0000001	Beroe_ovata_Bova1_4.0204.g2.t1 Bova1_4.0204.g2.t1	Clytia_hemispherica_TCONS_00049799-protein TCONS_00049799-protein
OG0000001	Beroe_ovata_Bova1_4.0014.g131.t1 Bova1_4.0014.g131.t1	Clytia_hemispherica_TCONS_00033925-protein TCONS_00033925-protein
OG0000001	Beroe_ovata_Bova1_4.0005.g58.t1 Bova1_4.0005.g58.t1	Clytia_hemispherica_TCONS_00067350-protein TCONS_00067350-protein
OG0000001	Beroe_ovata_Bova1_4.0158.g1.t2 Bova1_4.0158.g1.t2, Beroe_ovata_Bova1_4.0158.g1.t1 Bova1_4.0158.g1.t1, Beroe_ovata_Bova1_4.0469.g2.t2 Bova1_4.0469.g2.t2, Beroe_ovata_Bova1_4.0469.g2.t1 Bova1_4.0469.g2.t1	Clytia_hemispherica_TCONS_00004794-protein TCONS_00004794-protein
OG0000001	Beroe_ovata_Bova1_4.0013.g38.t1 Bova1_4.0013.g38.t1	Clytia_hemispherica_TCONS_00056933-protein TCONS_00056933-protein
OG0000002	Beroe_ovata_Bova1_4.0017.g28.t1 Bova1_4.0017.g28.t1, Beroe_ovata_Bova1_4.0017.g27.t1 Bova1_4.0017.g27.t1	Clytia_hemispherica_TCONS_00027170-protein TCONS_00027170-protein
OG0000002	Beroe_ovata_Bova1_4.0019.g34.t1 Bova1_4.0019.g34.t1, Beroe_ovata_Bova1_4.0105.g2.t1 Bova1_4.0105.g2.t1, Beroe_ovata_Bova1_4.0092.g42.t1 Bova1_4.0092.g42.t1	Clytia_hemispherica_TCONS_00019320-protein TCONS_00019320-protein, Clytia_hemispherica_TCONS_00011479-protein TCONS_00011479-protein, Clytia_hemispherica_TCONS_00057330-protein TCONS_00057330-protein, Clytia_hemispherica_TCONS_00016953-protein TCONS_00016953-protein
OG0000002	Beroe_ovata_Bova1_4.0019.g35.t1 Bova1_4.0019.g35.t1	Clytia_hemispherica_TCONS_00016956-protein TCONS_00016956-protein
OG0000002	Beroe_ovata_Bova1_4.0556.g1.t1 Bova1_4.0556.g1.t1	Clytia_hemispherica_TCONS_00054324-protein TCONS_00054324-protein
OG0000002	Beroe_ovata_Bova1_4.0022.g39.t1 Bova1_4.0022.g39.t1, Beroe_ovata_Bova1_4.0143.g14.t1 Bova1_4.0143.g14.t1	Clytia_hemispherica_TCONS_00062091-protein TCONS_00062091-protein
OG0000002	Beroe_ovata_Bova1_4.0035.g60.t1 Bova1_4.0035.g60.t1	Clytia_hemispherica_TCONS_00073219-protein TCONS_00073219-protein, Clytia_hemispherica_TCONS_00070803-protein TCONS_00070803-protein, Clytia_hemispherica_TCONS_00070795-protein TCONS_00070795-protein
OG0000003	Beroe_ovata_Bova1_4.0188.g3.t1 Bova1_4.0188.g3.t1, Beroe_ovata_Bova1_4.0188.g5.t1 Bova1_4.0188.g5.t1	Clytia_hemispherica_TCONS_00052747-protein TCONS_00052747-protein, Clytia_hemispherica_TCONS_00021064-protein TCONS_00021064-protein
OG0000003	Beroe_ovata_Bova1_4.0552.g4.t1 Bova1_4.0552.g4.t1, Beroe_ovata_Bova1_4.0203.g12.t2 Bova1_4.0203.g12.t2, Beroe_ovata_Bova1_4.0203.g12.t1 Bova1_4.0203.g12.t1, Beroe_ovata_Bova1_4.0552.g5.t1 Bova1_4.0552.g5.t1, Beroe_ovata_Bova1_4.0203.g13.t1 Bova1_4.0203.g13.t1, Beroe_ovata_Bova1_4.2546.g1.t1 Bova1_4.2546.g1.t1	Clytia_hemispherica_TCONS_00053094-protein TCONS_00053094-protein, Clytia_hemispherica_TCONS_00046080-protein TCONS_00046080-protein, Clytia_hemispherica_TCONS_00065030-protein TCONS_00065030-protein
OG0000003	Beroe_ovata_Bova1_4.0033.g69.t1 Bova1_4.0033.g69.t1	Clytia_hemispherica_TCONS_00024141-protein TCONS_00024141-protein, Clytia_hemispherica_TCONS_00027918-protein TCONS_00027918-protein, Clytia_hemispherica_TCONS_00015294-protein TCONS_00015294-protein, Clytia_hemispherica_TCONS_00015272-protein TCONS_00015272-protein, Clytia_hemispherica_TCONS_00058579-protein TCONS_00058579-protein, Clytia_hemispherica_TCONS_00060002-protein TCONS_00060002-protein
OG0000003	Beroe_ovata_Bova1_4.0075.g12.t1 Bova1_4.0075.g12.t1	Clytia_hemispherica_TCONS_00005662-protein TCONS_00005662-protein, Clytia_hemispherica_TCONS_00036482-protein TCONS_00036482-protein, Clytia_hemispherica_TCONS_00036492-protein TCONS_00036492-protein, Clytia_hemispherica_TCONS_00002699-protein TCONS_00002699-protein, Clytia_hemispherica_TCONS_00031875-protein TCONS_00031875-protein, Clytia_hemispherica_TCONS_00060536-protein TCONS_00060536-protein
OG0000004	Beroe_ovata_Bova1_4.0009.g97.t1 Bova1_4.0009.g97.t1	Clytia_hemispherica_TCONS_00071934-protein TCONS_00071934-protein, Clytia_hemispherica_TCONS_00067398-protein TCONS_00067398-protein
