Orthogroup	Ctenophora_Tentaculata_Pleurobrachia_bachei	Cnidaria_Anthozoa_Acropora_digitifera
OG0000001	Pleurobrachia_bachei_sb_2639858_ sb_2639858_, Pleurobrachia_bachei_sb_2654211_ sb_2654211_	Acropora_digitifera_adi_v1.06433 adi_v1.06433, Acropora_digitifera_adi_v1.03761 adi_v1.03761
OG0000001	Pleurobrachia_bachei_sb_2652422_ sb_2652422_	Acropora_digitifera_adi_v1.19636 adi_v1.19636
OG0000001	Pleurobrachia_bachei_sb_2667052_ sb_2667052_, Pleurobrachia_bachei_sb_2641560_ sb_2641560_	Acropora_digitifera_adi_v1.01396 adi_v1.01396
OG0000001	Pleurobrachia_bachei_sb_2656958_ sb_2656958_, Pleurobrachia_bachei_sb_2651191_ sb_2651191_	Acropora_digitifera_adi_v1.01960 adi_v1.01960, Acropora_digitifera_adi_v1.06175 adi_v1.06175
OG0000001	Pleurobrachia_bachei_sb_2640766_ sb_2640766_	Acropora_digitifera_adi_v1.11383 adi_v1.11383
OG0000002	Pleurobrachia_bachei_sb_2660785_ sb_2660785_, Pleurobrachia_bachei_sb_2663848_ sb_2663848_, Pleurobrachia_bachei_sb_2658038_ sb_2658038_, Pleurobrachia_bachei_sb_2659183_ sb_2659183_, Pleurobrachia_bachei_sb_2661642_ sb_2661642_, Pleurobrachia_bachei_sb_2656508_ sb_2656508_, Pleurobrachia_bachei_sb_2639676_ sb_2639676_, Pleurobrachia_bachei_sb_2650520_ sb_2650520_, Pleurobrachia_bachei_sb_2643421_ sb_2643421_, Pleurobrachia_bachei_sb_2657717_ sb_2657717_, Pleurobrachia_bachei_sb_2642327_ sb_2642327_	Acropora_digitifera_adi_v1.12948 adi_v1.12948
OG0000002	Pleurobrachia_bachei_sb_2653974_ sb_2653974_	Acropora_digitifera_adi_v1.10669 adi_v1.10669
OG0000002	Pleurobrachia_bachei_sb_2656797_ sb_2656797_, Pleurobrachia_bachei_sb_2657716_ sb_2657716_, Pleurobrachia_bachei_sb_2656175_ sb_2656175_, Pleurobrachia_bachei_sb_2666978_ sb_2666978_, Pleurobrachia_bachei_sb_2657496_ sb_2657496_	Acropora_digitifera_adi_v1.00160 adi_v1.00160, Acropora_digitifera_adi_v1.00161 adi_v1.00161, Acropora_digitifera_adi_v1.15793 adi_v1.15793, Acropora_digitifera_adi_v1.20102 adi_v1.20102, Acropora_digitifera_adi_v1.13507 adi_v1.13507, Acropora_digitifera_adi_v1.14607 adi_v1.14607, Acropora_digitifera_adi_v1.17842 adi_v1.17842
OG0000002	Pleurobrachia_bachei_sb_2659350_ sb_2659350_	Acropora_digitifera_adi_v1.13969 adi_v1.13969
OG0000002	Pleurobrachia_bachei_sb_2662616_ sb_2662616_	Acropora_digitifera_adi_v1.06084 adi_v1.06084, Acropora_digitifera_adi_v1.05235 adi_v1.05235
OG0000002	Pleurobrachia_bachei_sb_2639240_ sb_2639240_	Acropora_digitifera_adi_v1.13790 adi_v1.13790
OG0000002	Pleurobrachia_bachei_sb_2643333_ sb_2643333_, Pleurobrachia_bachei_sb_2655712_ sb_2655712_, Pleurobrachia_bachei_sb_2649228_ sb_2649228_, Pleurobrachia_bachei_sb_2661683_ sb_2661683_, Pleurobrachia_bachei_sb_2659647_ sb_2659647_	Acropora_digitifera_adi_v1.01409 adi_v1.01409
OG0000003	Pleurobrachia_bachei_sb_2646535_ sb_2646535_, Pleurobrachia_bachei_sb_2657779_ sb_2657779_, Pleurobrachia_bachei_sb_2663028_ sb_2663028_, Pleurobrachia_bachei_sb_2638498_ sb_2638498_, Pleurobrachia_bachei_sb_2657002_ sb_2657002_, Pleurobrachia_bachei_sb_2652298_ sb_2652298_	Acropora_digitifera_adi_v1.20019 adi_v1.20019, Acropora_digitifera_adi_v1.07652 adi_v1.07652
OG0000003	Pleurobrachia_bachei_sb_2648001_ sb_2648001_, Pleurobrachia_bachei_sb_2646835_ sb_2646835_	Acropora_digitifera_adi_v1.14319 adi_v1.14319
OG0000003	Pleurobrachia_bachei_sb_2660103_ sb_2660103_, Pleurobrachia_bachei_sb_2661433_ sb_2661433_, Pleurobrachia_bachei_sb_2643938_ sb_2643938_	Acropora_digitifera_adi_v1.23742 adi_v1.23742, Acropora_digitifera_adi_v1.24161 adi_v1.24161
OG0000003	Pleurobrachia_bachei_sb_2665626_ sb_2665626_	Acropora_digitifera_adi_v1.06053 adi_v1.06053, Acropora_digitifera_adi_v1.10205 adi_v1.10205, Acropora_digitifera_adi_v1.16681 adi_v1.16681, Acropora_digitifera_adi_v1.01604 adi_v1.01604, Acropora_digitifera_adi_v1.15378 adi_v1.15378, Acropora_digitifera_adi_v1.19802 adi_v1.19802, Acropora_digitifera_adi_v1.24403 adi_v1.24403, Acropora_digitifera_adi_v1.07446 adi_v1.07446, Acropora_digitifera_adi_v1.23858 adi_v1.23858, Acropora_digitifera_adi_v1.17681 adi_v1.17681, Acropora_digitifera_adi_v1.12298 adi_v1.12298, Acropora_digitifera_adi_v1.02332 adi_v1.02332
OG0000003	Pleurobrachia_bachei_sb_2659118_ sb_2659118_, Pleurobrachia_bachei_sb_2655921_ sb_2655921_	Acropora_digitifera_adi_v1.20004 adi_v1.20004
OG0000003	Pleurobrachia_bachei_sb_2655552_ sb_2655552_, Pleurobrachia_bachei_sb_2651961_ sb_2651961_	Acropora_digitifera_adi_v1.16248 adi_v1.16248, Acropora_digitifera_adi_v1.02561 adi_v1.02561, Acropora_digitifera_adi_v1.23712 adi_v1.23712, Acropora_digitifera_adi_v1.00078 adi_v1.00078, Acropora_digitifera_adi_v1.20654 adi_v1.20654, Acropora_digitifera_adi_v1.00077 adi_v1.00077, Acropora_digitifera_adi_v1.20655 adi_v1.20655, Acropora_digitifera_adi_v1.20653 adi_v1.20653, Acropora_digitifera_adi_v1.00076 adi_v1.00076, Acropora_digitifera_adi_v1.00080 adi_v1.00080, Acropora_digitifera_adi_v1.13597 adi_v1.13597, Acropora_digitifera_adi_v1.06330 adi_v1.06330, Acropora_digitifera_adi_v1.04891 adi_v1.04891, Acropora_digitifera_adi_v1.12241 adi_v1.12241, Acropora_digitifera_adi_v1.24683 adi_v1.24683, Acropora_digitifera_adi_v1.16447 adi_v1.16447, Acropora_digitifera_adi_v1.04187 adi_v1.04187, Acropora_digitifera_adi_v1.11493 adi_v1.11493, Acropora_digitifera_adi_v1.13471 adi_v1.13471
OG0000005	Pleurobrachia_bachei_sb_2653163_ sb_2653163_, Pleurobrachia_bachei_sb_2665088_ sb_2665088_	Acropora_digitifera_adi_v1.20368 adi_v1.20368
OG0000005	Pleurobrachia_bachei_sb_2654112_ sb_2654112_	Acropora_digitifera_adi_v1.18953 adi_v1.18953, Acropora_digitifera_adi_v1.15782 adi_v1.15782
OG0000005	Pleurobrachia_bachei_sb_2653408_ sb_2653408_, Pleurobrachia_bachei_sb_2666692_ sb_2666692_, Pleurobrachia_bachei_sb_2646142_ sb_2646142_	Acropora_digitifera_adi_v1.06941 adi_v1.06941
OG0000006	Pleurobrachia_bachei_sb_2648605_ sb_2648605_, Pleurobrachia_bachei_sb_2648607_ sb_2648607_	Acropora_digitifera_adi_v1.15218 adi_v1.15218
OG0000007	Pleurobrachia_bachei_sb_2645680_ sb_2645680_	Acropora_digitifera_adi_v1.08798 adi_v1.08798, Acropora_digitifera_adi_v1.13188 adi_v1.13188
OG0000007	Pleurobrachia_bachei_sb_2668298_ sb_2668298_	Acropora_digitifera_adi_v1.24149 adi_v1.24149
OG0000007	Pleurobrachia_bachei_sb_2654828_ sb_2654828_	Acropora_digitifera_adi_v1.13986 adi_v1.13986, Acropora_digitifera_adi_v1.04075 adi_v1.04075
OG0000009	Pleurobrachia_bachei_sb_2644938_ sb_2644938_, Pleurobrachia_bachei_sb_2644939_ sb_2644939_, Pleurobrachia_bachei_sb_2639313_ sb_2639313_	Acropora_digitifera_adi_v1.00989 adi_v1.00989
OG0000010	Pleurobrachia_bachei_sb_2659701_ sb_2659701_	Acropora_digitifera_adi_v1.21127 adi_v1.21127
OG0000010	Pleurobrachia_bachei_sb_2644187_ sb_2644187_, Pleurobrachia_bachei_sb_2652668_ sb_2652668_	Acropora_digitifera_adi_v1.16141 adi_v1.16141
OG0000010	Pleurobrachia_bachei_sb_2653999_ sb_2653999_	Acropora_digitifera_adi_v1.05424 adi_v1.05424
