Orthogroup	Cnidaria_Anthozoa_Exaiptasia_diaphana	Chordata_Vertebrata_Bos_taurus
OG0000000	Exaiptasia_diaphana_XP_020901662.1 XP_020901662.1 microfibril-associated glycoprotein 4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898206.1 XP_020898206.1 techylectin-5B [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900471.2 XP_020900471.2 tenascin-R [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514860.1 XP_028514860.1 microfibril-associated glycoprotein 4-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900722.1 XP_020900722.1 angiopoietin-related protein 7 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900409.1 XP_020900409.1 ryncolin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020892023.1 XP_020892023.1 angiopoietin-related protein 7 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515677.1 XP_028515677.1 angiopoietin-related protein 7 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515087.1 XP_028515087.1 fibroleukin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512828.1 XP_028512828.1 titin isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512829.1 XP_028512829.1 titin isoform X2 [Exaiptasia diaphana]	XP_005210603.1 tenascin isoform X1 [Bos taurus], XP_010811641.2 tenascin-N isoform X1 [Bos taurus]
OG0000000	Exaiptasia_diaphana_XP_028514603.1 XP_028514603.1 ficolin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514604.1 XP_028514604.1 ficolin-2 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899430.1 XP_020899430.1 microfibril-associated glycoprotein 4 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896727.1 XP_020896727.1 microfibril-associated glycoprotein 4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896726.1 XP_020896726.1 ficolin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517872.1 XP_028517872.1 ficolin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519151.1 XP_028519151.1 microfibril-associated glycoprotein 4-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519152.1 XP_028519152.1 fibrinogen C domain-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519153.1 XP_028519153.1 ficolin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514372.1 XP_028514372.1 ficolin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908817.1 XP_020908817.1 fibrinogen-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908818.1 XP_020908818.1 fibrinogen-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517227.1 XP_028517227.1 ficolin-1-like [Exaiptasia diaphana]	XP_005213566.1 ficolin-2 isoform X2 [Bos taurus], XP_024834735.2 LOW QUALITY PROTEIN_ ficolin-3 [Bos taurus]
OG0000000	Exaiptasia_diaphana_XP_020908882.2 XP_020908882.2 angiopoietin-related protein 7 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913665.1 XP_020913665.1 ryncolin-1-like [Exaiptasia diaphana]	sp|Q24K15.1|ANGP4_BOVIN RecName_ Full=Angiopoietin-4; Short=ANG-4; Flags_ Precursor, sp|O77802.3|ANGP2_BOVIN RecName_ Full=Angiopoietin-2; Short=ANG-2; Flags_ Precursor, XP_059749109.1 angiopoietin-1 isoform X1 [Bos taurus]
OG0000000	Exaiptasia_diaphana_XP_028513446.1 XP_028513446.1 ficolin-2-like [Exaiptasia diaphana]	NP_001121541.1 angiopoietin-related protein 5 precursor [Bos taurus]
OG0000000	Exaiptasia_diaphana_XP_028512814.1 XP_028512814.1 uncharacterized protein LOC110232112 [Exaiptasia diaphana]	sp|Q29RY7.1|FGL2_BOVIN RecName_ Full=Fibroleukin; AltName_ Full=Fibrinogen-like protein 2; Flags_ Precursor
OG0000001	Exaiptasia_diaphana_XP_028516585.1 XP_028516585.1 laminin subunit beta-1 [Exaiptasia diaphana]	NP_001039712.2 laminin subunit beta-2 precursor [Bos taurus], DAA30633.1 TPA_ laminin_ beta 1 [Bos taurus]
OG0000001	Exaiptasia_diaphana_XP_028519345.1 XP_028519345.1 laminin subunit beta-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916314.1 XP_020916314.1 laminin subunit gamma-1 [Exaiptasia diaphana]	XP_059747260.1 netrin-G2 isoform X1 [Bos taurus], XP_059740913.1 netrin-G1 isoform X1 [Bos taurus]
OG0000001	Exaiptasia_diaphana_XP_028517047.1 XP_028517047.1 netrin-1 [Exaiptasia diaphana]	NP_001193834.1 netrin-3 precursor [Bos taurus], NP_001179495.1 netrin-1 precursor [Bos taurus]
OG0000001	Exaiptasia_diaphana_XP_020916901.1 XP_020916901.1 laminin subunit gamma-1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916243.1 XP_020916243.1 laminin subunit gamma-1 [Exaiptasia diaphana]	DAA24206.1 TPA_ laminin_ gamma 3-like [Bos taurus], NP_001193746.1 laminin subunit gamma-1 precursor [Bos taurus]
OG0000002	Exaiptasia_diaphana_XP_028516981.1 XP_028516981.1 mucin-7-like_ partial [Exaiptasia diaphana]	XP_059736229.1 von Willebrand factor A domain-containing protein 7 isoform X1 [Bos taurus]
