Orthogroup	Platyhelminthes_Tricladida_Schmidtea_mediterranea	Chordata_Vertebrata_Homo_sapiens
OG0000000	Schmidtea_mediterranea_maker-scaffold9678-snap-gene-0.37-mRNA-1 maker-scaffold9678-snap-gene-0.37-mRNA-1 protein AED_0.36 eAED_0.36 QI_0|0.25|0.11|0.66|0.5|0.55|9|0|2056	Homo_sapiens_sp_P24821_TENA_HUMAN sp|P24821|TENA_HUMAN Tenascin OS=Homo sapiens OX=9606 GN=TNC PE=1 SV=3, Homo_sapiens_sp_Q92752_TENR_HUMAN sp|Q92752|TENR_HUMAN Tenascin-R OS=Homo sapiens OX=9606 GN=TNR PE=1 SV=3, Homo_sapiens_sp_Q9UQP3_TENN_HUMAN sp|Q9UQP3|TENN_HUMAN Tenascin-N OS=Homo sapiens OX=9606 GN=TNN PE=1 SV=2
OG0000001	Schmidtea_mediterranea_maker-scaffold14005-snap-gene-0.42-mRNA-1 maker-scaffold14005-snap-gene-0.42-mRNA-1 protein AED_0.02 eAED_0.04 QI_10|0|0|0.83|0.8|0.83|6|0|258	Homo_sapiens_sp_Q9HB63_NET4_HUMAN sp|Q9HB63|NET4_HUMAN Netrin-4 OS=Homo sapiens OX=9606 GN=NTN4 PE=1 SV=2, Homo_sapiens_sp_Q13751_LAMB3_HUMAN sp|Q13751|LAMB3_HUMAN Laminin subunit beta-3 OS=Homo sapiens OX=9606 GN=LAMB3 PE=1 SV=1, Homo_sapiens_sp_A4D0S4_LAMB4_HUMAN sp|A4D0S4|LAMB4_HUMAN Laminin subunit beta-4 OS=Homo sapiens OX=9606 GN=LAMB4 PE=2 SV=1, Homo_sapiens_sp_P55268_LAMB2_HUMAN sp|P55268|LAMB2_HUMAN Laminin subunit beta-2 OS=Homo sapiens OX=9606 GN=LAMB2 PE=1 SV=2, Homo_sapiens_sp_P07942_LAMB1_HUMAN sp|P07942|LAMB1_HUMAN Laminin subunit beta-1 OS=Homo sapiens OX=9606 GN=LAMB1 PE=1 SV=2
OG0000001	Schmidtea_mediterranea_maker-scaffold10153-augustus-gene-0.51-mRNA-1 maker-scaffold10153-augustus-gene-0.51-mRNA-1 protein AED_0.09 eAED_0.09 QI_141|0.86|0.95|1|0.65|0.70|24|255|1751	Homo_sapiens_sp_Q9Y6N6_LAMC3_HUMAN sp|Q9Y6N6|LAMC3_HUMAN Laminin subunit gamma-3 OS=Homo sapiens OX=9606 GN=LAMC3 PE=1 SV=3, Homo_sapiens_sp_P11047_LAMC1_HUMAN sp|P11047|LAMC1_HUMAN Laminin subunit gamma-1 OS=Homo sapiens OX=9606 GN=LAMC1 PE=1 SV=3
OG0000002	Schmidtea_mediterranea_maker-scaffold7690-augustus-gene-1.40-mRNA-1 maker-scaffold7690-augustus-gene-1.40-mRNA-1 protein AED_0.11 eAED_0.11 QI_557|0.89|0.89|1|0.75|0.76|67|0|4303	Homo_sapiens_sp_Q96RW7_HMCN1_HUMAN sp|Q96RW7|HMCN1_HUMAN Hemicentin-1 OS=Homo sapiens OX=9606 GN=HMCN1 PE=1 SV=2
OG0000003	Schmidtea_mediterranea_augustus_masked-scaffold1092-processed-gene-0.0-mRNA-1 augustus_masked-scaffold1092-processed-gene-0.0-mRNA-1 protein AED_0.18 eAED_0.18 QI_0|0|0|0.33|1|1|3|0|189	Homo_sapiens_sp_Q9BWP8_COL11_HUMAN sp|Q9BWP8|COL11_HUMAN Collectin-11 OS=Homo sapiens OX=9606 GN=COLEC11 PE=1 SV=1, Homo_sapiens_sp_Q9Y6Z7_COL10_HUMAN sp|Q9Y6Z7|COL10_HUMAN Collectin-10 OS=Homo sapiens OX=9606 GN=COLEC10 PE=1 SV=2, Homo_sapiens_sp_P11226_MBL2_HUMAN sp|P11226|MBL2_HUMAN Mannose-binding protein C OS=Homo sapiens OX=9606 GN=MBL2 PE=1 SV=2
OG0000004	Schmidtea_mediterranea_maker-scaffold18765-snap-gene-0.24-mRNA-1 maker-scaffold18765-snap-gene-0.24-mRNA-1 protein AED_0.03 eAED_0.03 QI_51|0.77|0.8|1|0.44|0.9|10|0|608	Homo_sapiens_sp_Q2UY09_COSA1_HUMAN sp|Q2UY09|COSA1_HUMAN Collagen alpha-1_XXVIII_ chain OS=Homo sapiens OX=9606 GN=COL28A1 PE=2 SV=2
OG0000009	Schmidtea_mediterranea_maker-scaffold7935-augustus-gene-0.39-mRNA-1 maker-scaffold7935-augustus-gene-0.39-mRNA-1 protein AED_0.10 eAED_0.10 QI_422|1|1|1|0.35|0.72|18|100|1068	Homo_sapiens_sp_P13497_BMP1_HUMAN sp|P13497|BMP1_HUMAN Bone morphogenetic protein 1 OS=Homo sapiens OX=9606 GN=BMP1 PE=1 SV=2, Homo_sapiens_sp_O43897_TLL1_HUMAN sp|O43897|TLL1_HUMAN Tolloid-like protein 1 OS=Homo sapiens OX=9606 GN=TLL1 PE=1 SV=1
OG0000011	Schmidtea_mediterranea_maker-scaffold38856-snap-gene-0.6-mRNA-1 maker-scaffold38856-snap-gene-0.6-mRNA-1 protein AED_0.63 eAED_0.63 QI_0|0|0|0.22|0.87|0.77|9|0|308, Schmidtea_mediterranea_maker-scaffold10310-snap-gene-1.61-mRNA-1 maker-scaffold10310-snap-gene-1.61-mRNA-1 protein AED_0.30 eAED_0.30 QI_0|0.25|0.11|0.33|0.75|0.77|9|0|282, Schmidtea_mediterranea_maker-scaffold4033-augustus-gene-0.25-mRNA-1 maker-scaffold4033-augustus-gene-0.25-mRNA-1 protein AED_0.00 eAED_0.00 QI_9|1|1|1|1|1|2|226|126, Schmidtea_mediterranea_maker-scaffold4033-augustus-gene-0.26-mRNA-1 maker-scaffold4033-augustus-gene-0.26-mRNA-1 protein AED_0.00 eAED_0.00 QI_129|1|1|1|0.8|0.83|6|175|1066, Schmidtea_mediterranea_maker-scaffold17852-augustus-gene-0.23-mRNA-1 maker-scaffold17852-augustus-gene-0.23-mRNA-1 protein AED_0.15 eAED_0.15 QI_247|0.5|0.57|0.85|1|1|7|0|1961, Schmidtea_mediterranea_maker-scaffold4616-augustus-gene-0.53-mRNA-1 maker-scaffold4616-augustus-gene-0.53-mRNA-1 protein AED_0.02 eAED_0.02 QI_32|1|1|1|0.75|0.8|5|377|337, Schmidtea_mediterranea_maker-scaffold4616-augustus-gene-0.55-mRNA-1 maker-scaffold4616-augustus-gene-0.55-mRNA-1 protein AED_0.01 eAED_0.01 QI_0|1|0.66|1|0.4|0.66|6|0|1072, Schmidtea_mediterranea_maker-scaffold13577-augustus-gene-0.28-mRNA-1 maker-scaffold13577-augustus-gene-0.28-mRNA-1 protein AED_0.05 eAED_0.07 QI_0|1|0.75|1|0.33|0.5|4|190|996, Schmidtea_mediterranea_maker-scaffold2018-augustus-gene-0.21-mRNA-1 maker-scaffold2018-augustus-gene-0.21-mRNA-1 protein AED_0.09 eAED_0.17 QI_0|0.6|0.33|1|0.6|0.66|6|0|968, Schmidtea_mediterranea_maker-scaffold4616-augustus-gene-0.54-mRNA-1 maker-scaffold4616-augustus-gene-0.54-mRNA-1 protein AED_0.00 eAED_0.00 QI_29|1|1|1|0.8|0.66|6|18|1063, Schmidtea_mediterranea_maker-scaffold4033-snap-gene-0.27-mRNA-1 maker-scaffold4033-snap-gene-0.27-mRNA-1 protein AED_0.01 eAED_0.01 QI_0|0.75|0.4|0.8|0.25|0.2|5|0|237, Schmidtea_mediterranea_maker-scaffold4363-snap-gene-0.36-mRNA-1 maker-scaffold4363-snap-gene-0.36-mRNA-1 protein AED_0.86 eAED_0.87 QI_8|0|0|0.25|0|0|4|0|292, Schmidtea_mediterranea_maker-scaffold392-augustus-gene-1.29-mRNA-1 maker-scaffold392-augustus-gene-1.29-mRNA-1 protein AED_0.01 eAED_0.01 QI_0|0.66|0.5|0.75|0.66|0.75|4|1444|178	Homo_sapiens_sp_Q96FE7_P3IP1_HUMAN sp|Q96FE7|P3IP1_HUMAN Phosphoinositide-3-kinase-interacting protein 1 OS=Homo sapiens OX=9606 GN=PIK3IP1 PE=1 SV=2
OG0000013	Schmidtea_mediterranea_maker-scaffold4184-snap-gene-0.24-mRNA-1 maker-scaffold4184-snap-gene-0.24-mRNA-1 protein AED_0.05 eAED_0.05 QI_0|0|0|0.5|0.6|0.5|6|0|427	Homo_sapiens_sp_Q9H1J7_WNT5B_HUMAN sp|Q9H1J7|WNT5B_HUMAN Protein Wnt-5b OS=Homo sapiens OX=9606 GN=WNT5B PE=2 SV=2, Homo_sapiens_sp_P41221_WNT5A_HUMAN sp|P41221|WNT5A_HUMAN Protein Wnt-5a OS=Homo sapiens OX=9606 GN=WNT5A PE=1 SV=2
OG0000013	Schmidtea_mediterranea_maker-scaffold5858-augustus-gene-1.57-mRNA-1 maker-scaffold5858-augustus-gene-1.57-mRNA-1 protein AED_0.19 eAED_0.19 QI_722|0.83|0.85|0.85|0.16|0.71|7|0|346	Homo_sapiens_sp_P56706_WNT7B_HUMAN sp|P56706|WNT7B_HUMAN Protein Wnt-7b OS=Homo sapiens OX=9606 GN=WNT7B PE=1 SV=2, Homo_sapiens_sp_P09544_WNT2_HUMAN sp|P09544|WNT2_HUMAN Protein Wnt-2 OS=Homo sapiens OX=9606 GN=WNT2 PE=2 SV=1, Homo_sapiens_sp_Q93097_WNT2B_HUMAN sp|Q93097|WNT2B_HUMAN Protein Wnt-2b OS=Homo sapiens OX=9606 GN=WNT2B PE=1 SV=2
