Orthogroup	Chordata_Vertebrata_Homo_sapiens	Porifera_Demospongiae_Ephydatia_muelleri
OG0000000	Homo_sapiens_sp_P24821_TENA_HUMAN sp|P24821|TENA_HUMAN Tenascin OS=Homo sapiens OX=9606 GN=TNC PE=1 SV=3, Homo_sapiens_sp_Q92752_TENR_HUMAN sp|Q92752|TENR_HUMAN Tenascin-R OS=Homo sapiens OX=9606 GN=TNR PE=1 SV=3, Homo_sapiens_sp_Q9UQP3_TENN_HUMAN sp|Q9UQP3|TENN_HUMAN Tenascin-N OS=Homo sapiens OX=9606 GN=TNN PE=1 SV=2	Ephydatia_muelleri_Em0018g768a Em0018g768a, Ephydatia_muelleri_Em0018g771a Em0018g771a, Ephydatia_muelleri_Em0018g769a Em0018g769a
OG0000000	Homo_sapiens_sp_P55083_MFAP4_HUMAN sp|P55083|MFAP4_HUMAN Microfibril-associated glycoprotein 4 OS=Homo sapiens OX=9606 GN=MFAP4 PE=1 SV=2, Homo_sapiens_sp_O00602_FCN1_HUMAN sp|O00602|FCN1_HUMAN Ficolin-1 OS=Homo sapiens OX=9606 GN=FCN1 PE=1 SV=2, Homo_sapiens_sp_Q15485_FCN2_HUMAN sp|Q15485|FCN2_HUMAN Ficolin-2 OS=Homo sapiens OX=9606 GN=FCN2 PE=1 SV=2, Homo_sapiens_sp_O75636_FCN3_HUMAN sp|O75636|FCN3_HUMAN Ficolin-3 OS=Homo sapiens OX=9606 GN=FCN3 PE=1 SV=2	Ephydatia_muelleri_Em0001g3419a Em0001g3419a, Ephydatia_muelleri_Em0001g3405a Em0001g3405a, Ephydatia_muelleri_Em0001g3413a Em0001g3413a, Ephydatia_muelleri_Em0001g3310a Em0001g3310a, Ephydatia_muelleri_Em0001g3415a Em0001g3415a, Ephydatia_muelleri_Em0001g3392a Em0001g3392a, Ephydatia_muelleri_Em0001g3535a Em0001g3535a, Ephydatia_muelleri_Em0001g3515a Em0001g3515a
OG0000000	Homo_sapiens_sp_Q9BY76_ANGL4_HUMAN sp|Q9BY76|ANGL4_HUMAN Angiopoietin-related protein 4 OS=Homo sapiens OX=9606 GN=ANGPTL4 PE=1 SV=2, Homo_sapiens_sp_Q9Y5C1_ANGL3_HUMAN sp|Q9Y5C1|ANGL3_HUMAN Angiopoietin-related protein 3 OS=Homo sapiens OX=9606 GN=ANGPTL3 PE=1 SV=1	Ephydatia_muelleri_Em0021g146a Em0021g146a, Ephydatia_muelleri_Em0021g130a Em0021g130a, Ephydatia_muelleri_Em0867g1a Em0867g1a, Ephydatia_muelleri_Em0021g124a Em0021g124a, Ephydatia_muelleri_Em0021g132a Em0021g132a, Ephydatia_muelleri_Em0021g144a Em0021g144a, Ephydatia_muelleri_Em0021g145a Em0021g145a, Ephydatia_muelleri_Em0021g131a Em0021g131a
OG0000000	Homo_sapiens_sp_Q14314_FGL2_HUMAN sp|Q14314|FGL2_HUMAN Fibroleukin OS=Homo sapiens OX=9606 GN=FGL2 PE=1 SV=1	Ephydatia_muelleri_Em0018g742a Em0018g742a, Ephydatia_muelleri_Em0142g7a Em0142g7a, Ephydatia_muelleri_Em0018g746a Em0018g746a, Ephydatia_muelleri_Em0142g1a Em0142g1a, Ephydatia_muelleri_Em0003g608a Em0003g608a, Ephydatia_muelleri_Em0142g5a Em0142g5a, Ephydatia_muelleri_Em0018g738a Em0018g738a, Ephydatia_muelleri_Em0018g755a Em0018g755a, Ephydatia_muelleri_Em0142g6a Em0142g6a, Ephydatia_muelleri_Em0018g737a Em0018g737a, Ephydatia_muelleri_Em0003g603a Em0003g603a, Ephydatia_muelleri_Em0011g289a Em0011g289a, Ephydatia_muelleri_Em0017g354a Em0017g354a, Ephydatia_muelleri_Em0018g765a Em0018g765a, Ephydatia_muelleri_Em0018g745a Em0018g745a, Ephydatia_muelleri_Em0018g749a Em0018g749a, Ephydatia_muelleri_Em0018g729a Em0018g729a, Ephydatia_muelleri_Em0142g4a Em0142g4a, Ephydatia_muelleri_Em0018g722a Em0018g722a, Ephydatia_muelleri_Em0018g751a Em0018g751a, Ephydatia_muelleri_Em0018g766a Em0018g766a, Ephydatia_muelleri_Em0018g741a Em0018g741a, Ephydatia_muelleri_Em0018g747a Em0018g747a, Ephydatia_muelleri_Em0018g739a Em0018g739a, Ephydatia_muelleri_Em0018g756a Em0018g756a, Ephydatia_muelleri_Em0018g728a Em0018g728a
OG0000004	Homo_sapiens_sp_Q2UY09_COSA1_HUMAN sp|Q2UY09|COSA1_HUMAN Collagen alpha-1_XXVIII_ chain OS=Homo sapiens OX=9606 GN=COL28A1 PE=2 SV=2	Ephydatia_muelleri_Em0011g654a Em0011g654a
OG0000007	Homo_sapiens_sp_Q8TER0_SNED1_HUMAN sp|Q8TER0|SNED1_HUMAN Sushi_ nidogen and EGF-like domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SNED1 PE=1 SV=2	Ephydatia_muelleri_Em0019g209a Em0019g209a, Ephydatia_muelleri_Em0007g174a Em0007g174a, Ephydatia_muelleri_Em0009g900a Em0009g900a, Ephydatia_muelleri_Em0009g956a Em0009g956a, Ephydatia_muelleri_Em0009g906a Em0009g906a, Ephydatia_muelleri_Em0009g884a Em0009g884a, Ephydatia_muelleri_Em0009g827a Em0009g827a, Ephydatia_muelleri_Em0051g23a Em0051g23a, Ephydatia_muelleri_Em0051g11a Em0051g11a, Ephydatia_muelleri_Em0009g853a Em0009g853a, Ephydatia_muelleri_Em0009g926a Em0009g926a, Ephydatia_muelleri_Em0009g957a Em0009g957a, Ephydatia_muelleri_Em0020g19a Em0020g19a, Ephydatia_muelleri_Em0001g1320a Em0001g1320a, Ephydatia_muelleri_Em0557g1a Em0557g1a, Ephydatia_muelleri_Em0003g1678a Em0003g1678a, Ephydatia_muelleri_Em0014g245a Em0014g245a
OG0000010	Homo_sapiens_sp_Q5T1H1_EYS_HUMAN sp|Q5T1H1|EYS_HUMAN Protein eyes shut homolog OS=Homo sapiens OX=9606 GN=EYS PE=1 SV=5, Homo_sapiens_sp_P98160_PGBM_HUMAN sp|P98160|PGBM_HUMAN Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens OX=9606 GN=HSPG2 PE=1 SV=4, Homo_sapiens_sp_Q63HQ2_EGFLA_HUMAN sp|Q63HQ2|EGFLA_HUMAN Pikachurin OS=Homo sapiens OX=9606 GN=EGFLAM PE=1 SV=2	Ephydatia_muelleri_Em0011g1192a Em0011g1192a
OG0000011	Homo_sapiens_sp_P00734_THRB_HUMAN sp|P00734|THRB_HUMAN Prothrombin OS=Homo sapiens OX=9606 GN=F2 PE=1 SV=2, Homo_sapiens_sp_Q14520_HABP2_HUMAN sp|Q14520|HABP2_HUMAN Hyaluronan-binding protein 2 OS=Homo sapiens OX=9606 GN=HABP2 PE=1 SV=1, Homo_sapiens_sp_P00749_UROK_HUMAN sp|P00749|UROK_HUMAN Urokinase-type plasminogen activator OS=Homo sapiens OX=9606 GN=PLAU PE=1 SV=3, Homo_sapiens_sp_P00750_TPA_HUMAN sp|P00750|TPA_HUMAN Tissue-type plasminogen activator OS=Homo sapiens OX=9606 GN=PLAT PE=1 SV=1, Homo_sapiens_sp_P00748_FA12_HUMAN sp|P00748|FA12_HUMAN Coagulation factor XII OS=Homo sapiens OX=9606 GN=F12 PE=1 SV=3, Homo_sapiens_sp_Q04756_HGFA_HUMAN sp|Q04756|HGFA_HUMAN Hepatocyte growth factor activator OS=Homo sapiens OX=9606 GN=HGFAC PE=1 SV=1, Homo_sapiens_sp_P08519_APOA_HUMAN sp|P08519|APOA_HUMAN Apolipoprotein_a_ OS=Homo sapiens OX=9606 GN=LPA PE=1 SV=2, Homo_sapiens_sp_P00747_PLMN_HUMAN sp|P00747|PLMN_HUMAN Plasminogen OS=Homo sapiens OX=9606 GN=PLG PE=1 SV=2, Homo_sapiens_sp_Q96FE7_P3IP1_HUMAN sp|Q96FE7|P3IP1_HUMAN Phosphoinositide-3-kinase-interacting protein 1 OS=Homo sapiens OX=9606 GN=PIK3IP1 PE=1 SV=2	Ephydatia_muelleri_Em0005g71a Em0005g71a
OG0000013	Homo_sapiens_sp_P56706_WNT7B_HUMAN sp|P56706|WNT7B_HUMAN Protein Wnt-7b OS=Homo sapiens OX=9606 GN=WNT7B PE=1 SV=2, Homo_sapiens_sp_P09544_WNT2_HUMAN sp|P09544|WNT2_HUMAN Protein Wnt-2 OS=Homo sapiens OX=9606 GN=WNT2 PE=2 SV=1, Homo_sapiens_sp_Q93097_WNT2B_HUMAN sp|Q93097|WNT2B_HUMAN Protein Wnt-2b OS=Homo sapiens OX=9606 GN=WNT2B PE=1 SV=2	Ephydatia_muelleri_Em0012g1035a Em0012g1035a, Ephydatia_muelleri_Em0008g1080a Em0008g1080a
OG0000014	Homo_sapiens_sp_Q86TH1_ATL2_HUMAN sp|Q86TH1|ATL2_HUMAN ADAMTS-like protein 2 OS=Homo sapiens OX=9606 GN=ADAMTSL2 PE=1 SV=1, Homo_sapiens_sp_Q6UY14_ATL4_HUMAN sp|Q6UY14|ATL4_HUMAN ADAMTS-like protein 4 OS=Homo sapiens OX=9606 GN=ADAMTSL4 PE=1 SV=2, Homo_sapiens_sp_Q6ZMP0_THSD4_HUMAN sp|Q6ZMP0|THSD4_HUMAN Thrombospondin type-1 domain-containing protein 4 OS=Homo sapiens OX=9606 GN=THSD4 PE=1 SV=2	Ephydatia_muelleri_Em0016g1107a Em0016g1107a
OG0000018	Homo_sapiens_sp_Q96JB6_LOXL4_HUMAN sp|Q96JB6|LOXL4_HUMAN Lysyl oxidase homolog 4 OS=Homo sapiens OX=9606 GN=LOXL4 PE=1 SV=1, Homo_sapiens_sp_P58215_LOXL3_HUMAN sp|P58215|LOXL3_HUMAN Lysyl oxidase homolog 3 OS=Homo sapiens OX=9606 GN=LOXL3 PE=1 SV=1, Homo_sapiens_sp_Q9Y4K0_LOXL2_HUMAN sp|Q9Y4K0|LOXL2_HUMAN Lysyl oxidase homolog 2 OS=Homo sapiens OX=9606 GN=LOXL2 PE=1 SV=1	Ephydatia_muelleri_Em0011g282a Em0011g282a, Ephydatia_muelleri_Em0011g292a Em0011g292a, Ephydatia_muelleri_Em0011g291a Em0011g291a, Ephydatia_muelleri_Em0011g283a Em0011g283a
OG0000018	Homo_sapiens_sp_Q9UGM3_DMBT1_HUMAN sp|Q9UGM3|DMBT1_HUMAN Deleted in malignant brain tumors 1 protein OS=Homo sapiens OX=9606 GN=DMBT1 PE=1 SV=2, Homo_sapiens_sp_P56730_NETR_HUMAN sp|P56730|NETR_HUMAN Neurotrypsin OS=Homo sapiens OX=9606 GN=PRSS12 PE=2 SV=2	Ephydatia_muelleri_Em0380g6a Em0380g6a, Ephydatia_muelleri_Em0023g304a Em0023g304a, Ephydatia_muelleri_Em0023g214a Em0023g214a, Ephydatia_muelleri_Em0001g321a Em0001g321a, Ephydatia_muelleri_Em0023g220a Em0023g220a, Ephydatia_muelleri_Em0023g224a Em0023g224a, Ephydatia_muelleri_Em0380g1a Em0380g1a, Ephydatia_muelleri_Em0023g300a Em0023g300a, Ephydatia_muelleri_Em0023g230a Em0023g230a, Ephydatia_muelleri_Em0023g303a Em0023g303a, Ephydatia_muelleri_Em0019g1086a Em0019g1086a, Ephydatia_muelleri_Em0019g1066a Em0019g1066a, Ephydatia_muelleri_Em0008g906a Em0008g906a, Ephydatia_muelleri_Em0008g1100a Em0008g1100a, Ephydatia_muelleri_Em0007g863a Em0007g863a, Ephydatia_muelleri_Em0007g864a Em0007g864a
OG0000020	Homo_sapiens_sp_Q17RW2_COOA1_HUMAN sp|Q17RW2|COOA1_HUMAN Collagen alpha-1_XXIV_ chain OS=Homo sapiens OX=9606 GN=COL24A1 PE=1 SV=2, Homo_sapiens_sp_Q8IZC6_CORA1_HUMAN sp|Q8IZC6|CORA1_HUMAN Collagen alpha-1_XXVII_ chain OS=Homo sapiens OX=9606 GN=COL27A1 PE=1 SV=1	Ephydatia_muelleri_Em0016g1041a Em0016g1041a, Ephydatia_muelleri_Em0007g845a Em0007g845a
OG0000021	Homo_sapiens_sp_P01133_EGF_HUMAN sp|P01133|EGF_HUMAN Pro-epidermal growth factor OS=Homo sapiens OX=9606 GN=EGF PE=1 SV=2	Ephydatia_muelleri_Em0008g499a Em0008g499a, Ephydatia_muelleri_Em0008g459a Em0008g459a, Ephydatia_muelleri_Em0001g1116a Em0001g1116a
OG0000022	Homo_sapiens_sp_Q9UJ72_ANX10_HUMAN sp|Q9UJ72|ANX10_HUMAN Annexin A10 OS=Homo sapiens OX=9606 GN=ANXA10 PE=1 SV=3	Ephydatia_muelleri_Em0011g323a Em0011g323a
OG0000022	Homo_sapiens_sp_P20073_ANXA7_HUMAN sp|P20073|ANXA7_HUMAN Annexin A7 OS=Homo sapiens OX=9606 GN=ANXA7 PE=1 SV=3	Ephydatia_muelleri_Em0016g564a Em0016g564a, Ephydatia_muelleri_Em0016g563a Em0016g563a, Ephydatia_muelleri_Em0016g565a Em0016g565a, Ephydatia_muelleri_Em0013g1131a Em0013g1131a, Ephydatia_muelleri_Em0012g47a Em0012g47a, Ephydatia_muelleri_Em0012g49a Em0012g49a, Ephydatia_muelleri_Em0012g48a Em0012g48a, Ephydatia_muelleri_Em0012g46a Em0012g46a
OG0000024	Homo_sapiens_sp_Q96NZ8_WFKN1_HUMAN sp|Q96NZ8|WFKN1_HUMAN WAP_ Kazal_ immunoglobulin_ Kunitz and NTR domain-containing protein 1 OS=Homo sapiens OX=9606 GN=WFIKKN1 PE=1 SV=1, Homo_sapiens_sp_Q9BQ16_TICN3_HUMAN sp|Q9BQ16|TICN3_HUMAN Testican-3 OS=Homo sapiens OX=9606 GN=SPOCK3 PE=1 SV=2, Homo_sapiens_sp_Q08629_TICN1_HUMAN sp|Q08629|TICN1_HUMAN Testican-1 OS=Homo sapiens OX=9606 GN=SPOCK1 PE=1 SV=1	Ephydatia_muelleri_Em0733g1a Em0733g1a, Ephydatia_muelleri_Em0018g330a Em0018g330a, Ephydatia_muelleri_Em0018g319a Em0018g319a, Ephydatia_muelleri_Em0424g1a Em0424g1a, Ephydatia_muelleri_Em0018g329a Em0018g329a, Ephydatia_muelleri_Em0018g318a Em0018g318a, Ephydatia_muelleri_Em0733g2a Em0733g2a, Ephydatia_muelleri_Em0019g192a Em0019g192a, Ephydatia_muelleri_Em0019g191a Em0019g191a
OG0000030	Homo_sapiens_sp_P78536_ADA17_HUMAN sp|P78536|ADA17_HUMAN Disintegrin and metalloproteinase domain-containing protein 17 OS=Homo sapiens OX=9606 GN=ADAM17 PE=1 SV=1	Ephydatia_muelleri_Em0005g1474a Em0005g1474a
OG0000040	Homo_sapiens_sp_Q9NQ30_ESM1_HUMAN sp|Q9NQ30|ESM1_HUMAN Endothelial cell-specific molecule 1 OS=Homo sapiens OX=9606 GN=ESM1 PE=1 SV=2, Homo_sapiens_sp_Q16270_IBP7_HUMAN sp|Q16270|IBP7_HUMAN Insulin-like growth factor-binding protein 7 OS=Homo sapiens OX=9606 GN=IGFBP7 PE=1 SV=1	Ephydatia_muelleri_Em1222g1a Em1222g1a
OG0000041	Homo_sapiens_sp_O00534_VMA5A_HUMAN sp|O00534|VMA5A_HUMAN von Willebrand factor A domain-containing protein 5A OS=Homo sapiens OX=9606 GN=VWA5A PE=1 SV=2	Ephydatia_muelleri_Em0022g42a Em0022g42a, Ephydatia_muelleri_Em0022g38a Em0022g38a, Ephydatia_muelleri_Em0001g2773a Em0001g2773a, Ephydatia_muelleri_Em0001g2780a Em0001g2780a, Ephydatia_muelleri_Em0001g2788a Em0001g2788a, Ephydatia_muelleri_Em0001g2777a Em0001g2777a, Ephydatia_muelleri_Em0020g881a Em0020g881a, Ephydatia_muelleri_Em0020g874a Em0020g874a, Ephydatia_muelleri_Em0020g879a Em0020g879a, Ephydatia_muelleri_Em0020g880a Em0020g880a, Ephydatia_muelleri_Em0020g851a Em0020g851a, Ephydatia_muelleri_Em0020g850a Em0020g850a, Ephydatia_muelleri_Em0020g854a Em0020g854a, Ephydatia_muelleri_Em0020g858a Em0020g858a, Ephydatia_muelleri_Em0020g849a Em0020g849a, Ephydatia_muelleri_Em0020g860a Em0020g860a, Ephydatia_muelleri_Em0020g877a Em0020g877a
