HOG	OG	Gene Tree Parent Clade	Choanozoa_Choanoflagellatea_Monosiga_brevicollis	Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	Chordata_Amphioxiformes_Branchiostoma_belcheri	Chordata_Amphioxiformes_Branchiostoma_floridae	Chordata_Amphioxiformes_Branchiostoma_lanceolatum	Chordata_Vertebrata_Bos_taurus	Chordata_Vertebrata_Coturnix_japonica	Chordata_Vertebrata_Danio_rerio	Chordata_Vertebrata_Homo_sapiens	Chordata_Vertebrata_Mus_musculus	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Anthozoa_Nematostella_vectensis	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Myxozoa_Thelohanellus_kitauei	Cnidaria_Scyphozoa_Aurelia_aurita	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Ctenophora_Nuda_Beroe_ovata	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Ctenophora_Tentaculata_Pleurobrachia_bachei	Insecta_Diptera_Drosophila_melanogaster	Nematoda_Chromadorea_Caenorhabditis_elegans	Placozoa_Trichoplacidae_Trichoplax_spec-H2	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Platyhelminthes_Tricladida_Schmidtea_mediterranea	Porifera_Demospongiae_Amphimedon_queenslandica	Porifera_Demospongiae_Ephydatia_muelleri
N17.HOG0000000	OG0000000	n66																											Caenorhabditis_elegans_T15B7.1 T15B7.1					
N17.HOG0000001	OG0000000	n84																											Caenorhabditis_elegans_C49C8.5 C49C8.5, Caenorhabditis_elegans_Y43C5A.2 Y43C5A.2, Caenorhabditis_elegans_T01D3.6b T01D3.6b			Schmidtea_mediterranea_maker-scaffold9678-snap-gene-0.37-mRNA-1 maker-scaffold9678-snap-gene-0.37-mRNA-1 protein AED_0.36 eAED_0.36 QI_0|0.25|0.11|0.66|0.5|0.55|9|0|2056		
N17.HOG0000002	OG0000001	n48																														Schmidtea_mediterranea_maker-scaffold14005-snap-gene-0.42-mRNA-1 maker-scaffold14005-snap-gene-0.42-mRNA-1 protein AED_0.02 eAED_0.04 QI_10|0|0|0.83|0.8|0.83|6|0|258		
N17.HOG0000003	OG0000001	n128																														Schmidtea_mediterranea_maker-scaffold5594-snap-gene-0.19-mRNA-1 maker-scaffold5594-snap-gene-0.19-mRNA-1 protein AED_0.79 eAED_0.95 QI_0|0|0|0.33|0.8|1|6|0|127		
N17.HOG0000004	OG0000001	n137																														Schmidtea_mediterranea_maker-scaffold8715-augustus-gene-0.6-mRNA-1 maker-scaffold8715-augustus-gene-0.6-mRNA-1 protein AED_0.31 eAED_0.31 QI_0|0.71|0.62|0.75|0.28|0.25|8|0|410		
N17.HOG0000005	OG0000001	n943																														Schmidtea_mediterranea_maker-scaffold17156-snap-gene-0.55-mRNA-1 maker-scaffold17156-snap-gene-0.55-mRNA-1 protein AED_0.16 eAED_0.17 QI_0|0.66|0.63|0.84|0.72|0.78|19|0|1331		
N17.HOG0000006	OG0000001	n954																														Schmidtea_mediterranea_maker-scaffold1132-snap-gene-0.12-mRNA-1 maker-scaffold1132-snap-gene-0.12-mRNA-1 protein AED_0.11 eAED_0.11 QI_141|0.76|0.72|1|0.70|0.94|18|101|1427		
N17.HOG0000007	OG0000001	n975																											Caenorhabditis_elegans_K07E12.1 K07E12.1					
N17.HOG0000008	OG0000001	n1075																											Caenorhabditis_elegans_F41C6.1 F41C6.1					
