Orthogroup	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Cubozoa_Morbakka_virulenta
OG0000001	Clytia_hemispherica_TCONS_00049799-protein TCONS_00049799-protein	Morbakka_virulenta_scaffold19.g85.t4 scaffold19.g85.t4, Morbakka_virulenta_scaffold19.g85.t3 scaffold19.g85.t3, Morbakka_virulenta_scaffold19.g85.t1 scaffold19.g85.t1
OG0000001	Clytia_hemispherica_TCONS_00046695-protein TCONS_00046695-protein	Morbakka_virulenta_scaffold227.g30.t1 scaffold227.g30.t1
OG0000001	Clytia_hemispherica_TCONS_00002943-protein TCONS_00002943-protein, Clytia_hemispherica_TCONS_00011288-protein TCONS_00011288-protein, Clytia_hemispherica_TCONS_00068399-protein TCONS_00068399-protein	Morbakka_virulenta_scaffold161.g23.t1 scaffold161.g23.t1, Morbakka_virulenta_scaffold161.g20.t1 scaffold161.g20.t1
OG0000001	Clytia_hemispherica_TCONS_00065163-protein TCONS_00065163-protein	Morbakka_virulenta_scaffold137.g22.t1 scaffold137.g22.t1, Morbakka_virulenta_scaffold137.g22.t3 scaffold137.g22.t3, Morbakka_virulenta_scaffold137.g22.t4 scaffold137.g22.t4
OG0000001	Clytia_hemispherica_TCONS_00067647-protein TCONS_00067647-protein	Morbakka_virulenta_scaffold397.g4.t2 scaffold397.g4.t2, Morbakka_virulenta_scaffold397.g4.t1 scaffold397.g4.t1
OG0000001	Clytia_hemispherica_TCONS_00062616-protein TCONS_00062616-protein	Morbakka_virulenta_scaffold68.g48.t2 scaffold68.g48.t2, Morbakka_virulenta_scaffold68.g48.t1 scaffold68.g48.t1
OG0000001	Clytia_hemispherica_TCONS_00020139-protein TCONS_00020139-protein, Clytia_hemispherica_TCONS_00072631-protein TCONS_00072631-protein	Morbakka_virulenta_scaffold37.g39.t1 scaffold37.g39.t1
OG0000001	Clytia_hemispherica_TCONS_00067910-protein TCONS_00067910-protein	Morbakka_virulenta_scaffold476.g6.t1 scaffold476.g6.t1
OG0000001	Clytia_hemispherica_TCONS_00055217-protein TCONS_00055217-protein	Morbakka_virulenta_scaffold17.g93.t1 scaffold17.g93.t1
OG0000001	Clytia_hemispherica_TCONS_00020975-protein TCONS_00020975-protein	Morbakka_virulenta_scaffold659.g1.t1 scaffold659.g1.t1
OG0000001	Clytia_hemispherica_TCONS_00026153-protein TCONS_00026153-protein	Morbakka_virulenta_scaffold23.g77.t2 scaffold23.g77.t2, Morbakka_virulenta_scaffold23.g77.t1 scaffold23.g77.t1
OG0000001	Clytia_hemispherica_TCONS_00071725-protein TCONS_00071725-protein	Morbakka_virulenta_scaffold6.g122.t1 scaffold6.g122.t1
OG0000001	Clytia_hemispherica_TCONS_00015263-protein TCONS_00015263-protein	Morbakka_virulenta_scaffold361.g17.t1 scaffold361.g17.t1, Morbakka_virulenta_scaffold361.g17.t2 scaffold361.g17.t2
OG0000001	Clytia_hemispherica_TCONS_00050620-protein TCONS_00050620-protein, Clytia_hemispherica_TCONS_00040831-protein TCONS_00040831-protein, Clytia_hemispherica_TCONS_00043093-protein TCONS_00043093-protein, Clytia_hemispherica_TCONS_00027715-protein TCONS_00027715-protein, Clytia_hemispherica_TCONS_00050603-protein TCONS_00050603-protein, Clytia_hemispherica_TCONS_00018828-protein TCONS_00018828-protein, Clytia_hemispherica_TCONS_00055790-protein TCONS_00055790-protein	Morbakka_virulenta_scaffold172.g29.t1 scaffold172.g29.t1, Morbakka_virulenta_scaffold99.g25.t1 scaffold99.g25.t1
OG0000001	Clytia_hemispherica_TCONS_00064310-protein TCONS_00064310-protein	Morbakka_virulenta_scaffold43.g67.t1 scaffold43.g67.t1, Morbakka_virulenta_scaffold43.g67.t2 scaffold43.g67.t2
OG0000001	Clytia_hemispherica_TCONS_00025379-protein TCONS_00025379-protein	Morbakka_virulenta_scaffold47.g73.t1 scaffold47.g73.t1
OG0000001	Clytia_hemispherica_TCONS_00064021-protein TCONS_00064021-protein	Morbakka_virulenta_scaffold35.g66.t1 scaffold35.g66.t1
OG0000001	Clytia_hemispherica_TCONS_00011362-protein TCONS_00011362-protein	Morbakka_virulenta_scaffold152.g29.t1 scaffold152.g29.t1, Morbakka_virulenta_scaffold152.g29.t2 scaffold152.g29.t2, Morbakka_virulenta_scaffold152.g29.t3 scaffold152.g29.t3
OG0000001	Clytia_hemispherica_TCONS_00067350-protein TCONS_00067350-protein	Morbakka_virulenta_scaffold1.g52.t1 scaffold1.g52.t1, Morbakka_virulenta_scaffold1.g52.t2 scaffold1.g52.t2
OG0000001	Clytia_hemispherica_TCONS_00004794-protein TCONS_00004794-protein	Morbakka_virulenta_scaffold212.g45.t1 scaffold212.g45.t1
OG0000002	Clytia_hemispherica_TCONS_00019320-protein TCONS_00019320-protein	Morbakka_virulenta_scaffold353.g2.t4 scaffold353.g2.t4, Morbakka_virulenta_scaffold353.g2.t3 scaffold353.g2.t3, Morbakka_virulenta_scaffold353.g2.t1 scaffold353.g2.t1, Morbakka_virulenta_scaffold256.g1.t1 scaffold256.g1.t1
OG0000002	Clytia_hemispherica_TCONS_00057330-protein TCONS_00057330-protein, Clytia_hemispherica_TCONS_00016953-protein TCONS_00016953-protein	Morbakka_virulenta_scaffold166.g9.t1 scaffold166.g9.t1
OG0000002	Clytia_hemispherica_TCONS_00016956-protein TCONS_00016956-protein	Morbakka_virulenta_scaffold166.g7.t2 scaffold166.g7.t2, Morbakka_virulenta_scaffold166.g7.t1 scaffold166.g7.t1
OG0000002	Clytia_hemispherica_TCONS_00009629-protein TCONS_00009629-protein	Morbakka_virulenta_scaffold143.g35.t1 scaffold143.g35.t1
OG0000002	Clytia_hemispherica_TCONS_00020927-protein TCONS_00020927-protein	Morbakka_virulenta_scaffold353.g2.t2 scaffold353.g2.t2, Morbakka_virulenta_scaffold353.g1.t1 scaffold353.g1.t1
OG0000002	Clytia_hemispherica_TCONS_00054324-protein TCONS_00054324-protein	Morbakka_virulenta_scaffold479.g8.t1 scaffold479.g8.t1
OG0000002	Clytia_hemispherica_TCONS_00061931-protein TCONS_00061931-protein	Morbakka_virulenta_scaffold24.g105.t1 scaffold24.g105.t1
OG0000002	Clytia_hemispherica_TCONS_00003803-protein TCONS_00003803-protein	Morbakka_virulenta_scaffold22.g63.t2 scaffold22.g63.t2, Morbakka_virulenta_scaffold22.g63.t3 scaffold22.g63.t3, Morbakka_virulenta_scaffold22.g63.t1 scaffold22.g63.t1
OG0000002	Clytia_hemispherica_TCONS_00067913-protein TCONS_00067913-protein	Morbakka_virulenta_scaffold17.g96.t1 scaffold17.g96.t1
OG0000002	Clytia_hemispherica_TCONS_00040020-protein TCONS_00040020-protein	Morbakka_virulenta_scaffold434.g15.t1 scaffold434.g15.t1, Morbakka_virulenta_scaffold82.g34.t1 scaffold82.g34.t1
OG0000002	Clytia_hemispherica_TCONS_00062091-protein TCONS_00062091-protein	Morbakka_virulenta_scaffold415.g11.t1 scaffold415.g11.t1, Morbakka_virulenta_scaffold83.g77.t1 scaffold83.g77.t1
OG0000002	Clytia_hemispherica_TCONS_00011304-protein TCONS_00011304-protein	Morbakka_virulenta_scaffold81.g62.t1 scaffold81.g62.t1
OG0000002	Clytia_hemispherica_TCONS_00065680-protein TCONS_00065680-protein	Morbakka_virulenta_scaffold218.g4.t2 scaffold218.g4.t2, Morbakka_virulenta_scaffold218.g4.t1 scaffold218.g4.t1
OG0000002	Clytia_hemispherica_TCONS_00022855-protein TCONS_00022855-protein, Clytia_hemispherica_TCONS_00064167-protein TCONS_00064167-protein	Morbakka_virulenta_scaffold218.g9.t1 scaffold218.g9.t1, Morbakka_virulenta_scaffold218.g9.t2 scaffold218.g9.t2, Morbakka_virulenta_scaffold218.g9.t3 scaffold218.g9.t3, Morbakka_virulenta_scaffold678.g3.t2 scaffold678.g3.t2, Morbakka_virulenta_scaffold678.g3.t1 scaffold678.g3.t1, Morbakka_virulenta_scaffold678.g3.t3 scaffold678.g3.t3
OG0000002	Clytia_hemispherica_TCONS_00050254-protein TCONS_00050254-protein	Morbakka_virulenta_scaffold255.g10.t1 scaffold255.g10.t1
OG0000002	Clytia_hemispherica_TCONS_00006687-protein TCONS_00006687-protein, Clytia_hemispherica_TCONS_00010430-protein TCONS_00010430-protein	Morbakka_virulenta_scaffold218.g5.t1 scaffold218.g5.t1, Morbakka_virulenta_scaffold218.g5.t2 scaffold218.g5.t2
OG0000002	Clytia_hemispherica_TCONS_00050865-protein TCONS_00050865-protein	Morbakka_virulenta_scaffold273.g21.t1 scaffold273.g21.t1
OG0000002	Clytia_hemispherica_TCONS_00050250-protein TCONS_00050250-protein	Morbakka_virulenta_scaffold255.g9.t1 scaffold255.g9.t1
OG0000003	Clytia_hemispherica_TCONS_00059665-protein TCONS_00059665-protein	Morbakka_virulenta_scaffold3.g19.t1 scaffold3.g19.t1
OG0000003	Clytia_hemispherica_TCONS_00003294-protein TCONS_00003294-protein	Morbakka_virulenta_scaffold138.g37.t1 scaffold138.g37.t1
OG0000003	Clytia_hemispherica_TCONS_00043994-protein TCONS_00043994-protein, Clytia_hemispherica_TCONS_00008792-protein TCONS_00008792-protein, Clytia_hemispherica_TCONS_00060110-protein TCONS_00060110-protein	Morbakka_virulenta_scaffold14.g14.t1 scaffold14.g14.t1
OG0000003	Clytia_hemispherica_TCONS_00048264-protein TCONS_00048264-protein	Morbakka_virulenta_scaffold4.g126.t1 scaffold4.g126.t1, Morbakka_virulenta_scaffold4.g126.t2 scaffold4.g126.t2
OG0000003	Clytia_hemispherica_TCONS_00001968-protein TCONS_00001968-protein	Morbakka_virulenta_scaffold45.g61.t1 scaffold45.g61.t1
OG0000003	Clytia_hemispherica_TCONS_00047185-protein TCONS_00047185-protein	Morbakka_virulenta_scaffold481.g4.t2 scaffold481.g4.t2, Morbakka_virulenta_scaffold481.g4.t1 scaffold481.g4.t1
OG0000003	Clytia_hemispherica_TCONS_00020411-protein TCONS_00020411-protein	Morbakka_virulenta_scaffold35.g61.t1 scaffold35.g61.t1, Morbakka_virulenta_scaffold35.g61.t3 scaffold35.g61.t3
OG0000004	Clytia_hemispherica_TCONS_00071535-protein TCONS_00071535-protein, Clytia_hemispherica_TCONS_00071269-protein TCONS_00071269-protein, Clytia_hemispherica_TCONS_00071536-protein TCONS_00071536-protein, Clytia_hemispherica_TCONS_00070514-protein TCONS_00070514-protein	Morbakka_virulenta_scaffold190.g34.t1 scaffold190.g34.t1, Morbakka_virulenta_scaffold11.g57.t1 scaffold11.g57.t1
OG0000004	Clytia_hemispherica_TCONS_00015570-protein TCONS_00015570-protein, Clytia_hemispherica_TCONS_00032641-protein TCONS_00032641-protein, Clytia_hemispherica_TCONS_00005919-protein TCONS_00005919-protein, Clytia_hemispherica_TCONS_00070512-protein TCONS_00070512-protein	Morbakka_virulenta_scaffold186.g3.t1 scaffold186.g3.t1
OG0000004	Clytia_hemispherica_TCONS_00005832-protein TCONS_00005832-protein	Morbakka_virulenta_scaffold74.g40.t1 scaffold74.g40.t1
OG0000004	Clytia_hemispherica_TCONS_00025069-protein TCONS_00025069-protein	Morbakka_virulenta_scaffold19.g42.t1 scaffold19.g42.t1, Morbakka_virulenta_scaffold409.g9.t1 scaffold409.g9.t1, Morbakka_virulenta_scaffold19.g44.t1 scaffold19.g44.t1, Morbakka_virulenta_scaffold19.g33.t1 scaffold19.g33.t1, Morbakka_virulenta_scaffold19.g33.t2 scaffold19.g33.t2, Morbakka_virulenta_scaffold19.g46.t1 scaffold19.g46.t1, Morbakka_virulenta_scaffold19.g46.t2 scaffold19.g46.t2
OG0000004	Clytia_hemispherica_TCONS_00008136-protein TCONS_00008136-protein, Clytia_hemispherica_TCONS_00059597-protein TCONS_00059597-protein	Morbakka_virulenta_scaffold109.g53.t1 scaffold109.g53.t1
OG0000004	Clytia_hemispherica_TCONS_00029812-protein TCONS_00029812-protein	Morbakka_virulenta_scaffold292.g12.t1 scaffold292.g12.t1
OG0000004	Clytia_hemispherica_TCONS_00053426-protein TCONS_00053426-protein	Morbakka_virulenta_scaffold86.g35.t1 scaffold86.g35.t1
OG0000004	Clytia_hemispherica_TCONS_00067398-protein TCONS_00067398-protein	Morbakka_virulenta_scaffold152.g33.t1 scaffold152.g33.t1, Morbakka_virulenta_scaffold152.g33.t2 scaffold152.g33.t2
OG0000004	Clytia_hemispherica_TCONS_00068125-protein TCONS_00068125-protein, Clytia_hemispherica_TCONS_00059198-protein TCONS_00059198-protein	Morbakka_virulenta_scaffold57.g15.t4 scaffold57.g15.t4, Morbakka_virulenta_scaffold57.g15.t2 scaffold57.g15.t2, Morbakka_virulenta_scaffold57.g15.t3 scaffold57.g15.t3, Morbakka_virulenta_scaffold57.g15.t1 scaffold57.g15.t1
OG0000004	Clytia_hemispherica_TCONS_00061976-protein TCONS_00061976-protein	Morbakka_virulenta_scaffold48.g8.t2 scaffold48.g8.t2, Morbakka_virulenta_scaffold48.g8.t1 scaffold48.g8.t1
