Orthogroup	Chordata_Vertebrata_Bos_taurus	Chordata_Vertebrata_Mus_musculus
OG0000000	XP_005210603.1 tenascin isoform X1 [Bos taurus]	Mus_musculus_sp_Q80YX1_TENA_MOUSE sp_Q80YX1_TENA_MOUSE Tenascin OS=Mus musculus OX=10090 GN=Tnc PE=1 SV=1, Mus_musculus_sp_Q80YX1_TENA_MOUSE sp_Q80YX1_TENA_MOUSE Tenascin OS=Mus musculus OX=10090 GN=Tnc PE=1 SV=1, Mus_musculus_sp_Q80YX1_TENA_MOUSE sp_Q80YX1_TENA_MOUSE Tenascin OS=Mus musculus OX=10090 GN=Tnc PE=1 SV=1
OG0000000	XP_010811641.2 tenascin-N isoform X1 [Bos taurus]	Mus_musculus_sp_Q80Z71_TENN_MOUSE sp_Q80Z71_TENN_MOUSE Tenascin-N OS=Mus musculus OX=10090 GN=Tnn PE=1 SV=2
OG0000000	XP_005217494.2 fibrinogen alpha chain isoform X1 [Bos taurus], sp|P02672.5|FIBA_BOVIN RecName_ Full=Fibrinogen alpha chain; Contains_ RecName_ Full=Fibrinopeptide A; Contains_ RecName_ Full=Fibrinogen alpha chain; Flags_ Precursor, sp|P02672.5|FIBA_BOVIN RecName_ Full=Fibrinogen alpha chain; Contains_ RecName_ Full=Fibrinopeptide A; Contains_ RecName_ Full=Fibrinogen alpha chain; Flags_ Precursor	Mus_musculus_sp_E9PV24_FIBA_MOUSE sp_E9PV24_FIBA_MOUSE Fibrinogen alpha chain OS=Mus musculus OX=10090 GN=Fga PE=1 SV=1, Mus_musculus_sp_E9PV24_FIBA_MOUSE sp_E9PV24_FIBA_MOUSE Fibrinogen alpha chain OS=Mus musculus OX=10090 GN=Fga PE=1 SV=1
OG0000000	XP_005226015.1 fibrinogen-like protein 1 isoform X1 [Bos taurus]	Mus_musculus_sp_Q71KU9_FGL1_MOUSE sp_Q71KU9_FGL1_MOUSE Fibrinogen-like protein 1 OS=Mus musculus OX=10090 GN=Fgl1 PE=1 SV=2
OG0000000	NP_001103284.1 angiopoietin-related protein 2 precursor [Bos taurus]	Mus_musculus_sp_Q9R045_ANGL2_MOUSE sp_Q9R045_ANGL2_MOUSE Angiopoietin-related protein 2 OS=Mus musculus OX=10090 GN=Angptl2 PE=2 SV=2
OG0000000	sp|Q1RMR1.1|ANGL1_BOVIN RecName_ Full=Angiopoietin-related protein 1; AltName_ Full=Angiopoietin-like protein 1; Flags_ Precursor	Mus_musculus_sp_Q640P2_ANGL1_MOUSE sp_Q640P2_ANGL1_MOUSE Angiopoietin-related protein 1 OS=Mus musculus OX=10090 GN=Angptl1 PE=2 SV=1
OG0000000	XP_005208819.1 angiopoietin-related protein 6 isoform X1 [Bos taurus]	Mus_musculus_sp_Q8R0Z6_ANGL6_MOUSE sp_Q8R0Z6_ANGL6_MOUSE Angiopoietin-related protein 6 OS=Mus musculus OX=10090 GN=Angptl6 PE=2 SV=1
OG0000000	sp|Q5EA66.1|ANGL7_BOVIN RecName_ Full=Angiopoietin-related protein 7; AltName_ Full=Angiopoietin-like protein 7; Flags_ Precursor	Mus_musculus_sp_Q8R1Q3_ANGL7_MOUSE sp_Q8R1Q3_ANGL7_MOUSE Angiopoietin-related protein 7 OS=Mus musculus OX=10090 GN=Angptl7 PE=2 SV=1
OG0000000	sp|Q24K15.1|ANGP4_BOVIN RecName_ Full=Angiopoietin-4; Short=ANG-4; Flags_ Precursor	Mus_musculus_sp_Q9WVH6_ANGP4_MOUSE sp_Q9WVH6_ANGP4_MOUSE Angiopoietin-4 OS=Mus musculus OX=10090 GN=Angpt4 PE=1 SV=1
OG0000000	sp|O77802.3|ANGP2_BOVIN RecName_ Full=Angiopoietin-2; Short=ANG-2; Flags_ Precursor	Mus_musculus_sp_O35608_ANGP2_MOUSE sp_O35608_ANGP2_MOUSE Angiopoietin-2 OS=Mus musculus OX=10090 GN=Angpt2 PE=2 SV=2
