Orthogroup	Cnidaria_Anthozoa_Stylophora_pistillata	Chordata_Amphioxiformes_Branchiostoma_belcheri
OG0000000	Stylophora_pistillata_Spis23020 Spis23020 SpisGene23020	Branchiostoma_belcheri_tr_A0A6P5A5B3_A0A6P5A5B3_BRABE tr|A0A6P5A5B3|A0A6P5A5B3_BRABE Ficolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109480615 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5A9G2_A0A6P5A9G2_BRABE tr|A0A6P5A9G2|A0A6P5A9G2_BRABE Uncharacterized protein LOC109480612 OS=Branchiostoma belcheri OX=7741 GN=LOC109480612 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XJH4_A0A6P4XJH4_BRABE tr|A0A6P4XJH4|A0A6P4XJH4_BRABE Uncharacterized protein LOC109464187 OS=Branchiostoma belcheri OX=7741 GN=LOC109464187 PE=3 SV=1, Branchiostoma_belcheri_tr_A0A6P4YRF0_A0A6P4YRF0_BRABE tr|A0A6P4YRF0|A0A6P4YRF0_BRABE Fibrinogen-like protein 1 OS=Branchiostoma belcheri OX=7741 GN=LOC109466512 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZC75_A0A6P4ZC75_BRABE tr|A0A6P4ZC75|A0A6P4ZC75_BRABE Uncharacterized protein LOC109475336 OS=Branchiostoma belcheri OX=7741 GN=LOC109475336 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZVU9_A0A6P4ZVU9_BRABE tr|A0A6P4ZVU9|A0A6P4ZVU9_BRABE Uncharacterized protein LOC109486073 OS=Branchiostoma belcheri OX=7741 GN=LOC109486073 PE=3 SV=1, Branchiostoma_belcheri_tr_A0A6P5ACW7_A0A6P5ACW7_BRABE tr|A0A6P5ACW7|A0A6P5ACW7_BRABE Uncharacterized protein LOC109481493 OS=Branchiostoma belcheri OX=7741 GN=LOC109481493 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z095_A0A6P4Z095_BRABE tr|A0A6P4Z095|A0A6P4Z095_BRABE Multiple epidermal growth factor-like domains protein 10 OS=Branchiostoma belcheri OX=7741 GN=LOC109477967 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YD19_A0A6P4YD19_BRABE tr|A0A6P4YD19|A0A6P4YD19_BRABE Multiple epidermal growth factor-like domains protein 6 OS=Branchiostoma belcheri OX=7741 GN=LOC109462693 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZS47_A0A6P4ZS47_BRABE tr|A0A6P4ZS47|A0A6P4ZS47_BRABE Uncharacterized protein LOC109481507 OS=Branchiostoma belcheri OX=7741 GN=LOC109481507 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5A016_A0A6P5A016_BRABE tr|A0A6P5A016|A0A6P5A016_BRABE Fibrinogen-like protein 1 OS=Branchiostoma belcheri OX=7741 GN=LOC109481508 PE=3 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZIG7_A0A6P4ZIG7_BRABE tr|A0A6P4ZIG7|A0A6P4ZIG7_BRABE Fibrinogen C domain-containing protein 1-A-like OS=Branchiostoma belcheri OX=7741 GN=LOC109479095 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZZY9_A0A6P4ZZY9_BRABE tr|A0A6P4ZZY9|A0A6P4ZZY9_BRABE Protein jagged-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109479094 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZXD3_A0A6P4ZXD3_BRABE tr|A0A6P4ZXD3|A0A6P4ZXD3_BRABE Uncharacterized protein LOC109483033 OS=Branchiostoma belcheri OX=7741 GN=LOC109483033 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XIA8_A0A6P4XIA8_BRABE tr|A0A6P4XIA8|A0A6P4XIA8_BRABE Uncharacterized protein LOC109463839 OS=Branchiostoma belcheri OX=7741 GN=LOC109463839 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5ABS3_A0A6P5ABS3_BRABE tr|A0A6P5ABS3|A0A6P5ABS3_BRABE Fibrinogen-like protein 1 OS=Branchiostoma belcheri OX=7741 GN=LOC109482508 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5A5F5_A0A6P5A5F5_BRABE tr|A0A6P5A5F5|A0A6P5A5F5_BRABE LOW QUALITY PROTEIN_ uncharacterized protein LOC109480647 OS=Branchiostoma belcheri OX=7741 GN=LOC109480647 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AT92_A0A6P5AT92_BRABE tr|A0A6P5AT92|A0A6P5AT92_BRABE Tenascin-X-like OS=Branchiostoma belcheri OX=7741 GN=LOC109485990 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AFW6_A0A6P5AFW6_BRABE tr|A0A6P5AFW6|A0A6P5AFW6_BRABE Uncharacterized protein LOC109485993 OS=Branchiostoma belcheri OX=7741 GN=LOC109485993 PE=4 SV=1
OG0000000	Stylophora_pistillata_Spis20835 Spis20835 SpisGene20835	Branchiostoma_belcheri_tr_A0A6P4ZUM2_A0A6P4ZUM2_BRABE tr|A0A6P4ZUM2|A0A6P4ZUM2_BRABE Fibrinogen-like protein 1 OS=Branchiostoma belcheri OX=7741 GN=LOC109476732 PE=4 SV=1
OG0000000	Stylophora_pistillata_Spis7346 Spis7346 SpisGene7346, Stylophora_pistillata_Spis17775 Spis17775 SpisGene17775	Branchiostoma_belcheri_tr_A0A6P4YDZ3_A0A6P4YDZ3_BRABE tr|A0A6P4YDZ3|A0A6P4YDZ3_BRABE Uncharacterized protein LOC109466899 OS=Branchiostoma belcheri OX=7741 GN=LOC109466899 PE=4 SV=1
OG0000000	Stylophora_pistillata_Spis12602 Spis12602 SpisGene12602, Stylophora_pistillata_Spis16434 Spis16434 SpisGene16434	Branchiostoma_belcheri_tr_A0A6P4YBZ7_A0A6P4YBZ7_BRABE tr|A0A6P4YBZ7|A0A6P4YBZ7_BRABE Techylectin-5B-like OS=Branchiostoma belcheri OX=7741 GN=LOC109462292 PE=4 SV=1
OG0000000	Stylophora_pistillata_Spis9885 Spis9885 SpisGene9885, Stylophora_pistillata_Spis22619 Spis22619 SpisGene22619, Stylophora_pistillata_Spis22620 Spis22620 SpisGene22620, Stylophora_pistillata_Spis24695 Spis24695 SpisGene24695, Stylophora_pistillata_Spis17676 Spis17676 SpisGene17676, Stylophora_pistillata_Spis13935 Spis13935 SpisGene13935, Stylophora_pistillata_Spis10579 Spis10579 SpisGene10579, Stylophora_pistillata_Spis22545 Spis22545 SpisGene22545, Stylophora_pistillata_Spis24864 Spis24864 SpisGene24864, Stylophora_pistillata_Spis19503 Spis19503 SpisGene19503, Stylophora_pistillata_Spis12490 Spis12490 SpisGene12490, Stylophora_pistillata_Spis12489 Spis12489 SpisGene12489, Stylophora_pistillata_Spis19236 Spis19236 SpisGene19236, Stylophora_pistillata_Spis19237 Spis19237 SpisGene19237, Stylophora_pistillata_Spis22546 Spis22546 SpisGene22546, Stylophora_pistillata_Spis24624 Spis24624 SpisGene24624, Stylophora_pistillata_Spis19239 Spis19239 SpisGene19239, Stylophora_pistillata_Spis13910 Spis13910 SpisGene13910	Branchiostoma_belcheri_tr_A0A6P5ABL4_A0A6P5ABL4_BRABE tr|A0A6P5ABL4|A0A6P5ABL4_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484710 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZQY6_A0A6P4ZQY6_BRABE tr|A0A6P4ZQY6|A0A6P4ZQY6_BRABE Ryncolin-1-like isoform X3 OS=Branchiostoma belcheri OX=7741 GN=LOC109484705 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5A2Q0_A0A6P5A2Q0_BRABE tr|A0A6P5A2Q0|A0A6P5A2Q0_BRABE Microfibril-associated glycoprotein 4-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109484705 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5A2Q4_A0A6P5A2Q4_BRABE tr|A0A6P5A2Q4|A0A6P5A2Q4_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484709 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5ABL0_A0A6P5ABL0_BRABE tr|A0A6P5ABL0|A0A6P5ABL0_BRABE Microfibril-associated glycoprotein 4-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109484705 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AKK9_A0A6P5AKK9_BRABE tr|A0A6P5AKK9|A0A6P5AKK9_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484707 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AAK5_A0A6P5AAK5_BRABE tr|A0A6P5AAK5|A0A6P5AAK5_BRABE Uncharacterized protein LOC109484431 OS=Branchiostoma belcheri OX=7741 GN=LOC109484431 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z535_A0A6P4Z535_BRABE tr|A0A6P4Z535|A0A6P4Z535_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109470258 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZV33_A0A6P4ZV33_BRABE tr|A0A6P4ZV33|A0A6P4ZV33_BRABE Ficolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109482481 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZV24_A0A6P4ZV24_BRABE tr|A0A6P4ZV24|A0A6P4ZV24_BRABE Ficolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109482473 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AFX9_A0A6P5AFX9_BRABE tr|A0A6P5AFX9|A0A6P5AFX9_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109482464 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AFY8_A0A6P5AFY8_BRABE tr|A0A6P5AFY8|A0A6P5AFY8_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109482466 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZUF6_A0A6P4ZUF6_BRABE tr|A0A6P4ZUF6|A0A6P4ZUF6_BRABE Uncharacterized protein LOC109482266 OS=Branchiostoma belcheri OX=7741 GN=LOC109482266 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZV20_A0A6P4ZV20_BRABE tr|A0A6P4ZV20|A0A6P4ZV20_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109482468 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AFB3_A0A6P5AFB3_BRABE tr|A0A6P5AFB3|A0A6P5AFB3_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109482262 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZZG8_A0A6P4ZZG8_BRABE tr|A0A6P4ZZG8|A0A6P4ZZG8_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109478972 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZCN7_A0A6P4ZCN7_BRABE tr|A0A6P4ZCN7|A0A6P4ZCN7_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109481047 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XVC9_A0A6P4XVC9_BRABE tr|A0A6P4XVC9|A0A6P4XVC9_BRABE Ficolin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109462454 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YR90_A0A6P4YR90_BRABE tr|A0A6P4YR90|A0A6P4YR90_BRABE Techylectin-5B-like OS=Branchiostoma belcheri OX=7741 GN=LOC109469898 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YIH6_A0A6P4YIH6_BRABE tr|A0A6P4YIH6|A0A6P4YIH6_BRABE Angiopoietin-related protein 7-like OS=Branchiostoma belcheri OX=7741 GN=LOC109469897 PE=4 SV=1
OG0000000	Stylophora_pistillata_Spis7226 Spis7226 SpisGene7226, Stylophora_pistillata_Spis22078 Spis22078 SpisGene22078	Branchiostoma_belcheri_tr_A0A6P4YDM3_A0A6P4YDM3_BRABE tr|A0A6P4YDM3|A0A6P4YDM3_BRABE Ficolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109468654 PE=4 SV=1
OG0000000	Stylophora_pistillata_Spis4473 Spis4473 SpisGene4473	Branchiostoma_belcheri_tr_A0A6P4ZQB3_A0A6P4ZQB3_BRABE tr|A0A6P4ZQB3|A0A6P4ZQB3_BRABE Angiopoietin-related protein 2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109480993 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZNZ9_A0A6P4ZNZ9_BRABE tr|A0A6P4ZNZ9|A0A6P4ZNZ9_BRABE Uncharacterized protein LOC109476292 OS=Branchiostoma belcheri OX=7741 GN=LOC109476292 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZRR6_A0A6P4ZRR6_BRABE tr|A0A6P4ZRR6|A0A6P4ZRR6_BRABE Angiopoietin-related protein 7-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484948 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZRK0_A0A6P4ZRK0_BRABE tr|A0A6P4ZRK0|A0A6P4ZRK0_BRABE Angiopoietin-related protein 7-like OS=Branchiostoma belcheri OX=7741 GN=LOC109484903 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YFI0_A0A6P4YFI0_BRABE tr|A0A6P4YFI0|A0A6P4YFI0_BRABE Actin cytoskeleton-regulatory complex protein pan1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109469201 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YFI2_A0A6P4YFI2_BRABE tr|A0A6P4YFI2|A0A6P4YFI2_BRABE Uncharacterized protein LOC109467243 OS=Branchiostoma belcheri OX=7741 GN=LOC109467243 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZWY7_A0A6P4ZWY7_BRABE tr|A0A6P4ZWY7|A0A6P4ZWY7_BRABE Angiopoietin-related protein 6-like OS=Branchiostoma belcheri OX=7741 GN=LOC109480724 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XTX2_A0A6P4XTX2_BRABE tr|A0A6P4XTX2|A0A6P4XTX2_BRABE Angiopoietin-related protein 2-like isoform X4 OS=Branchiostoma belcheri OX=7741 GN=LOC109462032 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Y5U8_A0A6P4Y5U8_BRABE tr|A0A6P4Y5U8|A0A6P4Y5U8_BRABE Angiopoietin-related protein 2-like isoform X3 OS=Branchiostoma belcheri OX=7741 GN=LOC109462032 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XTW6_A0A6P4XTW6_BRABE tr|A0A6P4XTW6|A0A6P4XTW6_BRABE Angiopoietin-related protein 2-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109462032 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZU51_A0A6P4ZU51_BRABE tr|A0A6P4ZU51|A0A6P4ZU51_BRABE Angiopoietin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109479980 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZG00_A0A6P4ZG00_BRABE tr|A0A6P4ZG00|A0A6P4ZG00_BRABE Microfibril-associated glycoprotein 4-like OS=Branchiostoma belcheri OX=7741 GN=LOC109476399 PE=4 SV=1
OG0000000	Stylophora_pistillata_Spis1765 Spis1765 SpisGene1765, Stylophora_pistillata_Spis9969 Spis9969 SpisGene9969, Stylophora_pistillata_Spis23812 Spis23812 SpisGene23812, Stylophora_pistillata_Spis1776 Spis1776 SpisGene1776, Stylophora_pistillata_Spis1769 Spis1769 SpisGene1769, Stylophora_pistillata_Spis1768 Spis1768 SpisGene1768, Stylophora_pistillata_Spis12607 Spis12607 SpisGene12607, Stylophora_pistillata_Spis15870 Spis15870 SpisGene15870, Stylophora_pistillata_Spis21395 Spis21395 SpisGene21395, Stylophora_pistillata_Spis19397 Spis19397 SpisGene19397, Stylophora_pistillata_Spis22767 Spis22767 SpisGene22767, Stylophora_pistillata_Spis24690 Spis24690 SpisGene24690	Branchiostoma_belcheri_tr_A0A6P5A1A0_A0A6P5A1A0_BRABE tr|A0A6P5A1A0|A0A6P5A1A0_BRABE Ficolin-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109479473 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZJN6_A0A6P4ZJN6_BRABE tr|A0A6P4ZJN6|A0A6P4ZJN6_BRABE Angiopoietin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109479474 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZJP7_A0A6P4ZJP7_BRABE tr|A0A6P4ZJP7|A0A6P4ZJP7_BRABE Angiopoietin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109479484 PE=4 SV=1
OG0000001	Stylophora_pistillata_Spis17368 Spis17368 SpisGene17368	Branchiostoma_belcheri_tr_A0A6P4YR81_A0A6P4YR81_BRABE tr|A0A6P4YR81|A0A6P4YR81_BRABE LOW QUALITY PROTEIN_ laminin subunit beta-1-like OS=Branchiostoma belcheri OX=7741 GN=LOC109469885 PE=4 SV=1
OG0000001	Stylophora_pistillata_Spis16034 Spis16034 SpisGene16034	Branchiostoma_belcheri_tr_A0A6P4YUP0_A0A6P4YUP0_BRABE tr|A0A6P4YUP0|A0A6P4YUP0_BRABE Neogenin-like isoform X5 OS=Branchiostoma belcheri OX=7741 GN=LOC109468561 PE=3 SV=1, Branchiostoma_belcheri_tr_A0A6P4YUN6_A0A6P4YUN6_BRABE tr|A0A6P4YUN6|A0A6P4YUN6_BRABE Neogenin-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109468561 PE=3 SV=1, Branchiostoma_belcheri_tr_A0A6P4YKZ6_A0A6P4YKZ6_BRABE tr|A0A6P4YKZ6|A0A6P4YKZ6_BRABE Neogenin-like isoform X3 OS=Branchiostoma belcheri OX=7741 GN=LOC109468561 PE=3 SV=1, Branchiostoma_belcheri_tr_A0A6P4YD66_A0A6P4YD66_BRABE tr|A0A6P4YD66|A0A6P4YD66_BRABE Neogenin-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109468561 PE=3 SV=1, Branchiostoma_belcheri_tr_A0A6P4Y0G1_A0A6P4Y0G1_BRABE tr|A0A6P4Y0G1|A0A6P4Y0G1_BRABE Neogenin-like isoform X4 OS=Branchiostoma belcheri OX=7741 GN=LOC109468561 PE=3 SV=1, Branchiostoma_belcheri_tr_A0A6P4YD71_A0A6P4YD71_BRABE tr|A0A6P4YD71|A0A6P4YD71_BRABE Neogenin-like isoform X6 OS=Branchiostoma belcheri OX=7741 GN=LOC109468561 PE=3 SV=1, Branchiostoma_belcheri_tr_A0A6P4YL01_A0A6P4YL01_BRABE tr|A0A6P4YL01|A0A6P4YL01_BRABE Neogenin-like isoform X7 OS=Branchiostoma belcheri OX=7741 GN=LOC109468561 PE=3 SV=1
