Orthogroup	Cnidaria_Anthozoa_Acropora_digitifera	Ctenophora_Tentaculata_Pleurobrachia_bachei
OG0000001	Acropora_digitifera_adi_v1.06433 adi_v1.06433, Acropora_digitifera_adi_v1.03761 adi_v1.03761	Pleurobrachia_bachei_sb_2639858_ sb_2639858_, Pleurobrachia_bachei_sb_2654211_ sb_2654211_
OG0000001	Acropora_digitifera_adi_v1.19636 adi_v1.19636	Pleurobrachia_bachei_sb_2652422_ sb_2652422_
OG0000001	Acropora_digitifera_adi_v1.01396 adi_v1.01396	Pleurobrachia_bachei_sb_2667052_ sb_2667052_, Pleurobrachia_bachei_sb_2641560_ sb_2641560_
OG0000001	Acropora_digitifera_adi_v1.01960 adi_v1.01960, Acropora_digitifera_adi_v1.06175 adi_v1.06175	Pleurobrachia_bachei_sb_2656958_ sb_2656958_, Pleurobrachia_bachei_sb_2651191_ sb_2651191_
OG0000001	Acropora_digitifera_adi_v1.11383 adi_v1.11383	Pleurobrachia_bachei_sb_2640766_ sb_2640766_
OG0000002	Acropora_digitifera_adi_v1.12948 adi_v1.12948	Pleurobrachia_bachei_sb_2660785_ sb_2660785_, Pleurobrachia_bachei_sb_2663848_ sb_2663848_, Pleurobrachia_bachei_sb_2658038_ sb_2658038_, Pleurobrachia_bachei_sb_2659183_ sb_2659183_, Pleurobrachia_bachei_sb_2661642_ sb_2661642_, Pleurobrachia_bachei_sb_2656508_ sb_2656508_, Pleurobrachia_bachei_sb_2639676_ sb_2639676_, Pleurobrachia_bachei_sb_2650520_ sb_2650520_, Pleurobrachia_bachei_sb_2643421_ sb_2643421_, Pleurobrachia_bachei_sb_2657717_ sb_2657717_, Pleurobrachia_bachei_sb_2642327_ sb_2642327_
OG0000002	Acropora_digitifera_adi_v1.10669 adi_v1.10669	Pleurobrachia_bachei_sb_2653974_ sb_2653974_
OG0000002	Acropora_digitifera_adi_v1.00160 adi_v1.00160, Acropora_digitifera_adi_v1.00161 adi_v1.00161, Acropora_digitifera_adi_v1.15793 adi_v1.15793, Acropora_digitifera_adi_v1.20102 adi_v1.20102, Acropora_digitifera_adi_v1.13507 adi_v1.13507, Acropora_digitifera_adi_v1.14607 adi_v1.14607, Acropora_digitifera_adi_v1.17842 adi_v1.17842	Pleurobrachia_bachei_sb_2656797_ sb_2656797_, Pleurobrachia_bachei_sb_2657716_ sb_2657716_, Pleurobrachia_bachei_sb_2656175_ sb_2656175_, Pleurobrachia_bachei_sb_2666978_ sb_2666978_, Pleurobrachia_bachei_sb_2657496_ sb_2657496_
OG0000002	Acropora_digitifera_adi_v1.13969 adi_v1.13969	Pleurobrachia_bachei_sb_2659350_ sb_2659350_
OG0000002	Acropora_digitifera_adi_v1.06084 adi_v1.06084, Acropora_digitifera_adi_v1.05235 adi_v1.05235	Pleurobrachia_bachei_sb_2662616_ sb_2662616_
OG0000002	Acropora_digitifera_adi_v1.13790 adi_v1.13790	Pleurobrachia_bachei_sb_2639240_ sb_2639240_
OG0000002	Acropora_digitifera_adi_v1.01409 adi_v1.01409	Pleurobrachia_bachei_sb_2643333_ sb_2643333_, Pleurobrachia_bachei_sb_2655712_ sb_2655712_, Pleurobrachia_bachei_sb_2649228_ sb_2649228_, Pleurobrachia_bachei_sb_2661683_ sb_2661683_, Pleurobrachia_bachei_sb_2659647_ sb_2659647_
OG0000003	Acropora_digitifera_adi_v1.20019 adi_v1.20019, Acropora_digitifera_adi_v1.07652 adi_v1.07652	Pleurobrachia_bachei_sb_2646535_ sb_2646535_, Pleurobrachia_bachei_sb_2657779_ sb_2657779_, Pleurobrachia_bachei_sb_2663028_ sb_2663028_, Pleurobrachia_bachei_sb_2638498_ sb_2638498_, Pleurobrachia_bachei_sb_2657002_ sb_2657002_, Pleurobrachia_bachei_sb_2652298_ sb_2652298_
