Orthogroup	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Anthozoa_Nematostella_vectensis
OG0000000	Xenia_spec_Xe_009126_T1 Xe_009126_T1 Xe_009126	Nematostella_vectensis_NV2t007004001.1 NV2t007004001.1, Nematostella_vectensis_NV2t005873001.1 NV2t005873001.1, Nematostella_vectensis_NV2t011374001.1 NV2t011374001.1
OG0000000	Xenia_spec_Xe_009140_T1 Xe_009140_T1 Xe_009140	Nematostella_vectensis_NV2t003941001.1 NV2t003941001.1, Nematostella_vectensis_NV2t022115001.1 NV2t022115001.1, Nematostella_vectensis_NV2t016067001.1 NV2t016067001.1, Nematostella_vectensis_NV2t025471001.1 NV2t025471001.1, Nematostella_vectensis_NV2t025467001.1 NV2t025467001.1, Nematostella_vectensis_NV2t025470001.1 NV2t025470001.1, Nematostella_vectensis_NV2t025464001.1 NV2t025464001.1, Nematostella_vectensis_NV2t025526001.1 NV2t025526001.1, Nematostella_vectensis_NV2t007038001.1 NV2t007038001.1, Nematostella_vectensis_NV2t019779001.1 NV2t019779001.1, Nematostella_vectensis_NV2t019779002.1 NV2t019779002.1, Nematostella_vectensis_NV2t022610001.1 NV2t022610001.1, Nematostella_vectensis_NV2t022609002.1 NV2t022609002.1, Nematostella_vectensis_NV2t022609001.1 NV2t022609001.1, Nematostella_vectensis_NV2t024484001.1 NV2t024484001.1, Nematostella_vectensis_NV2t017198001.1 NV2t017198001.1, Nematostella_vectensis_NV2t005688002.1 NV2t005688002.1, Nematostella_vectensis_NV2t005688001.1 NV2t005688001.1, Nematostella_vectensis_NV2t005687001.1 NV2t005687001.1, Nematostella_vectensis_NV2t006013001.1 NV2t006013001.1, Nematostella_vectensis_NV2t006016001.1 NV2t006016001.1, Nematostella_vectensis_NV2t006010001.1 NV2t006010001.1, Nematostella_vectensis_NV2t006015001.1 NV2t006015001.1, Nematostella_vectensis_NV2t006014001.1 NV2t006014001.1, Nematostella_vectensis_NV2t006014002.1 NV2t006014002.1, Nematostella_vectensis_NV2t017096001.1 NV2t017096001.1
OG0000001	Xenia_spec_Xe_015497_T1 Xe_015497_T1 Xe_015497, Xenia_spec_Xe_015497_T2 Xe_015497_T2 Xe_015497, Xenia_spec_Xe_004687_T1 Xe_004687_T1 Xe_004687, Xenia_spec_Xe_004686_T1 Xe_004686_T1 Xe_004686	Nematostella_vectensis_NV2t001171001.1 NV2t001171001.1
OG0000001	Xenia_spec_Xe_004325_T1 Xe_004325_T1 Xe_004325, Xenia_spec_Xe_004232_T1 Xe_004232_T1 Xe_004232	Nematostella_vectensis_NV2t000702003.1 NV2t000702003.1, Nematostella_vectensis_NV2t000702002.1 NV2t000702002.1, Nematostella_vectensis_NV2t000702004.1 NV2t000702004.1, Nematostella_vectensis_NV2t000702005.1 NV2t000702005.1, Nematostella_vectensis_NV2t000702006.1 NV2t000702006.1, Nematostella_vectensis_NV2t000702001.1 NV2t000702001.1
OG0000001	Xenia_spec_Xe_020701_T1 Xe_020701_T1 Xe_020701	Nematostella_vectensis_NV2t014222001.1 NV2t014222001.1, Nematostella_vectensis_NV2t014222002.1 NV2t014222002.1
OG0000001	Xenia_spec_Xe_014520_T1 Xe_014520_T1 Xe_014520	Nematostella_vectensis_NV2t012653001.1 NV2t012653001.1, Nematostella_vectensis_NV2t012583001.1 NV2t012583001.1, Nematostella_vectensis_NV2t023796001.1 NV2t023796001.1, Nematostella_vectensis_NV2t017702001.1 NV2t017702001.1, Nematostella_vectensis_NV2t022951001.1 NV2t022951001.1, Nematostella_vectensis_NV2t011373001.1 NV2t011373001.1, Nematostella_vectensis_NV2t011373002.1 NV2t011373002.1, Nematostella_vectensis_NV2t020188002.1 NV2t020188002.1, Nematostella_vectensis_NV2t020188001.1 NV2t020188001.1, Nematostella_vectensis_NV2t020819001.1 NV2t020819001.1, Nematostella_vectensis_NV2t019077001.1 NV2t019077001.1, Nematostella_vectensis_NV2t011946001.1 NV2t011946001.1, Nematostella_vectensis_NV2t011946002.1 NV2t011946002.1, Nematostella_vectensis_NV2t011946003.1 NV2t011946003.1
OG0000001	Xenia_spec_Xe_018235_T1 Xe_018235_T1 Xe_018235	Nematostella_vectensis_NV2t006892003.1 NV2t006892003.1, Nematostella_vectensis_NV2t006892004.1 NV2t006892004.1, Nematostella_vectensis_NV2t006892002.1 NV2t006892002.1, Nematostella_vectensis_NV2t006892001.1 NV2t006892001.1
OG0000001	Xenia_spec_Xe_014011_T1 Xe_014011_T1 Xe_014011	Nematostella_vectensis_NV2t022749001.1 NV2t022749001.1
OG0000001	Xenia_spec_Xe_011751_T1 Xe_011751_T1 Xe_011751	Nematostella_vectensis_NV2t020013001.1 NV2t020013001.1, Nematostella_vectensis_NV2t020013002.1 NV2t020013002.1, Nematostella_vectensis_NV2t020014001.1 NV2t020014001.1
OG0000001	Xenia_spec_Xe_008027_T1 Xe_008027_T1 Xe_008027	Nematostella_vectensis_NV2t025734001.1 NV2t025734001.1, Nematostella_vectensis_NV2t025732001.1 NV2t025732001.1
