Orthogroup	Porifera_Demospongiae_Amphimedon_queenslandica	Cnidaria_Hydrozoa_Hydra_vulgaris
OG0000000	Amphimedon_queenslandica_tr_A0A1X7TP62_A0A1X7TP62_AMPQE tr_A0A1X7TP62_A0A1X7TP62_AMPQE Fibrinogen C-terminal domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Hydra_vulgaris_Sc4wPfr_570.g25944.t1 Sc4wPfr_570.g25944.t1
OG0000001	Amphimedon_queenslandica_tr_A0A1X7VTD0_A0A1X7VTD0_AMPQE tr_A0A1X7VTD0_A0A1X7VTD0_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=105314164 PE=4 SV=1	Hydra_vulgaris_Sc4wPfr_1127.g22555.t1 Sc4wPfr_1127.g22555.t1
OG0000001	Amphimedon_queenslandica_tr_A0A1X7UDK8_A0A1X7UDK8_AMPQE tr_A0A1X7UDK8_A0A1X7UDK8_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VK74_A0A1X7VK74_AMPQE tr_A0A1X7VK74_A0A1X7VK74_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=109580249 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7VIH6_A0A1X7VIH6_AMPQE tr_A0A1X7VIH6_A0A1X7VIH6_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7STV3_A0A1X7STV3_AMPQE tr_A0A1X7STV3_A0A1X7STV3_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7V2V0_A0A1X7V2V0_AMPQE tr_A0A1X7V2V0_A0A1X7V2V0_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UYX0_A0A1X7UYX0_AMPQE tr_A0A1X7UYX0_A0A1X7UYX0_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UIP8_A0A1X7UIP8_AMPQE tr_A0A1X7UIP8_A0A1X7UIP8_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Hydra_vulgaris_Sc4wPfr_2145.g14629.t1 Sc4wPfr_2145.g14629.t1, Hydra_vulgaris_Sc4wPfr_1989.g6892.t1 Sc4wPfr_1989.g6892.t1
OG0000001	Amphimedon_queenslandica_tr_A0A1X7UXM0_A0A1X7UXM0_AMPQE tr_A0A1X7UXM0_A0A1X7UXM0_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=105312708 PE=4 SV=1	Hydra_vulgaris_Sc4wPfr_641.g16805.t1 Sc4wPfr_641.g16805.t1
OG0000001	Amphimedon_queenslandica_tr_A0A1X7V889_A0A1X7V889_AMPQE tr_A0A1X7V889_A0A1X7V889_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Hydra_vulgaris_Sc4wPfr_27.g12214.t1 Sc4wPfr_27.g12214.t1
OG0000001	Amphimedon_queenslandica_tr_A0A1X7TYH1_A0A1X7TYH1_AMPQE tr_A0A1X7TYH1_A0A1X7TYH1_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Hydra_vulgaris_Sc4wPfr_356.g7178.t2 Sc4wPfr_356.g7178.t2, Hydra_vulgaris_Sc4wPfr_356.g7168.t1 Sc4wPfr_356.g7168.t1, Hydra_vulgaris_Sc4wPfr_2424.g10845.t1 Sc4wPfr_2424.g10845.t1
OG0000001	Amphimedon_queenslandica_tr_A0A1X7SK21_A0A1X7SK21_AMPQE tr_A0A1X7SK21_A0A1X7SK21_AMPQE Laminin EGF-like domain-containing protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Hydra_vulgaris_Sc4wPfr_811.1.g17372.t1 Sc4wPfr_811.1.g17372.t1, Hydra_vulgaris_Sc4wPfr_328.2.g12077.t1 Sc4wPfr_328.2.g12077.t1, Hydra_vulgaris_Sc4wPfr_447.g28994.t1 Sc4wPfr_447.g28994.t1, Hydra_vulgaris_Sc4wPfr_1578.g16759.t1 Sc4wPfr_1578.g16759.t1, Hydra_vulgaris_Sc4wPfr_90.g1174.t1 Sc4wPfr_90.g1174.t1
OG0000002	Amphimedon_queenslandica_tr_A0A1X7T8F3_A0A1X7T8F3_AMPQE tr_A0A1X7T8F3_A0A1X7T8F3_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7SPA1_A0A1X7SPA1_AMPQE tr_A0A1X7SPA1_A0A1X7SPA1_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1	Hydra_vulgaris_Sc4wPfr_175.1.g31519.t1 Sc4wPfr_175.1.g31519.t1, Hydra_vulgaris_Sc4wPfr_175.1.g31521.t1 Sc4wPfr_175.1.g31521.t1, Hydra_vulgaris_Sc4wPfr_48.g30233.t1 Sc4wPfr_48.g30233.t1, Hydra_vulgaris_Sc4wPfr_175.1.g31517.t1 Sc4wPfr_175.1.g31517.t1, Hydra_vulgaris_Sc4wPfr_1747.g1269.t1 Sc4wPfr_1747.g1269.t1, Hydra_vulgaris_Sc4wPfr_846.1.g25657.t1 Sc4wPfr_846.1.g25657.t1, Hydra_vulgaris_Sc4wPfr_27.g12213.t1 Sc4wPfr_27.g12213.t1, Hydra_vulgaris_Sc4wPfr_27.g12254.t1 Sc4wPfr_27.g12254.t1, Hydra_vulgaris_Sc4wPfr_62.g4402.t1 Sc4wPfr_62.g4402.t1, Hydra_vulgaris_Sc4wPfr_62.g4402.t2 Sc4wPfr_62.g4402.t2, Hydra_vulgaris_Sc4wPfr_62.g4389.t1 Sc4wPfr_62.g4389.t1, Hydra_vulgaris_Sc4wPfr_62.g4403.t1 Sc4wPfr_62.g4403.t1
OG0000002	Amphimedon_queenslandica_tr_A0A1X7U240_A0A1X7U240_AMPQE tr_A0A1X7U240_A0A1X7U240_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=100632678 PE=3 SV=1	Hydra_vulgaris_Sc4wPfr_467.g16204.t1 Sc4wPfr_467.g16204.t1, Hydra_vulgaris_Sc4wPfr_5.2.g10955.t1 Sc4wPfr_5.2.g10955.t1, Hydra_vulgaris_Sc4wPfr_5.2.g10955.t2 Sc4wPfr_5.2.g10955.t2, Hydra_vulgaris_Sc4wPfr_906.1.g2398.t1 Sc4wPfr_906.1.g2398.t1, Hydra_vulgaris_Sc4wPfr_906.1.g2403.t1 Sc4wPfr_906.1.g2403.t1, Hydra_vulgaris_Sc4wPfr_952.g24540.t1 Sc4wPfr_952.g24540.t1, Hydra_vulgaris_Sc4wPfr_952.g24537.t1 Sc4wPfr_952.g24537.t1
