Orthogroup	Ctenophora_Nuda_Beroe_ovata	Cnidaria_Anthozoa_Acropora_digitifera
OG0000001	Beroe_ovata_Bova1_4.0354.g11.t1 Bova1_4.0354.g11.t1, Beroe_ovata_Bova1_4.0491.g2.t1 Bova1_4.0491.g2.t1	Acropora_digitifera_adi_v1.06433 adi_v1.06433, Acropora_digitifera_adi_v1.03761 adi_v1.03761
OG0000001	Beroe_ovata_Bova1_4.0204.g2.t1 Bova1_4.0204.g2.t1	Acropora_digitifera_adi_v1.19636 adi_v1.19636
OG0000001	Beroe_ovata_Bova1_4.0005.g58.t1 Bova1_4.0005.g58.t1	Acropora_digitifera_adi_v1.01960 adi_v1.01960, Acropora_digitifera_adi_v1.06175 adi_v1.06175
OG0000001	Beroe_ovata_Bova1_4.0158.g1.t2 Bova1_4.0158.g1.t2, Beroe_ovata_Bova1_4.0158.g1.t1 Bova1_4.0158.g1.t1, Beroe_ovata_Bova1_4.0469.g2.t2 Bova1_4.0469.g2.t2, Beroe_ovata_Bova1_4.0469.g2.t1 Bova1_4.0469.g2.t1	Acropora_digitifera_adi_v1.11383 adi_v1.11383
OG0000001	Beroe_ovata_Bova1_4.0013.g38.t1 Bova1_4.0013.g38.t1	Acropora_digitifera_adi_v1.19391 adi_v1.19391, Acropora_digitifera_adi_v1.06434 adi_v1.06434
OG0000002	Beroe_ovata_Bova1_4.0122.g2.t1 Bova1_4.0122.g2.t1, Beroe_ovata_Bova1_4.0167.g18.t1 Bova1_4.0167.g18.t1, Beroe_ovata_Bova1_4.0036.g56.t1 Bova1_4.0036.g56.t1, Beroe_ovata_Bova1_4.0113.g13.t1 Bova1_4.0113.g13.t1, Beroe_ovata_Bova1_4.0287.g9.t1 Bova1_4.0287.g9.t1, Beroe_ovata_Bova1_4.0287.g10.t1 Bova1_4.0287.g10.t1, Beroe_ovata_Bova1_4.0006.g158.t1 Bova1_4.0006.g158.t1, Beroe_ovata_Bova1_4.0022.g96.t1 Bova1_4.0022.g96.t1, Beroe_ovata_Bova1_4.0017.g28.t1 Bova1_4.0017.g28.t1, Beroe_ovata_Bova1_4.0017.g27.t1 Bova1_4.0017.g27.t1	Acropora_digitifera_adi_v1.12948 adi_v1.12948
OG0000002	Beroe_ovata_Bova1_4.0019.g34.t1 Bova1_4.0019.g34.t1, Beroe_ovata_Bova1_4.0105.g2.t1 Bova1_4.0105.g2.t1, Beroe_ovata_Bova1_4.0092.g42.t1 Bova1_4.0092.g42.t1	Acropora_digitifera_adi_v1.00160 adi_v1.00160, Acropora_digitifera_adi_v1.00161 adi_v1.00161, Acropora_digitifera_adi_v1.15793 adi_v1.15793, Acropora_digitifera_adi_v1.20102 adi_v1.20102, Acropora_digitifera_adi_v1.13507 adi_v1.13507, Acropora_digitifera_adi_v1.14607 adi_v1.14607, Acropora_digitifera_adi_v1.17842 adi_v1.17842
OG0000002	Beroe_ovata_Bova1_4.0019.g35.t1 Bova1_4.0019.g35.t1	Acropora_digitifera_adi_v1.13969 adi_v1.13969
OG0000002	Beroe_ovata_Bova1_4.0022.g39.t1 Bova1_4.0022.g39.t1, Beroe_ovata_Bova1_4.0143.g14.t1 Bova1_4.0143.g14.t1	Acropora_digitifera_adi_v1.06084 adi_v1.06084, Acropora_digitifera_adi_v1.05235 adi_v1.05235
OG0000002	Beroe_ovata_Bova1_4.0176.g1.t1 Bova1_4.0176.g1.t1, Beroe_ovata_Bova1_4.2215.g1.t1 Bova1_4.2215.g1.t1	Acropora_digitifera_adi_v1.01409 adi_v1.01409
OG0000003	Beroe_ovata_Bova1_4.0033.g69.t1 Bova1_4.0033.g69.t1	Acropora_digitifera_adi_v1.20004 adi_v1.20004
OG0000003	Beroe_ovata_Bova1_4.0075.g12.t1 Bova1_4.0075.g12.t1	Acropora_digitifera_adi_v1.14876 adi_v1.14876, Acropora_digitifera_adi_v1.14877 adi_v1.14877, Acropora_digitifera_adi_v1.20752 adi_v1.20752, Acropora_digitifera_adi_v1.21376 adi_v1.21376, Acropora_digitifera_adi_v1.21106 adi_v1.21106, Acropora_digitifera_adi_v1.02803 adi_v1.02803, Acropora_digitifera_adi_v1.15897 adi_v1.15897, Acropora_digitifera_adi_v1.23691 adi_v1.23691, Acropora_digitifera_adi_v1.04076 adi_v1.04076, Acropora_digitifera_adi_v1.02396 adi_v1.02396, Acropora_digitifera_adi_v1.16248 adi_v1.16248, Acropora_digitifera_adi_v1.02561 adi_v1.02561, Acropora_digitifera_adi_v1.23712 adi_v1.23712, Acropora_digitifera_adi_v1.00078 adi_v1.00078, Acropora_digitifera_adi_v1.20654 adi_v1.20654, Acropora_digitifera_adi_v1.00077 adi_v1.00077, Acropora_digitifera_adi_v1.20655 adi_v1.20655, Acropora_digitifera_adi_v1.20653 adi_v1.20653, Acropora_digitifera_adi_v1.00076 adi_v1.00076, Acropora_digitifera_adi_v1.00080 adi_v1.00080, Acropora_digitifera_adi_v1.13597 adi_v1.13597, Acropora_digitifera_adi_v1.06330 adi_v1.06330, Acropora_digitifera_adi_v1.04891 adi_v1.04891, Acropora_digitifera_adi_v1.12241 adi_v1.12241, Acropora_digitifera_adi_v1.24683 adi_v1.24683, Acropora_digitifera_adi_v1.16447 adi_v1.16447, Acropora_digitifera_adi_v1.04187 adi_v1.04187, Acropora_digitifera_adi_v1.11493 adi_v1.11493, Acropora_digitifera_adi_v1.13471 adi_v1.13471
OG0000004	Beroe_ovata_Bova1_4.0262.g2.t1 Bova1_4.0262.g2.t1	Acropora_digitifera_adi_v1.15976 adi_v1.15976
OG0000004	Beroe_ovata_Bova1_4.0009.g97.t1 Bova1_4.0009.g97.t1	Acropora_digitifera_adi_v1.13754 adi_v1.13754, Acropora_digitifera_adi_v1.19811 adi_v1.19811
OG0000005	Beroe_ovata_Bova1_4.0134.g16.t1 Bova1_4.0134.g16.t1	Acropora_digitifera_adi_v1.20368 adi_v1.20368
OG0000005	Beroe_ovata_Bova1_4.0259.g12.t1 Bova1_4.0259.g12.t1	Acropora_digitifera_adi_v1.18953 adi_v1.18953, Acropora_digitifera_adi_v1.15782 adi_v1.15782
OG0000005	Beroe_ovata_Bova1_4.0040.g7.t1 Bova1_4.0040.g7.t1, Beroe_ovata_Bova1_4.0040.g7.t2 Bova1_4.0040.g7.t2	Acropora_digitifera_adi_v1.06941 adi_v1.06941
OG0000006	Beroe_ovata_Bova1_4.0105.g13.t2 Bova1_4.0105.g13.t2, Beroe_ovata_Bova1_4.0105.g13.t1 Bova1_4.0105.g13.t1	Acropora_digitifera_adi_v1.15218 adi_v1.15218
OG0000007	Beroe_ovata_Bova1_4.0286.g1.t1 Bova1_4.0286.g1.t1	Acropora_digitifera_adi_v1.08028 adi_v1.08028
OG0000007	Beroe_ovata_Bova1_4.0012.g66.t1 Bova1_4.0012.g66.t1, Beroe_ovata_Bova1_4.0012.g65.t1 Bova1_4.0012.g65.t1	Acropora_digitifera_adi_v1.21164 adi_v1.21164
OG0000007	Beroe_ovata_Bova1_4.0279.g17.t1 Bova1_4.0279.g17.t1	Acropora_digitifera_adi_v1.11554 adi_v1.11554
OG0000009	Beroe_ovata_Bova1_4.0295.g20.t1 Bova1_4.0295.g20.t1, Beroe_ovata_Bova1_4.0295.g17.t1 Bova1_4.0295.g17.t1, Beroe_ovata_Bova1_4.0063.g33.t1 Bova1_4.0063.g33.t1	Acropora_digitifera_adi_v1.00989 adi_v1.00989
OG0000010	Beroe_ovata_Bova1_4.0400.g1.t1 Bova1_4.0400.g1.t1	Acropora_digitifera_adi_v1.21127 adi_v1.21127
