Orthogroup	Cnidaria_Hydrozoa_Hydra_vulgaris	Porifera_Demospongiae_Ephydatia_muelleri
OG0000001	Hydra_vulgaris_Sc4wPfr_307.g9631.t1 Sc4wPfr_307.g9631.t1, Hydra_vulgaris_Sc4wPfr_1301.g29099.t1 Sc4wPfr_1301.g29099.t1	Ephydatia_muelleri_Em0009g1115a Em0009g1115a
OG0000001	Hydra_vulgaris_Sc4wPfr_641.g16805.t1 Sc4wPfr_641.g16805.t1	Ephydatia_muelleri_Em0019g102a Em0019g102a
OG0000001	Hydra_vulgaris_Sc4wPfr_172.1.g1573.t1 Sc4wPfr_172.1.g1573.t1, Hydra_vulgaris_Sc4wPfr_172.2.g23178.t1 Sc4wPfr_172.2.g23178.t1	Ephydatia_muelleri_Em0005g585a Em0005g585a, Ephydatia_muelleri_Em0005g584a Em0005g584a
OG0000001	Hydra_vulgaris_Sc4wPfr_27.g12214.t1 Sc4wPfr_27.g12214.t1	Ephydatia_muelleri_Em0023g805a Em0023g805a
OG0000001	Hydra_vulgaris_Sc4wPfr_447.g28994.t1 Sc4wPfr_447.g28994.t1	Ephydatia_muelleri_Em0016g530a Em0016g530a
OG0000002	Hydra_vulgaris_Sc4wPfr_48.g30233.t1 Sc4wPfr_48.g30233.t1, Hydra_vulgaris_Sc4wPfr_175.1.g31517.t1 Sc4wPfr_175.1.g31517.t1, Hydra_vulgaris_Sc4wPfr_1747.g1269.t1 Sc4wPfr_1747.g1269.t1	Ephydatia_muelleri_Em0012g778a Em0012g778a, Ephydatia_muelleri_Em0012g771a Em0012g771a
OG0000002	Hydra_vulgaris_Sc4wPfr_467.g16204.t1 Sc4wPfr_467.g16204.t1, Hydra_vulgaris_Sc4wPfr_5.2.g10955.t1 Sc4wPfr_5.2.g10955.t1, Hydra_vulgaris_Sc4wPfr_5.2.g10955.t2 Sc4wPfr_5.2.g10955.t2, Hydra_vulgaris_Sc4wPfr_906.1.g2398.t1 Sc4wPfr_906.1.g2398.t1, Hydra_vulgaris_Sc4wPfr_906.1.g2403.t1 Sc4wPfr_906.1.g2403.t1, Hydra_vulgaris_Sc4wPfr_952.g24540.t1 Sc4wPfr_952.g24540.t1, Hydra_vulgaris_Sc4wPfr_952.g24537.t1 Sc4wPfr_952.g24537.t1	Ephydatia_muelleri_Em0018g930a Em0018g930a, Ephydatia_muelleri_Em0011g758a Em0011g758a, Ephydatia_muelleri_Em0018g931a Em0018g931a
OG0000004	Hydra_vulgaris_Sc4wPfr_705.g26924.t1 Sc4wPfr_705.g26924.t1, Hydra_vulgaris_Sc4wPfr_200.g3564.t1 Sc4wPfr_200.g3564.t1	Ephydatia_muelleri_Em0007g757a Em0007g757a, Ephydatia_muelleri_Em0007g755a Em0007g755a
OG0000004	Hydra_vulgaris_Sc4wPfr_483.g14184.t1 Sc4wPfr_483.g14184.t1, Hydra_vulgaris_Sc4wPfr_483.g14182.t1 Sc4wPfr_483.g14182.t1, Hydra_vulgaris_Sc4wPfr_1449.g14260.t1 Sc4wPfr_1449.g14260.t1, Hydra_vulgaris_Sc4wPfr_1449.g14260.t2 Sc4wPfr_1449.g14260.t2	Ephydatia_muelleri_Em0022g301a Em0022g301a
OG0000007	Hydra_vulgaris_Sc4wPfr_1107.1.g29893.t1 Sc4wPfr_1107.1.g29893.t1, Hydra_vulgaris_Sc4wPfr_975.g7252.t1 Sc4wPfr_975.g7252.t1, Hydra_vulgaris_Sc4wPfr_400.g17905.t1 Sc4wPfr_400.g17905.t1, Hydra_vulgaris_Sc4wPfr_400.g17908.t1 Sc4wPfr_400.g17908.t1	Ephydatia_muelleri_Em0019g1079a Em0019g1079a, Ephydatia_muelleri_Em0019g1074a Em0019g1074a, Ephydatia_muelleri_Em0019g1070a Em0019g1070a, Ephydatia_muelleri_Em0019g1075a Em0019g1075a
OG0000009	Hydra_vulgaris_Sc4wPfr_796.g23304.t1 Sc4wPfr_796.g23304.t1, Hydra_vulgaris_Sc4wPfr_796.g23304.t2 Sc4wPfr_796.g23304.t2	Ephydatia_muelleri_Em0008g943a Em0008g943a
OG0000009	Hydra_vulgaris_Sc4wPfr_147.g8601.t1 Sc4wPfr_147.g8601.t1	Ephydatia_muelleri_Em0081g2a Em0081g2a, Ephydatia_muelleri_Em0081g7a Em0081g7a, Ephydatia_muelleri_Em0021g426a Em0021g426a, Ephydatia_muelleri_Em0019g554a Em0019g554a, Ephydatia_muelleri_Em0006g967a Em0006g967a
OG0000010	Hydra_vulgaris_Sc4wPfr_378.g22722.t1 Sc4wPfr_378.g22722.t1	Ephydatia_muelleri_Em0001g434a Em0001g434a
OG0000010	Hydra_vulgaris_Sc4wPfr_124.g12319.t1 Sc4wPfr_124.g12319.t1	Ephydatia_muelleri_Em0006g1150a Em0006g1150a
OG0000010	Hydra_vulgaris_Sc4wPfr_1259.g23030.t1 Sc4wPfr_1259.g23030.t1, Hydra_vulgaris_Sc4wPfr_378.g22717.t1 Sc4wPfr_378.g22717.t1, Hydra_vulgaris_Sc4wPfr_378.g22717.t2 Sc4wPfr_378.g22717.t2	Ephydatia_muelleri_Em0011g1192a Em0011g1192a
OG0000011	Hydra_vulgaris_Sc4wPfr_353.g28153.t1 Sc4wPfr_353.g28153.t1, Hydra_vulgaris_Sc4wPfr_439.g20742.t1 Sc4wPfr_439.g20742.t1	Ephydatia_muelleri_Em0005g71a Em0005g71a
