Orthogroup	Chordata_Vertebrata_Bos_taurus	Porifera_Demospongiae_Ephydatia_muelleri
OG0000000	XP_005210603.1 tenascin isoform X1 [Bos taurus], XP_010811641.2 tenascin-N isoform X1 [Bos taurus]	Ephydatia_muelleri_Em0018g768a Em0018g768a, Ephydatia_muelleri_Em0018g771a Em0018g771a, Ephydatia_muelleri_Em0018g769a Em0018g769a
OG0000000	XP_005213566.1 ficolin-2 isoform X2 [Bos taurus], XP_024834735.2 LOW QUALITY PROTEIN_ ficolin-3 [Bos taurus]	Ephydatia_muelleri_Em0001g3419a Em0001g3419a, Ephydatia_muelleri_Em0001g3405a Em0001g3405a, Ephydatia_muelleri_Em0001g3413a Em0001g3413a, Ephydatia_muelleri_Em0001g3310a Em0001g3310a, Ephydatia_muelleri_Em0001g3415a Em0001g3415a, Ephydatia_muelleri_Em0001g3392a Em0001g3392a, Ephydatia_muelleri_Em0001g3535a Em0001g3535a, Ephydatia_muelleri_Em0001g3515a Em0001g3515a
OG0000000	NP_001073814.1 angiopoietin-related protein 3 precursor [Bos taurus]	Ephydatia_muelleri_Em0021g146a Em0021g146a, Ephydatia_muelleri_Em0021g130a Em0021g130a, Ephydatia_muelleri_Em0867g1a Em0867g1a, Ephydatia_muelleri_Em0021g124a Em0021g124a, Ephydatia_muelleri_Em0021g132a Em0021g132a, Ephydatia_muelleri_Em0021g144a Em0021g144a, Ephydatia_muelleri_Em0021g145a Em0021g145a, Ephydatia_muelleri_Em0021g131a Em0021g131a
OG0000000	sp|Q29RY7.1|FGL2_BOVIN RecName_ Full=Fibroleukin; AltName_ Full=Fibrinogen-like protein 2; Flags_ Precursor	Ephydatia_muelleri_Em0018g742a Em0018g742a, Ephydatia_muelleri_Em0142g7a Em0142g7a, Ephydatia_muelleri_Em0018g746a Em0018g746a, Ephydatia_muelleri_Em0142g1a Em0142g1a, Ephydatia_muelleri_Em0003g608a Em0003g608a, Ephydatia_muelleri_Em0142g5a Em0142g5a, Ephydatia_muelleri_Em0018g738a Em0018g738a, Ephydatia_muelleri_Em0018g755a Em0018g755a, Ephydatia_muelleri_Em0142g6a Em0142g6a, Ephydatia_muelleri_Em0018g737a Em0018g737a, Ephydatia_muelleri_Em0003g603a Em0003g603a, Ephydatia_muelleri_Em0011g289a Em0011g289a, Ephydatia_muelleri_Em0017g354a Em0017g354a, Ephydatia_muelleri_Em0018g765a Em0018g765a, Ephydatia_muelleri_Em0018g745a Em0018g745a, Ephydatia_muelleri_Em0018g749a Em0018g749a, Ephydatia_muelleri_Em0018g729a Em0018g729a, Ephydatia_muelleri_Em0142g4a Em0142g4a, Ephydatia_muelleri_Em0018g722a Em0018g722a, Ephydatia_muelleri_Em0018g751a Em0018g751a, Ephydatia_muelleri_Em0018g766a Em0018g766a, Ephydatia_muelleri_Em0018g741a Em0018g741a, Ephydatia_muelleri_Em0018g747a Em0018g747a, Ephydatia_muelleri_Em0018g739a Em0018g739a, Ephydatia_muelleri_Em0018g756a Em0018g756a, Ephydatia_muelleri_Em0018g728a Em0018g728a
OG0000001	NP_001159991.1 microfibril-associated glycoprotein 3 precursor [Bos taurus]	Ephydatia_muelleri_Em0011g127a Em0011g127a
OG0000001	XP_059734749.1 leukemia inhibitory factor receptor isoform X1 [Bos taurus]	Ephydatia_muelleri_Em0023g805a Em0023g805a
OG0000002	XP_059736229.1 von Willebrand factor A domain-containing protein 7 isoform X1 [Bos taurus]	Ephydatia_muelleri_Em0019g573a Em0019g573a, Ephydatia_muelleri_Em0019g563a Em0019g563a, Ephydatia_muelleri_Em0019g588a Em0019g588a, Ephydatia_muelleri_Em0007g817a Em0007g817a
OG0000003	XP_002698060.3 C-type lectin domain family 19 member A [Bos taurus]	Ephydatia_muelleri_Em0004g1368a Em0004g1368a
OG0000004	XP_024846755.1 collagen alpha-1_XXVIII_ chain isoform X1 [Bos taurus]	Ephydatia_muelleri_Em0011g654a Em0011g654a
OG0000004	XP_024848690.2 cadherin EGF LAG seven-pass G-type receptor 1 isoform X1 [Bos taurus]	Ephydatia_muelleri_Em0022g301a Em0022g301a
OG0000006	NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus], NP_001411858.1 CUB and sushi domain-containing protein 3 [Bos taurus]	Ephydatia_muelleri_Em0254g4a Em0254g4a, Ephydatia_muelleri_Em0021g751a Em0021g751a, Ephydatia_muelleri_Em0651g1a Em0651g1a, Ephydatia_muelleri_Em0013g1055a Em0013g1055a, Ephydatia_muelleri_Em0013g1070a Em0013g1070a, Ephydatia_muelleri_Em0021g746a Em0021g746a, Ephydatia_muelleri_Em0853g1a Em0853g1a, Ephydatia_muelleri_Em0021g737a Em0021g737a, Ephydatia_muelleri_Em0021g752a Em0021g752a, Ephydatia_muelleri_Em0021g748a Em0021g748a, Ephydatia_muelleri_Em0008g891a Em0008g891a, Ephydatia_muelleri_Em0008g882a Em0008g882a, Ephydatia_muelleri_Em0015g1280a Em0015g1280a, Ephydatia_muelleri_Em0015g1275a Em0015g1275a, Ephydatia_muelleri_Em0008g887a Em0008g887a
OG0000007	DAA30889.1 TPA_ 6720455I24Rik homolog [Bos taurus]	Ephydatia_muelleri_Em0019g209a Em0019g209a, Ephydatia_muelleri_Em0007g174a Em0007g174a, Ephydatia_muelleri_Em0009g900a Em0009g900a, Ephydatia_muelleri_Em0009g956a Em0009g956a, Ephydatia_muelleri_Em0009g906a Em0009g906a, Ephydatia_muelleri_Em0009g884a Em0009g884a, Ephydatia_muelleri_Em0009g827a Em0009g827a, Ephydatia_muelleri_Em0051g23a Em0051g23a, Ephydatia_muelleri_Em0051g11a Em0051g11a, Ephydatia_muelleri_Em0009g853a Em0009g853a, Ephydatia_muelleri_Em0009g926a Em0009g926a, Ephydatia_muelleri_Em0009g957a Em0009g957a, Ephydatia_muelleri_Em0020g19a Em0020g19a, Ephydatia_muelleri_Em0001g1320a Em0001g1320a, Ephydatia_muelleri_Em0557g1a Em0557g1a, Ephydatia_muelleri_Em0003g1678a Em0003g1678a, Ephydatia_muelleri_Em0014g245a Em0014g245a
OG0000007	XP_024850630.1 mucin-4 isoform X1 [Bos taurus]	Ephydatia_muelleri_Em0010g757a Em0010g757a, Ephydatia_muelleri_Em0010g762a Em0010g762a, Ephydatia_muelleri_Em0382g2a Em0382g2a, Ephydatia_muelleri_Em0462g1a Em0462g1a, Ephydatia_muelleri_Em0010g756a Em0010g756a, Ephydatia_muelleri_Em0418g1a Em0418g1a, Ephydatia_muelleri_Em0002g1565a Em0002g1565a, Ephydatia_muelleri_Em0002g1561a Em0002g1561a, Ephydatia_muelleri_Em0005g97a Em0005g97a, Ephydatia_muelleri_Em0010g209a Em0010g209a, Ephydatia_muelleri_Em0010g239a Em0010g239a, Ephydatia_muelleri_Em0001g3643a Em0001g3643a
OG0000009	NP_001070436.1 mannan-binding lectin serine protease 1 precursor [Bos taurus], NP_001179001.1 mannan-binding lectin serine protease 2 precursor [Bos taurus]	Ephydatia_muelleri_Em0008g943a Em0008g943a
OG0000010	XP_015316344.2 basement membrane-specific heparan sulfate proteoglycan core protein isoform X1 [Bos taurus]	Ephydatia_muelleri_Em0011g1192a Em0011g1192a
OG0000011	XP_024843118.2 suppressor of tumorigenicity 14 protein homolog isoform X1 [Bos taurus], sp|P98072.1|ENTK_BOVIN RecName_ Full=Enteropeptidase; AltName_ Full=Enterokinase; AltName_ Full=Serine protease 7; AltName_ Full=Transmembrane protease serine 15; Contains_ RecName_ Full=Enteropeptidase non-catalytic heavy chain; Contains_ RecName_ Full=Enteropeptidase catalytic light chain; Flags_ Precursor, sp|P00743.1|FA10_BOVIN RecName_ Full=Coagulation factor X; AltName_ Full=Stuart factor; Contains_ RecName_ Full=Factor X light chain; Contains_ RecName_ Full=Factor X heavy chain; Contains_ RecName_ Full=Activated factor Xa heavy chain; Flags_ Precursor, sp|P00743.1|FA10_BOVIN RecName_ Full=Coagulation factor X; AltName_ Full=Stuart factor; Contains_ RecName_ Full=Factor X light chain; Contains_ RecName_ Full=Factor X heavy chain; Contains_ RecName_ Full=Activated factor Xa heavy chain; Flags_ Precursor, NP_776302.1 prothrombin precursor [Bos taurus], sp|Q5E9Z2.1|HABP2_BOVIN RecName_ Full=Hyaluronan-binding protein 2; Contains_ RecName_ Full=Hyaluronan-binding protein 2 50 kDa heavy chain; Contains_ RecName_ Full=Hyaluronan-binding protein 2 50 kDa heavy chain alternate form; Contains_ RecName_ Full=Hyaluronan-binding protein 2 27 kDa light chain; Contains_ RecName_ Full=Hyaluronan-binding protein 2 27 kDa light chain alternate form; Flags_ Precursor, sp|Q05589.1|UROK_BOVIN RecName_ Full=Urokinase-type plasminogen activator; Short=U-plasminogen activator; Short=uPA; Contains_ RecName_ Full=Urokinase-type plasminogen activator long chain A; Contains_ RecName_ Full=Urokinase-type plasminogen activator short chain A; Contains_ RecName_ Full=Urokinase-type plasminogen activator chain B; Flags_ Precursor, NP_776571.2 tissue-type plasminogen activator precursor [Bos taurus], sp|P98140.2|FA12_BOVIN RecName_ Full=Coagulation factor XII; AltName_ Full=Hageman factor; Short=HAF; Contains_ RecName_ Full=Coagulation factor XIIa heavy chain; Contains_ RecName_ Full=Coagulation factor XIIa light chain; Flags_ Precursor, XP_024848718.2 hepatocyte growth factor activator isoform X1 [Bos taurus], sp|P06868.2|PLMN_BOVIN RecName_ Full=Plasminogen; Contains_ RecName_ Full=Plasmin heavy chain A; Contains_ RecName_ Full=Activation peptide; Contains_ RecName_ Full=Plasmin heavy chain A_ short form; Contains_ RecName_ Full=Plasmin light chain B; Flags_ Precursor, sp|Q29461.1|CEL2A_BOVIN RecName_ Full=Chymotrypsin-like elastase family member 2A; AltName_ Full=Elastase II; AltName_ Full=Elastase-2; AltName_ Full=Elastase-2A; Flags_ Precursor, sp|Q28153.1|CELA1_BOVIN RecName_ Full=Chymotrypsin-like elastase family member 1; AltName_ Full=Elastase I; AltName_ Full=Elastase-1; Flags_ Precursor, NP_001159990.3 proproteinase E precursor [Bos taurus]	Ephydatia_muelleri_Em0005g71a Em0005g71a
OG0000013	NP_001179717.1 protein Wnt-7a [Bos taurus], XP_024848596.2 protein Wnt-7b isoform X1 [Bos taurus], NP_001092833.1 protein Wnt-2b [Bos taurus]	Ephydatia_muelleri_Em0012g1035a Em0012g1035a, Ephydatia_muelleri_Em0008g1080a Em0008g1080a
OG0000014	NP_001192863.3 ADAMTS-like protein 2 precursor [Bos taurus], XP_059746586.1 thrombospondin type-1 domain-containing protein 4 isoform X1 [Bos taurus]	Ephydatia_muelleri_Em0016g1107a Em0016g1107a
OG0000018	sp|Q8MJ24.1|LOXL4_BOVIN RecName_ Full=Lysyl oxidase homolog 4; AltName_ Full=Lysyl oxidase-like protein 4; Flags_ Precursor, XP_059747438.1 lysyl oxidase homolog 3 isoform X1 [Bos taurus], sp|A6H737.1|LOXL2_BOVIN RecName_ Full=Lysyl oxidase homolog 2; AltName_ Full=Lysyl oxidase-like protein 2; Flags_ Precursor	Ephydatia_muelleri_Em0011g282a Em0011g282a, Ephydatia_muelleri_Em0011g292a Em0011g292a, Ephydatia_muelleri_Em0011g291a Em0011g291a, Ephydatia_muelleri_Em0011g283a Em0011g283a
OG0000018	XP_059738076.1 deleted in malignant brain tumors 1 protein [Bos taurus], NP_001180151.2 neurotrypsin precursor [Bos taurus]	Ephydatia_muelleri_Em0380g6a Em0380g6a, Ephydatia_muelleri_Em0023g304a Em0023g304a, Ephydatia_muelleri_Em0023g214a Em0023g214a, Ephydatia_muelleri_Em0001g321a Em0001g321a, Ephydatia_muelleri_Em0023g220a Em0023g220a, Ephydatia_muelleri_Em0023g224a Em0023g224a, Ephydatia_muelleri_Em0380g1a Em0380g1a, Ephydatia_muelleri_Em0023g300a Em0023g300a, Ephydatia_muelleri_Em0023g230a Em0023g230a, Ephydatia_muelleri_Em0023g303a Em0023g303a, Ephydatia_muelleri_Em0019g1086a Em0019g1086a, Ephydatia_muelleri_Em0019g1066a Em0019g1066a, Ephydatia_muelleri_Em0008g906a Em0008g906a, Ephydatia_muelleri_Em0008g1100a Em0008g1100a, Ephydatia_muelleri_Em0007g863a Em0007g863a, Ephydatia_muelleri_Em0007g864a Em0007g864a
OG0000018	NP_001039781.1 galectin-3-binding protein precursor [Bos taurus], NP_001039781.1 galectin-3-binding protein precursor [Bos taurus]	Ephydatia_muelleri_Em0017g348a Em0017g348a, Ephydatia_muelleri_Em0010g820a Em0010g820a, Ephydatia_muelleri_Em0010g816a Em0010g816a
OG0000020	XP_024845867.1 collagen alpha-1_XXIV_ chain [Bos taurus], NP_001193609.1 collagen alpha-1_XXVII_ chain [Bos taurus]	Ephydatia_muelleri_Em0016g1041a Em0016g1041a, Ephydatia_muelleri_Em0007g845a Em0007g845a
OG0000022	NP_001178987.1 annexin A10 [Bos taurus]	Ephydatia_muelleri_Em0011g323a Em0011g323a
OG0000022	XP_005226473.2 annexin A7 isoform X1 [Bos taurus]	Ephydatia_muelleri_Em0016g564a Em0016g564a, Ephydatia_muelleri_Em0016g563a Em0016g563a, Ephydatia_muelleri_Em0016g565a Em0016g565a, Ephydatia_muelleri_Em0013g1131a Em0013g1131a, Ephydatia_muelleri_Em0012g47a Em0012g47a, Ephydatia_muelleri_Em0012g49a Em0012g49a, Ephydatia_muelleri_Em0012g48a Em0012g48a, Ephydatia_muelleri_Em0012g46a Em0012g46a
OG0000024	sp|P01267.1|THYG_BOVIN RecName_ Full=Thyroglobulin; Short=Tg; Flags_ Precursor, sp|P01267.1|THYG_BOVIN RecName_ Full=Thyroglobulin; Short=Tg; Flags_ Precursor, sp|Q08E66.1|WFKN2_BOVIN RecName_ Full=WAP_ Kazal_ immunoglobulin_ Kunitz and NTR domain-containing protein 2; Flags_ Precursor, NP_001192725.1 WAP_ Kazal_ immunoglobulin_ Kunitz and NTR domain-containing protein 1 precursor [Bos taurus], XP_024849863.1 testican-1 isoform X1 [Bos taurus], NP_001094585.1 testican-2 precursor [Bos taurus]	Ephydatia_muelleri_Em0733g1a Em0733g1a, Ephydatia_muelleri_Em0018g330a Em0018g330a, Ephydatia_muelleri_Em0018g319a Em0018g319a, Ephydatia_muelleri_Em0424g1a Em0424g1a, Ephydatia_muelleri_Em0018g329a Em0018g329a, Ephydatia_muelleri_Em0018g318a Em0018g318a, Ephydatia_muelleri_Em0733g2a Em0733g2a, Ephydatia_muelleri_Em0019g192a Em0019g192a, Ephydatia_muelleri_Em0019g191a Em0019g191a
OG0000030	XP_002691532.1 disintegrin and metalloproteinase domain-containing protein 17 isoform X1 [Bos taurus]	Ephydatia_muelleri_Em0005g1474a Em0005g1474a
OG0000040	NP_001091570.1 endothelial cell-specific molecule 1 precursor [Bos taurus], XP_059738009.1 kazal-type serine protease inhibitor domain-containing protein 1 [Bos taurus], XP_024851719.2 insulin-like growth factor-binding protein-like 1 isoform X1 [Bos taurus], NP_001095770.1 insulin-like growth factor-binding protein 7 precursor [Bos taurus]	Ephydatia_muelleri_Em1222g1a Em1222g1a
OG0000041	XP_002699146.2 von Willebrand factor A domain-containing protein 5A [Bos taurus]	Ephydatia_muelleri_Em0022g42a Em0022g42a, Ephydatia_muelleri_Em0022g38a Em0022g38a, Ephydatia_muelleri_Em0001g2773a Em0001g2773a, Ephydatia_muelleri_Em0001g2780a Em0001g2780a, Ephydatia_muelleri_Em0001g2788a Em0001g2788a, Ephydatia_muelleri_Em0001g2777a Em0001g2777a, Ephydatia_muelleri_Em0020g881a Em0020g881a, Ephydatia_muelleri_Em0020g874a Em0020g874a, Ephydatia_muelleri_Em0020g879a Em0020g879a, Ephydatia_muelleri_Em0020g880a Em0020g880a, Ephydatia_muelleri_Em0020g851a Em0020g851a, Ephydatia_muelleri_Em0020g850a Em0020g850a, Ephydatia_muelleri_Em0020g854a Em0020g854a, Ephydatia_muelleri_Em0020g858a Em0020g858a, Ephydatia_muelleri_Em0020g849a Em0020g849a, Ephydatia_muelleri_Em0020g860a Em0020g860a, Ephydatia_muelleri_Em0020g877a Em0020g877a
