Orthogroup	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Cnidaria_Anthozoa_Nematostella_vectensis
OG0000001	Tricoplax_adhaerens_tr_B3RXC1_B3RXC1_TRIAD tr_B3RXC1_B3RXC1_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_56157 PE=4 SV=1	Nematostella_vectensis_NV2t000702003.1 NV2t000702003.1, Nematostella_vectensis_NV2t000702002.1 NV2t000702002.1, Nematostella_vectensis_NV2t000702004.1 NV2t000702004.1, Nematostella_vectensis_NV2t000702005.1 NV2t000702005.1, Nematostella_vectensis_NV2t000702006.1 NV2t000702006.1, Nematostella_vectensis_NV2t000702001.1 NV2t000702001.1
OG0000001	Tricoplax_adhaerens_tr_B3RQ47_B3RQ47_TRIAD tr_B3RQ47_B3RQ47_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53774 PE=4 SV=1	Nematostella_vectensis_NV2t006892003.1 NV2t006892003.1, Nematostella_vectensis_NV2t006892004.1 NV2t006892004.1, Nematostella_vectensis_NV2t006892002.1 NV2t006892002.1, Nematostella_vectensis_NV2t006892001.1 NV2t006892001.1
OG0000001	Tricoplax_adhaerens_tr_B3RIT3_B3RIT3_TRIAD tr_B3RIT3_B3RIT3_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_51357 PE=4 SV=1	Nematostella_vectensis_NV2t022749001.1 NV2t022749001.1
OG0000001	Tricoplax_adhaerens_tr_B3RN89_B3RN89_TRIAD tr_B3RN89_B3RN89_TRIAD NTR domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53080 PE=4 SV=1	Nematostella_vectensis_NV2t007734005.1 NV2t007734005.1
OG0000001	Tricoplax_adhaerens_tr_B3RNB7_B3RNB7_TRIAD tr_B3RNB7_B3RNB7_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_21436 PE=4 SV=1	Nematostella_vectensis_NV2t025737001.1 NV2t025737001.1
OG0000001	Tricoplax_adhaerens_tr_B3S235_B3S235_TRIAD tr_B3S235_B3S235_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_27868 PE=4 SV=1	Nematostella_vectensis_NV2t024158001.1 NV2t024158001.1, Nematostella_vectensis_NV2t022843001.1 NV2t022843001.1, Nematostella_vectensis_NV2t022840001.1 NV2t022840001.1
OG0000002	Tricoplax_adhaerens_tr_B3RQE3_B3RQE3_TRIAD tr_B3RQE3_B3RQE3_TRIAD Sema domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53875 PE=4 SV=1	Nematostella_vectensis_NV2t011758001.1 NV2t011758001.1
OG0000002	Tricoplax_adhaerens_tr_B3RQE7_B3RQE7_TRIAD tr_B3RQE7_B3RQE7_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53879 PE=3 SV=1	Nematostella_vectensis_NV2t022863003.1 NV2t022863003.1, Nematostella_vectensis_NV2t022863001.1 NV2t022863001.1, Nematostella_vectensis_NV2t022863002.1 NV2t022863002.1
OG0000003	Tricoplax_adhaerens_tr_B3RIF4_B3RIF4_TRIAD tr_B3RIF4_B3RIF4_TRIAD C-type lectin domain-containing protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_18412 PE=4 SV=1	Nematostella_vectensis_NV2t012173001.1 NV2t012173001.1
OG0000003	Tricoplax_adhaerens_tr_B3SAG5_B3SAG5_TRIAD tr_B3SAG5_B3SAG5_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_61251 PE=4 SV=1	Nematostella_vectensis_NV2t019497001.1 NV2t019497001.1, Nematostella_vectensis_NV2t019497002.1 NV2t019497002.1
OG0000003	Tricoplax_adhaerens_tr_B3S2P8_B3S2P8_TRIAD tr_B3S2P8_B3S2P8_TRIAD C-type lectin domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_58103 PE=4 SV=1	Nematostella_vectensis_NV2t012181001.1 NV2t012181001.1
OG0000003	Tricoplax_adhaerens_tr_B3RS18_B3RS18_TRIAD tr_B3RS18_B3RS18_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_22336 PE=4 SV=1	Nematostella_vectensis_NV2t003029001.1 NV2t003029001.1, Nematostella_vectensis_NV2t003028001.1 NV2t003028001.1
OG0000003	Tricoplax_adhaerens_tr_B3SE10_B3SE10_TRIAD tr_B3SE10_B3SE10_TRIAD Uncharacterized protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_962 PE=4 SV=1	Nematostella_vectensis_NV2t020861001.1 NV2t020861001.1
